Código,Sí,No,Total,CO_FRACC
0200616,4316.0,17.0,4333.0,006_16
0200617,3115.0,12.0,3127.0,006_17
0200618,3399.0,19.0,3418.0,006_18
0200619,3689.0,12.0,3701.0,006_19
0200620,3362.0,16.0,3378.0,006_20
0200621,3847.0,67.0,3914.0,006_21
0200701,2601.0,154.0,2755.0,007_1
0200702,3135.0,176.0,3311.0,007_2
0200703,3576.0,78.0,3654.0,007_3
0200704,4131.0,36.0,4167.0,007_4
0200705,3099.0,75.0,3174.0,007_5
0200706,2777.0,103.0,2880.0,007_6
0200707,3166.0,125.0,3291.0,007_7
0200708,2675.0,64.0,2739.0,007_8
0200709,3262.0,61.0,3323.0,007_9
0200710,3006.0,28.0,3034.0,007_10
0200711,3486.0,37.0,3523.0,007_11
0200712,2529.0,26.0,2555.0,007_12
0200713,3647.0,23.0,3670.0,007_13
0200714,3730.0,77.0,3807.0,007_14
0200715,3281.0,88.0,3369.0,007_15
0200716,2596.0,43.0,2639.0,007_16
0200717,3395.0,1522.0,4917.0,007_17
0200718,2791.0,773.0,3564.0,007_18
0200719,2130.0,301.0,2431.0,007_19
0200720,4018.0,115.0,4133.0,007_20
0200721,4024.0,25.0,4049.0,007_21
0200722,3919.0,12.0,3931.0,007_22
0200723,2741.0,30.0,2771.0,007_23
0200724,3752.0,44.0,3796.0,007_24
0200801,5220.0,822.0,6042.0,008_1
0200802,2537.0,21.0,2558.0,008_2
0200803,2953.0,295.0,3248.0,008_3
0200804,2944.0,55.0,2999.0,008_4
0200805,3171.0,31.0,3202.0,008_5
0200806,3055.0,74.0,3129.0,008_6
0200807,5441.0,1261.0,6702.0,008_7
0200808,3027.0,32.0,3059.0,008_8
0200809,2601.0,18.0,2619.0,008_9
0200810,3873.0,25.0,3898.0,008_10
0200811,3749.0,28.0,3777.0,008_11
0200812,2146.0,17.0,2163.0,008_12
0200813,1812.0,56.0,1868.0,008_13
0200814,3528.0,469.0,3997.0,008_14
0200815,4168.0,872.0,5040.0,008_15
0200816,2623.0,46.0,2669.0,008_16
0200817,1231.0,3.0,1234.0,008_17
0200901,2322.0,62.0,2384.0,009_1
0200902,3830.0,19.0,3849.0,009_2
0200903,3439.0,84.0,3523.0,009_3
0200904,3367.0,24.0,3391.0,009_4
0200905,3432.0,35.0,3467.0,009_5
0200906,3929.0,91.0,4020.0,009_6
0200907,3857.0,18.0,3875.0,009_7
0200908,3868.0,76.0,3944.0,009_8
0200909,3797.0,51.0,3848.0,009_9
0200910,3307.0,30.0,3337.0,009_10
0200911,4118.0,112.0,4230.0,009_11
0200912,3402.0,81.0,3483.0,009_12
0200913,2257.0,75.0,2332.0,009_13
0200914,3554.0,287.0,3841.0,009_14
0200915,3128.0,60.0,3188.0,009_15
0200916,3726.0,57.0,3783.0,009_16
0201001,2410.0,6.0,2416.0,010_1
0201002,2494.0,10.0,2504.0,010_2
