Código,Sí,No,Total,CO_FRACC
0200614,2764.0,830.0,3594.0,006_14
0200615,2828.0,769.0,3597.0,006_15
0200616,3406.0,927.0,4333.0,006_16
0200617,2225.0,902.0,3127.0,006_17
0200618,2499.0,919.0,3418.0,006_18
0200619,2790.0,911.0,3701.0,006_19
0200620,2565.0,813.0,3378.0,006_20
0200621,2942.0,972.0,3914.0,006_21
0200701,1529.0,1226.0,2755.0,007_1
0200702,2107.0,1204.0,3311.0,007_2
0200703,2559.0,1095.0,3654.0,007_3
0200704,3093.0,1074.0,4167.0,007_4
0200705,2197.0,977.0,3174.0,007_5
0200706,1848.0,1032.0,2880.0,007_6
0200707,2100.0,1191.0,3291.0,007_7
0200708,1817.0,922.0,2739.0,007_8
0200709,2236.0,1087.0,3323.0,007_9
0200710,2160.0,874.0,3034.0,007_10
0200711,2556.0,967.0,3523.0,007_11
0200712,1810.0,745.0,2555.0,007_12
0200713,2746.0,924.0,3670.0,007_13
0200714,2635.0,1172.0,3807.0,007_14
0200715,1944.0,1425.0,3369.0,007_15
0200716,1678.0,961.0,2639.0,007_16
0200717,835.0,4082.0,4917.0,007_17
0200718,762.0,2802.0,3564.0,007_18
0200719,873.0,1558.0,2431.0,007_19
0200720,2568.0,1565.0,4133.0,007_20
0200721,2979.0,1070.0,4049.0,007_21
0200722,2933.0,998.0,3931.0,007_22
0200723,2042.0,729.0,2771.0,007_23
0200724,2515.0,1281.0,3796.0,007_24
0200801,1282.0,4760.0,6042.0,008_1
0200802,1293.0,1265.0,2558.0,008_2
0200803,1233.0,2015.0,3248.0,008_3
0200804,1724.0,1275.0,2999.0,008_4
0200805,1896.0,1306.0,3202.0,008_5
0200806,1861.0,1268.0,3129.0,008_6
0200807,1462.0,5240.0,6702.0,008_7
0200808,1892.0,1167.0,3059.0,008_8
0200809,1549.0,1070.0,2619.0,008_9
0200810,2280.0,1618.0,3898.0,008_10
0200811,2228.0,1549.0,3777.0,008_11
0200812,1319.0,844.0,2163.0,008_12
0200813,921.0,947.0,1868.0,008_13
0200814,1435.0,2562.0,3997.0,008_14
0200815,1283.0,3757.0,5040.0,008_15
0200816,1271.0,1398.0,2669.0,008_16
0200817,802.0,432.0,1234.0,008_17
0200901,1424.0,960.0,2384.0,009_1
0200902,2655.0,1194.0,3849.0,009_2
0200903,2225.0,1298.0,3523.0,009_3
0200904,2177.0,1214.0,3391.0,009_4
0200905,2265.0,1202.0,3467.0,009_5
0200906,2550.0,1470.0,4020.0,009_6
0200907,2516.0,1359.0,3875.0,009_7
0200908,2392.0,1552.0,3944.0,009_8
0200909,2385.0,1463.0,3848.0,009_9
0200910,2137.0,1200.0,3337.0,009_10
0200911,2747.0,1483.0,4230.0,009_11
0200912,2111.0,1372.0,3483.0,009_12
0200913,1323.0,1009.0,2332.0,009_13
0200914,1467.0,2374.0,3841.0,009_14
0200915,1786.0,1402.0,3188.0,009_15
0200916,2076.0,1707.0,3783.0,009_16
0201001,1603.0,813.0,2416.0,010_1
0201002,1750.0,754.0,2504.0,010_2
0201003,1588.0,682.0,2270.0,010_3
0201004,1979.0,772.0,2751.0,010_4
0201005,2729.0,1414.0,4143.0,010_5
0201006,2846.0,1333.0,4179.0,010_6
0201007,2815.0,1226.0,4041.0,010_7
0201008,2208.0,1001.0,3209.0,010_8
0201009,2053.0,955.0,3008.0,010_9
0201010,2530.0,1154.0,3684.0,010_10
0201011,2250.0,1373.0,3623.0,010_11
0201012,1755.0,1020.0,2775.0,010_12
0201013,2158.0,1034.0,3192.0,010_13
0201014,2208.0,1015.0,3223.0,010_14
0201015,1750.0,914.0,2664.0,010_15
0201016,1990.0,998.0,2988.0,010_16
0201017,2205.0,936.0,3141.0,010_17
0201018,2358.0,1201.0,3559.0,010_18
0201019,2470.0,1613.0,4083.0,010_19
0201101,2606.0,978.0,3584.0,011_1
0201102,2696.0,735.0,3431.0,011_2
0201103,2528.0,731.0,3259.0,011_3
0201104,2895.0,895.0,3790.0,011_4
0201105,2138.0,896.0,3034.0,011_5
0201106,2327.0,1110.0,3437.0,011_6
0201107,2440.0,1060.0,3500.0,011_7
0201108,2148.0,785.0,2933.0,011_8
0201109,2676.0,937.0,3613.0,011_9
0201110,2635.0,908.0,3543.0,011_10
0201111,1897.0,779.0,2676.0,011_11
0201112,1907.0,791.0,2698.0,011_12
0201113,2525.0,1177.0,3702.0,011_13
0201114,1928.0,845.0,2773.0,011_14
0201115,2648.0,1146.0,3794.0,011_15
0201116,2154.0,901.0,3055.0,011_16
0201117,1795.0,799.0,2594.0,011_17
0201118,2176.0,899.0,3075.0,011_18
0201119,1923.0,853.0,2776.0,011_19
0201120,2253.0,934.0,3187.0,011_20
0201121,2424.0,1097.0,3521.0,011_21
0201122,2382.0,1103.0,3485.0,011_22
0201201,2184.0,839.0,3023.0,012_1
0201202,2022.0,847.0,2869.0,012_2
0201203,2124.0,959.0,3083.0,012_3
0201204,2248.0,830.0,3078.0,012_4
0201205,2857.0,782.0,3639.0,012_5
0201206,2476.0,808.0,3284.0,012_6
0201207,2803.0,845.0,3648.0,012_7
0201208,3069.0,762.0,3831.0,012_8
0201209,1815.0,755.0,2570.0,012_9
0201210,2741.0,957.0,3698.0,012_10
0201211,2531.0,895.0,3426.0,012_11
0201212,2209.0,670.0,2879.0,012_12
0201213,2394.0,768.0,3162.0,012_13
0201214,2989.0,904.0,3893.0,012_14
0201215,3567.0,1095.0,4662.0,012_15
0201216,4121.0,1367.0,5488.0,012_16
0201217,2352.0,803.0,3155.0,012_17
0201218,2832.0,1179.0,4011.0,012_18
0201219,3056.0,1297.0,4353.0,012_19
0201220,2244.0,934.0,3178.0,012_20
0201221,2548.0,1002.0,3550.0,012_21
0201222,2959.0,1108.0,4067.0,012_22
0201301,3298.0,804.0,4102.0,013_1
0201302,3166.0,746.0,3912.0,013_2
0201303,2790.0,596.0,3386.0,013_3
0201304,3742.0,1182.0,4924.0,013_4
0201305,2639.0,656.0,3295.0,013_5
0201306,2322.0,759.0,3081.0,013_6
0201307,2501.0,677.0,3178.0,013_7
0201308,2820.0,736.0,3556.0,013_8
0201309,2544.0,636.0,3180.0,013_9
0201310,3294.0,825.0,4119.0,013_10
0201311,1439.0,324.0,1763.0,013_11
0201312,2415.0,485.0,2900.0,013_12
0201313,3679.0,756.0,4435.0,013_13
0201314,2375.0,612.0,2987.0,013_14
0201315,3072.0,1057.0,4129.0,013_15
0201316,3266.0,1054.0,4320.0,013_16
0201317,3278.0,761.0,4039.0,013_17
0201318,2549.0,574.0,3123.0,013_18
0201319,2843.0,688.0,3531.0,013_19
0201320,2956.0,796.0,3752.0,013_20
0201321,2501.0,544.0,3045.0,013_21
0201322,2430.0,428.0,2858.0,013_22
0201323,3208.0,901.0,4109.0,013_23
0201324,2466.0,605.0,3071.0,013_24
0201325,1918.0,647.0,2565.0,013_25
0201326,2404.0,848.0,3252.0,013_26
0201327,2654.0,859.0,3513.0,013_27
0201328,2306.0,713.0,3019.0,013_28
0201329,2613.0,749.0,3362.0,013_29
0201401,3055.0,729.0,3784.0,014_1
0201402,3000.0,626.0,3626.0,014_2
0201403,3492.0,729.0,4221.0,014_3
0201404,3328.0,698.0,4026.0,014_4
0201405,2992.0,689.0,3681.0,014_5
0201406,2945.0,834.0,3779.0,014_6
0201407,2153.0,639.0,2792.0,014_7
0201408,2436.0,668.0,3104.0,014_8
0201409,4236.0,756.0,4992.0,014_9
0201410,4.0,2.0,6.0,014_10
0201411,4014.0,710.0,4724.0,014_11
0201412,2315.0,900.0,3215.0,014_12
0201413,2513.0,854.0,3367.0,014_13
0201414,2832.0,784.0,3616.0,014_14
0201415,2759.0,757.0,3516.0,014_15
0201416,2250.0,413.0,2663.0,014_16
0201417,2402.0,427.0,2829.0,014_17
0201418,2518.0,609.0,3127.0,014_18
0201419,2093.0,538.0,2631.0,014_19
0201420,2302.0,625.0,2927.0,014_20
0201421,2180.0,759.0,2939.0,014_21
0201422,2684.0,900.0,3584.0,014_22
0201423,3116.0,877.0,3993.0,014_23
0201424,2148.0,589.0,2737.0,014_24
0201425,2268.0,618.0,2886.0,014_25
0201426,2643.0,651.0,3294.0,014_26
0201427,2236.0,546.0,2782.0,014_27
0201428,3061.0,729.0,3790.0,014_28
0201429,2865.0,677.0,3542.0,014_29
0201430,2959.0,578.0,3537.0,014_30
0201431,2753.0,455.0,3208.0,014_31
0201501,2555.0,987.0,3542.0,015_1
0201502,1843.0,673.0,2516.0,015_2
0201503,3155.0,1009.0,4164.0,015_3
0201504,2920.0,1201.0,4121.0,015_4
0201505,2792.0,1158.0,3950.0,015_5
0201506,1274.0,468.0,1742.0,015_6
0201507,2248.0,1374.0,3622.0,015_7
0201508,2230.0,1086.0,3316.0,015_8
0201509,1363.0,1016.0,2379.0,015_9
0201510,2978.0,1185.0,4163.0,015_10
0201511,3156.0,1089.0,4245.0,015_11
0201512,1877.0,810.0,2687.0,015_12
0201513,2112.0,704.0,2816.0,015_13
0201514,2771.0,1009.0,3780.0,015_14
0201515,2337.0,1016.0,3353.0,015_15
0201516,2604.0,963.0,3567.0,015_16
0201517,2908.0,989.0,3897.0,015_17
0201518,2323.0,879.0,3202.0,015_18
0201519,2774.0,914.0,3688.0,015_19
0201520,2794.0,925.0,3719.0,015_20
0201521,2981.0,1015.0,3996.0,015_21
