Código,Varón,Mujer,Total,CO_FRACC
0200515,3400.0,4264.0,7664.0,005_15
0200516,4233.0,4984.0,9217.0,005_16
0200517,4021.0,4656.0,8677.0,005_17
0200518,3802.0,4550.0,8352.0,005_18
0200519,4037.0,4827.0,8864.0,005_19
0200520,5088.0,5599.0,10687.0,005_20
0200521,3716.0,4269.0,7985.0,005_21
0200522,5292.0,6126.0,11418.0,005_22
0200601,4262.0,5082.0,9344.0,006_1
0200602,4415.0,5092.0,9507.0,006_2
0200603,3937.0,4657.0,8594.0,006_3
0200604,3899.0,4624.0,8523.0,006_4
0200605,3978.0,4884.0,8862.0,006_5
0200606,3787.0,4730.0,8517.0,006_6
0200607,4486.0,5393.0,9879.0,006_7
0200608,3642.0,4495.0,8137.0,006_8
0200609,2866.0,3813.0,6679.0,006_9
0200610,3374.0,4491.0,7865.0,006_10
0200611,3397.0,3965.0,7362.0,006_11
0200612,3353.0,4194.0,7547.0,006_12
0200613,3700.0,4682.0,8382.0,006_13
0200614,3824.0,4583.0,8407.0,006_14
0200615,3835.0,4615.0,8450.0,006_15
0200616,4834.0,5686.0,10520.0,006_16
0200617,2786.0,3789.0,6575.0,006_17
0200618,3287.0,4255.0,7542.0,006_18
0200619,3633.0,4790.0,8423.0,006_19
0200620,3366.0,4276.0,7642.0,006_20
0200621,4209.0,5110.0,9319.0,006_21
0200701,3347.0,3973.0,7320.0,007_1
0200702,4231.0,4706.0,8937.0,007_2
0200703,4266.0,5074.0,9340.0,007_3
0200704,4497.0,5345.0,9842.0,007_4
0200705,3304.0,4247.0,7551.0,007_5
0200706,3141.0,3854.0,6995.0,007_6
0200707,3584.0,4345.0,7929.0,007_7
0200708,2849.0,3548.0,6397.0,007_8
0200709,3475.0,4252.0,7727.0,007_9
0200710,3092.0,4095.0,7187.0,007_10
0200711,3789.0,4827.0,8616.0,007_11
0200712,3126.0,3566.0,6692.0,007_12
0200713,4575.0,5302.0,9877.0,007_13
0200714,5278.0,5937.0,11215.0,007_14
0200715,4769.0,5316.0,10085.0,007_15
0200716,3827.0,4144.0,7971.0,007_16
0200717,7727.0,8120.0,15847.0,007_17
0200718,6288.0,6423.0,12711.0,007_18
0200719,4287.0,4476.0,8763.0,007_19
0200720,5713.0,6350.0,12063.0,007_20
0200721,4484.0,5414.0,9898.0,007_21
0200722,4583.0,5285.0,9868.0,007_22
0200723,3174.0,3858.0,7032.0,007_23
0200724,5075.0,5653.0,10728.0,007_24
0200801,10339.0,10553.0,20892.0,008_1
0200802,3676.0,4220.0,7896.0,008_2
0200803,5198.0,5408.0,10606.0,008_3
0200804,4254.0,4728.0,8982.0,008_4
0200805,4352.0,4994.0,9346.0,008_5
0200806,4530.0,5092.0,9622.0,008_6
0200807,12023.0,12245.0,24268.0,008_7
0200808,4130.0,4764.0,8894.0,008_8
0200809,3511.0,4124.0,7635.0,008_9
0200810,5419.0,6252.0,11671.0,008_10
0200811,5030.0,6077.0,11107.0,008_11
0200812,3096.0,3353.0,6449.0,008_12
0200813,2710.0,3003.0,5713.0,008_13
0200814,6648.0,7071.0,13719.0,008_14
0200815,8911.0,9214.0,18125.0,008_15
0200816,4298.0,4924.0,9222.0,008_16
0200817,1420.0,1670.0,3090.0,008_17
0200901,2818.0,3181.0,5999.0,009_1
0200902,4603.0,5432.0,10035.0,009_2
0200903,4283.0,5043.0,9326.0,009_3
0200904,4215.0,4919.0,9134.0,009_4
0200905,4476.0,5162.0,9638.0,009_5
0200906,5051.0,5772.0,10823.0,009_6
0200907,4956.0,5765.0,10721.0,009_7
0200908,5397.0,5870.0,11267.0,009_8
0200909,5148.0,5873.0,11021.0,009_9
0200910,4256.0,5012.0,9268.0,009_10
0200911,5874.0,6709.0,12583.0,009_11
0200912,4959.0,5371.0,10330.0,009_12
0200913,3534.0,3664.0,7198.0,009_13
0200914,6765.0,7085.0,13850.0,009_14
0200915,4622.0,4871.0,9493.0,009_15
0200916,5250.0,5861.0,11111.0,009_16
0201001,3073.0,3451.0,6524.0,010_1
0201002,3268.0,3627.0,6895.0,010_2
0201003,2923.0,3355.0,6278.0,010_3
0201004,3532.0,4012.0,7544.0,010_4
0201005,5239.0,6062.0,11301.0,010_5
0201006,5222.0,6096.0,11318.0,010_6
0201007,5032.0,5972.0,11004.0,010_7
0201008,4180.0,4739.0,8919.0,010_8
0201009,4010.0,4499.0,8509.0,010_9
0201010,4734.0,5632.0,10366.0,010_10
0201011,4529.0,5091.0,9620.0,010_11
0201012,3333.0,3951.0,7284.0,010_12
0201013,3888.0,4609.0,8497.0,010_13
0201014,4045.0,4608.0,8653.0,010_14
0201015,3305.0,3734.0,7039.0,010_15
0201016,3729.0,4315.0,8044.0,010_16
0201017,3980.0,4520.0,8500.0,010_17
0201018,4221.0,5201.0,9422.0,010_18
0201019,4729.0,5576.0,10305.0,010_19
0201101,4363.0,5126.0,9489.0,011_1
0201102,4445.0,4953.0,9398.0,011_2
0201103,3975.0,4712.0,8687.0,011_3
0201104,4707.0,5571.0,10278.0,011_4
0201105,3839.0,4332.0,8171.0,011_5
0201106,4211.0,4934.0,9145.0,011_6
0201107,6219.0,5134.0,11353.0,011_7
0201108,3396.0,4067.0,7463.0,011_8
0201109,3921.0,4840.0,8761.0,011_9
0201110,3859.0,4616.0,8475.0,011_10
0201111,3518.0,4064.0,7582.0,011_11
0201112,3202.0,3752.0,6954.0,011_12
0201113,3874.0,5002.0,8876.0,011_13
0201114,3290.0,3872.0,7162.0,011_14
0201115,4689.0,5198.0,9887.0,011_15
0201116,3633.0,4243.0,7876.0,011_16
0201117,3419.0,3810.0,7229.0,011_17
0201118,3896.0,4437.0,8333.0,011_18
0201119,3428.0,4097.0,7525.0,011_19
