Código,COUNTER,1,2,Total,CO_FRAC_RA
020011012,584.0,143.0,8.0,151.0,1_10_12
020011013,678.0,158.0,7.0,165.0,1_10_13
020011014,218.0,64.0,4.0,68.0,1_10_14
020011101,512.0,88.0,6.0,94.0,1_11_1
020011102,428.0,118.0,2.0,120.0,1_11_2
020011103,354.0,72.0,17.0,89.0,1_11_3
020011104,667.0,148.0,8.0,156.0,1_11_4
020011105,529.0,139.0,14.0,153.0,1_11_5
020011106,447.0,82.0,0.0,82.0,1_11_6
020011107,525.0,148.0,9.0,157.0,1_11_7
020011108,817.0,157.0,8.0,165.0,1_11_8
020011109,455.0,132.0,4.0,136.0,1_11_9
020011110,621.0,157.0,2.0,159.0,1_11_10
020011111,266.0,46.0,3.0,49.0,1_11_11
020011112,933.0,208.0,7.0,215.0,1_11_12
020011113,666.0,142.0,12.0,154.0,1_11_13
020011114,774.0,130.0,3.0,133.0,1_11_14
020011201,341.0,42.0,6.0,48.0,1_12_1
020011202,229.0,71.0,0.0,71.0,1_12_2
020011203,723.0,162.0,12.0,174.0,1_12_3
020011204,393.0,89.0,11.0,100.0,1_12_4
020011205,600.0,115.0,14.0,129.0,1_12_5
020011206,472.0,102.0,5.0,107.0,1_12_6
020011207,786.0,201.0,15.0,216.0,1_12_7
020011208,329.0,44.0,2.0,46.0,1_12_8
020011209,1356.0,122.0,21.0,143.0,1_12_9
020011210,296.0,40.0,2.0,42.0,1_12_10
020011211,528.0,58.0,2.0,60.0,1_12_11
020011212,499.0,40.0,1.0,41.0,1_12_12
020011301,586.0,83.0,4.0,87.0,1_13_1
020011302,128.0,30.0,0.0,30.0,1_13_2
020011303,45.0,11.0,0.0,11.0,1_13_3
020011304,725.0,31.0,0.0,31.0,1_13_4
020011305,295.0,54.0,1.0,55.0,1_13_5
020011306,192.0,29.0,1.0,30.0,1_13_6
020011307,505.0,67.0,1.0,68.0,1_13_7
020011308,308.0,56.0,0.0,56.0,1_13_8
020011309,426.0,67.0,0.0,67.0,1_13_9
020011310,614.0,75.0,1.0,76.0,1_13_10
020011311,292.0,41.0,1.0,42.0,1_13_11
020011312,292.0,44.0,0.0,44.0,1_13_12
020011313,358.0,40.0,0.0,40.0,1_13_13
020011314,1960.0,317.0,221.0,538.0,1_13_14
020011315,0.0,0.0,0.0,0.0,1_13_15
020011401,622.0,106.0,5.0,111.0,1_14_1
020011402,1096.0,144.0,20.0,164.0,1_14_2
020011403,383.0,95.0,18.0,113.0,1_14_3
020011404,70.0,13.0,1.0,14.0,1_14_4
020011405,484.0,116.0,8.0,124.0,1_14_5
020011406,698.0,118.0,22.0,140.0,1_14_6
020011407,476.0,76.0,6.0,82.0,1_14_7
020011408,411.0,86.0,20.0,106.0,1_14_8
020011409,521.0,124.0,12.0,136.0,1_14_9
020011410,431.0,80.0,2.0,82.0,1_14_10
020011411,522.0,101.0,16.0,117.0,1_14_11
020011412,511.0,76.0,10.0,86.0,1_14_12
020011501,697.0,74.0,1.0,75.0,1_15_1
020011502,662.0,114.0,5.0,119.0,1_15_2
020011503,418.0,97.0,5.0,102.0,1_15_3
020011504,759.0,131.0,3.0,134.0,1_15_4
020011505,464.0,75.0,11.0,86.0,1_15_5
020011506,804.0,155.0,27.0,182.0,1_15_6
020011507,577.0,128.0,8.0,136.0,1_15_7
020011508,818.0,157.0,28.0,185.0,1_15_8
020011509,872.0,153.0,28.0,181.0,1_15_9
020011510,625.0,121.0,10.0,131.0,1_15_10
020011511,554.0,121.0,31.0,152.0,1_15_11
020011601,538.0,83.0,8.0,91.0,1_16_1
020011602,326.0,86.0,9.0,95.0,1_16_2
020011603,945.0,192.0,18.0,210.0,1_16_3
020011604,573.0,140.0,3.0,143.0,1_16_4
020011605,477.0,115.0,16.0,131.0,1_16_5
020011606,559.0,111.0,18.0,129.0,1_16_6
020011607,1074.0,195.0,22.0,217.0,1_16_7
020011608,546.0,97.0,8.0,105.0,1_16_8
020011609,382.0,71.0,1.0,72.0,1_16_9
020011610,591.0,92.0,1.0,93.0,1_16_10
020011611,464.0,88.0,5.0,93.0,1_16_11
020011612,364.0,55.0,8.0,63.0,1_16_12
020011701,888.0,197.0,26.0,223.0,1_17_1
020011702,657.0,148.0,25.0,173.0,1_17_2
020011703,720.0,175.0,21.0,196.0,1_17_3
020011704,586.0,106.0,7.0,113.0,1_17_4
020011705,577.0,97.0,10.0,107.0,1_17_5
020011706,759.0,144.0,9.0,153.0,1_17_6
020011707,615.0,150.0,10.0,160.0,1_17_7
020011708,597.0,127.0,17.0,144.0,1_17_8
020011709,439.0,91.0,6.0,97.0,1_17_9
020011710,574.0,113.0,7.0,120.0,1_17_10
020011711,474.0,83.0,8.0,91.0,1_17_11
020011801,842.0,169.0,20.0,189.0,1_18_1
020011802,735.0,134.0,11.0,145.0,1_18_2
020011803,642.0,133.0,21.0,154.0,1_18_3
020011804,730.0,163.0,12.0,175.0,1_18_4
020011805,698.0,107.0,3.0,110.0,1_18_5
020011806,1180.0,222.0,25.0,247.0,1_18_6
020011807,734.0,154.0,13.0,167.0,1_18_7
020011808,674.0,114.0,4.0,118.0,1_18_8
020011809,650.0,139.0,13.0,152.0,1_18_9
020011901,892.0,178.0,24.0,202.0,1_19_1
020011902,1066.0,198.0,24.0,222.0,1_19_2
020011903,374.0,75.0,6.0,81.0,1_19_3
020011904,720.0,127.0,11.0,138.0,1_19_4
020011905,643.0,110.0,2.0,112.0,1_19_5
020011906,431.0,82.0,11.0,93.0,1_19_6
020011907,746.0,115.0,22.0,137.0,1_19_7
020011908,450.0,69.0,16.0,85.0,1_19_8
020011909,507.0,76.0,4.0,80.0,1_19_9
020012001,627.0,86.0,13.0,99.0,1_20_1
020012002,738.0,120.0,18.0,138.0,1_20_2
020012003,567.0,85.0,5.0,90.0,1_20_3
020012004,769.0,130.0,12.0,142.0,1_20_4
020012005,700.0,98.0,6.0,104.0,1_20_5
020012006,785.0,127.0,5.0,132.0,1_20_6
020012007,481.0,67.0,6.0,73.0,1_20_7
020012008,563.0,109.0,12.0,121.0,1_20_8
020012009,572.0,109.0,6.0,115.0,1_20_9
020012010,860.0,164.0,20.0,184.0,1_20_10
020012101,627.0,119.0,11.0,130.0,1_21_1
020012102,640.0,109.0,13.0,122.0,1_21_2
020012103,400.0,62.0,11.0,73.0,1_21_3
020012104,1160.0,236.0,40.0,276.0,1_21_4
020012105,724.0,130.0,11.0,141.0,1_21_5
020012106,602.0,97.0,9.0,106.0,1_21_6
020012107,785.0,146.0,15.0,161.0,1_21_7
020012108,553.0,85.0,9.0,94.0,1_21_8
020012109,709.0,134.0,12.0,146.0,1_21_9
020012110,816.0,167.0,11.0,178.0,1_21_10
020012201,567.0,109.0,9.0,118.0,1_22_1
020012202,810.0,145.0,12.0,157.0,1_22_2
020012203,817.0,175.0,16.0,191.0,1_22_3
020012204,446.0,74.0,7.0,81.0,1_22_4
020012205,447.0,84.0,2.0,86.0,1_22_5
020012206,578.0,110.0,10.0,120.0,1_22_6
020012207,562.0,107.0,20.0,127.0,1_22_7
020012208,533.0,95.0,5.0,100.0,1_22_8
020012209,880.0,152.0,20.0,172.0,1_22_9
020012210,1231.0,222.0,36.0,258.0,1_22_10
020012301,607.0,113.0,6.0,119.0,1_23_1
020012302,525.0,116.0,3.0,119.0,1_23_2
020012303,790.0,162.0,4.0,166.0,1_23_3
020012304,370.0,68.0,7.0,75.0,1_23_4
020012305,501.0,100.0,4.0,104.0,1_23_5
020012306,484.0,93.0,1.0,94.0,1_23_6
020012307,568.0,141.0,14.0,155.0,1_23_7
020012308,681.0,95.0,5.0,100.0,1_23_8
020012309,898.0,166.0,10.0,176.0,1_23_9
020012310,362.0,54.0,8.0,62.0,1_23_10
020012401,248.0,47.0,2.0,49.0,1_24_1
020012402,287.0,52.0,1.0,53.0,1_24_2
020012403,534.0,99.0,7.0,106.0,1_24_3
020012404,328.0,48.0,4.0,52.0,1_24_4
020012405,345.0,59.0,2.0,61.0,1_24_5
020012406,720.0,151.0,1.0,152.0,1_24_6
020012407,566.0,94.0,5.0,99.0,1_24_7
020012408,428.0,71.0,11.0,82.0,1_24_8
020012501,424.0,83.0,3.0,86.0,1_25_1
020012502,388.0,86.0,7.0,93.0,1_25_2
020012503,513.0,78.0,3.0,81.0,1_25_3
020012504,912.0,140.0,8.0,148.0,1_25_4
020012505,477.0,76.0,3.0,79.0,1_25_5
020012506,752.0,126.0,9.0,135.0,1_25_6
020012507,418.0,84.0,4.0,88.0,1_25_7
020012508,612.0,89.0,5.0,94.0,1_25_8
020012509,658.0,93.0,19.0,112.0,1_25_9
020012510,542.0,88.0,5.0,93.0,1_25_10
020012511,557.0,86.0,3.0,89.0,1_25_11
020012601,639.0,93.0,14.0,107.0,1_26_1
020012602,677.0,131.0,11.0,142.0,1_26_2
020012603,440.0,71.0,1.0,72.0,1_26_3
020012604,553.0,105.0,4.0,109.0,1_26_4
020012605,683.0,121.0,8.0,129.0,1_26_5
020012606,465.0,71.0,3.0,74.0,1_26_6
020012607,313.0,44.0,0.0,44.0,1_26_7
020012608,449.0,72.0,0.0,72.0,1_26_8
020012609,739.0,128.0,4.0,132.0,1_26_9
020012701,596.0,77.0,4.0,81.0,1_27_1
020012702,780.0,119.0,35.0,154.0,1_27_2
020012703,888.0,104.0,53.0,157.0,1_27_3
020012704,802.0,144.0,27.0,171.0,1_27_4
020012705,641.0,96.0,8.0,104.0,1_27_5
020012706,929.0,150.0,79.0,229.0,1_27_6
020012707,866.0,137.0,40.0,177.0,1_27_7
020012708,694.0,94.0,12.0,106.0,1_27_8
020012709,723.0,112.0,39.0,151.0,1_27_9
020012710,513.0,77.0,4.0,81.0,1_27_10
020012801,512.0,80.0,10.0,90.0,1_28_1
020012802,753.0,131.0,35.0,166.0,1_28_2
020012803,677.0,93.0,22.0,115.0,1_28_3
020012804,661.0,81.0,11.0,92.0,1_28_4
020012805,805.0,135.0,13.0,148.0,1_28_5
020012806,632.0,85.0,33.0,118.0,1_28_6
020012807,727.0,131.0,30.0,161.0,1_28_7
020012808,306.0,42.0,7.0,49.0,1_28_8
020012809,741.0,135.0,14.0,149.0,1_28_9
020012810,909.0,145.0,50.0,195.0,1_28_10
020012811,610.0,110.0,31.0,141.0,1_28_11
020012812,573.0,85.0,9.0,94.0,1_28_12
020012813,652.0,105.0,10.0,115.0,1_28_13
020012901,1123.0,197.0,42.0,239.0,1_29_1
020012902,624.0,117.0,23.0,140.0,1_29_2
020012903,817.0,129.0,34.0,163.0,1_29_3
020012904,723.0,125.0,19.0,144.0,1_29_4
020012905,804.0,113.0,34.0,147.0,1_29_5
020012906,990.0,215.0,14.0,229.0,1_29_6
020012907,916.0,113.0,11.0,124.0,1_29_7
020012908,648.0,101.0,20.0,121.0,1_29_8
020012909,923.0,128.0,31.0,159.0,1_29_9
020020101,105.0,9.0,3.0,12.0,2_1_1
020020102,518.0,83.0,25.0,108.0,2_1_2
020020201,587.0,103.0,11.0,114.0,2_2_1
020020202,878.0,141.0,7.0,148.0,2_2_2
020020203,572.0,84.0,3.0,87.0,2_2_3
020020204,540.0,77.0,6.0,83.0,2_2_4
020020205,600.0,122.0,3.0,125.0,2_2_5
020020206,472.0,65.0,2.0,67.0,2_2_6
020020207,301.0,55.0,1.0,56.0,2_2_7
020020208,697.0,130.0,4.0,134.0,2_2_8
020020301,895.0,186.0,7.0,193.0,2_3_1
020020302,745.0,197.0,2.0,199.0,2_3_2
020020303,266.0,48.0,1.0,49.0,2_3_3
020020304,369.0,87.0,2.0,89.0,2_3_4
020020305,714.0,139.0,3.0,142.0,2_3_5
020020306,678.0,126.0,4.0,130.0,2_3_6
020020307,885.0,166.0,8.0,174.0,2_3_7
020020308,606.0,120.0,4.0,124.0,2_3_8
020020401,823.0,125.0,5.0,130.0,2_4_1
020020402,233.0,40.0,5.0,45.0,2_4_2
020020403,365.0,63.0,2.0,65.0,2_4_3
020020404,499.0,70.0,3.0,73.0,2_4_4
020020405,702.0,114.0,9.0,123.0,2_4_5
020020406,539.0,93.0,7.0,100.0,2_4_6
020020407,617.0,59.0,1.0,60.0,2_4_7
020020408,997.0,181.0,8.0,189.0,2_4_8
020020409,812.0,136.0,2.0,138.0,2_4_9
020020410,884.0,138.0,10.0,148.0,2_4_10
020020501,710.0,81.0,6.0,87.0,2_5_1
020020502,887.0,137.0,3.0,140.0,2_5_2
020020503,661.0,90.0,7.0,97.0,2_5_3
020020504,544.0,87.0,3.0,90.0,2_5_4
020020505,777.0,139.0,10.0,149.0,2_5_5
020020506,811.0,162.0,6.0,168.0,2_5_6
020020507,828.0,173.0,3.0,176.0,2_5_7
020020508,700.0,147.0,5.0,152.0,2_5_8
020020509,616.0,126.0,2.0,128.0,2_5_9
020020601,432.0,88.0,9.0,97.0,2_6_1
020020602,1346.0,209.0,12.0,221.0,2_6_2
020020603,638.0,107.0,6.0,113.0,2_6_3
020020604,835.0,147.0,6.0,153.0,2_6_4
020020605,488.0,102.0,1.0,103.0,2_6_5
020020606,680.0,117.0,7.0,124.0,2_6_6
020020607,392.0,81.0,4.0,85.0,2_6_7
020020608,569.0,104.0,7.0,111.0,2_6_8
020020609,501.0,133.0,2.0,135.0,2_6_9
020020610,515.0,109.0,5.0,114.0,2_6_10
020020701,1419.0,255.0,3.0,258.0,2_7_1
020020702,1073.0,218.0,5.0,223.0,2_7_2
020020703,922.0,157.0,5.0,162.0,2_7_3
020020704,672.0,123.0,7.0,130.0,2_7_4
020020705,524.0,113.0,2.0,115.0,2_7_5
020020706,590.0,142.0,0.0,142.0,2_7_6
020020707,933.0,227.0,8.0,235.0,2_7_7
020020708,435.0,80.0,3.0,83.0,2_7_8
020020709,530.0,133.0,1.0,134.0,2_7_9
020020801,713.0,187.0,6.0,193.0,2_8_1
020020802,702.0,146.0,4.0,150.0,2_8_2
020020803,900.0,209.0,2.0,211.0,2_8_3
020020804,1105.0,225.0,9.0,234.0,2_8_4
020020805,907.0,219.0,6.0,225.0,2_8_5
020020806,1247.0,312.0,6.0,318.0,2_8_6
020020807,1495.0,326.0,9.0,335.0,2_8_7
020020808,848.0,188.0,9.0,197.0,2_8_8
020020901,765.0,212.0,1.0,213.0,2_9_1
020020902,681.0,141.0,1.0,142.0,2_9_2
020020903,865.0,187.0,5.0,192.0,2_9_3
020020904,1021.0,194.0,8.0,202.0,2_9_4
020020905,1028.0,231.0,5.0,236.0,2_9_5
020020906,900.0,236.0,3.0,239.0,2_9_6
020020907,949.0,220.0,7.0,227.0,2_9_7
020020908,1377.0,346.0,4.0,350.0,2_9_8
020020909,1150.0,317.0,5.0,322.0,2_9_9
020021001,975.0,253.0,4.0,257.0,2_10_1
020021002,637.0,186.0,1.0,187.0,2_10_2
020021003,441.0,113.0,2.0,115.0,2_10_3
020021004,785.0,182.0,1.0,183.0,2_10_4
020021005,812.0,209.0,5.0,214.0,2_10_5
020021006,695.0,189.0,1.0,190.0,2_10_6
020021007,868.0,271.0,2.0,273.0,2_10_7
020021008,856.0,172.0,1.0,173.0,2_10_8
020021009,611.0,115.0,2.0,117.0,2_10_9
020021101,1196.0,281.0,8.0,289.0,2_11_1
020021102,564.0,127.0,2.0,129.0,2_11_2
020021103,1643.0,332.0,9.0,341.0,2_11_3
020021104,1393.0,320.0,13.0,333.0,2_11_4
020021105,309.0,80.0,0.0,80.0,2_11_5
020021106,527.0,166.0,3.0,169.0,2_11_6
020021201,970.0,181.0,4.0,185.0,2_12_1
020021202,818.0,151.0,5.0,156.0,2_12_2
020021203,943.0,212.0,4.0,216.0,2_12_3
020021204,1250.0,397.0,6.0,403.0,2_12_4
020021205,1242.0,330.0,10.0,340.0,2_12_5
020021206,983.0,220.0,6.0,226.0,2_12_6
020021301,1196.0,301.0,6.0,307.0,2_13_1
020021302,890.0,194.0,6.0,200.0,2_13_2
020021303,973.0,280.0,5.0,285.0,2_13_3
020021304,1112.0,269.0,4.0,273.0,2_13_4
020021305,1371.0,345.0,5.0,350.0,2_13_5
020021306,1052.0,193.0,1.0,194.0,2_13_6
020021307,1211.0,291.0,6.0,297.0,2_13_7
020021401,760.0,95.0,0.0,95.0,2_14_1
020021402,575.0,153.0,1.0,154.0,2_14_2
020021403,355.0,87.0,0.0,87.0,2_14_3
020021404,743.0,177.0,1.0,178.0,2_14_4
020021405,1124.0,316.0,2.0,318.0,2_14_5
020021406,1031.0,301.0,4.0,305.0,2_14_6
020021407,648.0,162.0,4.0,166.0,2_14_7
020021408,695.0,222.0,1.0,223.0,2_14_8
020021409,1475.0,346.0,14.0,360.0,2_14_9
020021410,1006.0,304.0,8.0,312.0,2_14_10
020021501,601.0,102.0,2.0,104.0,2_15_1
020021502,798.0,186.0,5.0,191.0,2_15_2
020021503,1393.0,343.0,6.0,349.0,2_15_3
020021504,628.0,146.0,6.0,152.0,2_15_4
020021505,555.0,142.0,7.0,149.0,2_15_5
020021506,605.0,137.0,2.0,139.0,2_15_6
020021507,756.0,185.0,1.0,186.0,2_15_7
020021508,708.0,230.0,4.0,234.0,2_15_8
020021601,807.0,155.0,4.0,159.0,2_16_1
020021602,712.0,133.0,2.0,135.0,2_16_2
020021603,698.0,134.0,0.0,134.0,2_16_3
