Código,Primario,EGB,Secundario,Superior no universitario,Universitario,Post universitario,Total
020151509,78.0,0.0,182.0,61.0,136.0,20.0,477.0
020151510,90.0,0.0,155.0,61.0,88.0,11.0,405.0
020151601,96.0,0.0,169.0,46.0,85.0,7.0,403.0
020151602,85.0,0.0,163.0,45.0,89.0,3.0,385.0
020151603,89.0,0.0,197.0,73.0,123.0,15.0,497.0
020151604,69.0,0.0,130.0,60.0,91.0,9.0,359.0
020151605,55.0,0.0,108.0,58.0,60.0,7.0,288.0
020151606,94.0,0.0,129.0,73.0,77.0,9.0,382.0
020151607,74.0,0.0,128.0,49.0,127.0,18.0,396.0
020151608,77.0,0.0,157.0,40.0,139.0,18.0,431.0
020151609,73.0,0.0,126.0,46.0,107.0,14.0,366.0
020151610,88.0,0.0,102.0,47.0,99.0,15.0,351.0
020151611,90.0,0.0,117.0,57.0,101.0,9.0,374.0
020151701,68.0,0.0,103.0,45.0,117.0,6.0,339.0
020151702,64.0,0.0,96.0,46.0,95.0,10.0,311.0
020151703,72.0,0.0,131.0,83.0,98.0,18.0,402.0
020151704,92.0,0.0,152.0,58.0,119.0,11.0,432.0
020151705,61.0,0.0,152.0,64.0,122.0,25.0,424.0
020151706,53.0,0.0,103.0,63.0,94.0,20.0,333.0
020151707,69.0,0.0,127.0,60.0,83.0,13.0,352.0
020151708,42.0,0.0,99.0,55.0,98.0,9.0,303.0
020151709,51.0,0.0,115.0,47.0,94.0,14.0,321.0
020151710,79.0,0.0,151.0,75.0,155.0,27.0,487.0
020151711,53.0,0.0,133.0,69.0,122.0,13.0,390.0
020151712,53.0,0.0,108.0,64.0,124.0,16.0,365.0
020151801,49.0,0.0,88.0,52.0,78.0,10.0,277.0
020151802,31.0,0.0,100.0,37.0,56.0,7.0,231.0
020151803,56.0,0.0,133.0,60.0,95.0,8.0,352.0
020151804,38.0,0.0,96.0,24.0,87.0,7.0,252.0
020151805,39.0,0.0,114.0,18.0,84.0,5.0,260.0
020151806,45.0,0.0,83.0,45.0,90.0,15.0,278.0
020151807,69.0,0.0,93.0,54.0,154.0,25.0,395.0
020151808,47.0,0.0,81.0,52.0,90.0,15.0,285.0
020151809,63.0,0.0,63.0,36.0,69.0,10.0,241.0
020151810,50.0,0.0,93.0,40.0,91.0,3.0,277.0
020151811,47.0,0.0,92.0,66.0,117.0,10.0,332.0
020151812,37.0,0.0,87.0,37.0,104.0,17.0,282.0
020151813,52.0,0.0,110.0,35.0,99.0,8.0,304.0
020151901,43.0,0.0,93.0,26.0,78.0,6.0,246.0
020151902,66.0,0.0,133.0,62.0,104.0,17.0,382.0
020151903,75.0,0.0,101.0,36.0,94.0,12.0,318.0
020151904,58.0,0.0,92.0,65.0,128.0,18.0,361.0
020151905,64.0,0.0,145.0,55.0,143.0,19.0,426.0
020151906,69.0,0.0,116.0,58.0,116.0,7.0,366.0
020151907,77.0,0.0,120.0,55.0,125.0,10.0,387.0
020151908,64.0,0.0,102.0,61.0,82.0,15.0,324.0
020151909,51.0,0.0,97.0,45.0,140.0,14.0,347.0
020151910,44.0,0.0,127.0,75.0,166.0,25.0,437.0
020151911,77.0,0.0,138.0,78.0,96.0,15.0,404.0
020152001,50.0,0.0,129.0,58.0,158.0,21.0,416.0
020152002,61.0,0.0,130.0,64.0,109.0,9.0,373.0
020152003,71.0,0.0,133.0,48.0,109.0,22.0,383.0
020152004,53.0,0.0,119.0,44.0,106.0,10.0,332.0
020152005,56.0,0.0,91.0,41.0,81.0,10.0,279.0
020152006,71.0,0.0,114.0,48.0,97.0,12.0,342.0
020152007,55.0,0.0,124.0,50.0,116.0,10.0,355.0
020152008,54.0,0.0,98.0,45.0,114.0,6.0,317.0
020152009,58.0,0.0,79.0,31.0,47.0,6.0,221.0
020152010,58.0,0.0,108.0,52.0,134.0,12.0,364.0
020152011,58.0,0.0,124.0,51.0,72.0,6.0,311.0
020152012,63.0,0.0,116.0,41.0,102.0,15.0,337.0
020152101,66.0,0.0,91.0,54.0,116.0,20.0,347.0
020152102,39.0,0.0,112.0,53.0,153.0,23.0,380.0
