Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020031105,263.0,53.0,316.0,3_11_5
020031106,273.0,142.0,415.0,3_11_6
020031107,379.0,58.0,437.0,3_11_7
020031108,269.0,15.0,284.0,3_11_8
020031201,347.0,3.0,350.0,3_12_1
020031202,376.0,52.0,428.0,3_12_2
020031203,253.0,57.0,310.0,3_12_3
020031204,176.0,73.0,249.0,3_12_4
020031205,489.0,2.0,491.0,3_12_5
020031206,44.0,22.0,66.0,3_12_6
020031207,425.0,41.0,466.0,3_12_7
020031208,237.0,54.0,291.0,3_12_8
020031209,211.0,3.0,214.0,3_12_9
020031210,265.0,98.0,363.0,3_12_10
020031301,237.0,68.0,305.0,3_13_1
020031302,270.0,86.0,356.0,3_13_2
020031303,351.0,42.0,393.0,3_13_3
020031304,141.0,67.0,208.0,3_13_4
020031305,302.0,27.0,329.0,3_13_5
020031306,314.0,9.0,323.0,3_13_6
020031307,239.0,12.0,251.0,3_13_7
020031308,194.0,47.0,241.0,3_13_8
020031309,341.0,28.0,369.0,3_13_9
020031310,170.0,145.0,315.0,3_13_10
020031311,262.0,5.0,267.0,3_13_11
020031401,232.0,114.0,346.0,3_14_1
020031402,360.0,58.0,418.0,3_14_2
020031403,449.0,5.0,454.0,3_14_3
020031404,261.0,38.0,299.0,3_14_4
020031405,266.0,99.0,365.0,3_14_5
020031406,492.0,22.0,514.0,3_14_6
020031407,245.0,14.0,259.0,3_14_7
020031408,274.0,42.0,316.0,3_14_8
020031409,20.0,23.0,43.0,3_14_9
020031410,272.0,41.0,313.0,3_14_10
020031501,280.0,2.0,282.0,3_15_1
020031502,386.0,13.0,399.0,3_15_2
020031503,230.0,41.0,271.0,3_15_3
020031504,322.0,12.0,334.0,3_15_4
020031505,335.0,47.0,382.0,3_15_5
020031506,284.0,78.0,362.0,3_15_6
020031507,505.0,95.0,600.0,3_15_7
020031508,613.0,4.0,617.0,3_15_8
020031509,113.0,3.0,116.0,3_15_9
020031601,309.0,66.0,375.0,3_16_1
020031602,441.0,63.0,504.0,3_16_2
020031603,298.0,90.0,388.0,3_16_3
020031604,175.0,3.0,178.0,3_16_4
020031605,171.0,96.0,267.0,3_16_5
020031606,227.0,48.0,275.0,3_16_6
020031607,209.0,103.0,312.0,3_16_7
020031608,253.0,86.0,339.0,3_16_8
020031609,460.0,47.0,507.0,3_16_9
020031701,217.0,50.0,267.0,3_17_1
020031702,228.0,97.0,325.0,3_17_2
020031703,165.0,43.0,208.0,3_17_3
020031704,178.0,154.0,332.0,3_17_4
020031705,216.0,108.0,324.0,3_17_5
020031706,291.0,36.0,327.0,3_17_6
020031707,330.0,14.0,344.0,3_17_7
020031708,214.0,169.0,383.0,3_17_8
020031709,197.0,84.0,281.0,3_17_9
020031801,170.0,86.0,256.0,3_18_1
020031802,258.0,44.0,302.0,3_18_2
020031803,185.0,4.0,189.0,3_18_3
020031804,367.0,10.0,377.0,3_18_4
020031805,155.0,16.0,171.0,3_18_5
020031806,197.0,58.0,255.0,3_18_6
020031807,257.0,18.0,275.0,3_18_7
020031808,244.0,10.0,254.0,3_18_8
020031809,335.0,60.0,395.0,3_18_9
020031810,187.0,21.0,208.0,3_18_10
020031811,238.0,11.0,249.0,3_18_11
020031901,512.0,4.0,516.0,3_19_1
020031902,137.0,15.0,152.0,3_19_2
020031903,279.0,31.0,310.0,3_19_3
020031904,257.0,38.0,295.0,3_19_4
020031905,230.0,114.0,344.0,3_19_5
020031906,322.0,14.0,336.0,3_19_6
020031907,306.0,107.0,413.0,3_19_7
020031908,425.0,74.0,499.0,3_19_8
020031909,270.0,34.0,304.0,3_19_9
020031910,185.0,51.0,236.0,3_19_10
020032001,218.0,100.0,318.0,3_20_1
020032002,405.0,39.0,444.0,3_20_2
020032003,291.0,24.0,315.0,3_20_3
020032004,287.0,3.0,290.0,3_20_4
020032005,210.0,22.0,232.0,3_20_5
020032006,147.0,42.0,189.0,3_20_6
020032007,335.0,14.0,349.0,3_20_7
020032008,246.0,134.0,380.0,3_20_8
020032009,403.0,55.0,458.0,3_20_9
020032010,260.0,27.0,287.0,3_20_10
020032011,231.0,8.0,239.0,3_20_11
020032101,373.0,3.0,376.0,3_21_1
020032102,390.0,7.0,397.0,3_21_2
020032103,291.0,17.0,308.0,3_21_3
020032104,300.0,47.0,347.0,3_21_4
020032105,150.0,69.0,219.0,3_21_5
020032106,328.0,59.0,387.0,3_21_6
020032107,169.0,30.0,199.0,3_21_7
020032108,294.0,20.0,314.0,3_21_8
020032109,187.0,1.0,188.0,3_21_9
020032110,369.0,47.0,416.0,3_21_10
020032201,295.0,47.0,342.0,3_22_1
020032202,237.0,57.0,294.0,3_22_2
020032203,118.0,63.0,181.0,3_22_3
020032204,234.0,12.0,246.0,3_22_4
020032205,336.0,23.0,359.0,3_22_5
020032206,238.0,64.0,302.0,3_22_6
020032207,269.0,61.0,330.0,3_22_7
020032208,350.0,25.0,375.0,3_22_8
020032209,315.0,58.0,373.0,3_22_9
020032301,248.0,82.0,330.0,3_23_1
020032302,335.0,12.0,347.0,3_23_2
020032303,322.0,45.0,367.0,3_23_3
020032304,150.0,41.0,191.0,3_23_4
020032305,270.0,21.0,291.0,3_23_5
020032306,203.0,39.0,242.0,3_23_6
020032307,231.0,43.0,274.0,3_23_7
020032308,295.0,41.0,336.0,3_23_8
020032309,300.0,42.0,342.0,3_23_9
020032310,342.0,55.0,397.0,3_23_10
020032401,291.0,12.0,303.0,3_24_1
020032402,281.0,55.0,336.0,3_24_2
020032403,272.0,4.0,276.0,3_24_3
020032404,270.0,41.0,311.0,3_24_4
020032405,222.0,3.0,225.0,3_24_5
020032406,318.0,57.0,375.0,3_24_6
020032407,297.0,0.0,297.0,3_24_7
020032408,287.0,33.0,320.0,3_24_8
020032409,164.0,21.0,185.0,3_24_9
020032501,497.0,13.0,510.0,3_25_1
020032502,257.0,38.0,295.0,3_25_2
020032503,157.0,50.0,207.0,3_25_3
020032504,242.0,30.0,272.0,3_25_4
020032505,222.0,74.0,296.0,3_25_5
020032506,276.0,61.0,337.0,3_25_6
020032507,186.0,42.0,228.0,3_25_7
020032508,636.0,80.0,716.0,3_25_8
020032509,256.0,63.0,319.0,3_25_9
020032601,338.0,60.0,398.0,3_26_1
020032602,342.0,98.0,440.0,3_26_2
020032603,280.0,54.0,334.0,3_26_3
020032604,224.0,3.0,227.0,3_26_4
020032605,293.0,48.0,341.0,3_26_5
020032606,241.0,5.0,246.0,3_26_6
020032607,295.0,17.0,312.0,3_26_7
020032608,229.0,17.0,246.0,3_26_8
020032609,250.0,42.0,292.0,3_26_9
020032701,365.0,35.0,400.0,3_27_1
020032702,304.0,26.0,330.0,3_27_2
020032703,279.0,76.0,355.0,3_27_3
020032704,283.0,30.0,313.0,3_27_4
020032705,289.0,28.0,317.0,3_27_5
020032706,240.0,66.0,306.0,3_27_6
020032707,342.0,25.0,367.0,3_27_7
020040101,233.0,14.0,247.0,4_1_1
020040102,226.0,37.0,263.0,4_1_2
020040103,191.0,24.0,215.0,4_1_3
020040104,207.0,29.0,236.0,4_1_4
020040105,221.0,13.0,234.0,4_1_5
020040106,156.0,50.0,206.0,4_1_6
020040107,156.0,12.0,168.0,4_1_7
020040108,212.0,13.0,225.0,4_1_8
020040109,219.0,5.0,224.0,4_1_9
020040110,126.0,31.0,157.0,4_1_10
020040111,196.0,4.0,200.0,4_1_11
020040112,179.0,4.0,183.0,4_1_12
020040113,125.0,11.0,136.0,4_1_13
020040114,210.0,26.0,236.0,4_1_14
020040201,233.0,41.0,274.0,4_2_1
020040202,257.0,25.0,282.0,4_2_2
020040203,346.0,37.0,383.0,4_2_3
020040204,259.0,14.0,273.0,4_2_4
020040205,186.0,45.0,231.0,4_2_5
020040206,247.0,10.0,257.0,4_2_6
020040207,297.0,17.0,314.0,4_2_7
020040208,160.0,29.0,189.0,4_2_8
020040209,196.0,13.0,209.0,4_2_9
020040210,279.0,37.0,316.0,4_2_10
020040301,322.0,20.0,342.0,4_3_1
020040302,280.0,17.0,297.0,4_3_2
020040303,214.0,7.0,221.0,4_3_3
020040304,265.0,33.0,298.0,4_3_4
020040305,353.0,8.0,361.0,4_3_5
020040306,284.0,12.0,296.0,4_3_6
020040307,209.0,20.0,229.0,4_3_7
020040308,250.0,25.0,275.0,4_3_8
020040309,182.0,1.0,183.0,4_3_9
020040310,276.0,17.0,293.0,4_3_10
020040311,290.0,17.0,307.0,4_3_11
020040312,299.0,42.0,341.0,4_3_12
020040313,173.0,24.0,197.0,4_3_13
020040401,232.0,4.0,236.0,4_4_1
020040402,293.0,2.0,295.0,4_4_2
020040403,317.0,3.0,320.0,4_4_3
020040404,323.0,7.0,330.0,4_4_4
020040405,347.0,19.0,366.0,4_4_5
020040406,268.0,18.0,286.0,4_4_6
020040407,315.0,14.0,329.0,4_4_7
020040408,252.0,36.0,288.0,4_4_8
020040409,265.0,20.0,285.0,4_4_9
020040410,250.0,23.0,273.0,4_4_10
020040411,309.0,35.0,344.0,4_4_11
020040501,360.0,9.0,369.0,4_5_1
020040502,202.0,58.0,260.0,4_5_2
020040503,330.0,1.0,331.0,4_5_3
020040504,237.0,42.0,279.0,4_5_4
020040505,198.0,5.0,203.0,4_5_5
020040506,340.0,9.0,349.0,4_5_6
020040507,234.0,17.0,251.0,4_5_7
020040508,236.0,11.0,247.0,4_5_8
020040509,564.0,70.0,634.0,4_5_9
020040510,326.0,71.0,397.0,4_5_10
020040511,299.0,41.0,340.0,4_5_11
020040601,409.0,22.0,431.0,4_6_1
020040602,308.0,12.0,320.0,4_6_2
020040603,247.0,38.0,285.0,4_6_3
020040604,303.0,17.0,320.0,4_6_4
020040605,257.0,18.0,275.0,4_6_5
020040606,373.0,2.0,375.0,4_6_6
020040607,274.0,36.0,310.0,4_6_7
020040608,264.0,53.0,317.0,4_6_8
020040609,273.0,1.0,274.0,4_6_9
020040610,211.0,4.0,215.0,4_6_10
020040611,244.0,2.0,246.0,4_6_11
020040701,277.0,27.0,304.0,4_7_1
020040702,289.0,1.0,290.0,4_7_2
020040703,215.0,87.0,302.0,4_7_3
020040704,789.0,25.0,814.0,4_7_4
020040705,247.0,50.0,297.0,4_7_5
020040706,276.0,11.0,287.0,4_7_6
020040707,307.0,7.0,314.0,4_7_7
020040708,282.0,4.0,286.0,4_7_8
020040709,246.0,27.0,273.0,4_7_9
020040710,287.0,0.0,287.0,4_7_10
020040711,179.0,33.0,212.0,4_7_11
020040712,208.0,64.0,272.0,4_7_12
020040801,302.0,2.0,304.0,4_8_1
020040802,304.0,7.0,311.0,4_8_2
020040803,234.0,6.0,240.0,4_8_3
020040804,258.0,35.0,293.0,4_8_4
020040805,268.0,0.0,268.0,4_8_5
020040806,220.0,54.0,274.0,4_8_6
020040807,744.0,93.0,837.0,4_8_7
020040808,78.0,19.0,97.0,4_8_8
020040809,294.0,56.0,350.0,4_8_9
020040810,212.0,26.0,238.0,4_8_10
020040811,261.0,20.0,281.0,4_8_11
020040901,393.0,70.0,463.0,4_9_1
020040902,224.0,30.0,254.0,4_9_2
020040903,181.0,5.0,186.0,4_9_3
020040904,130.0,46.0,176.0,4_9_4
020040905,184.0,5.0,189.0,4_9_5
020040906,257.0,22.0,279.0,4_9_6
020040907,231.0,32.0,263.0,4_9_7
020041001,22.0,1.0,23.0,4_10_1
020041002,443.0,218.0,661.0,4_10_2
020041003,393.0,114.0,507.0,4_10_3
020041004,92.0,32.0,124.0,4_10_4
020041005,426.0,93.0,519.0,4_10_5
020041006,277.0,29.0,306.0,4_10_6
020041007,224.0,49.0,273.0,4_10_7
020041008,393.0,99.0,492.0,4_10_8
020041009,507.0,117.0,624.0,4_10_9
020041101,267.0,26.0,293.0,4_11_1
020041102,326.0,1.0,327.0,4_11_2
020041103,279.0,3.0,282.0,4_11_3
020041104,250.0,0.0,250.0,4_11_4
020041105,176.0,9.0,185.0,4_11_5
020041106,291.0,29.0,320.0,4_11_6
020041107,267.0,61.0,328.0,4_11_7
020041108,296.0,17.0,313.0,4_11_8
020041109,237.0,32.0,269.0,4_11_9
020041201,158.0,71.0,229.0,4_12_1
020041202,126.0,90.0,216.0,4_12_2
020041203,244.0,58.0,302.0,4_12_3
020041204,319.0,52.0,371.0,4_12_4
020041205,203.0,28.0,231.0,4_12_5
020041206,207.0,42.0,249.0,4_12_6
020041207,144.0,13.0,157.0,4_12_7
020041208,157.0,27.0,184.0,4_12_8
020041209,309.0,3.0,312.0,4_12_9
020041210,259.0,25.0,284.0,4_12_10
020041211,253.0,7.0,260.0,4_12_11
020041212,221.0,2.0,223.0,4_12_12
020041301,357.0,0.0,357.0,4_13_1
020041302,215.0,25.0,240.0,4_13_2
020041303,213.0,40.0,253.0,4_13_3
020041304,225.0,1.0,226.0,4_13_4
020041305,391.0,0.0,391.0,4_13_5
020041306,163.0,41.0,204.0,4_13_6
020041307,400.0,0.0,400.0,4_13_7
020041308,144.0,30.0,174.0,4_13_8
020041309,170.0,0.0,170.0,4_13_9
020041310,202.0,0.0,202.0,4_13_10
020041311,445.0,3.0,448.0,4_13_11
020041401,145.0,127.0,272.0,4_14_1
020041402,186.0,73.0,259.0,4_14_2
020041403,205.0,72.0,277.0,4_14_3
020041404,487.0,8.0,495.0,4_14_4
020041405,300.0,2.0,302.0,4_14_5
020041406,208.0,0.0,208.0,4_14_6
020041407,256.0,33.0,289.0,4_14_7
020041408,338.0,72.0,410.0,4_14_8
020041409,244.0,18.0,262.0,4_14_9
020041501,256.0,3.0,259.0,4_15_1
020041502,615.0,9.0,624.0,4_15_2
020041503,483.0,0.0,483.0,4_15_3
020041504,293.0,4.0,297.0,4_15_4
020041505,215.0,4.0,219.0,4_15_5
020041506,227.0,13.0,240.0,4_15_6
020041507,272.0,2.0,274.0,4_15_7
020041508,270.0,0.0,270.0,4_15_8
020041509,246.0,8.0,254.0,4_15_9
020041510,186.0,2.0,188.0,4_15_10
020041601,259.0,0.0,259.0,4_16_1
020041602,881.0,48.0,929.0,4_16_2
020041603,433.0,5.0,438.0,4_16_3
020041604,251.0,16.0,267.0,4_16_4
020041605,394.0,18.0,412.0,4_16_5
020041606,211.0,37.0,248.0,4_16_6
020041607,151.0,5.0,156.0,4_16_7
020041608,154.0,65.0,219.0,4_16_8
020041609,406.0,25.0,431.0,4_16_9
020041610,263.0,17.0,280.0,4_16_10
020041701,220.0,1.0,221.0,4_17_1
020041702,232.0,8.0,240.0,4_17_2
020041703,187.0,30.0,217.0,4_17_3
020041704,295.0,1.0,296.0,4_17_4
020041705,328.0,0.0,328.0,4_17_5
020041706,279.0,1.0,280.0,4_17_6
020041707,241.0,14.0,255.0,4_17_7
020041708,271.0,87.0,358.0,4_17_8
020041709,336.0,1.0,337.0,4_17_9
020041710,233.0,47.0,280.0,4_17_10
020041801,5.0,40.0,45.0,4_18_1
020041901,207.0,48.0,255.0,4_19_1
020041902,240.0,19.0,259.0,4_19_2
020041903,251.0,72.0,323.0,4_19_3
020041904,223.0,152.0,375.0,4_19_4
020041905,258.0,28.0,286.0,4_19_5
020041906,189.0,174.0,363.0,4_19_6
020041907,85.0,202.0,287.0,4_19_7
020041908,275.0,184.0,459.0,4_19_8
020041909,180.0,159.0,339.0,4_19_9
020041910,195.0,68.0,263.0,4_19_10
020042001,249.0,75.0,324.0,4_20_1
020042002,234.0,23.0,257.0,4_20_2
020042003,161.0,120.0,281.0,4_20_3
020042004,125.0,96.0,221.0,4_20_4
020042005,136.0,75.0,211.0,4_20_5
020042006,206.0,99.0,305.0,4_20_6
020042007,244.0,46.0,290.0,4_20_7
020042008,163.0,80.0,243.0,4_20_8
020042009,244.0,49.0,293.0,4_20_9
020042010,295.0,69.0,364.0,4_20_10
020042011,242.0,81.0,323.0,4_20_11
020042012,458.0,13.0,471.0,4_20_12
020042101,138.0,107.0,245.0,4_21_1
020042102,102.0,161.0,263.0,4_21_2
020042103,166.0,41.0,207.0,4_21_3
020042104,127.0,122.0,249.0,4_21_4
020042105,162.0,76.0,238.0,4_21_5
020042106,230.0,40.0,270.0,4_21_6
020042107,236.0,39.0,275.0,4_21_7
020042108,221.0,73.0,294.0,4_21_8
020042109,122.0,131.0,253.0,4_21_9
020042110,100.0,134.0,234.0,4_21_10
020042111,176.0,105.0,281.0,4_21_11
020042112,157.0,33.0,190.0,4_21_12
020042201,239.0,18.0,257.0,4_22_1
020042202,267.0,30.0,297.0,4_22_2
020042203,349.0,3.0,352.0,4_22_3
020042204,494.0,1.0,495.0,4_22_4
020042205,261.0,23.0,284.0,4_22_5
020042206,254.0,1.0,255.0,4_22_6
020042207,391.0,11.0,402.0,4_22_7
020042208,326.0,37.0,363.0,4_22_8
020042209,219.0,40.0,259.0,4_22_9
020042210,223.0,6.0,229.0,4_22_10
020042211,256.0,34.0,290.0,4_22_11
020042212,173.0,45.0,218.0,4_22_12
020042301,245.0,27.0,272.0,4_23_1
020042302,240.0,48.0,288.0,4_23_2
020042303,214.0,44.0,258.0,4_23_3
020042304,254.0,11.0,265.0,4_23_4
020042305,216.0,11.0,227.0,4_23_5
020042306,286.0,18.0,304.0,4_23_6
020042307,213.0,20.0,233.0,4_23_7
020042308,272.0,16.0,288.0,4_23_8
020042309,128.0,22.0,150.0,4_23_9
020042310,212.0,47.0,259.0,4_23_10
020042311,96.0,110.0,206.0,4_23_11
020042312,199.0,33.0,232.0,4_23_12
020042401,323.0,92.0,415.0,4_24_1
020042402,446.0,92.0,538.0,4_24_2
020042403,328.0,45.0,373.0,4_24_3
020042404,450.0,84.0,534.0,4_24_4
020042405,329.0,77.0,406.0,4_24_5
020042406,333.0,44.0,377.0,4_24_6
020042501,505.0,183.0,688.0,4_25_1
020042502,493.0,131.0,624.0,4_25_2
020042503,849.0,244.0,1093.0,4_25_3
020042504,414.0,159.0,573.0,4_25_4
020042601,220.0,41.0,261.0,4_26_1
020042602,264.0,19.0,283.0,4_26_2
020042603,295.0,45.0,340.0,4_26_3
020050101,248.0,5.0,253.0,5_1_1
020050102,399.0,12.0,411.0,5_1_2
020050103,313.0,48.0,361.0,5_1_3
020050104,309.0,5.0,314.0,5_1_4
020050105,468.0,4.0,472.0,5_1_5
020050106,196.0,13.0,209.0,5_1_6
020050107,299.0,3.0,302.0,5_1_7
020050108,316.0,7.0,323.0,5_1_8
020050109,344.0,5.0,349.0,5_1_9
020050110,309.0,3.0,312.0,5_1_10
020050201,326.0,10.0,336.0,5_2_1
020050202,246.0,24.0,270.0,5_2_2
020050203,324.0,1.0,325.0,5_2_3
020050204,444.0,17.0,461.0,5_2_4
020050205,221.0,1.0,222.0,5_2_5
020050206,193.0,65.0,258.0,5_2_6
020050207,136.0,110.0,246.0,5_2_7
020050208,431.0,2.0,433.0,5_2_8
020050209,272.0,67.0,339.0,5_2_9
020050210,253.0,48.0,301.0,5_2_10
020050211,337.0,57.0,394.0,5_2_11
020050301,291.0,29.0,320.0,5_3_1
020050302,394.0,113.0,507.0,5_3_2
020050303,116.0,61.0,177.0,5_3_3
020050304,210.0,25.0,235.0,5_3_4
020050305,328.0,8.0,336.0,5_3_5
020050306,297.0,6.0,303.0,5_3_6
020050307,292.0,5.0,297.0,5_3_7
020050308,163.0,0.0,163.0,5_3_8
020050309,259.0,50.0,309.0,5_3_9
020050310,209.0,32.0,241.0,5_3_10
020050311,351.0,35.0,386.0,5_3_11
020050401,414.0,6.0,420.0,5_4_1
020050402,340.0,7.0,347.0,5_4_2
020050403,309.0,10.0,319.0,5_4_3
020050404,323.0,18.0,341.0,5_4_4
020050405,319.0,12.0,331.0,5_4_5
020050406,474.0,30.0,504.0,5_4_6
020050407,248.0,5.0,253.0,5_4_7
020050408,515.0,1.0,516.0,5_4_8
020050409,294.0,43.0,337.0,5_4_9
020050501,345.0,3.0,348.0,5_5_1
020050502,565.0,27.0,592.0,5_5_2
020050503,353.0,17.0,370.0,5_5_3
020050504,280.0,8.0,288.0,5_5_4
020050505,241.0,3.0,244.0,5_5_5
020050506,302.0,13.0,315.0,5_5_6
020050507,416.0,6.0,422.0,5_5_7
020050508,312.0,12.0,324.0,5_5_8
020050601,304.0,0.0,304.0,5_6_1
020050602,433.0,4.0,437.0,5_6_2
020050603,435.0,3.0,438.0,5_6_3
020050604,654.0,6.0,660.0,5_6_4
020050605,551.0,7.0,558.0,5_6_5
020050606,401.0,6.0,407.0,5_6_6
020050607,393.0,25.0,418.0,5_6_7
020050608,384.0,1.0,385.0,5_6_8
020050701,526.0,3.0,529.0,5_7_1
020050702,197.0,25.0,222.0,5_7_2
020050703,259.0,17.0,276.0,5_7_3
020050704,582.0,23.0,605.0,5_7_4
020050705,590.0,28.0,618.0,5_7_5
020050706,260.0,40.0,300.0,5_7_6
020050707,176.0,20.0,196.0,5_7_7
020050708,352.0,42.0,394.0,5_7_8
020050801,479.0,68.0,547.0,5_8_1
020050802,311.0,9.0,320.0,5_8_2
020050803,499.0,5.0,504.0,5_8_3
020050804,432.0,22.0,454.0,5_8_4
020050805,170.0,5.0,175.0,5_8_5
020050806,379.0,15.0,394.0,5_8_6
020050807,398.0,1.0,399.0,5_8_7
020050808,341.0,12.0,353.0,5_8_8
020050809,316.0,17.0,333.0,5_8_9
020050901,472.0,0.0,472.0,5_9_1
020050902,285.0,2.0,287.0,5_9_2
020050903,266.0,2.0,268.0,5_9_3
020050904,231.0,1.0,232.0,5_9_4
020050905,236.0,24.0,260.0,5_9_5
020050906,236.0,9.0,245.0,5_9_6
020050907,216.0,4.0,220.0,5_9_7
020050908,451.0,3.0,454.0,5_9_8
020050909,389.0,49.0,438.0,5_9_9
020050910,336.0,5.0,341.0,5_9_10
020051001,514.0,24.0,538.0,5_10_1
020051002,520.0,28.0,548.0,5_10_2
020051003,142.0,22.0,164.0,5_10_3
020051004,254.0,0.0,254.0,5_10_4
020051005,268.0,1.0,269.0,5_10_5
020051006,281.0,33.0,314.0,5_10_6
020051007,545.0,3.0,548.0,5_10_7
020051008,294.0,15.0,309.0,5_10_8
020051009,323.0,21.0,344.0,5_10_9
020051010,212.0,44.0,256.0,5_10_10
020051101,487.0,49.0,536.0,5_11_1
020051102,368.0,21.0,389.0,5_11_2
020051103,281.0,0.0,281.0,5_11_3
020051104,329.0,2.0,331.0,5_11_4
020051105,315.0,6.0,321.0,5_11_5
020051106,311.0,4.0,315.0,5_11_6
020051107,444.0,26.0,470.0,5_11_7
020051108,289.0,32.0,321.0,5_11_8
020051109,406.0,53.0,459.0,5_11_9
020051110,333.0,21.0,354.0,5_11_10
020051201,222.0,71.0,293.0,5_12_1
020051202,834.0,6.0,840.0,5_12_2
020051203,402.0,24.0,426.0,5_12_3
020051204,320.0,8.0,328.0,5_12_4
020051205,197.0,1.0,198.0,5_12_5
020051206,727.0,42.0,769.0,5_12_6
020051207,322.0,14.0,336.0,5_12_7
020051301,395.0,1.0,396.0,5_13_1
020051302,314.0,7.0,321.0,5_13_2
020051303,345.0,20.0,365.0,5_13_3
020051304,276.0,54.0,330.0,5_13_4
020051305,297.0,35.0,332.0,5_13_5
020051306,345.0,32.0,377.0,5_13_6
020051307,291.0,32.0,323.0,5_13_7
020051308,417.0,4.0,421.0,5_13_8
020051309,420.0,2.0,422.0,5_13_9
020051401,272.0,2.0,274.0,5_14_1
020051402,315.0,32.0,347.0,5_14_2
020051403,535.0,5.0,540.0,5_14_3
020051404,419.0,2.0,421.0,5_14_4
020051405,741.0,46.0,787.0,5_14_5
020051406,522.0,16.0,538.0,5_14_6
020051407,145.0,23.0,168.0,5_14_7
020051408,252.0,23.0,275.0,5_14_8
020051409,375.0,51.0,426.0,5_14_9
020051501,474.0,47.0,521.0,5_15_1
020051502,508.0,22.0,530.0,5_15_2
020051503,253.0,14.0,267.0,5_15_3
020051504,519.0,49.0,568.0,5_15_4
020051505,447.0,7.0,454.0,5_15_5
020051506,274.0,56.0,330.0,5_15_6
020051507,280.0,33.0,313.0,5_15_7
020051508,233.0,98.0,331.0,5_15_8
020051509,139.0,29.0,168.0,5_15_9
020051601,392.0,12.0,404.0,5_16_1
020051602,266.0,20.0,286.0,5_16_2
020051603,186.0,28.0,214.0,5_16_3
020051604,345.0,44.0,389.0,5_16_4
020051605,352.0,24.0,376.0,5_16_5
020051606,300.0,9.0,309.0,5_16_6
020051607,191.0,58.0,249.0,5_16_7
020051608,337.0,39.0,376.0,5_16_8
020051609,359.0,35.0,394.0,5_16_9
020051610,344.0,44.0,388.0,5_16_10
020051611,401.0,23.0,424.0,5_16_11
020051701,260.0,30.0,290.0,5_17_1
020051702,324.0,29.0,353.0,5_17_2
020051703,289.0,28.0,317.0,5_17_3
020051704,273.0,25.0,298.0,5_17_4
020051705,307.0,2.0,309.0,5_17_5
020051706,339.0,2.0,341.0,5_17_6
020051707,317.0,12.0,329.0,5_17_7
020051708,374.0,11.0,385.0,5_17_8
020051709,235.0,18.0,253.0,5_17_9
020051710,279.0,1.0,280.0,5_17_10
020051711,426.0,2.0,428.0,5_17_11
020051801,391.0,32.0,423.0,5_18_1
020051802,337.0,38.0,375.0,5_18_2
020051803,337.0,6.0,343.0,5_18_3
020051804,246.0,31.0,277.0,5_18_4
020051805,302.0,34.0,336.0,5_18_5
020051806,220.0,22.0,242.0,5_18_6
020051807,309.0,0.0,309.0,5_18_7
020051808,145.0,4.0,149.0,5_18_8
020051809,251.0,16.0,267.0,5_18_9
020051810,329.0,15.0,344.0,5_18_10
020051811,309.0,6.0,315.0,5_18_11
020051901,339.0,5.0,344.0,5_19_1
020051902,280.0,2.0,282.0,5_19_2
020051903,366.0,41.0,407.0,5_19_3
020051904,380.0,17.0,397.0,5_19_4
020051905,328.0,6.0,334.0,5_19_5
020051906,318.0,12.0,330.0,5_19_6
020051907,182.0,17.0,199.0,5_19_7
020051908,425.0,4.0,429.0,5_19_8
020051909,287.0,7.0,294.0,5_19_9
020051910,343.0,21.0,364.0,5_19_10
020051911,386.0,51.0,437.0,5_19_11
020052001,287.0,29.0,316.0,5_20_1
020052002,396.0,14.0,410.0,5_20_2
020052003,310.0,75.0,385.0,5_20_3
020052004,300.0,14.0,314.0,5_20_4
020052005,305.0,27.0,332.0,5_20_5
020052006,269.0,19.0,288.0,5_20_6
020052007,294.0,21.0,315.0,5_20_7
020052008,291.0,26.0,317.0,5_20_8
020052009,309.0,17.0,326.0,5_20_9
020052010,345.0,35.0,380.0,5_20_10
020052011,282.0,20.0,302.0,5_20_11
020052012,243.0,54.0,297.0,5_20_12
020052101,366.0,12.0,378.0,5_21_1
020052102,302.0,48.0,350.0,5_21_2
020052103,195.0,14.0,209.0,5_21_3
020052104,333.0,37.0,370.0,5_21_4
020052105,265.0,1.0,266.0,5_21_5
020052106,324.0,13.0,337.0,5_21_6
020052107,232.0,25.0,257.0,5_21_7
020052108,212.0,36.0,248.0,5_21_8
020052109,219.0,17.0,236.0,5_21_9
020052110,247.0,6.0,253.0,5_21_10
020052111,236.0,9.0,245.0,5_21_11
020052201,260.0,0.0,260.0,5_22_1
020052202,266.0,26.0,292.0,5_22_2
020052203,245.0,15.0,260.0,5_22_3
020052204,355.0,7.0,362.0,5_22_4
020052205,246.0,31.0,277.0,5_22_5
020052206,288.0,44.0,332.0,5_22_6
020052207,700.0,24.0,724.0,5_22_7
020052208,220.0,26.0,246.0,5_22_8
020052209,268.0,10.0,278.0,5_22_9
020052210,263.0,33.0,296.0,5_22_10
020052211,284.0,36.0,320.0,5_22_11
020052212,306.0,20.0,326.0,5_22_12
020052213,198.0,20.0,218.0,5_22_13
020060101,228.0,14.0,242.0,6_1_1
020060102,343.0,2.0,345.0,6_1_2
020060103,345.0,2.0,347.0,6_1_3
020060104,267.0,7.0,274.0,6_1_4
020060105,408.0,23.0,431.0,6_1_5
020060106,345.0,3.0,348.0,6_1_6
020060107,255.0,5.0,260.0,6_1_7
