Código,COUNTER,1,2,Total,CO_FRAC_RA
020010101,336.0,20.0,8.0,28.0,1_1_1
020010201,478.0,51.0,21.0,72.0,1_2_1
020010202,401.0,34.0,21.0,55.0,1_2_2
020010203,337.0,38.0,11.0,49.0,1_2_3
020010204,602.0,79.0,19.0,98.0,1_2_4
020010205,307.0,41.0,12.0,53.0,1_2_5
020010206,732.0,71.0,24.0,95.0,1_2_6
020010207,438.0,56.0,17.0,73.0,1_2_7
020010208,486.0,49.0,23.0,72.0,1_2_8
020010209,511.0,52.0,27.0,79.0,1_2_9
020010210,327.0,43.0,6.0,49.0,1_2_10
020010211,611.0,71.0,13.0,84.0,1_2_11
020010212,1225.0,109.0,42.0,151.0,1_2_12
020010213,476.0,58.0,16.0,74.0,1_2_13
020010214,688.0,61.0,22.0,83.0,1_2_14
020010215,757.0,78.0,24.0,102.0,1_2_15
020010216,1128.0,80.0,38.0,118.0,1_2_16
020010217,712.0,67.0,26.0,93.0,1_2_17
020010218,480.0,58.0,17.0,75.0,1_2_18
020010219,547.0,44.0,29.0,73.0,1_2_19
020010301,594.0,35.0,40.0,75.0,1_3_1
020010302,564.0,41.0,28.0,69.0,1_3_2
020010303,659.0,47.0,35.0,82.0,1_3_3
020010304,428.0,45.0,28.0,73.0,1_3_4
020010305,1283.0,91.0,65.0,156.0,1_3_5
020010306,1027.0,67.0,53.0,120.0,1_3_6
020010307,403.0,29.0,14.0,43.0,1_3_7
020010308,797.0,73.0,27.0,100.0,1_3_8
020010309,1092.0,62.0,48.0,110.0,1_3_9
020010310,745.0,43.0,48.0,91.0,1_3_10
020010311,745.0,31.0,44.0,75.0,1_3_11
020010312,561.0,29.0,37.0,66.0,1_3_12
020010313,381.0,21.0,16.0,37.0,1_3_13
020010314,471.0,26.0,34.0,60.0,1_3_14
020010315,843.0,52.0,86.0,138.0,1_3_15
020010316,726.0,43.0,44.0,87.0,1_3_16
020010317,571.0,45.0,17.0,62.0,1_3_17
020010318,783.0,39.0,49.0,88.0,1_3_18
020010319,1017.0,86.0,56.0,142.0,1_3_19
020010320,397.0,26.0,28.0,54.0,1_3_20
020010321,300.0,9.0,31.0,40.0,1_3_21
020010322,670.0,47.0,60.0,107.0,1_3_22
020010323,837.0,75.0,75.0,150.0,1_3_23
020010401,1472.0,64.0,3.0,67.0,1_4_1
020010402,1299.0,49.0,3.0,52.0,1_4_2
020010403,1189.0,61.0,6.0,67.0,1_4_3
020010404,1545.0,51.0,6.0,57.0,1_4_4
020010405,1069.0,46.0,3.0,49.0,1_4_5
020010406,1271.0,48.0,1.0,49.0,1_4_6
020010407,1393.0,61.0,7.0,68.0,1_4_7
020010408,1128.0,61.0,2.0,63.0,1_4_8
020010501,631.0,25.0,6.0,31.0,1_5_1
020010502,533.0,26.0,0.0,26.0,1_5_2
020010503,928.0,26.0,3.0,29.0,1_5_3
020010504,1200.0,52.0,3.0,55.0,1_5_4
020010505,637.0,39.0,2.0,41.0,1_5_5
020010506,888.0,25.0,0.0,25.0,1_5_6
020010507,597.0,21.0,2.0,23.0,1_5_7
020010601,948.0,35.0,4.0,39.0,1_6_1
020010602,641.0,18.0,0.0,18.0,1_6_2
020010603,1160.0,34.0,1.0,35.0,1_6_3
020010604,789.0,22.0,1.0,23.0,1_6_4
020010605,332.0,11.0,0.0,11.0,1_6_5
