Código,COUNTER,1,2,Total,CO_FRAC_RA
020010606,569.0,23.0,6.0,29.0,1_6_6
020010607,498.0,21.0,1.0,22.0,1_6_7
020010608,730.0,18.0,4.0,22.0,1_6_8
020010609,1046.0,42.0,1.0,43.0,1_6_9
020010610,415.0,11.0,1.0,12.0,1_6_10
020010701,669.0,22.0,2.0,24.0,1_7_1
020010702,770.0,9.0,3.0,12.0,1_7_2
020010703,261.0,8.0,0.0,8.0,1_7_3
020010704,560.0,12.0,0.0,12.0,1_7_4
020010705,403.0,4.0,0.0,4.0,1_7_5
020010706,300.0,10.0,4.0,14.0,1_7_6
020010707,592.0,10.0,2.0,12.0,1_7_7
020010708,597.0,15.0,0.0,15.0,1_7_8
020010709,330.0,9.0,0.0,9.0,1_7_9
020010710,384.0,9.0,2.0,11.0,1_7_10
020010711,213.0,6.0,0.0,6.0,1_7_11
020010712,507.0,8.0,1.0,9.0,1_7_12
020010713,1425.0,13.0,1.0,14.0,1_7_13
020010801,352.0,12.0,0.0,12.0,1_8_1
020010802,1324.0,39.0,0.0,39.0,1_8_2
020010803,1104.0,38.0,5.0,43.0,1_8_3
020010804,592.0,8.0,3.0,11.0,1_8_4
020010805,589.0,12.0,0.0,12.0,1_8_5
020010806,1144.0,40.0,2.0,42.0,1_8_6
020010807,1334.0,49.0,2.0,51.0,1_8_7
020010808,446.0,22.0,1.0,23.0,1_8_8
020010809,691.0,24.0,1.0,25.0,1_8_9
020010810,445.0,8.0,0.0,8.0,1_8_10
020010901,292.0,8.0,2.0,10.0,1_9_1
020010902,388.0,11.0,1.0,12.0,1_9_2
020010903,449.0,17.0,10.0,27.0,1_9_3
020010904,256.0,6.0,0.0,6.0,1_9_4
020010905,409.0,15.0,0.0,15.0,1_9_5
020010906,354.0,10.0,2.0,12.0,1_9_6
020010907,588.0,27.0,2.0,29.0,1_9_7
020010908,261.0,10.0,0.0,10.0,1_9_8
020010909,628.0,23.0,3.0,26.0,1_9_9
020010910,369.0,5.0,0.0,5.0,1_9_10
020010911,422.0,6.0,0.0,6.0,1_9_11
020010912,378.0,10.0,0.0,10.0,1_9_12
020010913,590.0,33.0,0.0,33.0,1_9_13
020010914,253.0,15.0,1.0,16.0,1_9_14
020010915,238.0,11.0,2.0,13.0,1_9_15
020010916,997.0,35.0,6.0,41.0,1_9_16
020010917,360.0,14.0,2.0,16.0,1_9_17
020010918,395.0,9.0,2.0,11.0,1_9_18
020010919,119.0,4.0,1.0,5.0,1_9_19
020011001,318.0,11.0,1.0,12.0,1_10_1
020011002,504.0,5.0,2.0,7.0,1_10_2
020011003,980.0,31.0,2.0,33.0,1_10_3
020011004,427.0,19.0,0.0,19.0,1_10_4
020011005,507.0,17.0,1.0,18.0,1_10_5
020011006,541.0,22.0,2.0,24.0,1_10_6
020011007,312.0,19.0,0.0,19.0,1_10_7
020011008,279.0,8.0,0.0,8.0,1_10_8
020011009,341.0,16.0,1.0,17.0,1_10_9
020011010,680.0,43.0,3.0,46.0,1_10_10
020011011,612.0,15.0,4.0,19.0,1_10_11
020011012,584.0,17.0,3.0,20.0,1_10_12
020011013,678.0,23.0,1.0,24.0,1_10_13
020011014,218.0,8.0,1.0,9.0,1_10_14
020011101,512.0,21.0,3.0,24.0,1_11_1
020011102,428.0,8.0,2.0,10.0,1_11_2
020011103,354.0,20.0,2.0,22.0,1_11_3
020011104,667.0,32.0,5.0,37.0,1_11_4
020011105,529.0,25.0,5.0,30.0,1_11_5
020011106,447.0,12.0,1.0,13.0,1_11_6
020011107,525.0,10.0,0.0,10.0,1_11_7
020011108,817.0,20.0,5.0,25.0,1_11_8
020011109,455.0,16.0,1.0,17.0,1_11_9
020011110,621.0,22.0,4.0,26.0,1_11_10
020011111,266.0,18.0,0.0,18.0,1_11_11
020011112,933.0,29.0,6.0,35.0,1_11_12
020011113,666.0,21.0,2.0,23.0,1_11_13
020011114,774.0,57.0,6.0,63.0,1_11_14
020011201,341.0,11.0,2.0,13.0,1_12_1
020011202,229.0,5.0,13.0,18.0,1_12_2
020011203,723.0,15.0,9.0,24.0,1_12_3
020011204,393.0,21.0,4.0,25.0,1_12_4
020011205,600.0,33.0,3.0,36.0,1_12_5
020011206,472.0,17.0,5.0,22.0,1_12_6
020011207,786.0,39.0,7.0,46.0,1_12_7
020011208,329.0,7.0,1.0,8.0,1_12_8
020011209,1356.0,46.0,10.0,56.0,1_12_9
020011210,296.0,10.0,1.0,11.0,1_12_10
020011211,528.0,8.0,2.0,10.0,1_12_11
020011212,499.0,11.0,4.0,15.0,1_12_12
020011301,586.0,14.0,2.0,16.0,1_13_1
020011302,128.0,2.0,0.0,2.0,1_13_2
020011303,45.0,1.0,0.0,1.0,1_13_3
020011304,725.0,41.0,6.0,47.0,1_13_4
020011305,295.0,4.0,0.0,4.0,1_13_5
020011306,192.0,4.0,1.0,5.0,1_13_6
020011307,505.0,8.0,0.0,8.0,1_13_7
020011308,308.0,7.0,1.0,8.0,1_13_8
020011309,426.0,8.0,0.0,8.0,1_13_9
020011310,614.0,15.0,2.0,17.0,1_13_10
020011311,292.0,6.0,0.0,6.0,1_13_11
020011312,292.0,7.0,0.0,7.0,1_13_12
020011313,358.0,2.0,0.0,2.0,1_13_13
020011314,1960.0,144.0,58.0,202.0,1_13_14
020011315,0.0,0.0,0.0,0.0,1_13_15
020011401,622.0,25.0,4.0,29.0,1_14_1
020011402,1096.0,76.0,27.0,103.0,1_14_2
020011403,383.0,13.0,5.0,18.0,1_14_3
020011404,70.0,3.0,0.0,3.0,1_14_4
020011405,484.0,30.0,10.0,40.0,1_14_5
020011406,698.0,48.0,6.0,54.0,1_14_6
020011407,476.0,18.0,1.0,19.0,1_14_7
020011408,411.0,24.0,5.0,29.0,1_14_8
020011409,521.0,23.0,3.0,26.0,1_14_9
020011410,431.0,18.0,2.0,20.0,1_14_10
020011411,522.0,25.0,3.0,28.0,1_14_11
020011412,511.0,26.0,6.0,32.0,1_14_12
020011501,697.0,30.0,5.0,35.0,1_15_1
020011502,662.0,24.0,6.0,30.0,1_15_2
020011503,418.0,18.0,5.0,23.0,1_15_3
020011504,759.0,37.0,0.0,37.0,1_15_4
020011505,464.0,24.0,8.0,32.0,1_15_5
020011506,804.0,25.0,15.0,40.0,1_15_6
020011507,577.0,24.0,3.0,27.0,1_15_7
020011508,818.0,66.0,10.0,76.0,1_15_8
020011509,872.0,49.0,5.0,54.0,1_15_9
020011510,625.0,29.0,3.0,32.0,1_15_10
020011511,554.0,28.0,6.0,34.0,1_15_11
020011601,538.0,15.0,6.0,21.0,1_16_1
020011602,326.0,16.0,2.0,18.0,1_16_2
020011603,945.0,30.0,4.0,34.0,1_16_3
020011604,573.0,10.0,2.0,12.0,1_16_4
020011605,477.0,16.0,4.0,20.0,1_16_5
020011606,559.0,40.0,5.0,45.0,1_16_6
020011607,1074.0,57.0,9.0,66.0,1_16_7
020011608,546.0,33.0,6.0,39.0,1_16_8
020011609,382.0,15.0,0.0,15.0,1_16_9
020011610,591.0,10.0,0.0,10.0,1_16_10
020011611,464.0,20.0,6.0,26.0,1_16_11
020011612,364.0,18.0,6.0,24.0,1_16_12
020011701,888.0,41.0,9.0,50.0,1_17_1
020011702,657.0,26.0,3.0,29.0,1_17_2
020011703,720.0,42.0,8.0,50.0,1_17_3
020011704,586.0,30.0,1.0,31.0,1_17_4
020011705,577.0,20.0,17.0,37.0,1_17_5
020011706,759.0,41.0,7.0,48.0,1_17_6
020011707,615.0,15.0,0.0,15.0,1_17_7
020011708,597.0,34.0,6.0,40.0,1_17_8
020011709,439.0,13.0,2.0,15.0,1_17_9
020011710,574.0,27.0,6.0,33.0,1_17_10
020011711,474.0,15.0,4.0,19.0,1_17_11
020011801,842.0,27.0,9.0,36.0,1_18_1
020011802,735.0,33.0,3.0,36.0,1_18_2
020011803,642.0,20.0,4.0,24.0,1_18_3
020011804,730.0,33.0,4.0,37.0,1_18_4
020011805,698.0,21.0,4.0,25.0,1_18_5
020011806,1180.0,75.0,7.0,82.0,1_18_6
020011807,734.0,27.0,5.0,32.0,1_18_7
020011808,674.0,26.0,4.0,30.0,1_18_8
020011809,650.0,33.0,3.0,36.0,1_18_9
020011901,892.0,37.0,6.0,43.0,1_19_1
020011902,1066.0,37.0,7.0,44.0,1_19_2
020011903,374.0,25.0,0.0,25.0,1_19_3
020011904,720.0,39.0,5.0,44.0,1_19_4
020011905,643.0,33.0,1.0,34.0,1_19_5
020011906,431.0,19.0,1.0,20.0,1_19_6
020011907,746.0,26.0,5.0,31.0,1_19_7
020011908,450.0,23.0,5.0,28.0,1_19_8
020011909,507.0,21.0,2.0,23.0,1_19_9
020012001,627.0,25.0,3.0,28.0,1_20_1
020012002,738.0,36.0,3.0,39.0,1_20_2
020012003,567.0,27.0,1.0,28.0,1_20_3
020012004,769.0,39.0,1.0,40.0,1_20_4
020012005,700.0,29.0,3.0,32.0,1_20_5
020012006,785.0,30.0,7.0,37.0,1_20_6
020012007,481.0,23.0,4.0,27.0,1_20_7
020012008,563.0,29.0,4.0,33.0,1_20_8
020012009,572.0,35.0,2.0,37.0,1_20_9
020012010,860.0,64.0,18.0,82.0,1_20_10
020012101,627.0,27.0,13.0,40.0,1_21_1
020012102,640.0,30.0,5.0,35.0,1_21_2
020012103,400.0,20.0,2.0,22.0,1_21_3
020012104,1160.0,69.0,15.0,84.0,1_21_4
020012105,724.0,44.0,8.0,52.0,1_21_5
020012106,602.0,36.0,8.0,44.0,1_21_6
020012107,785.0,38.0,6.0,44.0,1_21_7
020012108,553.0,22.0,3.0,25.0,1_21_8
020012109,709.0,28.0,1.0,29.0,1_21_9
020012110,816.0,32.0,7.0,39.0,1_21_10
020012201,567.0,21.0,6.0,27.0,1_22_1
020012202,810.0,34.0,2.0,36.0,1_22_2
020012203,817.0,46.0,7.0,53.0,1_22_3
020012204,446.0,31.0,4.0,35.0,1_22_4
020012205,447.0,14.0,0.0,14.0,1_22_5
020012206,578.0,27.0,5.0,32.0,1_22_6
020012207,562.0,17.0,6.0,23.0,1_22_7
020012208,533.0,25.0,6.0,31.0,1_22_8
020012209,880.0,49.0,15.0,64.0,1_22_9
020012210,1231.0,62.0,7.0,69.0,1_22_10
020012301,607.0,25.0,0.0,25.0,1_23_1
020012302,525.0,20.0,1.0,21.0,1_23_2
020012303,790.0,23.0,0.0,23.0,1_23_3
020012304,370.0,30.0,3.0,33.0,1_23_4
020012305,501.0,27.0,4.0,31.0,1_23_5
020012306,484.0,13.0,0.0,13.0,1_23_6
020012307,568.0,36.0,4.0,40.0,1_23_7
020012308,681.0,34.0,0.0,34.0,1_23_8
020012309,898.0,31.0,1.0,32.0,1_23_9
020012310,362.0,24.0,3.0,27.0,1_23_10
020012401,248.0,10.0,3.0,13.0,1_24_1
020012402,287.0,9.0,0.0,9.0,1_24_2
020012403,534.0,21.0,10.0,31.0,1_24_3
020012404,328.0,17.0,0.0,17.0,1_24_4
020012405,345.0,4.0,0.0,4.0,1_24_5
020012406,720.0,24.0,0.0,24.0,1_24_6
020012407,566.0,30.0,2.0,32.0,1_24_7
020012408,428.0,12.0,3.0,15.0,1_24_8
020012501,424.0,25.0,2.0,27.0,1_25_1
020012502,388.0,11.0,3.0,14.0,1_25_2
020012503,513.0,21.0,3.0,24.0,1_25_3
020012504,912.0,44.0,3.0,47.0,1_25_4
020012505,477.0,12.0,1.0,13.0,1_25_5
020012506,752.0,50.0,6.0,56.0,1_25_6
020012507,418.0,9.0,1.0,10.0,1_25_7
020012508,612.0,24.0,0.0,24.0,1_25_8
020012509,658.0,39.0,8.0,47.0,1_25_9
020012510,542.0,29.0,0.0,29.0,1_25_10
020012511,557.0,26.0,2.0,28.0,1_25_11
020012601,639.0,23.0,5.0,28.0,1_26_1
020012602,677.0,25.0,9.0,34.0,1_26_2
020012603,440.0,19.0,2.0,21.0,1_26_3
020012604,553.0,26.0,2.0,28.0,1_26_4
020012605,683.0,37.0,6.0,43.0,1_26_5
020012606,465.0,16.0,1.0,17.0,1_26_6
020012607,313.0,17.0,2.0,19.0,1_26_7
020012608,449.0,14.0,0.0,14.0,1_26_8
020012609,739.0,32.0,1.0,33.0,1_26_9
020012701,596.0,39.0,5.0,44.0,1_27_1
020012702,780.0,39.0,13.0,52.0,1_27_2
020012703,888.0,32.0,38.0,70.0,1_27_3
020012704,802.0,42.0,10.0,52.0,1_27_4
020012705,641.0,37.0,8.0,45.0,1_27_5
020012706,929.0,64.0,18.0,82.0,1_27_6
020012707,866.0,58.0,18.0,76.0,1_27_7
020012708,694.0,34.0,10.0,44.0,1_27_8
020012709,723.0,34.0,12.0,46.0,1_27_9
020012710,513.0,25.0,1.0,26.0,1_27_10
020012801,512.0,26.0,2.0,28.0,1_28_1
020012802,753.0,37.0,18.0,55.0,1_28_2
020012803,677.0,48.0,8.0,56.0,1_28_3
020012804,661.0,41.0,4.0,45.0,1_28_4
020012805,805.0,42.0,7.0,49.0,1_28_5
020012806,632.0,27.0,14.0,41.0,1_28_6
020012807,727.0,33.0,6.0,39.0,1_28_7
020012808,306.0,21.0,3.0,24.0,1_28_8
020012809,741.0,51.0,15.0,66.0,1_28_9
020012810,909.0,65.0,15.0,80.0,1_28_10
020012811,610.0,28.0,28.0,56.0,1_28_11
020012812,573.0,39.0,8.0,47.0,1_28_12
020012813,652.0,42.0,8.0,50.0,1_28_13
020012901,1123.0,85.0,14.0,99.0,1_29_1
020012902,624.0,44.0,18.0,62.0,1_29_2
020012903,817.0,62.0,18.0,80.0,1_29_3
020012904,723.0,37.0,3.0,40.0,1_29_4
020012905,804.0,85.0,11.0,96.0,1_29_5
020012906,990.0,77.0,2.0,79.0,1_29_6
020012907,916.0,53.0,7.0,60.0,1_29_7
020012908,648.0,43.0,9.0,52.0,1_29_8
020012909,923.0,50.0,19.0,69.0,1_29_9
020020101,105.0,8.0,1.0,9.0,2_1_1
020020102,518.0,63.0,10.0,73.0,2_1_2
020020201,587.0,26.0,3.0,29.0,2_2_1
020020202,878.0,29.0,5.0,34.0,2_2_2
020020203,572.0,16.0,2.0,18.0,2_2_3
020020204,540.0,19.0,2.0,21.0,2_2_4
020020205,600.0,24.0,0.0,24.0,2_2_5
020020206,472.0,21.0,1.0,22.0,2_2_6
020020207,301.0,13.0,2.0,15.0,2_2_7
020020208,697.0,37.0,2.0,39.0,2_2_8
020020301,895.0,41.0,2.0,43.0,2_3_1
020020302,745.0,26.0,1.0,27.0,2_3_2
020020303,266.0,5.0,1.0,6.0,2_3_3
020020304,369.0,5.0,2.0,7.0,2_3_4
020020305,714.0,24.0,3.0,27.0,2_3_5
020020306,678.0,18.0,0.0,18.0,2_3_6
020020307,885.0,47.0,4.0,51.0,2_3_7
020020308,606.0,24.0,3.0,27.0,2_3_8
020020401,823.0,21.0,2.0,23.0,2_4_1
020020402,233.0,7.0,1.0,8.0,2_4_2
020020403,365.0,13.0,1.0,14.0,2_4_3
020020404,499.0,10.0,0.0,10.0,2_4_4
020020405,702.0,26.0,3.0,29.0,2_4_5
020020406,539.0,19.0,2.0,21.0,2_4_6
020020407,617.0,14.0,0.0,14.0,2_4_7
020020408,997.0,38.0,2.0,40.0,2_4_8
020020409,812.0,39.0,3.0,42.0,2_4_9
020020410,884.0,27.0,5.0,32.0,2_4_10
020020501,710.0,21.0,4.0,25.0,2_5_1
020020502,887.0,49.0,1.0,50.0,2_5_2
020020503,661.0,19.0,4.0,23.0,2_5_3
020020504,544.0,12.0,0.0,12.0,2_5_4
020020505,777.0,22.0,1.0,23.0,2_5_5
020020506,811.0,34.0,0.0,34.0,2_5_6
020020507,828.0,24.0,2.0,26.0,2_5_7
020020508,700.0,26.0,0.0,26.0,2_5_8
020020509,616.0,23.0,2.0,25.0,2_5_9
020020601,432.0,25.0,2.0,27.0,2_6_1
020020602,1346.0,48.0,4.0,52.0,2_6_2
020020603,638.0,21.0,4.0,25.0,2_6_3
020020604,835.0,34.0,1.0,35.0,2_6_4
020020605,488.0,26.0,1.0,27.0,2_6_5
020020606,680.0,27.0,0.0,27.0,2_6_6
020020607,392.0,10.0,2.0,12.0,2_6_7
020020608,569.0,27.0,2.0,29.0,2_6_8
020020609,501.0,19.0,3.0,22.0,2_6_9
020020610,515.0,19.0,2.0,21.0,2_6_10
020020701,1419.0,55.0,1.0,56.0,2_7_1
020020702,1073.0,32.0,1.0,33.0,2_7_2
020020703,922.0,39.0,2.0,41.0,2_7_3
020020704,672.0,19.0,1.0,20.0,2_7_4
020020705,524.0,17.0,0.0,17.0,2_7_5
020020706,590.0,17.0,2.0,19.0,2_7_6
020020707,933.0,32.0,3.0,35.0,2_7_7
020020708,435.0,9.0,2.0,11.0,2_7_8
020020709,530.0,9.0,2.0,11.0,2_7_9
020020801,713.0,24.0,2.0,26.0,2_8_1
020020802,702.0,32.0,0.0,32.0,2_8_2
020020803,900.0,28.0,1.0,29.0,2_8_3
020020804,1105.0,28.0,4.0,32.0,2_8_4
020020805,907.0,41.0,2.0,43.0,2_8_5
020020806,1247.0,37.0,3.0,40.0,2_8_6
020020807,1495.0,47.0,3.0,50.0,2_8_7
020020808,848.0,42.0,0.0,42.0,2_8_8
020020901,765.0,15.0,0.0,15.0,2_9_1
020020902,681.0,22.0,0.0,22.0,2_9_2
020020903,865.0,30.0,1.0,31.0,2_9_3
020020904,1021.0,46.0,4.0,50.0,2_9_4
020020905,1028.0,35.0,2.0,37.0,2_9_5
020020906,900.0,33.0,1.0,34.0,2_9_6
020020907,949.0,36.0,2.0,38.0,2_9_7
020020908,1377.0,56.0,0.0,56.0,2_9_8
020020909,1150.0,50.0,1.0,51.0,2_9_9
020021001,975.0,27.0,1.0,28.0,2_10_1
020021002,637.0,18.0,0.0,18.0,2_10_2
020021003,441.0,22.0,1.0,23.0,2_10_3
020021004,785.0,25.0,0.0,25.0,2_10_4
020021005,812.0,27.0,1.0,28.0,2_10_5
020021006,695.0,20.0,0.0,20.0,2_10_6
020021007,868.0,35.0,4.0,39.0,2_10_7
020021008,856.0,40.0,1.0,41.0,2_10_8
020021009,611.0,13.0,0.0,13.0,2_10_9
020021101,1196.0,46.0,6.0,52.0,2_11_1
020021102,564.0,33.0,0.0,33.0,2_11_2
020021103,1643.0,58.0,5.0,63.0,2_11_3
020021104,1393.0,53.0,2.0,55.0,2_11_4
020021105,309.0,7.0,1.0,8.0,2_11_5
020021106,527.0,14.0,1.0,15.0,2_11_6
020021201,970.0,32.0,1.0,33.0,2_12_1
020021202,818.0,31.0,1.0,32.0,2_12_2
020021203,943.0,35.0,0.0,35.0,2_12_3
020021204,1250.0,20.0,1.0,21.0,2_12_4
020021205,1242.0,53.0,4.0,57.0,2_12_5
020021206,983.0,29.0,1.0,30.0,2_12_6
020021301,1196.0,36.0,3.0,39.0,2_13_1
020021302,890.0,37.0,3.0,40.0,2_13_2
020021303,973.0,34.0,1.0,35.0,2_13_3
020021304,1112.0,32.0,0.0,32.0,2_13_4
020021305,1371.0,68.0,2.0,70.0,2_13_5
020021306,1052.0,31.0,2.0,33.0,2_13_6
020021307,1211.0,41.0,3.0,44.0,2_13_7
020021401,760.0,29.0,2.0,31.0,2_14_1
020021402,575.0,13.0,0.0,13.0,2_14_2
020021403,355.0,15.0,1.0,16.0,2_14_3
020021404,743.0,34.0,1.0,35.0,2_14_4
020021405,1124.0,49.0,0.0,49.0,2_14_5
020021406,1031.0,34.0,1.0,35.0,2_14_6
020021407,648.0,15.0,1.0,16.0,2_14_7
020021408,695.0,24.0,1.0,25.0,2_14_8
020021409,1475.0,54.0,9.0,63.0,2_14_9
020021410,1006.0,42.0,5.0,47.0,2_14_10
020021501,601.0,30.0,0.0,30.0,2_15_1
020021502,798.0,37.0,2.0,39.0,2_15_2
020021503,1393.0,55.0,1.0,56.0,2_15_3
020021504,628.0,24.0,0.0,24.0,2_15_4
020021505,555.0,20.0,1.0,21.0,2_15_5
020021506,605.0,23.0,0.0,23.0,2_15_6
020021507,756.0,22.0,0.0,22.0,2_15_7
020021508,708.0,18.0,0.0,18.0,2_15_8
020021601,807.0,19.0,1.0,20.0,2_16_1
020021602,712.0,35.0,1.0,36.0,2_16_2
020021603,698.0,34.0,0.0,34.0,2_16_3
020021604,534.0,20.0,1.0,21.0,2_16_4
020021605,822.0,42.0,3.0,45.0,2_16_5
020021606,675.0,24.0,0.0,24.0,2_16_6
020021607,770.0,26.0,0.0,26.0,2_16_7
020021608,425.0,20.0,0.0,20.0,2_16_8
020021701,1217.0,38.0,0.0,38.0,2_17_1
020021702,838.0,50.0,0.0,50.0,2_17_2
020021703,931.0,40.0,0.0,40.0,2_17_3
020021704,339.0,12.0,1.0,13.0,2_17_4
020021705,532.0,20.0,1.0,21.0,2_17_5
020021706,986.0,40.0,9.0,49.0,2_17_6
020021707,1121.0,23.0,3.0,26.0,2_17_7
020021708,913.0,26.0,4.0,30.0,2_17_8
020021709,741.0,36.0,0.0,36.0,2_17_9
020021801,891.0,30.0,2.0,32.0,2_18_1
020021802,1188.0,46.0,1.0,47.0,2_18_2
020021803,787.0,16.0,0.0,16.0,2_18_3
020021804,1185.0,27.0,4.0,31.0,2_18_4
020021805,549.0,28.0,0.0,28.0,2_18_5
020021806,744.0,20.0,3.0,23.0,2_18_6
020021807,595.0,20.0,1.0,21.0,2_18_7
020021808,912.0,23.0,5.0,28.0,2_18_8
020021901,854.0,26.0,3.0,29.0,2_19_1
020021902,675.0,25.0,2.0,27.0,2_19_2
020021903,717.0,39.0,0.0,39.0,2_19_3
020021904,997.0,29.0,1.0,30.0,2_19_4
020021905,790.0,29.0,0.0,29.0,2_19_5
020021906,745.0,15.0,0.0,15.0,2_19_6
020021907,682.0,39.0,0.0,39.0,2_19_7
020021908,831.0,23.0,0.0,23.0,2_19_8
020022001,959.0,35.0,0.0,35.0,2_20_1
020022002,822.0,21.0,2.0,23.0,2_20_2
020022003,751.0,17.0,1.0,18.0,2_20_3
020022004,841.0,27.0,2.0,29.0,2_20_4
020022005,504.0,21.0,2.0,23.0,2_20_5
020022006,637.0,21.0,5.0,26.0,2_20_6
020022007,569.0,14.0,0.0,14.0,2_20_7
020022008,671.0,30.0,0.0,30.0,2_20_8
020022101,1058.0,42.0,0.0,42.0,2_21_1
020022102,959.0,37.0,3.0,40.0,2_21_2
020022103,775.0,16.0,1.0,17.0,2_21_3
020022104,1046.0,42.0,3.0,45.0,2_21_4
020022105,984.0,37.0,0.0,37.0,2_21_5
020022106,926.0,33.0,2.0,35.0,2_21_6
020022201,699.0,19.0,2.0,21.0,2_22_1
020022202,534.0,16.0,0.0,16.0,2_22_2
020022203,439.0,14.0,1.0,15.0,2_22_3
020022204,959.0,28.0,1.0,29.0,2_22_4
020022205,1093.0,49.0,2.0,51.0,2_22_5
020022206,1016.0,14.0,3.0,17.0,2_22_6
020022301,1079.0,34.0,2.0,36.0,2_23_1
020022302,1025.0,44.0,2.0,46.0,2_23_2
020022303,928.0,25.0,2.0,27.0,2_23_3
020022304,849.0,30.0,2.0,32.0,2_23_4
020022305,650.0,23.0,0.0,23.0,2_23_5
020022306,406.0,18.0,0.0,18.0,2_23_6
020022307,456.0,11.0,0.0,11.0,2_23_7
020022308,445.0,16.0,3.0,19.0,2_23_8
020022309,943.0,34.0,0.0,34.0,2_23_9
020022401,1012.0,41.0,2.0,43.0,2_24_1
020022402,787.0,41.0,1.0,42.0,2_24_2
020022403,795.0,35.0,0.0,35.0,2_24_3
020022404,1050.0,27.0,3.0,30.0,2_24_4
020022405,922.0,31.0,2.0,33.0,2_24_5
020022406,968.0,27.0,1.0,28.0,2_24_6
020022501,570.0,15.0,0.0,15.0,2_25_1
020022502,647.0,21.0,0.0,21.0,2_25_2
020022503,743.0,40.0,25.0,65.0,2_25_3
020022504,757.0,21.0,1.0,22.0,2_25_4
020022505,930.0,19.0,2.0,21.0,2_25_5
020022506,759.0,29.0,7.0,36.0,2_25_6
020022507,768.0,24.0,3.0,27.0,2_25_7
020022508,1222.0,41.0,14.0,55.0,2_25_8
020022509,775.0,19.0,1.0,20.0,2_25_9
020022510,605.0,27.0,0.0,27.0,2_25_10
020022511,1037.0,30.0,7.0,37.0,2_25_11
020030101,1026.0,41.0,2.0,43.0,3_1_1
020030102,903.0,27.0,6.0,33.0,3_1_2
020030103,960.0,42.0,1.0,43.0,3_1_3
020030104,490.0,12.0,3.0,15.0,3_1_4
020030105,909.0,68.0,3.0,71.0,3_1_5
020030106,715.0,44.0,6.0,50.0,3_1_6
