Código,Sí,No,Total,CO_FRAC_RA
020011207,226.0,121.0,347.0,1_12_7
020011208,102.0,27.0,129.0,1_12_8
020011209,258.0,84.0,342.0,1_12_9
020011210,65.0,36.0,101.0,1_12_10
020011211,105.0,31.0,136.0,1_12_11
020011212,71.0,19.0,90.0,1_12_12
020011301,146.0,17.0,163.0,1_13_1
020011302,46.0,14.0,60.0,1_13_2
020011303,20.0,0.0,20.0,1_13_3
020011304,129.0,7.0,136.0,1_13_4
020011305,111.0,43.0,154.0,1_13_5
020011306,77.0,23.0,100.0,1_13_6
020011307,218.0,23.0,241.0,1_13_7
020011308,124.0,32.0,156.0,1_13_8
020011309,141.0,16.0,157.0,1_13_9
020011310,227.0,8.0,235.0,1_13_10
020011311,126.0,16.0,142.0,1_13_11
020011312,125.0,13.0,138.0,1_13_12
020011313,85.0,19.0,104.0,1_13_13
020011314,82.0,577.0,659.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,158.0,89.0,247.0,1_14_1
020011402,146.0,80.0,226.0,1_14_2
020011403,135.0,61.0,196.0,1_14_3
020011404,37.0,2.0,39.0,1_14_4
020011405,108.0,118.0,226.0,1_14_5
020011406,207.0,86.0,293.0,1_14_6
020011407,182.0,33.0,215.0,1_14_7
020011408,72.0,124.0,196.0,1_14_8
020011409,184.0,62.0,246.0,1_14_9
020011410,196.0,24.0,220.0,1_14_10
020011411,190.0,63.0,253.0,1_14_11
020011412,168.0,49.0,217.0,1_14_12
020011501,116.0,54.0,170.0,1_15_1
020011502,161.0,88.0,249.0,1_15_2
020011503,175.0,25.0,200.0,1_15_3
020011504,302.0,33.0,335.0,1_15_4
020011505,131.0,56.0,187.0,1_15_5
020011506,171.0,134.0,305.0,1_15_6
020011507,199.0,71.0,270.0,1_15_7
020011508,204.0,106.0,310.0,1_15_8
020011509,226.0,126.0,352.0,1_15_9
020011510,222.0,69.0,291.0,1_15_10
020011511,162.0,119.0,281.0,1_15_11
020011601,102.0,87.0,189.0,1_16_1
020011602,123.0,41.0,164.0,1_16_2
020011603,267.0,146.0,413.0,1_16_3
020011604,262.0,86.0,348.0,1_16_4
020011605,132.0,76.0,208.0,1_16_5
020011606,200.0,28.0,228.0,1_16_6
020011607,354.0,121.0,475.0,1_16_7
020011608,182.0,38.0,220.0,1_16_8
020011609,141.0,19.0,160.0,1_16_9
020011610,254.0,37.0,291.0,1_16_10
020011611,176.0,41.0,217.0,1_16_11
020011612,124.0,15.0,139.0,1_16_12
020011701,284.0,105.0,389.0,1_17_1
020011702,196.0,107.0,303.0,1_17_2
020011703,235.0,89.0,324.0,1_17_3
020011704,246.0,41.0,287.0,1_17_4
020011705,236.0,20.0,256.0,1_17_5
020011706,240.0,127.0,367.0,1_17_6
020011707,220.0,103.0,323.0,1_17_7
020011708,167.0,100.0,267.0,1_17_8
020011709,172.0,67.0,239.0,1_17_9
020011710,214.0,65.0,279.0,1_17_10
020011711,200.0,18.0,218.0,1_17_11
020011801,275.0,167.0,442.0,1_18_1
020011802,275.0,82.0,357.0,1_18_2
020011803,195.0,97.0,292.0,1_18_3
020011804,264.0,77.0,341.0,1_18_4
020011805,222.0,52.0,274.0,1_18_5
020011806,363.0,144.0,507.0,1_18_6
020011807,234.0,83.0,317.0,1_18_7
020011808,245.0,56.0,301.0,1_18_8
020011809,246.0,57.0,303.0,1_18_9
020011901,279.0,145.0,424.0,1_19_1
020011902,398.0,100.0,498.0,1_19_2
020011903,117.0,28.0,145.0,1_19_3
020011904,252.0,51.0,303.0,1_19_4
020011905,208.0,63.0,271.0,1_19_5
020011906,103.0,113.0,216.0,1_19_6
020011907,207.0,118.0,325.0,1_19_7
020011908,50.0,110.0,160.0,1_19_8
020011909,197.0,26.0,223.0,1_19_9
020012001,194.0,65.0,259.0,1_20_1
020012002,245.0,53.0,298.0,1_20_2
020012003,186.0,52.0,238.0,1_20_3
020012004,279.0,64.0,343.0,1_20_4
020012005,304.0,48.0,352.0,1_20_5
020012006,265.0,71.0,336.0,1_20_6
020012007,179.0,28.0,207.0,1_20_7
020012008,108.0,110.0,218.0,1_20_8
020012009,173.0,74.0,247.0,1_20_9
020012010,202.0,114.0,316.0,1_20_10
020012101,176.0,90.0,266.0,1_21_1
020012102,172.0,94.0,266.0,1_21_2
020012103,98.0,72.0,170.0,1_21_3
020012104,300.0,200.0,500.0,1_21_4
020012105,186.0,89.0,275.0,1_21_5
020012106,177.0,87.0,264.0,1_21_6
020012107,218.0,114.0,332.0,1_21_7
020012108,182.0,58.0,240.0,1_21_8
020012109,268.0,60.0,328.0,1_21_9
020012110,239.0,137.0,376.0,1_21_10
020012201,226.0,35.0,261.0,1_22_1
020012202,363.0,59.0,422.0,1_22_2
020012203,275.0,96.0,371.0,1_22_3
020012204,161.0,46.0,207.0,1_22_4
020012205,166.0,20.0,186.0,1_22_5
020012206,211.0,48.0,259.0,1_22_6
020012207,197.0,71.0,268.0,1_22_7
020012208,186.0,90.0,276.0,1_22_8
020012209,273.0,104.0,377.0,1_22_9
020012210,436.0,146.0,582.0,1_22_10
020012301,246.0,26.0,272.0,1_23_1
020012302,196.0,23.0,219.0,1_23_2
020012303,307.0,66.0,373.0,1_23_3
020012304,87.0,44.0,131.0,1_23_4
020012305,170.0,58.0,228.0,1_23_5
020012306,190.0,24.0,214.0,1_23_6
020012307,201.0,64.0,265.0,1_23_7
020012308,241.0,74.0,315.0,1_23_8
020012309,359.0,46.0,405.0,1_23_9
020012310,99.0,51.0,150.0,1_23_10
020012401,90.0,23.0,113.0,1_24_1
020012402,120.0,25.0,145.0,1_24_2
020012403,164.0,36.0,200.0,1_24_3
020012404,126.0,42.0,168.0,1_24_4
020012405,147.0,21.0,168.0,1_24_5
020012406,327.0,38.0,365.0,1_24_6
020012407,215.0,46.0,261.0,1_24_7
020012408,146.0,38.0,184.0,1_24_8
020012501,150.0,25.0,175.0,1_25_1
020012502,157.0,22.0,179.0,1_25_2
020012503,199.0,22.0,221.0,1_25_3
020012504,353.0,77.0,430.0,1_25_4
020012505,207.0,19.0,226.0,1_25_5
020012506,240.0,111.0,351.0,1_25_6
020012507,151.0,42.0,193.0,1_25_7
020012508,265.0,56.0,321.0,1_25_8
020012509,123.0,89.0,212.0,1_25_9
020012510,199.0,28.0,227.0,1_25_10
020012511,213.0,39.0,252.0,1_25_11
020012601,156.0,93.0,249.0,1_26_1
020012602,225.0,95.0,320.0,1_26_2
020012603,198.0,19.0,217.0,1_26_3
020012604,225.0,19.0,244.0,1_26_4
020012605,239.0,71.0,310.0,1_26_5
020012606,194.0,20.0,214.0,1_26_6
020012607,126.0,16.0,142.0,1_26_7
020012608,197.0,16.0,213.0,1_26_8
020012609,268.0,48.0,316.0,1_26_9
020012701,200.0,34.0,234.0,1_27_1
020012702,115.0,160.0,275.0,1_27_2
020012703,200.0,93.0,293.0,1_27_3
020012704,151.0,174.0,325.0,1_27_4
020012705,206.0,82.0,288.0,1_27_5
020012706,136.0,223.0,359.0,1_27_6
020012707,119.0,146.0,265.0,1_27_7
020012708,195.0,60.0,255.0,1_27_8
020012709,182.0,142.0,324.0,1_27_9
020012710,203.0,45.0,248.0,1_27_10
020012801,174.0,46.0,220.0,1_28_1
020012802,163.0,182.0,345.0,1_28_2
020012803,138.0,103.0,241.0,1_28_3
020012804,200.0,80.0,280.0,1_28_4
020012805,266.0,88.0,354.0,1_28_5
020012806,142.0,139.0,281.0,1_28_6
020012807,233.0,81.0,314.0,1_28_7
020012808,79.0,31.0,110.0,1_28_8
020012809,162.0,100.0,262.0,1_28_9
020012810,208.0,145.0,353.0,1_28_10
020012811,74.0,175.0,249.0,1_28_11
020012812,137.0,98.0,235.0,1_28_12
020012813,140.0,121.0,261.0,1_28_13
020012901,288.0,132.0,420.0,1_29_1
020012902,98.0,168.0,266.0,1_29_2
020012903,148.0,128.0,276.0,1_29_3
020012904,189.0,83.0,272.0,1_29_4
020012905,178.0,128.0,306.0,1_29_5
020012906,260.0,63.0,323.0,1_29_6
020012907,258.0,70.0,328.0,1_29_7
020012908,149.0,111.0,260.0,1_29_8
020012909,271.0,105.0,376.0,1_29_9
020020101,12.0,9.0,21.0,2_1_1
020020102,71.0,62.0,133.0,2_1_2
020020201,237.0,15.0,252.0,2_2_1
020020202,354.0,8.0,362.0,2_2_2
020020203,225.0,4.0,229.0,2_2_3
020020204,201.0,4.0,205.0,2_2_4
020020205,248.0,11.0,259.0,2_2_5
020020206,188.0,9.0,197.0,2_2_6
020020207,132.0,9.0,141.0,2_2_7
020020208,271.0,11.0,282.0,2_2_8
020020301,385.0,14.0,399.0,2_3_1
020020302,381.0,30.0,411.0,2_3_2
020020303,99.0,1.0,100.0,2_3_3
020020304,181.0,7.0,188.0,2_3_4
020020305,281.0,12.0,293.0,2_3_5
020020306,261.0,13.0,274.0,2_3_6
020020307,346.0,7.0,353.0,2_3_7
020020308,229.0,5.0,234.0,2_3_8
020020401,302.0,11.0,313.0,2_4_1
020020402,104.0,5.0,109.0,2_4_2
020020403,147.0,2.0,149.0,2_4_3
020020404,193.0,2.0,195.0,2_4_4
020020405,277.0,7.0,284.0,2_4_5
020020406,209.0,3.0,212.0,2_4_6
020020407,231.0,4.0,235.0,2_4_7
020020408,416.0,11.0,427.0,2_4_8
020020409,324.0,9.0,333.0,2_4_9
020020410,421.0,9.0,430.0,2_4_10
020020501,246.0,10.0,256.0,2_5_1
020020502,316.0,3.0,319.0,2_5_2
020020503,250.0,5.0,255.0,2_5_3
020020504,220.0,6.0,226.0,2_5_4
020020505,315.0,9.0,324.0,2_5_5
020020506,309.0,19.0,328.0,2_5_6
020020507,314.0,15.0,329.0,2_5_7
020020508,305.0,23.0,328.0,2_5_8
020020509,264.0,7.0,271.0,2_5_9
020020601,166.0,9.0,175.0,2_6_1
020020602,555.0,17.0,572.0,2_6_2
020020603,221.0,5.0,226.0,2_6_3
020020604,324.0,9.0,333.0,2_6_4
020020605,178.0,5.0,183.0,2_6_5
020020606,284.0,36.0,320.0,2_6_6
020020607,167.0,8.0,175.0,2_6_7
020020608,190.0,29.0,219.0,2_6_8
