Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRAC_RA
020021502,384.0,1.0,0.0,3.0,388.0,2_15_2
020021503,629.0,0.0,0.0,1.0,630.0,2_15_3
020021504,309.0,0.0,0.0,1.0,310.0,2_15_4
020021505,266.0,1.0,0.0,0.0,267.0,2_15_5
020021506,284.0,0.0,0.0,2.0,286.0,2_15_6
020021507,366.0,1.0,0.0,0.0,367.0,2_15_7
020021508,337.0,2.0,0.0,0.0,339.0,2_15_8
020021601,311.0,5.0,0.0,5.0,321.0,2_16_1
020021602,306.0,1.0,0.0,1.0,308.0,2_16_2
020021603,302.0,3.0,0.0,0.0,305.0,2_16_3
020021604,283.0,0.0,0.0,1.0,284.0,2_16_4
020021605,385.0,0.0,1.0,0.0,386.0,2_16_5
020021606,317.0,1.0,0.0,0.0,318.0,2_16_6
020021607,357.0,1.0,0.0,1.0,359.0,2_16_7
020021608,194.0,0.0,0.0,2.0,196.0,2_16_8
020021701,568.0,0.0,0.0,3.0,571.0,2_17_1
020021702,378.0,1.0,0.0,3.0,382.0,2_17_2
020021703,452.0,2.0,0.0,0.0,454.0,2_17_3
020021704,165.0,0.0,0.0,3.0,168.0,2_17_4
020021705,287.0,2.0,0.0,1.0,290.0,2_17_5
020021706,441.0,1.0,0.0,10.0,452.0,2_17_6
020021707,574.0,1.0,0.0,2.0,577.0,2_17_7
020021708,483.0,1.0,0.0,5.0,489.0,2_17_8
020021709,365.0,1.0,0.0,0.0,366.0,2_17_9
020021801,458.0,0.0,0.0,0.0,458.0,2_18_1
020021802,548.0,0.0,0.0,0.0,548.0,2_18_2
020021803,396.0,1.0,0.0,0.0,397.0,2_18_3
020021804,262.0,2.0,0.0,3.0,267.0,2_18_4
020021805,250.0,0.0,0.0,0.0,250.0,2_18_5
020021806,363.0,4.0,0.0,0.0,367.0,2_18_6
020021807,275.0,1.0,0.0,1.0,277.0,2_18_7
020021808,333.0,1.0,0.0,1.0,335.0,2_18_8
020021901,389.0,0.0,0.0,4.0,393.0,2_19_1
020021902,305.0,1.0,0.0,0.0,306.0,2_19_2
020021903,304.0,1.0,0.0,0.0,305.0,2_19_3
020021904,496.0,3.0,0.0,0.0,499.0,2_19_4
020021905,360.0,0.0,0.0,1.0,361.0,2_19_5
020021906,422.0,2.0,0.0,0.0,424.0,2_19_6
020021907,324.0,0.0,0.0,0.0,324.0,2_19_7
020021908,376.0,1.0,0.0,0.0,377.0,2_19_8
020022001,454.0,3.0,0.0,0.0,457.0,2_20_1
020022002,443.0,1.0,0.0,5.0,449.0,2_20_2
020022003,369.0,2.0,0.0,1.0,372.0,2_20_3
020022004,384.0,2.0,0.0,0.0,386.0,2_20_4
020022005,251.0,0.0,0.0,0.0,251.0,2_20_5
020022006,353.0,1.0,0.0,2.0,356.0,2_20_6
020022007,242.0,2.0,0.0,3.0,247.0,2_20_7
020022008,295.0,1.0,0.0,5.0,301.0,2_20_8
020022101,461.0,0.0,0.0,1.0,462.0,2_21_1
020022102,442.0,0.0,0.0,0.0,442.0,2_21_2
020022103,369.0,0.0,0.0,0.0,369.0,2_21_3
020022104,529.0,0.0,0.0,1.0,530.0,2_21_4
020022105,502.0,5.0,0.0,1.0,508.0,2_21_5
020022106,478.0,2.0,0.0,1.0,481.0,2_21_6
020022201,368.0,0.0,0.0,0.0,368.0,2_22_1
020022202,271.0,10.0,0.0,0.0,281.0,2_22_2
020022203,203.0,2.0,0.0,0.0,205.0,2_22_3
020022204,481.0,0.0,0.0,2.0,483.0,2_22_4
020022205,525.0,3.0,0.0,0.0,528.0,2_22_5
020022206,552.0,3.0,0.0,2.0,557.0,2_22_6
020022301,433.0,1.0,0.0,1.0,435.0,2_23_1
020022302,512.0,0.0,0.0,0.0,512.0,2_23_2
020022303,440.0,1.0,0.0,0.0,441.0,2_23_3
020022304,378.0,1.0,0.0,2.0,381.0,2_23_4
020022305,295.0,0.0,0.0,0.0,295.0,2_23_5
020022306,202.0,1.0,0.0,0.0,203.0,2_23_6
020022307,220.0,17.0,0.0,0.0,237.0,2_23_7
020022308,187.0,0.0,0.0,0.0,187.0,2_23_8
020022309,463.0,0.0,0.0,0.0,463.0,2_23_9
020022401,449.0,0.0,0.0,1.0,450.0,2_24_1
020022402,377.0,0.0,0.0,0.0,377.0,2_24_2
020022403,334.0,1.0,0.0,0.0,335.0,2_24_3
020022404,463.0,1.0,0.0,0.0,464.0,2_24_4
020022405,504.0,0.0,0.0,2.0,506.0,2_24_5
020022406,466.0,0.0,1.0,1.0,468.0,2_24_6
020022501,309.0,1.0,0.0,2.0,312.0,2_25_1
020022502,348.0,0.0,0.0,1.0,349.0,2_25_2
020022503,177.0,0.0,0.0,0.0,177.0,2_25_3
020022504,427.0,0.0,0.0,0.0,427.0,2_25_4
020022505,467.0,1.0,0.0,1.0,469.0,2_25_5
020022506,344.0,3.0,0.0,8.0,355.0,2_25_6
020022507,384.0,1.0,0.0,1.0,386.0,2_25_7
020022508,512.0,4.0,0.0,7.0,523.0,2_25_8
020022509,407.0,3.0,0.0,1.0,411.0,2_25_9
020022510,298.0,1.0,0.0,0.0,299.0,2_25_10
020022511,500.0,1.0,0.0,0.0,501.0,2_25_11
020030101,472.0,9.0,1.0,6.0,488.0,3_1_1
020030102,410.0,6.0,0.0,3.0,419.0,3_1_2
020030103,463.0,0.0,0.0,4.0,467.0,3_1_3
020030104,246.0,2.0,0.0,0.0,248.0,3_1_4
020030105,338.0,16.0,0.0,20.0,374.0,3_1_5
020030106,244.0,15.0,0.0,3.0,262.0,3_1_6
020030107,324.0,19.0,0.0,4.0,347.0,3_1_7
020030108,183.0,5.0,0.0,0.0,188.0,3_1_8
020030109,226.0,1.0,0.0,0.0,227.0,3_1_9
020030110,190.0,1.0,0.0,1.0,192.0,3_1_10
020030111,228.0,2.0,0.0,0.0,230.0,3_1_11
020030201,321.0,1.0,0.0,1.0,323.0,3_2_1
020030202,330.0,2.0,0.0,1.0,333.0,3_2_2
020030203,335.0,1.0,0.0,0.0,336.0,3_2_3
020030204,281.0,2.0,0.0,5.0,288.0,3_2_4
020030205,364.0,5.0,0.0,0.0,369.0,3_2_5
020030206,363.0,3.0,0.0,1.0,367.0,3_2_6
020030207,415.0,4.0,0.0,1.0,420.0,3_2_7
020030208,353.0,1.0,0.0,0.0,354.0,3_2_8
020030209,308.0,3.0,0.0,0.0,311.0,3_2_9
020030210,193.0,0.0,0.0,0.0,193.0,3_2_10
020030211,254.0,3.0,0.0,0.0,257.0,3_2_11
020030212,364.0,1.0,0.0,0.0,365.0,3_2_12
020030301,475.0,1.0,0.0,0.0,476.0,3_3_1
020030302,372.0,0.0,0.0,1.0,373.0,3_3_2
020030303,249.0,7.0,0.0,4.0,260.0,3_3_3
020030304,213.0,0.0,0.0,0.0,213.0,3_3_4
020030305,243.0,1.0,0.0,1.0,245.0,3_3_5
020030306,301.0,0.0,0.0,1.0,302.0,3_3_6
020030307,303.0,3.0,0.0,2.0,308.0,3_3_7
020030308,260.0,3.0,0.0,0.0,263.0,3_3_8
020030309,158.0,0.0,0.0,1.0,159.0,3_3_9
020030310,391.0,2.0,0.0,0.0,393.0,3_3_10
020030311,305.0,0.0,0.0,0.0,305.0,3_3_11
020030401,348.0,2.0,0.0,4.0,354.0,3_4_1
020030402,213.0,2.0,0.0,1.0,216.0,3_4_2
020030403,278.0,1.0,0.0,0.0,279.0,3_4_3
020030404,326.0,0.0,0.0,0.0,326.0,3_4_4
020030405,288.0,0.0,0.0,0.0,288.0,3_4_5
020030406,303.0,4.0,0.0,1.0,308.0,3_4_6
020030407,257.0,13.0,0.0,0.0,270.0,3_4_7
020030408,270.0,1.0,0.0,0.0,271.0,3_4_8
020030501,367.0,6.0,0.0,0.0,373.0,3_5_1
020030502,287.0,2.0,0.0,2.0,291.0,3_5_2
020030503,461.0,2.0,0.0,6.0,469.0,3_5_3
020030504,259.0,3.0,0.0,0.0,262.0,3_5_4
020030505,327.0,1.0,0.0,2.0,330.0,3_5_5
020030506,211.0,3.0,0.0,1.0,215.0,3_5_6
020030507,367.0,1.0,0.0,0.0,368.0,3_5_7
020030601,350.0,4.0,0.0,0.0,354.0,3_6_1
020030602,172.0,2.0,0.0,1.0,175.0,3_6_2
020030603,308.0,2.0,1.0,1.0,312.0,3_6_3
020030604,318.0,2.0,0.0,0.0,320.0,3_6_4
020030605,326.0,3.0,0.0,0.0,329.0,3_6_5
020030606,255.0,0.0,0.0,0.0,255.0,3_6_6
020030607,291.0,21.0,0.0,0.0,312.0,3_6_7
020030701,136.0,0.0,0.0,0.0,136.0,3_7_1
020030702,413.0,2.0,0.0,0.0,415.0,3_7_2
020030703,412.0,37.0,2.0,2.0,453.0,3_7_3
020030704,361.0,6.0,0.0,2.0,369.0,3_7_4
020030705,267.0,1.0,0.0,0.0,268.0,3_7_5
020030706,282.0,1.0,0.0,0.0,283.0,3_7_6
020030707,498.0,4.0,0.0,2.0,504.0,3_7_7
020030708,158.0,1.0,0.0,0.0,159.0,3_7_8
020030709,402.0,1.0,0.0,1.0,404.0,3_7_9
020030801,320.0,0.0,0.0,1.0,321.0,3_8_1
020030802,209.0,0.0,0.0,3.0,212.0,3_8_2
020030803,339.0,1.0,0.0,1.0,341.0,3_8_3
020030804,213.0,2.0,0.0,2.0,217.0,3_8_4
020030805,212.0,1.0,0.0,3.0,216.0,3_8_5
020030806,197.0,0.0,1.0,5.0,203.0,3_8_6
020030807,165.0,1.0,0.0,0.0,166.0,3_8_7
020030808,207.0,0.0,0.0,0.0,207.0,3_8_8
020030809,304.0,0.0,0.0,0.0,304.0,3_8_9
020030810,254.0,2.0,0.0,0.0,256.0,3_8_10
020030901,365.0,11.0,0.0,12.0,388.0,3_9_1
020030902,204.0,2.0,0.0,0.0,206.0,3_9_2
020030903,340.0,2.0,0.0,0.0,342.0,3_9_3
020030904,405.0,8.0,0.0,1.0,414.0,3_9_4
020030905,219.0,3.0,0.0,0.0,222.0,3_9_5
020030906,192.0,3.0,0.0,1.0,196.0,3_9_6
020030907,274.0,18.0,0.0,0.0,292.0,3_9_7
020030908,297.0,13.0,0.0,2.0,312.0,3_9_8
020030909,367.0,2.0,0.0,2.0,371.0,3_9_9
020030910,323.0,2.0,0.0,1.0,326.0,3_9_10
020031001,375.0,0.0,0.0,2.0,377.0,3_10_1
020031002,316.0,6.0,1.0,0.0,323.0,3_10_2
020031003,257.0,0.0,0.0,0.0,257.0,3_10_3
020031004,295.0,1.0,0.0,2.0,298.0,3_10_4
020031005,189.0,12.0,0.0,1.0,202.0,3_10_5
020031006,381.0,8.0,1.0,0.0,390.0,3_10_6
020031007,314.0,2.0,1.0,23.0,340.0,3_10_7
020031008,272.0,2.0,0.0,0.0,274.0,3_10_8
020031101,365.0,0.0,0.0,2.0,367.0,3_11_1
020031102,450.0,3.0,0.0,1.0,454.0,3_11_2
020031103,356.0,28.0,0.0,0.0,384.0,3_11_3
020031104,386.0,0.0,0.0,0.0,386.0,3_11_4
020031105,312.0,4.0,0.0,0.0,316.0,3_11_5
020031106,415.0,0.0,0.0,0.0,415.0,3_11_6
020031107,425.0,11.0,0.0,1.0,437.0,3_11_7
020031108,283.0,0.0,0.0,1.0,284.0,3_11_8
020031201,339.0,0.0,0.0,11.0,350.0,3_12_1
020031202,409.0,6.0,0.0,13.0,428.0,3_12_2
020031203,308.0,1.0,0.0,1.0,310.0,3_12_3
020031204,248.0,1.0,0.0,0.0,249.0,3_12_4
020031205,488.0,3.0,0.0,0.0,491.0,3_12_5
020031206,64.0,1.0,0.0,1.0,66.0,3_12_6
020031207,464.0,2.0,0.0,0.0,466.0,3_12_7
020031208,290.0,1.0,0.0,0.0,291.0,3_12_8
020031209,212.0,2.0,0.0,0.0,214.0,3_12_9
020031210,330.0,31.0,0.0,2.0,363.0,3_12_10
020031301,302.0,3.0,0.0,0.0,305.0,3_13_1
020031302,354.0,2.0,0.0,0.0,356.0,3_13_2
020031303,390.0,0.0,0.0,3.0,393.0,3_13_3
020031304,207.0,1.0,0.0,0.0,208.0,3_13_4
020031305,316.0,0.0,0.0,13.0,329.0,3_13_5
020031306,322.0,1.0,0.0,0.0,323.0,3_13_6
020031307,251.0,0.0,0.0,0.0,251.0,3_13_7
020031308,241.0,0.0,0.0,0.0,241.0,3_13_8
020031309,363.0,2.0,0.0,4.0,369.0,3_13_9
020031310,260.0,32.0,0.0,23.0,315.0,3_13_10
020031311,261.0,6.0,0.0,0.0,267.0,3_13_11
020031401,342.0,3.0,0.0,1.0,346.0,3_14_1
020031402,411.0,3.0,0.0,4.0,418.0,3_14_2
020031403,453.0,1.0,0.0,0.0,454.0,3_14_3
020031404,283.0,15.0,0.0,1.0,299.0,3_14_4
020031405,350.0,8.0,0.0,7.0,365.0,3_14_5
020031406,510.0,4.0,0.0,0.0,514.0,3_14_6
020031407,258.0,1.0,0.0,0.0,259.0,3_14_7
020031408,310.0,4.0,0.0,2.0,316.0,3_14_8
020031409,43.0,0.0,0.0,0.0,43.0,3_14_9
020031410,307.0,6.0,0.0,0.0,313.0,3_14_10
020031501,280.0,2.0,0.0,0.0,282.0,3_15_1
020031502,393.0,5.0,0.0,1.0,399.0,3_15_2
020031503,269.0,1.0,0.0,1.0,271.0,3_15_3
020031504,325.0,5.0,1.0,3.0,334.0,3_15_4
020031505,373.0,8.0,0.0,1.0,382.0,3_15_5
020031506,351.0,11.0,0.0,0.0,362.0,3_15_6
020031507,598.0,0.0,0.0,2.0,600.0,3_15_7
020031508,614.0,3.0,0.0,0.0,617.0,3_15_8
020031509,113.0,3.0,0.0,0.0,116.0,3_15_9
020031601,353.0,3.0,0.0,19.0,375.0,3_16_1
020031602,494.0,10.0,0.0,0.0,504.0,3_16_2
020031603,384.0,4.0,0.0,0.0,388.0,3_16_3
020031604,177.0,1.0,0.0,0.0,178.0,3_16_4
020031605,267.0,0.0,0.0,0.0,267.0,3_16_5
020031606,268.0,7.0,0.0,0.0,275.0,3_16_6
020031607,309.0,3.0,0.0,0.0,312.0,3_16_7
020031608,308.0,17.0,2.0,12.0,339.0,3_16_8
020031609,505.0,1.0,0.0,1.0,507.0,3_16_9
020031701,259.0,7.0,0.0,1.0,267.0,3_17_1
020031702,323.0,2.0,0.0,0.0,325.0,3_17_2
020031703,207.0,1.0,0.0,0.0,208.0,3_17_3
020031704,325.0,6.0,0.0,1.0,332.0,3_17_4
020031705,308.0,16.0,0.0,0.0,324.0,3_17_5
020031706,320.0,6.0,0.0,1.0,327.0,3_17_6
020031707,332.0,9.0,0.0,3.0,344.0,3_17_7
020031708,377.0,5.0,0.0,1.0,383.0,3_17_8
020031709,268.0,10.0,0.0,3.0,281.0,3_17_9
020031801,245.0,8.0,3.0,0.0,256.0,3_18_1
020031802,301.0,1.0,0.0,0.0,302.0,3_18_2
020031803,187.0,1.0,0.0,1.0,189.0,3_18_3
020031804,375.0,1.0,0.0,1.0,377.0,3_18_4
020031805,165.0,6.0,0.0,0.0,171.0,3_18_5
020031806,247.0,6.0,0.0,2.0,255.0,3_18_6
020031807,267.0,1.0,0.0,7.0,275.0,3_18_7
020031808,252.0,2.0,0.0,0.0,254.0,3_18_8
020031809,390.0,4.0,0.0,1.0,395.0,3_18_9
020031810,204.0,3.0,0.0,1.0,208.0,3_18_10
020031811,245.0,4.0,0.0,0.0,249.0,3_18_11
020031901,485.0,2.0,0.0,29.0,516.0,3_19_1
020031902,152.0,0.0,0.0,0.0,152.0,3_19_2
020031903,310.0,0.0,0.0,0.0,310.0,3_19_3
020031904,294.0,1.0,0.0,0.0,295.0,3_19_4
020031905,333.0,10.0,0.0,1.0,344.0,3_19_5
020031906,328.0,7.0,1.0,0.0,336.0,3_19_6
020031907,399.0,13.0,0.0,1.0,413.0,3_19_7
020031908,477.0,22.0,0.0,0.0,499.0,3_19_8
020031909,281.0,2.0,0.0,21.0,304.0,3_19_9
020031910,235.0,0.0,0.0,1.0,236.0,3_19_10
020032001,317.0,1.0,0.0,0.0,318.0,3_20_1
020032002,440.0,1.0,0.0,3.0,444.0,3_20_2
020032003,310.0,5.0,0.0,0.0,315.0,3_20_3
020032004,290.0,0.0,0.0,0.0,290.0,3_20_4
020032005,232.0,0.0,0.0,0.0,232.0,3_20_5
020032006,185.0,3.0,0.0,1.0,189.0,3_20_6
020032007,339.0,9.0,1.0,0.0,349.0,3_20_7
020032008,375.0,5.0,0.0,0.0,380.0,3_20_8
020032009,450.0,6.0,0.0,2.0,458.0,3_20_9
020032010,285.0,1.0,0.0,1.0,287.0,3_20_10
020032011,239.0,0.0,0.0,0.0,239.0,3_20_11
020032101,376.0,0.0,0.0,0.0,376.0,3_21_1
020032102,394.0,2.0,0.0,1.0,397.0,3_21_2
020032103,299.0,9.0,0.0,0.0,308.0,3_21_3
020032104,346.0,1.0,0.0,0.0,347.0,3_21_4
020032105,215.0,4.0,0.0,0.0,219.0,3_21_5
020032106,387.0,0.0,0.0,0.0,387.0,3_21_6
020032107,199.0,0.0,0.0,0.0,199.0,3_21_7
020032108,314.0,0.0,0.0,0.0,314.0,3_21_8
020032109,168.0,7.0,0.0,13.0,188.0,3_21_9
020032110,378.0,8.0,8.0,22.0,416.0,3_21_10
020032201,334.0,4.0,0.0,4.0,342.0,3_22_1
020032202,290.0,3.0,0.0,1.0,294.0,3_22_2
020032203,177.0,3.0,0.0,1.0,181.0,3_22_3
020032204,246.0,0.0,0.0,0.0,246.0,3_22_4
020032205,356.0,2.0,0.0,1.0,359.0,3_22_5
020032206,298.0,4.0,0.0,0.0,302.0,3_22_6
020032207,324.0,5.0,0.0,1.0,330.0,3_22_7
020032208,365.0,8.0,0.0,2.0,375.0,3_22_8
020032209,354.0,16.0,0.0,3.0,373.0,3_22_9
020032301,323.0,1.0,0.0,6.0,330.0,3_23_1
020032302,343.0,1.0,0.0,3.0,347.0,3_23_2
020032303,352.0,14.0,0.0,1.0,367.0,3_23_3
020032304,189.0,2.0,0.0,0.0,191.0,3_23_4
020032305,291.0,0.0,0.0,0.0,291.0,3_23_5
020032306,225.0,16.0,0.0,1.0,242.0,3_23_6
020032307,274.0,0.0,0.0,0.0,274.0,3_23_7
020032308,328.0,7.0,0.0,1.0,336.0,3_23_8
020032309,330.0,12.0,0.0,0.0,342.0,3_23_9
020032310,391.0,6.0,0.0,0.0,397.0,3_23_10
020032401,302.0,0.0,0.0,1.0,303.0,3_24_1
020032402,331.0,3.0,0.0,2.0,336.0,3_24_2
020032403,276.0,0.0,0.0,0.0,276.0,3_24_3
020032404,307.0,4.0,0.0,0.0,311.0,3_24_4
020032405,224.0,1.0,0.0,0.0,225.0,3_24_5
020032406,372.0,3.0,0.0,0.0,375.0,3_24_6
020032407,296.0,1.0,0.0,0.0,297.0,3_24_7
020032408,309.0,8.0,0.0,3.0,320.0,3_24_8
020032409,181.0,3.0,0.0,1.0,185.0,3_24_9
020032501,506.0,3.0,0.0,1.0,510.0,3_25_1
020032502,278.0,17.0,0.0,0.0,295.0,3_25_2
020032503,197.0,9.0,0.0,1.0,207.0,3_25_3
020032504,258.0,5.0,0.0,9.0,272.0,3_25_4
020032505,280.0,11.0,0.0,5.0,296.0,3_25_5
020032506,331.0,2.0,0.0,4.0,337.0,3_25_6
020032507,222.0,5.0,0.0,1.0,228.0,3_25_7
020032508,708.0,6.0,0.0,2.0,716.0,3_25_8
020032509,310.0,9.0,0.0,0.0,319.0,3_25_9
020032601,392.0,4.0,1.0,1.0,398.0,3_26_1
020032602,427.0,12.0,0.0,1.0,440.0,3_26_2
020032603,332.0,2.0,0.0,0.0,334.0,3_26_3
020032604,224.0,2.0,0.0,1.0,227.0,3_26_4
020032605,338.0,2.0,0.0,1.0,341.0,3_26_5
020032606,241.0,5.0,0.0,0.0,246.0,3_26_6
020032607,307.0,4.0,0.0,1.0,312.0,3_26_7
020032608,245.0,1.0,0.0,0.0,246.0,3_26_8
020032609,280.0,8.0,1.0,3.0,292.0,3_26_9
020032701,394.0,5.0,0.0,1.0,400.0,3_27_1
020032702,327.0,2.0,0.0,1.0,330.0,3_27_2
020032703,352.0,2.0,0.0,1.0,355.0,3_27_3
020032704,309.0,3.0,0.0,1.0,313.0,3_27_4
020032705,308.0,6.0,2.0,1.0,317.0,3_27_5
020032706,304.0,2.0,0.0,0.0,306.0,3_27_6
020032707,359.0,7.0,0.0,1.0,367.0,3_27_7
020040101,238.0,9.0,0.0,0.0,247.0,4_1_1
020040102,239.0,24.0,0.0,0.0,263.0,4_1_2
020040103,189.0,26.0,0.0,0.0,215.0,4_1_3
020040104,172.0,64.0,0.0,0.0,236.0,4_1_4
020040105,174.0,60.0,0.0,0.0,234.0,4_1_5
020040106,166.0,40.0,0.0,0.0,206.0,4_1_6
020040107,160.0,8.0,0.0,0.0,168.0,4_1_7
020040108,204.0,20.0,0.0,1.0,225.0,4_1_8
020040109,216.0,8.0,0.0,0.0,224.0,4_1_9
020040110,149.0,8.0,0.0,0.0,157.0,4_1_10
020040111,179.0,21.0,0.0,0.0,200.0,4_1_11
020040112,176.0,6.0,0.0,1.0,183.0,4_1_12
020040113,127.0,9.0,0.0,0.0,136.0,4_1_13
020040114,205.0,26.0,0.0,5.0,236.0,4_1_14
020040201,253.0,21.0,0.0,0.0,274.0,4_2_1
020040202,273.0,7.0,0.0,2.0,282.0,4_2_2
020040203,365.0,14.0,0.0,4.0,383.0,4_2_3
020040204,250.0,22.0,0.0,1.0,273.0,4_2_4
020040205,217.0,13.0,0.0,1.0,231.0,4_2_5
020040206,252.0,5.0,0.0,0.0,257.0,4_2_6
020040207,301.0,9.0,0.0,4.0,314.0,4_2_7
020040208,179.0,10.0,0.0,0.0,189.0,4_2_8
020040209,193.0,15.0,1.0,0.0,209.0,4_2_9
020040210,264.0,48.0,4.0,0.0,316.0,4_2_10
020040301,339.0,3.0,0.0,0.0,342.0,4_3_1
020040302,287.0,10.0,0.0,0.0,297.0,4_3_2
020040303,219.0,2.0,0.0,0.0,221.0,4_3_3
020040304,281.0,16.0,0.0,1.0,298.0,4_3_4
020040305,355.0,3.0,0.0,3.0,361.0,4_3_5
020040306,288.0,8.0,0.0,0.0,296.0,4_3_6
020040307,209.0,14.0,0.0,6.0,229.0,4_3_7
020040308,271.0,4.0,0.0,0.0,275.0,4_3_8
020040309,179.0,3.0,0.0,1.0,183.0,4_3_9
020040310,288.0,5.0,0.0,0.0,293.0,4_3_10
020040311,303.0,4.0,0.0,0.0,307.0,4_3_11
020040312,331.0,9.0,0.0,1.0,341.0,4_3_12
020040313,180.0,14.0,2.0,1.0,197.0,4_3_13
020040401,230.0,6.0,0.0,0.0,236.0,4_4_1
020040402,290.0,4.0,0.0,1.0,295.0,4_4_2
020040403,308.0,2.0,0.0,10.0,320.0,4_4_3
020040404,324.0,4.0,0.0,2.0,330.0,4_4_4
020040405,361.0,5.0,0.0,0.0,366.0,4_4_5
020040406,274.0,10.0,0.0,2.0,286.0,4_4_6
020040407,327.0,2.0,0.0,0.0,329.0,4_4_7
020040408,273.0,15.0,0.0,0.0,288.0,4_4_8
020040409,273.0,12.0,0.0,0.0,285.0,4_4_9
020040410,244.0,17.0,0.0,12.0,273.0,4_4_10
020040411,333.0,9.0,0.0,2.0,344.0,4_4_11
020040501,365.0,2.0,0.0,2.0,369.0,4_5_1
020040502,252.0,8.0,0.0,0.0,260.0,4_5_2
020040503,324.0,2.0,0.0,5.0,331.0,4_5_3
020040504,271.0,7.0,0.0,1.0,279.0,4_5_4
020040505,201.0,2.0,0.0,0.0,203.0,4_5_5
020040506,343.0,5.0,0.0,1.0,349.0,4_5_6
020040507,244.0,6.0,0.0,1.0,251.0,4_5_7
020040508,243.0,3.0,0.0,1.0,247.0,4_5_8
020040509,611.0,22.0,0.0,1.0,634.0,4_5_9
020040510,349.0,46.0,0.0,2.0,397.0,4_5_10
020040511,325.0,15.0,0.0,0.0,340.0,4_5_11
020040601,423.0,8.0,0.0,0.0,431.0,4_6_1
020040602,315.0,5.0,0.0,0.0,320.0,4_6_2
020040603,272.0,11.0,0.0,2.0,285.0,4_6_3
020040604,312.0,5.0,0.0,3.0,320.0,4_6_4
020040605,263.0,9.0,0.0,3.0,275.0,4_6_5
020040606,358.0,2.0,1.0,14.0,375.0,4_6_6
020040607,299.0,9.0,0.0,2.0,310.0,4_6_7
020040608,295.0,20.0,0.0,2.0,317.0,4_6_8
020040609,272.0,1.0,0.0,1.0,274.0,4_6_9
020040610,212.0,3.0,0.0,0.0,215.0,4_6_10
020040611,244.0,1.0,0.0,1.0,246.0,4_6_11
020040701,302.0,2.0,0.0,0.0,304.0,4_7_1
020040702,287.0,1.0,0.0,2.0,290.0,4_7_2
020040703,280.0,22.0,0.0,0.0,302.0,4_7_3
020040704,809.0,4.0,0.0,1.0,814.0,4_7_4
020040705,293.0,4.0,0.0,0.0,297.0,4_7_5
020040706,280.0,7.0,0.0,0.0,287.0,4_7_6
020040707,312.0,2.0,0.0,0.0,314.0,4_7_7
020040708,282.0,4.0,0.0,0.0,286.0,4_7_8
020040709,270.0,3.0,0.0,0.0,273.0,4_7_9
020040710,278.0,2.0,0.0,7.0,287.0,4_7_10
020040711,204.0,8.0,0.0,0.0,212.0,4_7_11
020040712,265.0,6.0,0.0,1.0,272.0,4_7_12
020040801,298.0,2.0,0.0,4.0,304.0,4_8_1
020040802,307.0,4.0,0.0,0.0,311.0,4_8_2
020040803,238.0,2.0,0.0,0.0,240.0,4_8_3
020040804,282.0,11.0,0.0,0.0,293.0,4_8_4
020040805,266.0,1.0,0.0,1.0,268.0,4_8_5
020040806,266.0,7.0,0.0,1.0,274.0,4_8_6
020040807,727.0,97.0,1.0,12.0,837.0,4_8_7
020040808,81.0,13.0,1.0,2.0,97.0,4_8_8
020040809,333.0,17.0,0.0,0.0,350.0,4_8_9
020040810,223.0,14.0,1.0,0.0,238.0,4_8_10
020040811,261.0,20.0,0.0,0.0,281.0,4_8_11
020040901,362.0,98.0,1.0,2.0,463.0,4_9_1
020040902,222.0,31.0,0.0,1.0,254.0,4_9_2
020040903,161.0,20.0,2.0,3.0,186.0,4_9_3
020040904,157.0,16.0,0.0,3.0,176.0,4_9_4
020040905,175.0,3.0,0.0,11.0,189.0,4_9_5
020040906,243.0,1.0,0.0,35.0,279.0,4_9_6
020040907,238.0,0.0,0.0,25.0,263.0,4_9_7
020041001,14.0,9.0,0.0,0.0,23.0,4_10_1
020041002,405.0,243.0,13.0,0.0,661.0,4_10_2
020041003,285.0,216.0,6.0,0.0,507.0,4_10_3
020041004,57.0,66.0,1.0,0.0,124.0,4_10_4
020041005,309.0,201.0,5.0,4.0,519.0,4_10_5
020041006,190.0,116.0,0.0,0.0,306.0,4_10_6
020041007,147.0,113.0,10.0,3.0,273.0,4_10_7
020041008,164.0,320.0,7.0,1.0,492.0,4_10_8
020041009,325.0,283.0,14.0,2.0,624.0,4_10_9
020041101,282.0,11.0,0.0,0.0,293.0,4_11_1
020041102,327.0,0.0,0.0,0.0,327.0,4_11_2
020041103,275.0,7.0,0.0,0.0,282.0,4_11_3
020041104,249.0,1.0,0.0,0.0,250.0,4_11_4
020041105,185.0,0.0,0.0,0.0,185.0,4_11_5
020041106,316.0,4.0,0.0,0.0,320.0,4_11_6
020041107,230.0,94.0,4.0,0.0,328.0,4_11_7
020041108,300.0,13.0,0.0,0.0,313.0,4_11_8
020041109,138.0,128.0,1.0,2.0,269.0,4_11_9
020041201,221.0,4.0,0.0,4.0,229.0,4_12_1
020041202,200.0,13.0,1.0,2.0,216.0,4_12_2
020041203,298.0,3.0,1.0,0.0,302.0,4_12_3
020041204,352.0,19.0,0.0,0.0,371.0,4_12_4
020041205,224.0,5.0,0.0,2.0,231.0,4_12_5
020041206,232.0,10.0,0.0,7.0,249.0,4_12_6
