Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRAC_RA
020010914,148.0,0.0,0.0,0.0,148.0,1_9_14
020010915,116.0,2.0,0.0,0.0,118.0,1_9_15
020010916,324.0,13.0,0.0,0.0,337.0,1_9_16
020010917,180.0,25.0,0.0,2.0,207.0,1_9_17
020010918,166.0,2.0,0.0,1.0,169.0,1_9_18
020010919,61.0,0.0,0.0,0.0,61.0,1_9_19
020011001,116.0,3.0,0.0,1.0,120.0,1_10_1
020011002,275.0,1.0,0.0,2.0,278.0,1_10_2
020011003,514.0,0.0,0.0,1.0,515.0,1_10_3
020011004,223.0,0.0,0.0,0.0,223.0,1_10_4
020011005,235.0,1.0,0.0,0.0,236.0,1_10_5
020011006,263.0,1.0,0.0,1.0,265.0,1_10_6
020011007,158.0,1.0,0.0,0.0,159.0,1_10_7
020011008,153.0,0.0,0.0,0.0,153.0,1_10_8
020011009,161.0,0.0,0.0,0.0,161.0,1_10_9
020011010,295.0,1.0,0.0,0.0,296.0,1_10_10
020011011,349.0,0.0,0.0,2.0,351.0,1_10_11
020011012,274.0,15.0,0.0,2.0,291.0,1_10_12
020011013,338.0,1.0,0.0,0.0,339.0,1_10_13
020011014,111.0,0.0,0.0,0.0,111.0,1_10_14
020011101,213.0,2.0,0.0,4.0,219.0,1_11_1
020011102,284.0,0.0,0.0,0.0,284.0,1_11_2
020011103,193.0,5.0,0.0,0.0,198.0,1_11_3
020011104,331.0,5.0,0.0,0.0,336.0,1_11_4
020011105,250.0,1.0,0.0,0.0,251.0,1_11_5
020011106,206.0,1.0,0.0,2.0,209.0,1_11_6
020011107,279.0,2.0,0.0,15.0,296.0,1_11_7
020011108,350.0,1.0,0.0,2.0,353.0,1_11_8
020011109,219.0,0.0,0.0,0.0,219.0,1_11_9
020011110,269.0,1.0,0.0,2.0,272.0,1_11_10
020011111,125.0,1.0,0.0,0.0,126.0,1_11_11
020011112,398.0,3.0,0.0,6.0,407.0,1_11_12
020011113,287.0,1.0,0.0,3.0,291.0,1_11_13
020011114,287.0,1.0,0.0,1.0,289.0,1_11_14
020011201,114.0,2.0,0.0,0.0,116.0,1_12_1
020011202,128.0,0.0,0.0,1.0,129.0,1_12_2
020011203,311.0,3.0,0.0,0.0,314.0,1_12_3
020011204,199.0,3.0,0.0,7.0,209.0,1_12_4
020011205,255.0,18.0,0.0,2.0,275.0,1_12_5
020011206,192.0,6.0,0.0,4.0,202.0,1_12_6
020011207,339.0,7.0,0.0,1.0,347.0,1_12_7
020011208,129.0,0.0,0.0,0.0,129.0,1_12_8
020011209,333.0,6.0,0.0,3.0,342.0,1_12_9
020011210,98.0,1.0,0.0,2.0,101.0,1_12_10
020011211,130.0,4.0,0.0,2.0,136.0,1_12_11
020011212,90.0,0.0,0.0,0.0,90.0,1_12_12
020011301,162.0,1.0,0.0,0.0,163.0,1_13_1
020011302,60.0,0.0,0.0,0.0,60.0,1_13_2
