Código,Argentina,Otro país,Total,CO_FRAC_RA
020011205,481.0,119.0,600.0,1_12_5
020011206,386.0,86.0,472.0,1_12_6
020011207,594.0,192.0,786.0,1_12_7
020011208,203.0,126.0,329.0,1_12_8
020011209,776.0,580.0,1356.0,1_12_9
020011210,158.0,138.0,296.0,1_12_10
020011211,305.0,223.0,528.0,1_12_11
020011212,267.0,232.0,499.0,1_12_12
020011301,464.0,122.0,586.0,1_13_1
020011302,103.0,25.0,128.0,1_13_2
020011303,43.0,2.0,45.0,1_13_3
020011304,332.0,393.0,725.0,1_13_4
020011305,256.0,39.0,295.0,1_13_5
020011306,162.0,30.0,192.0,1_13_6
020011307,407.0,98.0,505.0,1_13_7
020011308,249.0,59.0,308.0,1_13_8
020011309,364.0,62.0,426.0,1_13_9
020011310,509.0,105.0,614.0,1_13_10
020011311,257.0,35.0,292.0,1_13_11
020011312,262.0,30.0,292.0,1_13_12
020011313,192.0,166.0,358.0,1_13_13
020011314,681.0,1279.0,1960.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,427.0,195.0,622.0,1_14_1
020011402,718.0,378.0,1096.0,1_14_2
020011403,300.0,83.0,383.0,1_14_3
020011404,65.0,5.0,70.0,1_14_4
020011405,381.0,103.0,484.0,1_14_5
020011406,561.0,137.0,698.0,1_14_6
020011407,414.0,62.0,476.0,1_14_7
020011408,296.0,115.0,411.0,1_14_8
020011409,427.0,94.0,521.0,1_14_9
020011410,368.0,63.0,431.0,1_14_10
020011411,412.0,110.0,522.0,1_14_11
020011412,429.0,82.0,511.0,1_14_12
020011501,472.0,225.0,697.0,1_15_1
020011502,415.0,247.0,662.0,1_15_2
020011503,341.0,77.0,418.0,1_15_3
020011504,665.0,94.0,759.0,1_15_4
020011505,358.0,106.0,464.0,1_15_5
020011506,645.0,159.0,804.0,1_15_6
020011507,481.0,96.0,577.0,1_15_7
020011508,658.0,160.0,818.0,1_15_8
020011509,690.0,182.0,872.0,1_15_9
020011510,535.0,90.0,625.0,1_15_10
020011511,437.0,117.0,554.0,1_15_11
020011601,353.0,185.0,538.0,1_16_1
020011602,269.0,57.0,326.0,1_16_2
020011603,657.0,288.0,945.0,1_16_3
020011604,469.0,104.0,573.0,1_16_4
020011605,382.0,95.0,477.0,1_16_5
020011606,467.0,92.0,559.0,1_16_6
020011607,752.0,322.0,1074.0,1_16_7
020011608,456.0,90.0,546.0,1_16_8
020011609,330.0,52.0,382.0,1_16_9
020011610,537.0,54.0,591.0,1_16_10
020011611,403.0,61.0,464.0,1_16_11
020011612,298.0,66.0,364.0,1_16_12
020011701,728.0,160.0,888.0,1_17_1
020011702,445.0,212.0,657.0,1_17_2
020011703,582.0,138.0,720.0,1_17_3
020011704,460.0,126.0,586.0,1_17_4
020011705,502.0,75.0,577.0,1_17_5
020011706,633.0,126.0,759.0,1_17_6
020011707,525.0,90.0,615.0,1_17_7
020011708,504.0,93.0,597.0,1_17_8
020011709,378.0,61.0,439.0,1_17_9
020011710,504.0,70.0,574.0,1_17_10
020011711,419.0,55.0,474.0,1_17_11
020011801,714.0,128.0,842.0,1_18_1
020011802,660.0,75.0,735.0,1_18_2
020011803,535.0,107.0,642.0,1_18_3
020011804,604.0,126.0,730.0,1_18_4
020011805,596.0,102.0,698.0,1_18_5
020011806,871.0,309.0,1180.0,1_18_6
020011807,572.0,162.0,734.0,1_18_7
020011808,570.0,104.0,674.0,1_18_8
020011809,562.0,88.0,650.0,1_18_9
020011901,699.0,193.0,892.0,1_19_1
020011902,923.0,143.0,1066.0,1_19_2
020011903,308.0,66.0,374.0,1_19_3
020011904,605.0,115.0,720.0,1_19_4
020011905,538.0,105.0,643.0,1_19_5
020011906,346.0,85.0,431.0,1_19_6
020011907,544.0,202.0,746.0,1_19_7
020011908,319.0,131.0,450.0,1_19_8
020011909,454.0,53.0,507.0,1_19_9
020012001,486.0,141.0,627.0,1_20_1
020012002,619.0,119.0,738.0,1_20_2
020012003,505.0,62.0,567.0,1_20_3
020012004,664.0,105.0,769.0,1_20_4
020012005,602.0,98.0,700.0,1_20_5
020012006,700.0,85.0,785.0,1_20_6
020012007,435.0,46.0,481.0,1_20_7
020012008,459.0,104.0,563.0,1_20_8
020012009,495.0,77.0,572.0,1_20_9
020012010,754.0,106.0,860.0,1_20_10
020012101,507.0,120.0,627.0,1_21_1
020012102,486.0,154.0,640.0,1_21_2
020012103,324.0,76.0,400.0,1_21_3
020012104,945.0,215.0,1160.0,1_21_4
020012105,601.0,123.0,724.0,1_21_5
020012106,501.0,101.0,602.0,1_21_6
020012107,632.0,153.0,785.0,1_21_7
020012108,479.0,74.0,553.0,1_21_8
020012109,620.0,89.0,709.0,1_21_9
020012110,687.0,129.0,816.0,1_21_10
020012201,521.0,46.0,567.0,1_22_1
020012202,725.0,85.0,810.0,1_22_2
020012203,674.0,143.0,817.0,1_22_3
020012204,388.0,58.0,446.0,1_22_4
020012205,383.0,64.0,447.0,1_22_5
020012206,510.0,68.0,578.0,1_22_6
020012207,439.0,123.0,562.0,1_22_7
020012208,458.0,75.0,533.0,1_22_8
020012209,762.0,118.0,880.0,1_22_9
020012210,1070.0,161.0,1231.0,1_22_10
020012301,523.0,84.0,607.0,1_23_1
020012302,427.0,98.0,525.0,1_23_2
020012303,658.0,132.0,790.0,1_23_3
020012304,264.0,106.0,370.0,1_23_4
020012305,407.0,94.0,501.0,1_23_5
020012306,411.0,73.0,484.0,1_23_6
020012307,451.0,117.0,568.0,1_23_7
020012308,580.0,101.0,681.0,1_23_8
020012309,758.0,140.0,898.0,1_23_9
020012310,286.0,76.0,362.0,1_23_10
020012401,215.0,33.0,248.0,1_24_1
020012402,250.0,37.0,287.0,1_24_2
020012403,445.0,89.0,534.0,1_24_3
020012404,284.0,44.0,328.0,1_24_4
020012405,296.0,49.0,345.0,1_24_5
020012406,621.0,99.0,720.0,1_24_6
020012407,473.0,93.0,566.0,1_24_7
020012408,354.0,74.0,428.0,1_24_8
020012501,332.0,92.0,424.0,1_25_1
020012502,324.0,64.0,388.0,1_25_2
020012503,464.0,49.0,513.0,1_25_3
020012504,833.0,79.0,912.0,1_25_4
020012505,423.0,54.0,477.0,1_25_5
020012506,628.0,124.0,752.0,1_25_6
020012507,347.0,71.0,418.0,1_25_7
020012508,543.0,69.0,612.0,1_25_8
020012509,525.0,133.0,658.0,1_25_9
020012510,490.0,52.0,542.0,1_25_10
020012511,488.0,69.0,557.0,1_25_11
020012601,468.0,171.0,639.0,1_26_1
020012602,561.0,116.0,677.0,1_26_2
020012603,378.0,62.0,440.0,1_26_3
020012604,487.0,66.0,553.0,1_26_4
020012605,598.0,85.0,683.0,1_26_5
020012606,416.0,49.0,465.0,1_26_6
020012607,289.0,24.0,313.0,1_26_7
020012608,409.0,40.0,449.0,1_26_8
020012609,643.0,96.0,739.0,1_26_9
020012701,504.0,92.0,596.0,1_27_1
020012702,525.0,255.0,780.0,1_27_2
020012703,691.0,197.0,888.0,1_27_3
020012704,625.0,177.0,802.0,1_27_4
020012705,578.0,63.0,641.0,1_27_5
020012706,594.0,335.0,929.0,1_27_6
020012707,613.0,253.0,866.0,1_27_7
020012708,563.0,131.0,694.0,1_27_8
020012709,598.0,125.0,723.0,1_27_9
020012710,451.0,62.0,513.0,1_27_10
020012801,448.0,64.0,512.0,1_28_1
020012802,615.0,138.0,753.0,1_28_2
020012803,568.0,109.0,677.0,1_28_3
020012804,524.0,137.0,661.0,1_28_4
020012805,704.0,101.0,805.0,1_28_5
020012806,530.0,102.0,632.0,1_28_6
020012807,610.0,117.0,727.0,1_28_7
020012808,248.0,58.0,306.0,1_28_8
020012809,567.0,174.0,741.0,1_28_9
020012810,693.0,216.0,909.0,1_28_10
020012811,476.0,134.0,610.0,1_28_11
020012812,466.0,107.0,573.0,1_28_12
020012813,567.0,85.0,652.0,1_28_13
020012901,897.0,226.0,1123.0,1_29_1
020012902,499.0,125.0,624.0,1_29_2
020012903,672.0,145.0,817.0,1_29_3
020012904,589.0,134.0,723.0,1_29_4
020012905,682.0,122.0,804.0,1_29_5
020012906,873.0,117.0,990.0,1_29_6
020012907,783.0,133.0,916.0,1_29_7
020012908,536.0,112.0,648.0,1_29_8
020012909,785.0,138.0,923.0,1_29_9
020020101,101.0,4.0,105.0,2_1_1
020020102,489.0,29.0,518.0,2_1_2
020020201,513.0,74.0,587.0,2_2_1
020020202,779.0,99.0,878.0,2_2_2
020020203,484.0,88.0,572.0,2_2_3
020020204,468.0,72.0,540.0,2_2_4
020020205,547.0,53.0,600.0,2_2_5
020020206,429.0,43.0,472.0,2_2_6
020020207,270.0,31.0,301.0,2_2_7
020020208,592.0,105.0,697.0,2_2_8
020020301,801.0,94.0,895.0,2_3_1
020020302,626.0,119.0,745.0,2_3_2
020020303,242.0,24.0,266.0,2_3_3
020020304,349.0,20.0,369.0,2_3_4
020020305,651.0,63.0,714.0,2_3_5
020020306,466.0,212.0,678.0,2_3_6
020020307,801.0,84.0,885.0,2_3_7
020020308,552.0,54.0,606.0,2_3_8
020020401,738.0,85.0,823.0,2_4_1
020020402,194.0,39.0,233.0,2_4_2
020020403,285.0,80.0,365.0,2_4_3
020020404,417.0,82.0,499.0,2_4_4
020020405,619.0,83.0,702.0,2_4_5
020020406,467.0,72.0,539.0,2_4_6
020020407,453.0,164.0,617.0,2_4_7
020020408,815.0,182.0,997.0,2_4_8
020020409,702.0,110.0,812.0,2_4_9
020020410,776.0,108.0,884.0,2_4_10
020020501,536.0,174.0,710.0,2_5_1
020020502,774.0,113.0,887.0,2_5_2
020020503,513.0,148.0,661.0,2_5_3
020020504,493.0,51.0,544.0,2_5_4
020020505,675.0,102.0,777.0,2_5_5
020020506,722.0,89.0,811.0,2_5_6
020020507,745.0,83.0,828.0,2_5_7
020020508,636.0,64.0,700.0,2_5_8
020020509,547.0,69.0,616.0,2_5_9
020020601,386.0,46.0,432.0,2_6_1
020020602,1220.0,126.0,1346.0,2_6_2
020020603,555.0,83.0,638.0,2_6_3
020020604,749.0,86.0,835.0,2_6_4
020020605,445.0,43.0,488.0,2_6_5
020020606,597.0,83.0,680.0,2_6_6
020020607,358.0,34.0,392.0,2_6_7
020020608,505.0,64.0,569.0,2_6_8
020020609,458.0,43.0,501.0,2_6_9
020020610,468.0,47.0,515.0,2_6_10
020020701,1277.0,142.0,1419.0,2_7_1
020020702,957.0,116.0,1073.0,2_7_2
020020703,814.0,108.0,922.0,2_7_3
020020704,591.0,81.0,672.0,2_7_4
020020705,479.0,45.0,524.0,2_7_5
020020706,547.0,43.0,590.0,2_7_6
020020707,793.0,140.0,933.0,2_7_7
020020708,376.0,59.0,435.0,2_7_8
020020709,484.0,46.0,530.0,2_7_9
020020801,647.0,66.0,713.0,2_8_1
020020802,650.0,52.0,702.0,2_8_2
020020803,784.0,116.0,900.0,2_8_3
020020804,1007.0,98.0,1105.0,2_8_4
020020805,826.0,81.0,907.0,2_8_5
020020806,1116.0,131.0,1247.0,2_8_6
020020807,1325.0,170.0,1495.0,2_8_7
020020808,777.0,71.0,848.0,2_8_8
020020901,664.0,101.0,765.0,2_9_1
020020902,632.0,49.0,681.0,2_9_2
020020903,793.0,72.0,865.0,2_9_3
020020904,956.0,65.0,1021.0,2_9_4
020020905,924.0,104.0,1028.0,2_9_5
020020906,826.0,74.0,900.0,2_9_6
020020907,828.0,121.0,949.0,2_9_7
020020908,1264.0,113.0,1377.0,2_9_8
020020909,1060.0,90.0,1150.0,2_9_9
020021001,900.0,75.0,975.0,2_10_1
020021002,577.0,60.0,637.0,2_10_2
020021003,397.0,44.0,441.0,2_10_3
020021004,728.0,57.0,785.0,2_10_4
020021005,738.0,74.0,812.0,2_10_5
020021006,626.0,69.0,695.0,2_10_6
020021007,817.0,51.0,868.0,2_10_7
020021008,796.0,60.0,856.0,2_10_8
020021009,555.0,56.0,611.0,2_10_9
020021101,1099.0,97.0,1196.0,2_11_1
020021102,517.0,47.0,564.0,2_11_2
020021103,1463.0,180.0,1643.0,2_11_3
