Código,Argentina,Otro país,Total,CO_FRAC_RA
020031106,823.0,93.0,916.0,3_11_6
020031107,714.0,129.0,843.0,3_11_7
020031108,499.0,85.0,584.0,3_11_8
020031201,584.0,95.0,679.0,3_12_1
020031202,793.0,111.0,904.0,3_12_2
020031203,487.0,91.0,578.0,3_12_3
020031204,431.0,60.0,491.0,3_12_4
020031205,863.0,108.0,971.0,3_12_5
020031206,216.0,53.0,269.0,3_12_6
020031207,804.0,124.0,928.0,3_12_7
020031208,491.0,55.0,546.0,3_12_8
020031209,412.0,66.0,478.0,3_12_9
020031210,591.0,254.0,845.0,3_12_10
020031301,626.0,118.0,744.0,3_13_1
020031302,627.0,144.0,771.0,3_13_2
020031303,692.0,125.0,817.0,3_13_3
020031304,399.0,117.0,516.0,3_13_4
020031305,569.0,64.0,633.0,3_13_5
020031306,591.0,144.0,735.0,3_13_6
020031307,505.0,117.0,622.0,3_13_7
020031308,433.0,65.0,498.0,3_13_8
020031309,633.0,90.0,723.0,3_13_9
020031310,513.0,180.0,693.0,3_13_10
020031311,732.0,164.0,896.0,3_13_11
020031401,681.0,199.0,880.0,3_14_1
020031402,795.0,153.0,948.0,3_14_2
020031403,818.0,234.0,1052.0,3_14_3
020031404,596.0,206.0,802.0,3_14_4
020031405,642.0,202.0,844.0,3_14_5
020031406,984.0,130.0,1114.0,3_14_6
020031407,522.0,111.0,633.0,3_14_7
020031408,598.0,122.0,720.0,3_14_8
020031409,43.0,60.0,103.0,3_14_9
020031410,737.0,161.0,898.0,3_14_10
020031501,581.0,102.0,683.0,3_15_1
020031502,739.0,170.0,909.0,3_15_2
020031503,559.0,107.0,666.0,3_15_3
020031504,645.0,143.0,788.0,3_15_4
020031505,620.0,135.0,755.0,3_15_5
020031506,664.0,141.0,805.0,3_15_6
020031507,1013.0,235.0,1248.0,3_15_7
020031508,1068.0,213.0,1281.0,3_15_8
020031509,227.0,48.0,275.0,3_15_9
020031601,757.0,134.0,891.0,3_16_1
020031602,949.0,172.0,1121.0,3_16_2
020031603,725.0,156.0,881.0,3_16_3
020031604,380.0,84.0,464.0,3_16_4
020031605,489.0,175.0,664.0,3_16_5
020031606,614.0,127.0,741.0,3_16_6
020031607,640.0,147.0,787.0,3_16_7
020031608,640.0,134.0,774.0,3_16_8
020031609,1025.0,128.0,1153.0,3_16_9
020031701,633.0,105.0,738.0,3_17_1
020031702,654.0,168.0,822.0,3_17_2
020031703,377.0,75.0,452.0,3_17_3
020031704,754.0,151.0,905.0,3_17_4
020031705,681.0,130.0,811.0,3_17_5
020031706,608.0,118.0,726.0,3_17_6
020031707,785.0,95.0,880.0,3_17_7
020031708,952.0,230.0,1182.0,3_17_8
020031709,533.0,174.0,707.0,3_17_9
020031801,477.0,96.0,573.0,3_18_1
020031802,625.0,136.0,761.0,3_18_2
020031803,428.0,58.0,486.0,3_18_3
020031804,723.0,107.0,830.0,3_18_4
020031805,343.0,53.0,396.0,3_18_5
020031806,531.0,113.0,644.0,3_18_6
020031807,636.0,73.0,709.0,3_18_7
020031808,476.0,62.0,538.0,3_18_8
020031809,797.0,98.0,895.0,3_18_9
020031810,512.0,69.0,581.0,3_18_10
020031811,538.0,59.0,597.0,3_18_11
020031901,1060.0,121.0,1181.0,3_19_1
020031902,261.0,40.0,301.0,3_19_2
020031903,586.0,79.0,665.0,3_19_3
020031904,612.0,115.0,727.0,3_19_4
020031905,657.0,155.0,812.0,3_19_5
020031906,672.0,109.0,781.0,3_19_6
020031907,761.0,188.0,949.0,3_19_7
020031908,1032.0,128.0,1160.0,3_19_8
020031909,581.0,108.0,689.0,3_19_9
020031910,464.0,56.0,520.0,3_19_10
020032001,519.0,84.0,603.0,3_20_1
020032002,745.0,135.0,880.0,3_20_2
020032003,515.0,98.0,613.0,3_20_3
020032004,523.0,93.0,616.0,3_20_4
020032005,423.0,59.0,482.0,3_20_5
020032006,414.0,71.0,485.0,3_20_6
020032007,687.0,115.0,802.0,3_20_7
020032008,658.0,145.0,803.0,3_20_8
020032009,835.0,139.0,974.0,3_20_9
020032010,571.0,55.0,626.0,3_20_10
020032011,435.0,44.0,479.0,3_20_11
020032101,842.0,117.0,959.0,3_21_1
020032102,815.0,97.0,912.0,3_21_2
020032103,660.0,79.0,739.0,3_21_3
020032104,683.0,85.0,768.0,3_21_4
020032105,407.0,100.0,507.0,3_21_5
020032106,700.0,97.0,797.0,3_21_6
020032107,357.0,48.0,405.0,3_21_7
020032108,599.0,91.0,690.0,3_21_8
020032109,380.0,36.0,416.0,3_21_9
020032110,844.0,128.0,972.0,3_21_10
020032201,688.0,99.0,787.0,3_22_1
020032202,552.0,106.0,658.0,3_22_2
020032203,304.0,103.0,407.0,3_22_3
020032204,426.0,87.0,513.0,3_22_4
020032205,710.0,99.0,809.0,3_22_5
020032206,649.0,104.0,753.0,3_22_6
020032207,624.0,113.0,737.0,3_22_7
020032208,822.0,109.0,931.0,3_22_8
020032209,796.0,143.0,939.0,3_22_9
020032301,658.0,141.0,799.0,3_23_1
020032302,673.0,130.0,803.0,3_23_2
020032303,729.0,81.0,810.0,3_23_3
020032304,411.0,37.0,448.0,3_23_4
020032305,537.0,77.0,614.0,3_23_5
020032306,482.0,128.0,610.0,3_23_6
020032307,606.0,55.0,661.0,3_23_7
020032308,727.0,153.0,880.0,3_23_8
020032309,784.0,188.0,972.0,3_23_9
020032310,913.0,131.0,1044.0,3_23_10
020032401,623.0,69.0,692.0,3_24_1
020032402,678.0,173.0,851.0,3_24_2
020032403,576.0,75.0,651.0,3_24_3
020032404,587.0,114.0,701.0,3_24_4
020032405,458.0,59.0,517.0,3_24_5
020032406,845.0,229.0,1074.0,3_24_6
020032407,617.0,57.0,674.0,3_24_7
020032408,636.0,117.0,753.0,3_24_8
020032409,406.0,52.0,458.0,3_24_9
020032501,1146.0,75.0,1221.0,3_25_1
020032502,573.0,136.0,709.0,3_25_2
020032503,448.0,101.0,549.0,3_25_3
020032504,615.0,81.0,696.0,3_25_4
020032505,744.0,85.0,829.0,3_25_5
020032506,805.0,154.0,959.0,3_25_6
020032507,456.0,71.0,527.0,3_25_7
020032508,1316.0,237.0,1553.0,3_25_8
020032509,650.0,96.0,746.0,3_25_9
020032601,826.0,74.0,900.0,3_26_1
020032602,1011.0,151.0,1162.0,3_26_2
020032603,703.0,100.0,803.0,3_26_3
020032604,488.0,29.0,517.0,3_26_4
020032605,734.0,100.0,834.0,3_26_5
020032606,555.0,50.0,605.0,3_26_6
020032607,729.0,86.0,815.0,3_26_7
020032608,522.0,64.0,586.0,3_26_8
020032609,687.0,103.0,790.0,3_26_9
020032701,903.0,63.0,966.0,3_27_1
020032702,718.0,124.0,842.0,3_27_2
020032703,767.0,139.0,906.0,3_27_3
020032704,700.0,134.0,834.0,3_27_4
020032705,691.0,90.0,781.0,3_27_5
020032706,695.0,143.0,838.0,3_27_6
020032707,824.0,108.0,932.0,3_27_7
020040101,588.0,182.0,770.0,4_1_1
020040102,580.0,215.0,795.0,4_1_2
020040103,477.0,158.0,635.0,4_1_3
020040104,589.0,212.0,801.0,4_1_4
020040105,518.0,306.0,824.0,4_1_5
020040106,452.0,273.0,725.0,4_1_6
020040107,463.0,55.0,518.0,4_1_7
020040108,551.0,134.0,685.0,4_1_8
020040109,561.0,89.0,650.0,4_1_9
020040110,402.0,89.0,491.0,4_1_10
020040111,481.0,112.0,593.0,4_1_11
020040112,474.0,55.0,529.0,4_1_12
020040113,336.0,69.0,405.0,4_1_13
020040114,636.0,113.0,749.0,4_1_14
020040201,619.0,134.0,753.0,4_2_1
020040202,737.0,89.0,826.0,4_2_2
020040203,811.0,238.0,1049.0,4_2_3
020040204,621.0,175.0,796.0,4_2_4
020040205,572.0,166.0,738.0,4_2_5
020040206,606.0,77.0,683.0,4_2_6
020040207,766.0,133.0,899.0,4_2_7
020040208,440.0,80.0,520.0,4_2_8
020040209,556.0,65.0,621.0,4_2_9
020040210,855.0,196.0,1051.0,4_2_10
020040301,860.0,114.0,974.0,4_3_1
020040302,681.0,168.0,849.0,4_3_2
020040303,556.0,87.0,643.0,4_3_3
020040304,731.0,173.0,904.0,4_3_4
020040305,912.0,149.0,1061.0,4_3_5
020040306,744.0,158.0,902.0,4_3_6
020040307,591.0,95.0,686.0,4_3_7
020040308,723.0,121.0,844.0,4_3_8
020040309,485.0,90.0,575.0,4_3_9
020040310,695.0,127.0,822.0,4_3_10
020040311,796.0,124.0,920.0,4_3_11
020040312,872.0,193.0,1065.0,4_3_12
020040313,512.0,78.0,590.0,4_3_13
020040401,588.0,80.0,668.0,4_4_1
020040402,703.0,35.0,738.0,4_4_2
020040403,838.0,64.0,902.0,4_4_3
020040404,922.0,119.0,1041.0,4_4_4
020040405,925.0,91.0,1016.0,4_4_5
020040406,674.0,121.0,795.0,4_4_6
020040407,754.0,132.0,886.0,4_4_7
020040408,680.0,100.0,780.0,4_4_8
020040409,748.0,102.0,850.0,4_4_9
020040410,542.0,119.0,661.0,4_4_10
020040411,812.0,148.0,960.0,4_4_11
020040501,791.0,100.0,891.0,4_5_1
020040502,553.0,86.0,639.0,4_5_2
020040503,741.0,56.0,797.0,4_5_3
020040504,598.0,117.0,715.0,4_5_4
020040505,403.0,50.0,453.0,4_5_5
020040506,861.0,75.0,936.0,4_5_6
020040507,720.0,114.0,834.0,4_5_7
020040508,940.0,142.0,1082.0,4_5_8
020040509,1510.0,652.0,2162.0,4_5_9
020040510,1081.0,177.0,1258.0,4_5_10
020040511,890.0,126.0,1016.0,4_5_11
020040601,1010.0,80.0,1090.0,4_6_1
020040602,721.0,66.0,787.0,4_6_2
020040603,667.0,84.0,751.0,4_6_3
020040604,841.0,114.0,955.0,4_6_4
020040605,624.0,109.0,733.0,4_6_5
020040606,860.0,69.0,929.0,4_6_6
020040607,672.0,94.0,766.0,4_6_7
020040608,811.0,109.0,920.0,4_6_8
020040609,633.0,74.0,707.0,4_6_9
020040610,645.0,85.0,730.0,4_6_10
020040611,607.0,47.0,654.0,4_6_11
020040701,800.0,102.0,902.0,4_7_1
020040702,699.0,57.0,756.0,4_7_2
020040703,731.0,207.0,938.0,4_7_3
020040704,2001.0,158.0,2159.0,4_7_4
020040705,684.0,79.0,763.0,4_7_5
020040706,732.0,129.0,861.0,4_7_6
020040707,696.0,89.0,785.0,4_7_7
020040708,631.0,58.0,689.0,4_7_8
020040709,672.0,72.0,744.0,4_7_9
020040710,572.0,38.0,610.0,4_7_10
020040711,1125.0,152.0,1277.0,4_7_11
020040712,712.0,154.0,866.0,4_7_12
020040801,638.0,67.0,705.0,4_8_1
020040802,698.0,69.0,767.0,4_8_2
020040803,581.0,49.0,630.0,4_8_3
020040804,707.0,93.0,800.0,4_8_4
020040805,538.0,56.0,594.0,4_8_5
020040806,612.0,98.0,710.0,4_8_6
020040807,1574.0,890.0,2464.0,4_8_7
020040808,327.0,78.0,405.0,4_8_8
020040809,903.0,190.0,1093.0,4_8_9
020040810,600.0,163.0,763.0,4_8_10
020040811,748.0,151.0,899.0,4_8_11
020040901,995.0,500.0,1495.0,4_9_1
020040902,683.0,82.0,765.0,4_9_2
020040903,470.0,66.0,536.0,4_9_3
020040904,412.0,91.0,503.0,4_9_4
020040905,494.0,43.0,537.0,4_9_5
020040906,777.0,62.0,839.0,4_9_6
020040907,733.0,49.0,782.0,4_9_7
020041001,36.0,37.0,73.0,4_10_1
020041002,892.0,1043.0,1935.0,4_10_2
020041003,873.0,780.0,1653.0,4_10_3
020041004,314.0,150.0,464.0,4_10_4
020041005,1191.0,468.0,1659.0,4_10_5
020041006,632.0,372.0,1004.0,4_10_6
020041007,577.0,324.0,901.0,4_10_7
020041008,491.0,1111.0,1602.0,4_10_8
020041009,1001.0,1090.0,2091.0,4_10_9
020041101,775.0,87.0,862.0,4_11_1
020041102,772.0,75.0,847.0,4_11_2
020041103,724.0,61.0,785.0,4_11_3
020041104,607.0,36.0,643.0,4_11_4
020041105,403.0,53.0,456.0,4_11_5
020041106,832.0,132.0,964.0,4_11_6
020041107,748.0,301.0,1049.0,4_11_7
020041108,873.0,49.0,922.0,4_11_8
020041109,772.0,113.0,885.0,4_11_9
020041201,505.0,99.0,604.0,4_12_1
020041202,456.0,84.0,540.0,4_12_2
020041203,606.0,115.0,721.0,4_12_3
020041204,848.0,127.0,975.0,4_12_4
020041205,538.0,77.0,615.0,4_12_5
020041206,711.0,85.0,796.0,4_12_6
020041207,421.0,63.0,484.0,4_12_7
020041208,377.0,26.0,403.0,4_12_8
020041209,712.0,27.0,739.0,4_12_9
020041210,750.0,134.0,884.0,4_12_10
020041211,610.0,22.0,632.0,4_12_11
020041212,548.0,25.0,573.0,4_12_12
020041301,877.0,30.0,907.0,4_13_1
020041302,585.0,33.0,618.0,4_13_2
020041303,575.0,63.0,638.0,4_13_3
020041304,459.0,27.0,486.0,4_13_4
020041305,923.0,33.0,956.0,4_13_5
020041306,527.0,49.0,576.0,4_13_6
020041307,858.0,40.0,898.0,4_13_7
020041308,386.0,23.0,409.0,4_13_8
020041309,382.0,25.0,407.0,4_13_9
020041310,461.0,30.0,491.0,4_13_10
020041311,1078.0,61.0,1139.0,4_13_11
020041401,527.0,108.0,635.0,4_14_1
020041402,486.0,102.0,588.0,4_14_2
020041403,535.0,110.0,645.0,4_14_3
020041404,1014.0,96.0,1110.0,4_14_4
020041405,613.0,56.0,669.0,4_14_5
020041406,472.0,25.0,497.0,4_14_6
020041407,675.0,82.0,757.0,4_14_7
020041408,880.0,112.0,992.0,4_14_8
020041409,570.0,94.0,664.0,4_14_9
020041501,586.0,53.0,639.0,4_15_1
020041502,1206.0,86.0,1292.0,4_15_2
020041503,1023.0,41.0,1064.0,4_15_3
020041504,668.0,64.0,732.0,4_15_4
020041505,519.0,23.0,542.0,4_15_5
020041506,533.0,61.0,594.0,4_15_6
020041507,618.0,26.0,644.0,4_15_7
020041508,643.0,28.0,671.0,4_15_8
020041509,607.0,56.0,663.0,4_15_9
020041510,496.0,31.0,527.0,4_15_10
020041601,644.0,37.0,681.0,4_16_1
020041602,1701.0,232.0,1933.0,4_16_2
020041603,1169.0,76.0,1245.0,4_16_3
020041604,607.0,39.0,646.0,4_16_4
020041605,906.0,64.0,970.0,4_16_5
020041606,521.0,36.0,557.0,4_16_6
020041607,372.0,29.0,401.0,4_16_7
020041608,538.0,73.0,611.0,4_16_8
020041609,910.0,154.0,1064.0,4_16_9
020041610,718.0,68.0,786.0,4_16_10
020041701,545.0,32.0,577.0,4_17_1
020041702,530.0,60.0,590.0,4_17_2
020041703,529.0,55.0,584.0,4_17_3
020041704,634.0,41.0,675.0,4_17_4
020041705,726.0,33.0,759.0,4_17_5
020041706,574.0,33.0,607.0,4_17_6
020041707,570.0,39.0,609.0,4_17_7
020041708,820.0,174.0,994.0,4_17_8
020041709,712.0,45.0,757.0,4_17_9
020041710,769.0,112.0,881.0,4_17_10
020041801,45.0,29.0,74.0,4_18_1
020041901,567.0,107.0,674.0,4_19_1
020041902,686.0,49.0,735.0,4_19_2
020041903,766.0,138.0,904.0,4_19_3
020041904,980.0,154.0,1134.0,4_19_4
020041905,708.0,97.0,805.0,4_19_5
020041906,909.0,238.0,1147.0,4_19_6
020041907,767.0,166.0,933.0,4_19_7
020041908,1013.0,507.0,1520.0,4_19_8
020041909,839.0,290.0,1129.0,4_19_9
020041910,558.0,86.0,644.0,4_19_10
020042001,827.0,104.0,931.0,4_20_1
020042002,623.0,82.0,705.0,4_20_2
020042003,728.0,121.0,849.0,4_20_3
020042004,473.0,130.0,603.0,4_20_4
020042005,659.0,97.0,756.0,4_20_5
020042006,693.0,175.0,868.0,4_20_6
020042007,761.0,88.0,849.0,4_20_7
020042008,695.0,102.0,797.0,4_20_8
020042009,726.0,123.0,849.0,4_20_9
020042010,997.0,128.0,1125.0,4_20_10
020042011,782.0,131.0,913.0,4_20_11
020042012,1095.0,74.0,1169.0,4_20_12
020042101,552.0,151.0,703.0,4_21_1
020042102,609.0,190.0,799.0,4_21_2
020042103,494.0,67.0,561.0,4_21_3
020042104,675.0,92.0,767.0,4_21_4
020042105,545.0,110.0,655.0,4_21_5
020042106,637.0,95.0,732.0,4_21_6
020042107,767.0,71.0,838.0,4_21_7
020042108,824.0,157.0,981.0,4_21_8
020042109,710.0,125.0,835.0,4_21_9
020042110,600.0,133.0,733.0,4_21_10
020042111,772.0,140.0,912.0,4_21_11
020042112,479.0,78.0,557.0,4_21_12
020042201,565.0,24.0,589.0,4_22_1
020042202,682.0,63.0,745.0,4_22_2
020042203,850.0,36.0,886.0,4_22_3
020042204,1262.0,43.0,1305.0,4_22_4
020042205,708.0,57.0,765.0,4_22_5
020042206,572.0,27.0,599.0,4_22_6
020042207,841.0,62.0,903.0,4_22_7
020042208,878.0,109.0,987.0,4_22_8
020042209,600.0,85.0,685.0,4_22_9
020042210,550.0,13.0,563.0,4_22_10
020042211,665.0,63.0,728.0,4_22_11
020042212,521.0,84.0,605.0,4_22_12
020042301,740.0,94.0,834.0,4_23_1
020042302,748.0,125.0,873.0,4_23_2
020042303,698.0,121.0,819.0,4_23_3
020042304,723.0,104.0,827.0,4_23_4
020042305,498.0,45.0,543.0,4_23_5
020042306,644.0,51.0,695.0,4_23_6
020042307,586.0,67.0,653.0,4_23_7
020042308,769.0,76.0,845.0,4_23_8
020042309,428.0,43.0,471.0,4_23_9
020042310,659.0,145.0,804.0,4_23_10
020042311,496.0,77.0,573.0,4_23_11
020042312,633.0,147.0,780.0,4_23_12
020042401,873.0,523.0,1396.0,4_24_1
020042402,1083.0,769.0,1852.0,4_24_2
020042403,783.0,437.0,1220.0,4_24_3
020042404,1475.0,454.0,1929.0,4_24_4
020042405,742.0,608.0,1350.0,4_24_5
020042406,955.0,462.0,1417.0,4_24_6
020042501,771.0,1586.0,2357.0,4_25_1
020042502,1195.0,1020.0,2215.0,4_25_2
020042503,2115.0,1830.0,3945.0,4_25_3
020042504,856.0,1172.0,2028.0,4_25_4
020042601,904.0,104.0,1008.0,4_26_1
020042602,1146.0,82.0,1228.0,4_26_2
020042603,1057.0,162.0,1219.0,4_26_3
020050101,498.0,55.0,553.0,5_1_1
020050102,815.0,64.0,879.0,5_1_2
020050103,666.0,109.0,775.0,5_1_3
020050104,626.0,57.0,683.0,5_1_4
020050105,1008.0,95.0,1103.0,5_1_5
020050106,431.0,67.0,498.0,5_1_6
020050107,579.0,46.0,625.0,5_1_7
020050108,682.0,60.0,742.0,5_1_8
020050109,624.0,67.0,691.0,5_1_9
020050110,612.0,61.0,673.0,5_1_10
020050201,759.0,116.0,875.0,5_2_1
020050202,551.0,65.0,616.0,5_2_2
020050203,655.0,68.0,723.0,5_2_3
020050204,825.0,116.0,941.0,5_2_4
020050205,505.0,63.0,568.0,5_2_5
020050206,479.0,131.0,610.0,5_2_6
020050207,426.0,146.0,572.0,5_2_7
020050208,960.0,107.0,1067.0,5_2_8
020050209,682.0,155.0,837.0,5_2_9
020050210,575.0,100.0,675.0,5_2_10
020050211,763.0,78.0,841.0,5_2_11
020050301,655.0,102.0,757.0,5_3_1
020050302,923.0,222.0,1145.0,5_3_2
020050303,261.0,108.0,369.0,5_3_3
020050304,451.0,131.0,582.0,5_3_4
020050305,628.0,99.0,727.0,5_3_5
020050306,606.0,63.0,669.0,5_3_6
020050307,504.0,59.0,563.0,5_3_7
020050308,327.0,30.0,357.0,5_3_8
020050309,527.0,83.0,610.0,5_3_9
020050310,465.0,70.0,535.0,5_3_10
020050311,723.0,116.0,839.0,5_3_11
020050401,913.0,117.0,1030.0,5_4_1
020050402,653.0,73.0,726.0,5_4_2
020050403,577.0,126.0,703.0,5_4_3
020050404,631.0,68.0,699.0,5_4_4
020050405,643.0,80.0,723.0,5_4_5
020050406,942.0,85.0,1027.0,5_4_6
020050407,506.0,47.0,553.0,5_4_7
020050408,982.0,112.0,1094.0,5_4_8
020050409,625.0,153.0,778.0,5_4_9
020050501,737.0,47.0,784.0,5_5_1
020050502,1244.0,109.0,1353.0,5_5_2
020050503,667.0,76.0,743.0,5_5_3
020050504,671.0,56.0,727.0,5_5_4
020050505,539.0,54.0,593.0,5_5_5
020050506,642.0,74.0,716.0,5_5_6
020050507,793.0,97.0,890.0,5_5_7
020050508,648.0,62.0,710.0,5_5_8
020050601,686.0,54.0,740.0,5_6_1
020050602,926.0,65.0,991.0,5_6_2
020050603,803.0,74.0,877.0,5_6_3
020050604,1379.0,102.0,1481.0,5_6_4
020050605,1046.0,88.0,1134.0,5_6_5
020050606,832.0,75.0,907.0,5_6_6
020050607,778.0,116.0,894.0,5_6_7
020050608,869.0,53.0,922.0,5_6_8
020050701,1102.0,104.0,1206.0,5_7_1
020050702,451.0,87.0,538.0,5_7_2
020050703,581.0,59.0,640.0,5_7_3
020050704,1239.0,125.0,1364.0,5_7_4
020050705,1114.0,181.0,1295.0,5_7_5
020050706,537.0,90.0,627.0,5_7_6
020050707,800.0,94.0,894.0,5_7_7
020050708,783.0,126.0,909.0,5_7_8
020050801,1059.0,112.0,1171.0,5_8_1
020050802,617.0,86.0,703.0,5_8_2
020050803,1015.0,165.0,1180.0,5_8_3
020050804,894.0,96.0,990.0,5_8_4
020050805,349.0,52.0,401.0,5_8_5
020050806,781.0,115.0,896.0,5_8_6
020050807,752.0,103.0,855.0,5_8_7
020050808,730.0,104.0,834.0,5_8_8
020050809,713.0,54.0,767.0,5_8_9
020050901,975.0,107.0,1082.0,5_9_1
020050902,564.0,37.0,601.0,5_9_2
020050903,524.0,51.0,575.0,5_9_3
020050904,462.0,64.0,526.0,5_9_4
020050905,519.0,57.0,576.0,5_9_5
020050906,517.0,55.0,572.0,5_9_6
020050907,441.0,44.0,485.0,5_9_7
020050908,863.0,78.0,941.0,5_9_8
020050909,832.0,92.0,924.0,5_9_9
020050910,690.0,116.0,806.0,5_9_10
020051001,1070.0,90.0,1160.0,5_10_1
020051002,999.0,83.0,1082.0,5_10_2
020051003,336.0,80.0,416.0,5_10_3
020051004,502.0,55.0,557.0,5_10_4
020051005,668.0,81.0,749.0,5_10_5
020051006,659.0,132.0,791.0,5_10_6
020051007,1140.0,85.0,1225.0,5_10_7
020051008,603.0,57.0,660.0,5_10_8
020051009,695.0,90.0,785.0,5_10_9
020051010,471.0,69.0,540.0,5_10_10
020051101,1022.0,122.0,1144.0,5_11_1
020051102,803.0,91.0,894.0,5_11_2
020051103,632.0,62.0,694.0,5_11_3
020051104,631.0,51.0,682.0,5_11_4
020051105,683.0,81.0,764.0,5_11_5
020051106,677.0,70.0,747.0,5_11_6
020051107,936.0,123.0,1059.0,5_11_7
020051108,687.0,104.0,791.0,5_11_8
020051109,889.0,137.0,1026.0,5_11_9
020051110,776.0,79.0,855.0,5_11_10
020051201,531.0,75.0,606.0,5_12_1
020051202,1700.0,121.0,1821.0,5_12_2
020051203,886.0,63.0,949.0,5_12_3
020051204,667.0,68.0,735.0,5_12_4
020051205,395.0,40.0,435.0,5_12_5
020051206,1458.0,117.0,1575.0,5_12_6
020051207,832.0,65.0,897.0,5_12_7
020051301,786.0,70.0,856.0,5_13_1
020051302,673.0,37.0,710.0,5_13_2
020051303,711.0,48.0,759.0,5_13_3
020051304,657.0,74.0,731.0,5_13_4
020051305,713.0,82.0,795.0,5_13_5
020051306,775.0,75.0,850.0,5_13_6
020051307,675.0,64.0,739.0,5_13_7
020051308,896.0,44.0,940.0,5_13_8
020051309,968.0,54.0,1022.0,5_13_9
020051401,631.0,28.0,659.0,5_14_1
020051402,588.0,84.0,672.0,5_14_2
020051403,1053.0,100.0,1153.0,5_14_3
020051404,862.0,69.0,931.0,5_14_4
020051405,1466.0,126.0,1592.0,5_14_5
020051406,1139.0,90.0,1229.0,5_14_6
020051407,405.0,49.0,454.0,5_14_7
020051408,548.0,102.0,650.0,5_14_8
020051409,774.0,133.0,907.0,5_14_9
020051501,990.0,114.0,1104.0,5_15_1
020051502,985.0,114.0,1099.0,5_15_2
020051503,532.0,54.0,586.0,5_15_3
020051504,1081.0,105.0,1186.0,5_15_4
020051505,845.0,77.0,922.0,5_15_5
020051506,760.0,103.0,863.0,5_15_6
020051507,649.0,74.0,723.0,5_15_7
020051508,617.0,158.0,775.0,5_15_8
020051509,339.0,67.0,406.0,5_15_9
020051601,735.0,98.0,833.0,5_16_1
020051602,571.0,57.0,628.0,5_16_2
020051603,553.0,79.0,632.0,5_16_3
020051604,873.0,152.0,1025.0,5_16_4
020051605,760.0,86.0,846.0,5_16_5
020051606,632.0,83.0,715.0,5_16_6
020051607,491.0,113.0,604.0,5_16_7
020051608,885.0,145.0,1030.0,5_16_8
020051609,789.0,129.0,918.0,5_16_9
020051610,803.0,120.0,923.0,5_16_10
020051611,970.0,93.0,1063.0,5_16_11
020051701,644.0,62.0,706.0,5_17_1
020051702,706.0,109.0,815.0,5_17_2
020051703,671.0,83.0,754.0,5_17_3
020051704,759.0,83.0,842.0,5_17_4
020051705,693.0,54.0,747.0,5_17_5
020051706,731.0,44.0,775.0,5_17_6
020051707,849.0,57.0,906.0,5_17_7
020051708,846.0,92.0,938.0,5_17_8
020051709,517.0,41.0,558.0,5_17_9
020051710,681.0,76.0,757.0,5_17_10
020051711,802.0,77.0,879.0,5_17_11
020051801,870.0,73.0,943.0,5_18_1
020051802,834.0,66.0,900.0,5_18_2
020051803,764.0,88.0,852.0,5_18_3
020051804,729.0,59.0,788.0,5_18_4
020051805,766.0,62.0,828.0,5_18_5
020051806,623.0,61.0,684.0,5_18_6
020051807,671.0,53.0,724.0,5_18_7
020051808,354.0,54.0,408.0,5_18_8
020051809,633.0,56.0,689.0,5_18_9
020051810,709.0,109.0,818.0,5_18_10
020051811,679.0,39.0,718.0,5_18_11
020051901,781.0,75.0,856.0,5_19_1
020051902,629.0,63.0,692.0,5_19_2
020051903,813.0,116.0,929.0,5_19_3
020051904,911.0,83.0,994.0,5_19_4
020051905,657.0,111.0,768.0,5_19_5
020051906,728.0,80.0,808.0,5_19_6
020051907,405.0,41.0,446.0,5_19_7
020051908,840.0,82.0,922.0,5_19_8
020051909,522.0,83.0,605.0,5_19_9
020051910,709.0,89.0,798.0,5_19_10
020051911,955.0,91.0,1046.0,5_19_11
020052001,677.0,87.0,764.0,5_20_1
020052002,815.0,115.0,930.0,5_20_2
020052003,912.0,153.0,1065.0,5_20_3
020052004,708.0,96.0,804.0,5_20_4
020052005,805.0,96.0,901.0,5_20_5
020052006,734.0,112.0,846.0,5_20_6
020052007,776.0,136.0,912.0,5_20_7
020052008,758.0,149.0,907.0,5_20_8
020052009,788.0,73.0,861.0,5_20_9
020052010,819.0,143.0,962.0,5_20_10
020052011,736.0,94.0,830.0,5_20_11
020052012,797.0,108.0,905.0,5_20_12
020052101,793.0,67.0,860.0,5_21_1
020052102,728.0,129.0,857.0,5_21_2
020052103,495.0,36.0,531.0,5_21_3
020052104,822.0,92.0,914.0,5_21_4
020052105,579.0,61.0,640.0,5_21_5
020052106,649.0,68.0,717.0,5_21_6
020052107,653.0,66.0,719.0,5_21_7
020052108,651.0,77.0,728.0,5_21_8
020052109,652.0,74.0,726.0,5_21_9
020052110,538.0,61.0,599.0,5_21_10
020052111,642.0,52.0,694.0,5_21_11
020052201,670.0,68.0,738.0,5_22_1
020052202,743.0,84.0,827.0,5_22_2
020052203,558.0,71.0,629.0,5_22_3
020052204,858.0,78.0,936.0,5_22_4
020052205,670.0,131.0,801.0,5_22_5
020052206,819.0,119.0,938.0,5_22_6
020052207,1413.0,183.0,1596.0,5_22_7
020052208,640.0,73.0,713.0,5_22_8
020052209,786.0,115.0,901.0,5_22_9
020052210,745.0,113.0,858.0,5_22_10
020052211,764.0,130.0,894.0,5_22_11
020052212,794.0,115.0,909.0,5_22_12
020052213,605.0,73.0,678.0,5_22_13
020060101,607.0,70.0,677.0,6_1_1
020060102,749.0,75.0,824.0,6_1_2
