Código,Sí,No,Total,COMUNAS
02001,77558.0,6910.0,84468.0,1
02002,72641.0,515.0,73156.0,2
02003,76928.0,3561.0,80489.0,3
02004,73047.0,3408.0,76455.0,4
02005,75319.0,1527.0,76846.0,5
02006,74619.0,570.0,75189.0,6
02007,77467.0,4016.0,81483.0,7
02008,54079.0,4125.0,58204.0,8
02009,55333.0,1162.0,56495.0,9
02010,60532.0,921.0,61453.0,10
02011,70946.0,514.0,71460.0,11
02012,78046.0,501.0,78547.0,12
02013,99791.0,715.0,100506.0,13
02014,101975.0,943.0,102918.0,14
02015,71385.0,1080.0,72465.0,15
