,Código,Satisfactoria,Básica,Insuficiente,Total
236,0201111,2465.0,5.0,6.0,2476.0
237,0201112,2590.0,8.0,1.0,2599.0
238,0201113,3609.0,7.0,8.0,3624.0
239,0201114,2691.0,10.0,10.0,2711.0
240,0201115,3537.0,13.0,98.0,3648.0
241,0201116,2890.0,12.0,51.0,2953.0
242,0201117,2380.0,22.0,25.0,2427.0
243,0201118,2789.0,20.0,29.0,2838.0
244,0201119,2645.0,5.0,12.0,2662.0
245,0201120,3017.0,13.0,16.0,3046.0
246,0201121,3354.0,12.0,28.0,3394.0
247,0201122,3302.0,15.0,18.0,3335.0
248,0201201,2850.0,15.0,9.0,2874.0
249,0201202,2719.0,6.0,6.0,2731.0
250,0201203,2836.0,15.0,16.0,2867.0
251,0201204,2909.0,4.0,4.0,2917.0
252,0201205,3529.0,9.0,7.0,3545.0
253,0201206,3138.0,10.0,8.0,3156.0
254,0201207,3507.0,9.0,12.0,3528.0
255,0201208,3588.0,5.0,5.0,3598.0
256,0201209,2462.0,19.0,11.0,2492.0
257,0201210,3439.0,12.0,20.0,3471.0
258,0201211,3257.0,9.0,23.0,3289.0
259,0201212,2794.0,3.0,4.0,2801.0
260,0201213,3042.0,7.0,8.0,3057.0
261,0201214,3801.0,13.0,17.0,3831.0
262,0201215,4535.0,5.0,24.0,4564.0
263,0201216,4986.0,48.0,73.0,5107.0
264,0201217,3009.0,9.0,8.0,3026.0
265,0201218,3830.0,27.0,19.0,3876.0
266,0201219,4044.0,16.0,51.0,4111.0
267,0201220,3002.0,5.0,8.0,3015.0
268,0201221,3226.0,12.0,46.0,3284.0
269,0201222,3835.0,9.0,11.0,3855.0
270,0201301,3870.0,2.0,42.0,3914.0
271,0201302,3748.0,7.0,21.0,3776.0
272,0201303,3301.0,4.0,5.0,3310.0
273,0201304,4710.0,8.0,42.0,4760.0
274,0201305,3208.0,5.0,7.0,3220.0
275,0201306,2946.0,1.0,6.0,2953.0
276,0201307,3115.0,1.0,2.0,3118.0
277,0201308,3462.0,0.0,10.0,3472.0
278,0201309,3120.0,1.0,3.0,3124.0
279,0201310,3911.0,3.0,28.0,3942.0
280,0201311,1667.0,8.0,7.0,1682.0
281,0201312,2846.0,5.0,3.0,2854.0
282,0201313,4287.0,3.0,5.0,4295.0
283,0201314,2922.0,2.0,7.0,2931.0
284,0201315,4054.0,6.0,15.0,4075.0
285,0201316,4247.0,4.0,6.0,4257.0
286,0201317,3882.0,4.0,8.0,3894.0
287,0201318,3085.0,1.0,3.0,3089.0
288,0201319,3393.0,5.0,18.0,3416.0
289,0201320,3678.0,1.0,3.0,3682.0
290,0201321,2989.0,2.0,2.0,2993.0
291,0201322,2801.0,1.0,3.0,2805.0
292,0201323,3910.0,3.0,18.0,3931.0
293,0201324,2931.0,6.0,37.0,2974.0
294,0201325,2397.0,22.0,2.0,2421.0
295,0201326,3080.0,10.0,47.0,3137.0
296,0201327,3451.0,1.0,12.0,3464.0
297,0201328,2919.0,7.0,20.0,2946.0
298,0201329,3279.0,8.0,10.0,3297.0
299,0201401,3649.0,2.0,14.0,3665.0
300,0201402,3546.0,2.0,9.0,3557.0
301,0201403,4079.0,7.0,30.0,4116.0
302,0201404,3908.0,9.0,10.0,3927.0
303,0201405,3524.0,4.0,14.0,3542.0
304,0201406,3513.0,2.0,27.0,3542.0
305,0201407,2673.0,7.0,13.0,2693.0
306,0201408,2938.0,1.0,4.0,2943.0
307,0201409,4739.0,7.0,30.0,4776.0
308,0201410,6.0,0.0,0.0,6.0
309,0201411,4605.0,9.0,10.0,4624.0
310,0201412,3105.0,7.0,38.0,3150.0
311,0201413,3130.0,16.0,60.0,3206.0
312,0201414,3471.0,0.0,19.0,3490.0
313,0201415,3337.0,6.0,33.0,3376.0
314,0201416,2614.0,1.0,5.0,2620.0
315,0201417,2747.0,0.0,3.0,2750.0
316,0201418,3017.0,7.0,9.0,3033.0
317,0201419,2556.0,1.0,5.0,2562.0
318,0201420,2812.0,1.0,13.0,2826.0
319,0201421,2790.0,15.0,30.0,2835.0
320,0201422,3365.0,7.0,36.0,3408.0
321,0201423,3686.0,8.0,25.0,3719.0
322,0201424,2623.0,9.0,3.0,2635.0
323,0201425,2817.0,2.0,8.0,2827.0
324,0201426,3163.0,6.0,5.0,3174.0
325,0201427,2708.0,0.0,33.0,2741.0
326,0201428,3697.0,10.0,10.0,3717.0
327,0201429,3448.0,20.0,19.0,3487.0
328,0201430,3452.0,0.0,10.0,3462.0
329,0201431,3101.0,4.0,38.0,3143.0
330,0201501,3413.0,22.0,37.0,3472.0
331,0201502,2410.0,12.0,7.0,2429.0
332,0201503,3996.0,18.0,11.0,4025.0
333,0201504,3765.0,12.0,31.0,3808.0
334,0201505,3701.0,22.0,7.0,3730.0
335,0201506,1643.0,6.0,14.0,1663.0
336,0201507,3203.0,36.0,126.0,3365.0
337,0201508,3039.0,19.0,20.0,3078.0
338,0201509,2000.0,33.0,112.0,2145.0
339,0201510,3861.0,18.0,70.0,3949.0
340,0201511,3955.0,28.0,47.0,4030.0
341,0201512,2497.0,6.0,25.0,2528.0
342,0201513,2689.0,13.0,63.0,2765.0
343,0201514,3567.0,14.0,33.0,3614.0
344,0201515,3104.0,27.0,61.0,3192.0
345,0201516,3331.0,1.0,41.0,3373.0
346,0201517,3725.0,4.0,9.0,3738.0
347,0201518,3073.0,2.0,31.0,3106.0
348,0201519,3582.0,2.0,9.0,3593.0
349,0201520,3550.0,4.0,13.0,3567.0
350,0201521,3816.0,5.0,42.0,3863.0
