Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRACC
0200424,1258.0,1336.0,43.0,6.0,2643.0,004_24
0200425,1158.0,1679.0,125.0,16.0,2978.0,004_25
0200426,635.0,243.0,3.0,3.0,884.0,004_26
0200501,3282.0,17.0,0.0,7.0,3306.0,005_1
0200502,3536.0,39.0,0.0,10.0,3585.0,005_2
0200503,3184.0,63.0,1.0,26.0,3274.0,005_3
0200504,3329.0,24.0,1.0,14.0,3368.0,005_4
0200505,2874.0,16.0,4.0,9.0,2903.0,005_5
0200506,3556.0,26.0,1.0,24.0,3607.0,005_6
0200507,3066.0,55.0,0.0,19.0,3140.0,005_7
0200508,3418.0,22.0,0.0,39.0,3479.0,005_8
0200509,3152.0,31.0,0.0,34.0,3217.0,005_9
0200510,3494.0,16.0,0.0,34.0,3544.0,005_10
0200511,3711.0,48.0,0.0,18.0,3777.0,005_11
0200512,3109.0,41.0,0.0,40.0,3190.0,005_12
0200513,3253.0,24.0,0.0,10.0,3287.0,005_13
0200514,3746.0,12.0,0.0,18.0,3776.0,005_14
0200515,3448.0,20.0,1.0,13.0,3482.0,005_15
0200516,3739.0,59.0,1.0,10.0,3809.0,005_16
0200517,3536.0,26.0,1.0,20.0,3583.0,005_17
0200518,3308.0,60.0,0.0,12.0,3380.0,005_18
0200519,3740.0,42.0,0.0,35.0,3817.0,005_19
0200520,3838.0,131.0,1.0,12.0,3982.0,005_20
0200521,3100.0,40.0,0.0,9.0,3149.0,005_21
0200522,4089.0,68.0,3.0,31.0,4191.0,005_22
0200601,3410.0,55.0,0.0,9.0,3474.0,006_1
0200602,3552.0,23.0,0.0,12.0,3587.0,006_2
0200603,3364.0,30.0,1.0,2.0,3397.0,006_3
0200604,3266.0,41.0,1.0,13.0,3321.0,006_4
0200605,3919.0,20.0,1.0,15.0,3955.0,006_5
0200606,3684.0,21.0,0.0,16.0,3721.0,006_6
0200607,3984.0,58.0,0.0,17.0,4059.0,006_7
0200608,3564.0,13.0,0.0,7.0,3584.0,006_8
0200609,2928.0,17.0,2.0,15.0,2962.0,006_9
0200610,3816.0,18.0,0.0,5.0,3839.0,006_10
0200611,3161.0,12.0,0.0,21.0,3194.0,006_11
0200612,3382.0,31.0,1.0,8.0,3422.0,006_12
0200613,3588.0,17.0,0.0,7.0,3612.0,006_13
0200614,3567.0,21.0,1.0,5.0,3594.0,006_14
0200615,3552.0,19.0,0.0,26.0,3597.0,006_15
0200616,4281.0,24.0,1.0,27.0,4333.0,006_16
0200617,3107.0,14.0,1.0,5.0,3127.0,006_17
0200618,3381.0,18.0,0.0,19.0,3418.0,006_18
0200619,3682.0,11.0,0.0,8.0,3701.0,006_19
0200620,3360.0,12.0,0.0,6.0,3378.0,006_20
0200621,3863.0,41.0,0.0,10.0,3914.0,006_21
0200701,2701.0,50.0,0.0,4.0,2755.0,007_1
0200702,3266.0,38.0,0.0,7.0,3311.0,007_2
0200703,3597.0,37.0,2.0,18.0,3654.0,007_3
0200704,4134.0,25.0,5.0,3.0,4167.0,007_4
0200705,3118.0,47.0,0.0,9.0,3174.0,007_5
0200706,2842.0,14.0,0.0,24.0,2880.0,007_6
0200707,3258.0,23.0,0.0,10.0,3291.0,007_7
0200708,2714.0,19.0,0.0,6.0,2739.0,007_8
0200709,3289.0,14.0,1.0,19.0,3323.0,007_9
0200710,3012.0,9.0,0.0,13.0,3034.0,007_10
0200711,3505.0,12.0,0.0,6.0,3523.0,007_11
0200712,2533.0,20.0,0.0,2.0,2555.0,007_12
0200713,3628.0,30.0,0.0,12.0,3670.0,007_13
0200714,3713.0,87.0,0.0,7.0,3807.0,007_14
0200715,3168.0,149.0,1.0,51.0,3369.0,007_15
0200716,2533.0,84.0,5.0,17.0,2639.0,007_16
0200717,2559.0,2325.0,16.0,17.0,4917.0,007_17
0200718,1780.0,1706.0,67.0,11.0,3564.0,007_18
0200719,1920.0,496.0,4.0,11.0,2431.0,007_19
0200720,3896.0,140.0,0.0,97.0,4133.0,007_20
0200721,3999.0,33.0,0.0,17.0,4049.0,007_21
0200722,3889.0,32.0,0.0,10.0,3931.0,007_22
0200723,2703.0,31.0,2.0,35.0,2771.0,007_23
0200724,3711.0,72.0,2.0,11.0,3796.0,007_24
0200801,3502.0,2462.0,59.0,19.0,6042.0,008_1
