Código,Sí,No,Total,CO_FRAC_RA
020011207,330.0,17.0,347.0,1_12_7
020011208,127.0,2.0,129.0,1_12_8
020011209,329.0,13.0,342.0,1_12_9
020011210,96.0,5.0,101.0,1_12_10
020011211,130.0,6.0,136.0,1_12_11
020011212,90.0,0.0,90.0,1_12_12
020011301,163.0,0.0,163.0,1_13_1
020011302,60.0,0.0,60.0,1_13_2
020011303,20.0,0.0,20.0,1_13_3
020011304,136.0,0.0,136.0,1_13_4
020011305,154.0,0.0,154.0,1_13_5
020011306,100.0,0.0,100.0,1_13_6
020011307,241.0,0.0,241.0,1_13_7
020011308,156.0,0.0,156.0,1_13_8
020011309,157.0,0.0,157.0,1_13_9
020011310,235.0,0.0,235.0,1_13_10
020011311,142.0,0.0,142.0,1_13_11
020011312,138.0,0.0,138.0,1_13_12
020011313,103.0,1.0,104.0,1_13_13
020011314,489.0,170.0,659.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,216.0,31.0,247.0,1_14_1
020011402,214.0,12.0,226.0,1_14_2
020011403,173.0,23.0,196.0,1_14_3
020011404,39.0,0.0,39.0,1_14_4
020011405,183.0,43.0,226.0,1_14_5
020011406,282.0,11.0,293.0,1_14_6
020011407,212.0,3.0,215.0,1_14_7
020011408,156.0,40.0,196.0,1_14_8
020011409,239.0,7.0,246.0,1_14_9
020011410,217.0,3.0,220.0,1_14_10
020011411,246.0,7.0,253.0,1_14_11
020011412,207.0,10.0,217.0,1_14_12
020011501,163.0,7.0,170.0,1_15_1
020011502,230.0,19.0,249.0,1_15_2
020011503,198.0,2.0,200.0,1_15_3
020011504,333.0,2.0,335.0,1_15_4
020011505,170.0,17.0,187.0,1_15_5
020011506,275.0,30.0,305.0,1_15_6
020011507,250.0,20.0,270.0,1_15_7
020011508,265.0,45.0,310.0,1_15_8
020011509,324.0,28.0,352.0,1_15_9
020011510,275.0,16.0,291.0,1_15_10
020011511,226.0,55.0,281.0,1_15_11
020011601,157.0,32.0,189.0,1_16_1
020011602,157.0,7.0,164.0,1_16_2
020011603,350.0,63.0,413.0,1_16_3
020011604,327.0,21.0,348.0,1_16_4
020011605,192.0,16.0,208.0,1_16_5
020011606,213.0,15.0,228.0,1_16_6
020011607,439.0,36.0,475.0,1_16_7
020011608,219.0,1.0,220.0,1_16_8
020011609,159.0,1.0,160.0,1_16_9
020011610,290.0,1.0,291.0,1_16_10
020011611,206.0,11.0,217.0,1_16_11
020011612,136.0,3.0,139.0,1_16_12
020011701,352.0,37.0,389.0,1_17_1
020011702,263.0,40.0,303.0,1_17_2
020011703,311.0,13.0,324.0,1_17_3
020011704,282.0,5.0,287.0,1_17_4
020011705,246.0,10.0,256.0,1_17_5
020011706,297.0,70.0,367.0,1_17_6
020011707,294.0,29.0,323.0,1_17_7
020011708,234.0,33.0,267.0,1_17_8
020011709,221.0,18.0,239.0,1_17_9
020011710,268.0,11.0,279.0,1_17_10
020011711,202.0,16.0,218.0,1_17_11
020011801,401.0,41.0,442.0,1_18_1
020011802,350.0,7.0,357.0,1_18_2
020011803,273.0,19.0,292.0,1_18_3
020011804,331.0,10.0,341.0,1_18_4
020011805,264.0,10.0,274.0,1_18_5
020011806,488.0,19.0,507.0,1_18_6
020011807,302.0,15.0,317.0,1_18_7
020011808,290.0,11.0,301.0,1_18_8
020011809,286.0,17.0,303.0,1_18_9
020011901,400.0,24.0,424.0,1_19_1
020011902,489.0,9.0,498.0,1_19_2
020011903,142.0,3.0,145.0,1_19_3
020011904,296.0,7.0,303.0,1_19_4
020011905,265.0,6.0,271.0,1_19_5
020011906,162.0,54.0,216.0,1_19_6
020011907,302.0,23.0,325.0,1_19_7
020011908,107.0,53.0,160.0,1_19_8
020011909,222.0,1.0,223.0,1_19_9
020012001,236.0,23.0,259.0,1_20_1
020012002,288.0,10.0,298.0,1_20_2
020012003,215.0,23.0,238.0,1_20_3
020012004,336.0,7.0,343.0,1_20_4
020012005,352.0,0.0,352.0,1_20_5
020012006,323.0,13.0,336.0,1_20_6
020012007,207.0,0.0,207.0,1_20_7
020012008,201.0,17.0,218.0,1_20_8
020012009,232.0,15.0,247.0,1_20_9
020012010,277.0,39.0,316.0,1_20_10
020012101,238.0,28.0,266.0,1_21_1
020012102,245.0,21.0,266.0,1_21_2
020012103,147.0,23.0,170.0,1_21_3
020012104,414.0,86.0,500.0,1_21_4
020012105,244.0,31.0,275.0,1_21_5
020012106,239.0,25.0,264.0,1_21_6
020012107,293.0,39.0,332.0,1_21_7
020012108,229.0,11.0,240.0,1_21_8
020012109,304.0,24.0,328.0,1_21_9
