Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020040902,57.0,42.0,83.0,28.0,32.0,12.0,254.0,4_9_2
020040903,45.0,37.0,66.0,12.0,24.0,2.0,186.0,4_9_3
020040904,25.0,26.0,60.0,16.0,37.0,12.0,176.0,4_9_4
020040905,49.0,35.0,65.0,22.0,14.0,4.0,189.0,4_9_5
020040906,57.0,53.0,126.0,26.0,17.0,0.0,279.0,4_9_6
020040907,56.0,55.0,101.0,24.0,25.0,2.0,263.0,4_9_7
020041001,3.0,1.0,6.0,2.0,10.0,1.0,23.0,4_10_1
020041002,59.0,35.0,205.0,65.0,243.0,54.0,661.0,4_10_2
020041003,61.0,27.0,149.0,57.0,169.0,44.0,507.0,4_10_3
020041004,15.0,11.0,36.0,14.0,36.0,12.0,124.0,4_10_4
020041005,73.0,52.0,164.0,56.0,136.0,38.0,519.0,4_10_5
020041006,38.0,29.0,110.0,34.0,80.0,15.0,306.0,4_10_6
020041007,34.0,15.0,81.0,34.0,83.0,26.0,273.0,4_10_7
020041008,46.0,18.0,122.0,54.0,195.0,57.0,492.0,4_10_8
020041009,71.0,41.0,171.0,72.0,223.0,46.0,624.0,4_10_9
020041101,87.0,57.0,80.0,25.0,37.0,7.0,293.0,4_11_1
020041102,123.0,85.0,101.0,10.0,8.0,0.0,327.0,4_11_2
020041103,81.0,63.0,107.0,13.0,16.0,2.0,282.0,4_11_3
020041104,90.0,57.0,73.0,20.0,10.0,0.0,250.0,4_11_4
020041105,63.0,33.0,60.0,12.0,16.0,1.0,185.0,4_11_5
020041106,70.0,76.0,109.0,30.0,32.0,3.0,320.0,4_11_6
020041107,51.0,48.0,107.0,33.0,69.0,20.0,328.0,4_11_7
020041108,71.0,80.0,122.0,19.0,20.0,1.0,313.0,4_11_8
020041109,49.0,32.0,87.0,29.0,58.0,14.0,269.0,4_11_9
020041201,48.0,29.0,90.0,19.0,40.0,3.0,229.0,4_12_1
020041202,49.0,23.0,61.0,9.0,57.0,17.0,216.0,4_12_2
020041203,76.0,51.0,102.0,20.0,43.0,10.0,302.0,4_12_3
020041204,101.0,75.0,116.0,32.0,44.0,3.0,371.0,4_12_4
020041205,67.0,41.0,74.0,16.0,29.0,4.0,231.0,4_12_5
020041206,54.0,33.0,72.0,26.0,50.0,14.0,249.0,4_12_6
020041207,34.0,25.0,64.0,16.0,14.0,4.0,157.0,4_12_7
020041208,47.0,38.0,68.0,9.0,17.0,5.0,184.0,4_12_8
020041209,118.0,70.0,91.0,15.0,16.0,2.0,312.0,4_12_9
020041210,59.0,67.0,81.0,26.0,37.0,14.0,284.0,4_12_10
020041211,89.0,68.0,83.0,11.0,6.0,3.0,260.0,4_12_11
020041212,76.0,42.0,79.0,11.0,15.0,0.0,223.0,4_12_12
020041301,132.0,87.0,109.0,15.0,14.0,0.0,357.0,4_13_1
020041302,74.0,50.0,73.0,13.0,23.0,7.0,240.0,4_13_2
020041303,73.0,35.0,87.0,11.0,34.0,13.0,253.0,4_13_3
020041304,95.0,39.0,71.0,15.0,6.0,0.0,226.0,4_13_4
020041305,115.0,102.0,154.0,7.0,13.0,0.0,391.0,4_13_5
020041306,62.0,35.0,75.0,9.0,20.0,3.0,204.0,4_13_6
020041307,150.0,95.0,135.0,13.0,7.0,0.0,400.0,4_13_7
020041308,61.0,32.0,47.0,6.0,22.0,6.0,174.0,4_13_8
020041309,59.0,56.0,41.0,7.0,7.0,0.0,170.0,4_13_9
020041310,74.0,43.0,68.0,10.0,7.0,0.0,202.0,4_13_10
020041311,127.0,101.0,165.0,27.0,27.0,1.0,448.0,4_13_11
020041401,44.0,34.0,99.0,14.0,67.0,14.0,272.0,4_14_1
020041402,69.0,32.0,92.0,5.0,50.0,11.0,259.0,4_14_2
020041403,90.0,45.0,85.0,12.0,35.0,10.0,277.0,4_14_3
020041404,106.0,62.0,216.0,24.0,80.0,7.0,495.0,4_14_4
020041405,120.0,54.0,100.0,14.0,13.0,1.0,302.0,4_14_5
020041406,77.0,42.0,70.0,12.0,7.0,0.0,208.0,4_14_6
020041407,70.0,55.0,98.0,14.0,43.0,9.0,289.0,4_14_7
020041408,134.0,61.0,122.0,23.0,55.0,15.0,410.0,4_14_8
020041409,77.0,46.0,95.0,13.0,29.0,2.0,262.0,4_14_9
020041501,97.0,46.0,85.0,12.0,18.0,1.0,259.0,4_15_1
020041502,219.0,105.0,219.0,38.0,38.0,5.0,624.0,4_15_2
020041503,189.0,123.0,127.0,26.0,18.0,0.0,483.0,4_15_3
020041504,111.0,61.0,88.0,24.0,12.0,1.0,297.0,4_15_4
020041505,72.0,53.0,72.0,12.0,10.0,0.0,219.0,4_15_5
020041506,80.0,38.0,84.0,19.0,17.0,2.0,240.0,4_15_6
020041507,95.0,66.0,87.0,13.0,13.0,0.0,274.0,4_15_7
020041508,90.0,51.0,103.0,13.0,13.0,0.0,270.0,4_15_8
020041509,71.0,63.0,77.0,17.0,25.0,1.0,254.0,4_15_9
020041510,58.0,32.0,71.0,10.0,17.0,0.0,188.0,4_15_10
020041601,71.0,74.0,80.0,20.0,14.0,0.0,259.0,4_16_1
020041602,142.0,40.0,397.0,67.0,245.0,38.0,929.0,4_16_2
020041603,70.0,72.0,211.0,42.0,38.0,5.0,438.0,4_16_3
020041604,80.0,52.0,82.0,19.0,28.0,6.0,267.0,4_16_4
020041605,130.0,47.0,146.0,38.0,45.0,6.0,412.0,4_16_5
020041606,68.0,40.0,97.0,22.0,18.0,3.0,248.0,4_16_6
020041607,32.0,22.0,69.0,20.0,11.0,2.0,156.0,4_16_7
020041608,47.0,30.0,57.0,26.0,44.0,15.0,219.0,4_16_8
020041609,86.0,42.0,168.0,41.0,86.0,8.0,431.0,4_16_9
020041610,82.0,61.0,86.0,17.0,34.0,0.0,280.0,4_16_10
020041701,115.0,42.0,56.0,4.0,3.0,1.0,221.0,4_17_1
020041702,89.0,47.0,79.0,10.0,11.0,4.0,240.0,4_17_2
020041703,65.0,30.0,80.0,14.0,24.0,4.0,217.0,4_17_3
020041704,84.0,72.0,109.0,13.0,17.0,1.0,296.0,4_17_4
020041705,102.0,92.0,105.0,14.0,15.0,0.0,328.0,4_17_5
020041706,95.0,75.0,90.0,9.0,10.0,1.0,280.0,4_17_6
020041707,88.0,60.0,79.0,10.0,17.0,1.0,255.0,4_17_7
020041708,60.0,40.0,126.0,34.0,79.0,19.0,358.0,4_17_8
020041709,132.0,71.0,112.0,10.0,11.0,1.0,337.0,4_17_9
020041710,66.0,26.0,79.0,28.0,70.0,11.0,280.0,4_17_10
020041801,10.0,3.0,29.0,1.0,1.0,1.0,45.0,4_18_1
020041901,63.0,36.0,83.0,16.0,41.0,16.0,255.0,4_19_1
020041902,84.0,29.0,82.0,24.0,36.0,4.0,259.0,4_19_2
020041903,64.0,35.0,134.0,24.0,47.0,19.0,323.0,4_19_3
020041904,62.0,31.0,113.0,41.0,97.0,31.0,375.0,4_19_4
020041905,82.0,54.0,69.0,27.0,40.0,14.0,286.0,4_19_5
020041906,63.0,22.0,111.0,46.0,92.0,29.0,363.0,4_19_6
020041907,24.0,8.0,94.0,35.0,92.0,34.0,287.0,4_19_7
020041908,39.0,28.0,122.0,48.0,160.0,62.0,459.0,4_19_8
020041909,48.0,25.0,83.0,31.0,110.0,42.0,339.0,4_19_9
020041910,58.0,25.0,103.0,20.0,46.0,11.0,263.0,4_19_10
020042001,59.0,39.0,118.0,18.0,75.0,15.0,324.0,4_20_1
020042002,68.0,40.0,97.0,24.0,26.0,2.0,257.0,4_20_2
020042003,42.0,19.0,89.0,30.0,83.0,18.0,281.0,4_20_3
020042004,22.0,15.0,68.0,25.0,75.0,16.0,221.0,4_20_4
020042005,27.0,24.0,54.0,25.0,65.0,16.0,211.0,4_20_5
020042006,91.0,37.0,84.0,33.0,52.0,8.0,305.0,4_20_6
020042007,73.0,44.0,89.0,27.0,50.0,7.0,290.0,4_20_7
020042008,27.0,28.0,89.0,31.0,55.0,13.0,243.0,4_20_8
020042009,57.0,44.0,107.0,34.0,42.0,9.0,293.0,4_20_9
020042010,63.0,33.0,121.0,51.0,79.0,17.0,364.0,4_20_10
020042011,66.0,37.0,108.0,35.0,66.0,11.0,323.0,4_20_11
020042012,144.0,81.0,164.0,42.0,31.0,9.0,471.0,4_20_12
020042101,37.0,17.0,74.0,30.0,69.0,18.0,245.0,4_21_1
020042102,27.0,10.0,82.0,23.0,92.0,29.0,263.0,4_21_2
020042103,47.0,33.0,65.0,23.0,31.0,8.0,207.0,4_21_3
020042104,49.0,16.0,69.0,24.0,64.0,27.0,249.0,4_21_4
020042105,54.0,25.0,73.0,25.0,47.0,14.0,238.0,4_21_5
020042106,72.0,29.0,81.0,31.0,51.0,6.0,270.0,4_21_6
020042107,64.0,30.0,92.0,35.0,41.0,13.0,275.0,4_21_7
020042108,49.0,31.0,91.0,34.0,73.0,16.0,294.0,4_21_8
020042109,33.0,17.0,81.0,29.0,73.0,20.0,253.0,4_21_9
020042110,27.0,12.0,57.0,23.0,82.0,33.0,234.0,4_21_10
020042111,42.0,24.0,80.0,28.0,75.0,32.0,281.0,4_21_11
020042112,44.0,20.0,53.0,18.0,46.0,9.0,190.0,4_21_12
020042201,87.0,45.0,108.0,8.0,9.0,0.0,257.0,4_22_1
020042202,84.0,40.0,110.0,27.0,28.0,8.0,297.0,4_22_2
020042203,129.0,76.0,113.0,20.0,14.0,0.0,352.0,4_22_3
020042204,148.0,138.0,164.0,32.0,12.0,1.0,495.0,4_22_4
020042205,95.0,58.0,84.0,17.0,23.0,7.0,284.0,4_22_5
020042206,73.0,56.0,105.0,8.0,12.0,1.0,255.0,4_22_6
020042207,111.0,67.0,168.0,21.0,34.0,1.0,402.0,4_22_7
020042208,84.0,72.0,137.0,30.0,36.0,4.0,363.0,4_22_8
020042209,65.0,34.0,79.0,30.0,44.0,7.0,259.0,4_22_9
020042210,75.0,61.0,70.0,9.0,13.0,1.0,229.0,4_22_10
020042211,91.0,42.0,113.0,21.0,16.0,7.0,290.0,4_22_11
020042212,41.0,33.0,75.0,16.0,45.0,8.0,218.0,4_22_12
020042301,57.0,47.0,94.0,24.0,40.0,10.0,272.0,4_23_1
020042302,55.0,53.0,113.0,21.0,39.0,7.0,288.0,4_23_2
020042303,56.0,34.0,91.0,21.0,36.0,20.0,258.0,4_23_3
020042304,56.0,49.0,102.0,19.0,33.0,6.0,265.0,4_23_4
020042305,79.0,45.0,74.0,16.0,13.0,0.0,227.0,4_23_5
020042306,92.0,47.0,100.0,15.0,44.0,6.0,304.0,4_23_6
020042307,58.0,37.0,74.0,19.0,38.0,7.0,233.0,4_23_7
020042308,62.0,59.0,106.0,28.0,31.0,2.0,288.0,4_23_8
020042309,32.0,28.0,57.0,11.0,17.0,5.0,150.0,4_23_9
020042310,55.0,46.0,84.0,25.0,33.0,16.0,259.0,4_23_10
020042311,18.0,17.0,79.0,20.0,54.0,18.0,206.0,4_23_11
020042312,43.0,31.0,64.0,25.0,52.0,17.0,232.0,4_23_12
020042401,41.0,27.0,112.0,47.0,154.0,34.0,415.0,4_24_1
020042402,58.0,34.0,183.0,73.0,147.0,43.0,538.0,4_24_2
020042403,65.0,20.0,117.0,37.0,111.0,23.0,373.0,4_24_3
020042404,54.0,49.0,147.0,69.0,169.0,46.0,534.0,4_24_4
020042405,49.0,23.0,108.0,40.0,154.0,32.0,406.0,4_24_5
020042406,32.0,26.0,113.0,45.0,130.0,31.0,377.0,4_24_6
020042501,40.0,25.0,154.0,71.0,296.0,102.0,688.0,4_25_1
020042502,66.0,46.0,190.0,98.0,172.0,52.0,624.0,4_25_2
020042503,112.0,81.0,340.0,102.0,349.0,109.0,1093.0,4_25_3
020042504,31.0,20.0,142.0,66.0,230.0,84.0,573.0,4_25_4
020042601,22.0,21.0,77.0,43.0,76.0,22.0,261.0,4_26_1
020042602,30.0,25.0,104.0,59.0,56.0,9.0,283.0,4_26_2
020042603,34.0,25.0,93.0,50.0,112.0,26.0,340.0,4_26_3
020050101,90.0,33.0,101.0,13.0,14.0,2.0,253.0,5_1_1
020050102,141.0,82.0,146.0,14.0,26.0,2.0,411.0,5_1_2
020050103,144.0,33.0,112.0,18.0,38.0,16.0,361.0,5_1_3
020050104,112.0,50.0,102.0,18.0,30.0,2.0,314.0,5_1_4
020050105,162.0,114.0,156.0,16.0,23.0,1.0,472.0,5_1_5
020050106,53.0,17.0,94.0,4.0,35.0,6.0,209.0,5_1_6
020050107,98.0,44.0,110.0,21.0,27.0,2.0,302.0,5_1_7
020050108,106.0,71.0,106.0,22.0,16.0,2.0,323.0,5_1_8
020050109,142.0,44.0,118.0,24.0,21.0,0.0,349.0,5_1_9
020050110,103.0,55.0,114.0,18.0,19.0,3.0,312.0,5_1_10
020050201,126.0,74.0,94.0,13.0,28.0,1.0,336.0,5_2_1
020050202,89.0,41.0,94.0,15.0,28.0,3.0,270.0,5_2_2
020050203,130.0,54.0,108.0,18.0,14.0,1.0,325.0,5_2_3
020050204,178.0,73.0,157.0,16.0,31.0,6.0,461.0,5_2_4
020050205,95.0,29.0,81.0,9.0,8.0,0.0,222.0,5_2_5
020050206,70.0,39.0,102.0,11.0,26.0,10.0,258.0,5_2_6
020050207,45.0,30.0,120.0,9.0,39.0,3.0,246.0,5_2_7
020050208,141.0,96.0,154.0,19.0,22.0,1.0,433.0,5_2_8
020050209,90.0,67.0,101.0,16.0,51.0,14.0,339.0,5_2_9
020050210,100.0,38.0,106.0,14.0,34.0,9.0,301.0,5_2_10
020050211,108.0,68.0,150.0,24.0,38.0,6.0,394.0,5_2_11
020050301,100.0,54.0,114.0,14.0,36.0,2.0,320.0,5_3_1
020050302,121.0,66.0,198.0,29.0,76.0,17.0,507.0,5_3_2
020050303,37.0,13.0,85.0,9.0,30.0,3.0,177.0,5_3_3
020050304,68.0,41.0,66.0,15.0,35.0,10.0,235.0,5_3_4
020050305,137.0,54.0,97.0,23.0,19.0,6.0,336.0,5_3_5
020050306,115.0,42.0,115.0,10.0,17.0,4.0,303.0,5_3_6
020050307,105.0,48.0,111.0,12.0,18.0,3.0,297.0,5_3_7
020050308,70.0,28.0,53.0,7.0,5.0,0.0,163.0,5_3_8
020050309,100.0,30.0,120.0,16.0,42.0,1.0,309.0,5_3_9
020050310,87.0,44.0,74.0,6.0,28.0,2.0,241.0,5_3_10
020050311,118.0,33.0,135.0,26.0,67.0,7.0,386.0,5_3_11
020050401,145.0,84.0,152.0,19.0,18.0,2.0,420.0,5_4_1
020050402,140.0,62.0,102.0,19.0,22.0,2.0,347.0,5_4_2
020050403,101.0,53.0,112.0,16.0,36.0,1.0,319.0,5_4_3
020050404,127.0,43.0,112.0,19.0,36.0,4.0,341.0,5_4_4
020050405,107.0,56.0,130.0,14.0,24.0,0.0,331.0,5_4_5
020050406,212.0,63.0,164.0,30.0,31.0,4.0,504.0,5_4_6
020050407,86.0,53.0,81.0,9.0,21.0,3.0,253.0,5_4_7
020050408,220.0,108.0,148.0,24.0,16.0,0.0,516.0,5_4_8
020050409,117.0,47.0,105.0,20.0,33.0,15.0,337.0,5_4_9
020050501,142.0,61.0,104.0,19.0,20.0,2.0,348.0,5_5_1
020050502,235.0,112.0,174.0,37.0,32.0,2.0,592.0,5_5_2
020050503,137.0,56.0,136.0,18.0,23.0,0.0,370.0,5_5_3
020050504,81.0,46.0,109.0,25.0,24.0,3.0,288.0,5_5_4
020050505,98.0,46.0,74.0,9.0,17.0,0.0,244.0,5_5_5
020050506,120.0,51.0,105.0,12.0,26.0,1.0,315.0,5_5_6
020050507,137.0,41.0,159.0,30.0,50.0,5.0,422.0,5_5_7
020050508,117.0,57.0,109.0,11.0,28.0,2.0,324.0,5_5_8
020050601,112.0,94.0,72.0,13.0,13.0,0.0,304.0,5_6_1
020050602,203.0,95.0,110.0,13.0,15.0,1.0,437.0,5_6_2
020050603,177.0,85.0,145.0,12.0,16.0,3.0,438.0,5_6_3
020050604,263.0,166.0,181.0,26.0,20.0,4.0,660.0,5_6_4
020050605,231.0,111.0,154.0,31.0,26.0,5.0,558.0,5_6_5
020050606,145.0,80.0,130.0,20.0,30.0,2.0,407.0,5_6_6
020050607,124.0,67.0,162.0,13.0,40.0,12.0,418.0,5_6_7
020050608,123.0,86.0,136.0,22.0,18.0,0.0,385.0,5_6_8
020050701,214.0,94.0,172.0,18.0,28.0,3.0,529.0,5_7_1
020050702,68.0,19.0,71.0,24.0,33.0,7.0,222.0,5_7_2
020050703,88.0,63.0,99.0,13.0,13.0,0.0,276.0,5_7_3
020050704,224.0,127.0,178.0,37.0,36.0,3.0,605.0,5_7_4
020050705,228.0,61.0,216.0,53.0,52.0,8.0,618.0,5_7_5
020050706,81.0,32.0,133.0,16.0,34.0,4.0,300.0,5_7_6
020050707,54.0,16.0,91.0,15.0,15.0,5.0,196.0,5_7_7
020050708,150.0,60.0,115.0,19.0,43.0,7.0,394.0,5_7_8
020050801,181.0,101.0,192.0,28.0,42.0,3.0,547.0,5_8_1
020050802,129.0,63.0,100.0,13.0,14.0,1.0,320.0,5_8_2
020050803,160.0,136.0,170.0,17.0,17.0,4.0,504.0,5_8_3
020050804,186.0,89.0,139.0,14.0,23.0,3.0,454.0,5_8_4
020050805,54.0,35.0,61.0,11.0,13.0,1.0,175.0,5_8_5
020050806,157.0,58.0,137.0,24.0,17.0,1.0,394.0,5_8_6
020050807,137.0,62.0,138.0,20.0,41.0,1.0,399.0,5_8_7
020050808,102.0,58.0,138.0,20.0,31.0,4.0,353.0,5_8_8
020050809,128.0,69.0,104.0,21.0,10.0,1.0,333.0,5_8_9
020050901,210.0,100.0,132.0,20.0,10.0,0.0,472.0,5_9_1
020050902,106.0,49.0,103.0,15.0,12.0,2.0,287.0,5_9_2
020050903,101.0,46.0,79.0,18.0,22.0,2.0,268.0,5_9_3
020050904,85.0,55.0,72.0,9.0,10.0,1.0,232.0,5_9_4
020050905,73.0,57.0,101.0,12.0,17.0,0.0,260.0,5_9_5
020050906,90.0,46.0,73.0,15.0,18.0,3.0,245.0,5_9_6
020050907,65.0,27.0,94.0,14.0,18.0,2.0,220.0,5_9_7
020050908,162.0,75.0,171.0,19.0,27.0,0.0,454.0,5_9_8
020050909,123.0,73.0,171.0,30.0,39.0,2.0,438.0,5_9_9
020050910,131.0,60.0,94.0,21.0,31.0,4.0,341.0,5_9_10
020051001,196.0,104.0,189.0,28.0,21.0,0.0,538.0,5_10_1
020051002,188.0,92.0,202.0,32.0,32.0,2.0,548.0,5_10_2
020051003,53.0,39.0,47.0,2.0,17.0,6.0,164.0,5_10_3
020051004,82.0,54.0,93.0,11.0,14.0,0.0,254.0,5_10_4
020051005,103.0,30.0,93.0,18.0,24.0,1.0,269.0,5_10_5
020051006,104.0,60.0,91.0,20.0,36.0,3.0,314.0,5_10_6
020051007,216.0,115.0,163.0,23.0,31.0,0.0,548.0,5_10_7
020051008,114.0,51.0,104.0,11.0,27.0,2.0,309.0,5_10_8
020051009,137.0,60.0,105.0,9.0,28.0,5.0,344.0,5_10_9
020051010,77.0,44.0,108.0,9.0,17.0,1.0,256.0,5_10_10
020051101,187.0,78.0,187.0,37.0,42.0,5.0,536.0,5_11_1
020051102,132.0,66.0,132.0,24.0,32.0,3.0,389.0,5_11_2
020051103,91.0,63.0,105.0,14.0,8.0,0.0,281.0,5_11_3
020051104,113.0,56.0,122.0,15.0,23.0,2.0,331.0,5_11_4
020051105,91.0,60.0,126.0,13.0,30.0,1.0,321.0,5_11_5
020051106,83.0,62.0,120.0,13.0,35.0,2.0,315.0,5_11_6
020051107,152.0,89.0,164.0,29.0,33.0,3.0,470.0,5_11_7
020051108,117.0,36.0,115.0,20.0,27.0,6.0,321.0,5_11_8
020051109,121.0,72.0,169.0,22.0,59.0,16.0,459.0,5_11_9
020051110,117.0,99.0,107.0,14.0,15.0,2.0,354.0,5_11_10
020051201,84.0,46.0,111.0,8.0,38.0,6.0,293.0,5_12_1
020051202,341.0,172.0,248.0,39.0,37.0,3.0,840.0,5_12_2
020051203,150.0,74.0,157.0,20.0,22.0,3.0,426.0,5_12_3
020051204,145.0,60.0,81.0,23.0,17.0,2.0,328.0,5_12_4
020051205,90.0,35.0,57.0,7.0,8.0,1.0,198.0,5_12_5
020051206,314.0,113.0,249.0,40.0,52.0,1.0,769.0,5_12_6
020051207,112.0,67.0,98.0,13.0,32.0,14.0,336.0,5_12_7
020051301,164.0,106.0,100.0,15.0,10.0,1.0,396.0,5_13_1
020051302,122.0,54.0,93.0,21.0,29.0,2.0,321.0,5_13_2
020051303,131.0,86.0,125.0,10.0,12.0,1.0,365.0,5_13_3
020051304,108.0,46.0,128.0,12.0,31.0,5.0,330.0,5_13_4
020051305,115.0,57.0,108.0,23.0,23.0,6.0,332.0,5_13_5
020051306,154.0,79.0,106.0,13.0,22.0,3.0,377.0,5_13_6
020051307,91.0,54.0,117.0,20.0,40.0,1.0,323.0,5_13_7
020051308,181.0,77.0,130.0,11.0,20.0,2.0,421.0,5_13_8
020051309,140.0,106.0,138.0,17.0,20.0,1.0,422.0,5_13_9
020051401,109.0,74.0,77.0,9.0,4.0,1.0,274.0,5_14_1
020051402,143.0,25.0,113.0,25.0,38.0,3.0,347.0,5_14_2
020051403,188.0,72.0,189.0,30.0,57.0,4.0,540.0,5_14_3
020051404,148.0,84.0,145.0,23.0,21.0,0.0,421.0,5_14_4
020051405,254.0,99.0,309.0,25.0,94.0,6.0,787.0,5_14_5
020051406,182.0,100.0,184.0,33.0,39.0,0.0,538.0,5_14_6
020051407,54.0,25.0,63.0,7.0,18.0,1.0,168.0,5_14_7
020051408,104.0,57.0,82.0,6.0,15.0,11.0,275.0,5_14_8
020051409,125.0,59.0,150.0,17.0,64.0,11.0,426.0,5_14_9
020051501,157.0,67.0,218.0,22.0,48.0,9.0,521.0,5_15_1
020051502,152.0,104.0,196.0,22.0,49.0,7.0,530.0,5_15_2
020051503,110.0,48.0,80.0,12.0,14.0,3.0,267.0,5_15_3
020051504,185.0,91.0,225.0,22.0,44.0,1.0,568.0,5_15_4
020051505,175.0,73.0,155.0,19.0,29.0,3.0,454.0,5_15_5
020051506,97.0,52.0,117.0,13.0,42.0,9.0,330.0,5_15_6
020051507,99.0,47.0,113.0,24.0,25.0,5.0,313.0,5_15_7
020051508,77.0,36.0,132.0,11.0,67.0,8.0,331.0,5_15_8
020051509,44.0,29.0,55.0,12.0,22.0,6.0,168.0,5_15_9
020051601,127.0,81.0,145.0,18.0,30.0,3.0,404.0,5_16_1
020051602,93.0,43.0,99.0,29.0,22.0,0.0,286.0,5_16_2
020051603,67.0,41.0,76.0,7.0,21.0,2.0,214.0,5_16_3
020051604,94.0,54.0,136.0,30.0,62.0,13.0,389.0,5_16_4
020051605,105.0,65.0,157.0,13.0,36.0,0.0,376.0,5_16_5
020051606,107.0,42.0,111.0,19.0,28.0,2.0,309.0,5_16_6
020051607,53.0,48.0,84.0,12.0,50.0,2.0,249.0,5_16_7
020051608,108.0,69.0,103.0,35.0,46.0,15.0,376.0,5_16_8
020051609,96.0,57.0,159.0,27.0,48.0,7.0,394.0,5_16_9
020051610,114.0,71.0,131.0,26.0,39.0,7.0,388.0,5_16_10
020051611,108.0,94.0,156.0,31.0,31.0,4.0,424.0,5_16_11
020051701,91.0,58.0,107.0,11.0,21.0,2.0,290.0,5_17_1
020051702,104.0,59.0,127.0,22.0,37.0,4.0,353.0,5_17_2
020051703,74.0,73.0,136.0,12.0,20.0,2.0,317.0,5_17_3
020051704,103.0,62.0,90.0,13.0,23.0,7.0,298.0,5_17_4
020051705,118.0,84.0,76.0,15.0,14.0,2.0,309.0,5_17_5
020051706,109.0,77.0,119.0,17.0,18.0,1.0,341.0,5_17_6
020051707,84.0,80.0,119.0,23.0,21.0,2.0,329.0,5_17_7
020051708,125.0,73.0,128.0,21.0,36.0,2.0,385.0,5_17_8
020051709,57.0,38.0,104.0,9.0,40.0,5.0,253.0,5_17_9
020051710,83.0,64.0,102.0,20.0,10.0,1.0,280.0,5_17_10
020051711,135.0,76.0,165.0,19.0,31.0,2.0,428.0,5_17_11
020051801,113.0,87.0,183.0,24.0,15.0,1.0,423.0,5_18_1
020051802,95.0,69.0,143.0,26.0,40.0,2.0,375.0,5_18_2
020051803,108.0,62.0,124.0,28.0,19.0,2.0,343.0,5_18_3
020051804,76.0,54.0,110.0,12.0,21.0,4.0,277.0,5_18_4
020051805,98.0,75.0,120.0,18.0,21.0,4.0,336.0,5_18_5
020051806,60.0,51.0,100.0,15.0,12.0,4.0,242.0,5_18_6
020051807,89.0,48.0,135.0,19.0,18.0,0.0,309.0,5_18_7
020051808,49.0,36.0,41.0,16.0,7.0,0.0,149.0,5_18_8
020051809,77.0,60.0,99.0,17.0,13.0,1.0,267.0,5_18_9
020051810,101.0,72.0,122.0,21.0,23.0,5.0,344.0,5_18_10
020051811,114.0,56.0,108.0,16.0,18.0,3.0,315.0,5_18_11
020051901,120.0,73.0,111.0,15.0,25.0,0.0,344.0,5_19_1
020051902,84.0,57.0,104.0,18.0,19.0,0.0,282.0,5_19_2
020051903,135.0,60.0,143.0,24.0,42.0,3.0,407.0,5_19_3
020051904,111.0,83.0,140.0,25.0,31.0,7.0,397.0,5_19_4
020051905,111.0,62.0,113.0,18.0,25.0,5.0,334.0,5_19_5
020051906,87.0,60.0,130.0,20.0,30.0,3.0,330.0,5_19_6
020051907,70.0,39.0,65.0,6.0,17.0,2.0,199.0,5_19_7
020051908,172.0,60.0,136.0,30.0,28.0,3.0,429.0,5_19_8
020051909,95.0,54.0,108.0,18.0,17.0,2.0,294.0,5_19_9
020051910,121.0,72.0,120.0,22.0,27.0,2.0,364.0,5_19_10
020051911,100.0,79.0,161.0,40.0,52.0,5.0,437.0,5_19_11
020052001,78.0,50.0,139.0,19.0,26.0,4.0,316.0,5_20_1
020052002,128.0,70.0,160.0,21.0,25.0,6.0,410.0,5_20_2
020052003,72.0,57.0,145.0,28.0,66.0,17.0,385.0,5_20_3
020052004,80.0,64.0,115.0,14.0,35.0,6.0,314.0,5_20_4
020052005,84.0,64.0,124.0,29.0,24.0,7.0,332.0,5_20_5
020052006,61.0,78.0,102.0,14.0,28.0,5.0,288.0,5_20_6
020052007,69.0,71.0,103.0,35.0,32.0,5.0,315.0,5_20_7
020052008,71.0,66.0,112.0,27.0,28.0,13.0,317.0,5_20_8
020052009,97.0,58.0,120.0,21.0,29.0,1.0,326.0,5_20_9
020052010,94.0,90.0,133.0,24.0,35.0,4.0,380.0,5_20_10
020052011,72.0,67.0,105.0,23.0,34.0,1.0,302.0,5_20_11
020052012,54.0,59.0,108.0,21.0,50.0,5.0,297.0,5_20_12
020052101,100.0,63.0,163.0,12.0,35.0,5.0,378.0,5_21_1
020052102,85.0,57.0,146.0,19.0,37.0,6.0,350.0,5_21_2
020052103,59.0,47.0,75.0,10.0,17.0,1.0,209.0,5_21_3
020052104,109.0,66.0,125.0,29.0,33.0,8.0,370.0,5_21_4
020052105,92.0,53.0,95.0,15.0,11.0,0.0,266.0,5_21_5
020052106,97.0,38.0,127.0,30.0,42.0,3.0,337.0,5_21_6
020052107,82.0,70.0,68.0,10.0,21.0,6.0,257.0,5_21_7
020052108,63.0,62.0,69.0,9.0,29.0,16.0,248.0,5_21_8
020052109,48.0,65.0,89.0,15.0,18.0,1.0,236.0,5_21_9
020052110,77.0,52.0,79.0,18.0,23.0,4.0,253.0,5_21_10
020052111,86.0,56.0,84.0,13.0,5.0,1.0,245.0,5_21_11
020052201,76.0,63.0,93.0,20.0,8.0,0.0,260.0,5_22_1
020052202,78.0,69.0,97.0,20.0,26.0,2.0,292.0,5_22_2
