Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020010801,76.0,26.0,67.0,5.0,14.0,0.0,188.0,1_8_1
020010802,243.0,87.0,178.0,9.0,47.0,3.0,567.0,1_8_2
020010803,194.0,62.0,133.0,13.0,44.0,2.0,448.0,1_8_3
020010804,124.0,27.0,105.0,11.0,25.0,3.0,295.0,1_8_4
020010805,70.0,14.0,92.0,7.0,29.0,2.0,214.0,1_8_5
020010806,243.0,80.0,197.0,7.0,40.0,5.0,572.0,1_8_6
020010807,273.0,121.0,137.0,13.0,16.0,1.0,561.0,1_8_7
020010808,87.0,31.0,51.0,5.0,15.0,0.0,189.0,1_8_8
020010809,102.0,48.0,83.0,13.0,11.0,0.0,257.0,1_8_9
020010810,64.0,22.0,66.0,14.0,20.0,0.0,186.0,1_8_10
020010901,78.0,26.0,39.0,5.0,10.0,3.0,161.0,1_9_1
020010902,77.0,30.0,48.0,12.0,23.0,3.0,193.0,1_9_2
020010903,87.0,16.0,67.0,7.0,17.0,1.0,195.0,1_9_3
020010904,40.0,12.0,49.0,10.0,22.0,1.0,134.0,1_9_4
020010905,65.0,21.0,51.0,10.0,35.0,10.0,192.0,1_9_5
020010906,39.0,10.0,81.0,12.0,32.0,1.0,175.0,1_9_6
020010907,76.0,11.0,141.0,11.0,46.0,3.0,288.0,1_9_7
020010908,75.0,6.0,40.0,14.0,12.0,2.0,149.0,1_9_8
020010909,97.0,19.0,86.0,8.0,24.0,3.0,237.0,1_9_9
020010910,51.0,10.0,34.0,4.0,9.0,0.0,108.0,1_9_10
020010911,50.0,11.0,42.0,9.0,4.0,0.0,116.0,1_9_11
020010912,32.0,7.0,25.0,4.0,6.0,2.0,76.0,1_9_12
020010913,65.0,53.0,68.0,13.0,2.0,0.0,201.0,1_9_13
020010914,44.0,8.0,76.0,5.0,13.0,2.0,148.0,1_9_14
020010915,51.0,7.0,42.0,4.0,11.0,3.0,118.0,1_9_15
020010916,57.0,18.0,153.0,12.0,84.0,13.0,337.0,1_9_16
020010917,47.0,3.0,105.0,7.0,38.0,7.0,207.0,1_9_17
020010918,76.0,8.0,57.0,8.0,19.0,1.0,169.0,1_9_18
020010919,18.0,6.0,27.0,4.0,6.0,0.0,61.0,1_9_19
020011001,56.0,25.0,29.0,3.0,5.0,2.0,120.0,1_10_1
020011002,117.0,35.0,97.0,10.0,19.0,0.0,278.0,1_10_2
020011003,188.0,55.0,187.0,11.0,61.0,13.0,515.0,1_10_3
020011004,101.0,33.0,66.0,8.0,15.0,0.0,223.0,1_10_4
020011005,97.0,39.0,75.0,8.0,15.0,2.0,236.0,1_10_5
020011006,83.0,49.0,91.0,11.0,29.0,2.0,265.0,1_10_6
020011007,52.0,12.0,68.0,11.0,16.0,0.0,159.0,1_10_7
020011008,48.0,8.0,61.0,7.0,29.0,0.0,153.0,1_10_8
020011009,39.0,27.0,58.0,5.0,31.0,1.0,161.0,1_10_9
020011010,87.0,29.0,97.0,20.0,53.0,10.0,296.0,1_10_10
020011011,115.0,40.0,148.0,14.0,33.0,1.0,351.0,1_10_11
020011012,115.0,53.0,88.0,6.0,27.0,2.0,291.0,1_10_12
020011013,121.0,26.0,142.0,16.0,27.0,7.0,339.0,1_10_13
020011014,31.0,7.0,49.0,9.0,13.0,2.0,111.0,1_10_14
020011101,41.0,18.0,118.0,7.0,32.0,3.0,219.0,1_11_1
020011102,91.0,12.0,125.0,11.0,40.0,5.0,284.0,1_11_2
020011103,35.0,5.0,105.0,4.0,42.0,7.0,198.0,1_11_3
020011104,142.0,36.0,111.0,8.0,35.0,4.0,336.0,1_11_4
020011105,62.0,24.0,105.0,7.0,45.0,8.0,251.0,1_11_5
020011106,64.0,18.0,86.0,11.0,27.0,3.0,209.0,1_11_6
020011107,81.0,39.0,124.0,12.0,37.0,3.0,296.0,1_11_7
020011108,136.0,46.0,111.0,24.0,35.0,1.0,353.0,1_11_8
