Código,Sí,No,Total,CO_FRAC_RA
020011207,213.0,134.0,347.0,1_12_7
020011208,71.0,58.0,129.0,1_12_8
020011209,222.0,120.0,342.0,1_12_9
020011210,60.0,41.0,101.0,1_12_10
020011211,98.0,38.0,136.0,1_12_11
020011212,72.0,18.0,90.0,1_12_12
020011301,155.0,8.0,163.0,1_13_1
020011302,59.0,1.0,60.0,1_13_2
020011303,18.0,2.0,20.0,1_13_3
020011304,130.0,6.0,136.0,1_13_4
020011305,149.0,5.0,154.0,1_13_5
020011306,98.0,2.0,100.0,1_13_6
020011307,227.0,14.0,241.0,1_13_7
020011308,144.0,12.0,156.0,1_13_8
020011309,149.0,8.0,157.0,1_13_9
020011310,230.0,5.0,235.0,1_13_10
020011311,134.0,8.0,142.0,1_13_11
020011312,133.0,5.0,138.0,1_13_12
020011313,97.0,7.0,104.0,1_13_13
020011314,173.0,486.0,659.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,152.0,95.0,247.0,1_14_1
020011402,143.0,83.0,226.0,1_14_2
020011403,132.0,64.0,196.0,1_14_3
020011404,22.0,17.0,39.0,1_14_4
020011405,111.0,115.0,226.0,1_14_5
020011406,172.0,121.0,293.0,1_14_6
020011407,155.0,60.0,215.0,1_14_7
020011408,90.0,106.0,196.0,1_14_8
020011409,163.0,83.0,246.0,1_14_9
020011410,182.0,38.0,220.0,1_14_10
020011411,174.0,79.0,253.0,1_14_11
020011412,147.0,70.0,217.0,1_14_12
020011501,116.0,54.0,170.0,1_15_1
020011502,174.0,75.0,249.0,1_15_2
020011503,150.0,50.0,200.0,1_15_3
020011504,257.0,78.0,335.0,1_15_4
020011505,120.0,67.0,187.0,1_15_5
020011506,168.0,137.0,305.0,1_15_6
020011507,170.0,100.0,270.0,1_15_7
020011508,175.0,135.0,310.0,1_15_8
020011509,215.0,137.0,352.0,1_15_9
020011510,185.0,106.0,291.0,1_15_10
020011511,166.0,115.0,281.0,1_15_11
020011601,93.0,96.0,189.0,1_16_1
020011602,106.0,58.0,164.0,1_16_2
020011603,247.0,166.0,413.0,1_16_3
020011604,230.0,118.0,348.0,1_16_4
020011605,131.0,77.0,208.0,1_16_5
020011606,149.0,79.0,228.0,1_16_6
020011607,304.0,171.0,475.0,1_16_7
020011608,148.0,72.0,220.0,1_16_8
020011609,119.0,41.0,160.0,1_16_9
020011610,198.0,93.0,291.0,1_16_10
020011611,143.0,74.0,217.0,1_16_11
020011612,100.0,39.0,139.0,1_16_12
020011701,236.0,153.0,389.0,1_17_1
020011702,175.0,128.0,303.0,1_17_2
020011703,219.0,105.0,324.0,1_17_3
020011704,182.0,105.0,287.0,1_17_4
020011705,167.0,89.0,256.0,1_17_5
020011706,197.0,170.0,367.0,1_17_6
020011707,191.0,132.0,323.0,1_17_7
020011708,154.0,113.0,267.0,1_17_8
020011709,135.0,104.0,239.0,1_17_9
020011710,182.0,97.0,279.0,1_17_10
020011711,119.0,99.0,218.0,1_17_11
020011801,231.0,211.0,442.0,1_18_1
020011802,210.0,147.0,357.0,1_18_2
020011803,171.0,121.0,292.0,1_18_3
020011804,219.0,122.0,341.0,1_18_4
020011805,184.0,90.0,274.0,1_18_5
020011806,302.0,205.0,507.0,1_18_6
020011807,210.0,107.0,317.0,1_18_7
020011808,200.0,101.0,301.0,1_18_8
020011809,204.0,99.0,303.0,1_18_9
020011901,243.0,181.0,424.0,1_19_1
020011902,328.0,170.0,498.0,1_19_2
020011903,109.0,36.0,145.0,1_19_3
020011904,195.0,108.0,303.0,1_19_4
020011905,179.0,92.0,271.0,1_19_5
020011906,101.0,115.0,216.0,1_19_6
