Código,Ocupado,Desocupado,Inactivo,Total,CO_FRACC
0200101,188.0,7.0,34.0,229.0,001_1
0200102,5479.0,426.0,2149.0,8054.0,001_2
0200103,7861.0,562.0,2578.0,11001.0,001_3
0200104,6015.0,210.0,2644.0,8869.0,001_4
0200105,3000.0,125.0,1358.0,4483.0,001_5
0200106,4103.0,116.0,1611.0,5830.0,001_6
0200107,2740.0,100.0,914.0,3754.0,001_7
0200108,4308.0,203.0,1794.0,6305.0,001_8
0200109,4242.0,170.0,1166.0,5578.0,001_9
0200110,4532.0,202.0,1399.0,6133.0,001_10
0200111,4731.0,213.0,1505.0,6449.0,001_11
0200112,3160.0,127.0,853.0,4140.0,001_12
0200113,3732.0,104.0,1028.0,4864.0,001_13
0200114,3568.0,161.0,1087.0,4816.0,001_14
0200115,4044.0,207.0,1311.0,5562.0,001_15
0200116,3916.0,170.0,1353.0,5439.0,001_16
0200117,4372.0,191.0,1355.0,5918.0,001_17
0200118,4175.0,177.0,1422.0,5774.0,001_18
0200119,3487.0,202.0,1129.0,4818.0,001_19
0200120,3822.0,189.0,1491.0,5502.0,001_20
0200121,4170.0,199.0,1387.0,5756.0,001_21
0200122,4175.0,210.0,1495.0,5880.0,001_22
0200123,3483.0,191.0,1268.0,4942.0,001_23
0200124,2087.0,96.0,709.0,2892.0,001_24
0200125,3713.0,150.0,1349.0,5212.0,001_25
0200126,2933.0,139.0,1121.0,4193.0,001_26
0200127,4072.0,187.0,1417.0,5676.0,001_27
0200128,4917.0,245.0,1679.0,6841.0,001_28
0200129,4081.0,199.0,1618.0,5898.0,001_29
0200201,246.0,23.0,138.0,407.0,002_1
0200202,2817.0,79.0,1192.0,4088.0,002_2
0200203,3050.0,115.0,1286.0,4451.0,002_3
0200204,3743.0,113.0,1657.0,5513.0,002_4
0200205,3727.0,101.0,1715.0,5543.0,002_5
0200206,3955.0,121.0,1450.0,5526.0,002_6
0200207,4190.0,162.0,1761.0,6113.0,002_7
0200208,4885.0,184.0,1952.0,7021.0,002_8
0200209,5327.0,207.0,2051.0,7585.0,002_9
0200210,4170.0,156.0,1598.0,5924.0,002_10
0200211,3451.0,127.0,1219.0,4797.0,002_11
0200212,3847.0,165.0,1498.0,5510.0,002_12
0200213,4791.0,183.0,1686.0,6660.0,002_13
0200214,4997.0,213.0,2062.0,7272.0,002_14
0200215,3698.0,147.0,1565.0,5410.0,002_15
0200216,3181.0,131.0,1390.0,4702.0,002_16
0200217,4734.0,187.0,1959.0,6880.0,002_17
0200218,3577.0,135.0,1572.0,5284.0,002_18
0200219,3841.0,199.0,1421.0,5461.0,002_19
0200220,3510.0,153.0,1271.0,4934.0,002_20
0200221,3583.0,156.0,1451.0,5190.0,002_21
0200222,3028.0,112.0,1123.0,4263.0,002_22
0200223,3981.0,156.0,1767.0,5904.0,002_23
0200224,3328.0,128.0,1450.0,4906.0,002_24
0200225,5142.0,250.0,1799.0,7191.0,002_25
0200301,4683.0,200.0,1591.0,6474.0,003_1
0200302,5298.0,247.0,1992.0,7537.0,003_2
0200303,4496.0,211.0,1890.0,6597.0,003_3
0200304,3238.0,144.0,1224.0,4606.0,003_4
0200305,3023.0,147.0,1127.0,4297.0,003_5
0200306,2622.0,129.0,1004.0,3755.0,003_6
0200307,3740.0,153.0,1377.0,5270.0,003_7
0200308,3572.0,129.0,1262.0,4963.0,003_8
0200309,4420.0,187.0,1462.0,6069.0,003_9
0200310,3585.0,125.0,1208.0,4918.0,003_10
0200311,4026.0,156.0,1372.0,5554.0,003_11
0200312,4125.0,163.0,1475.0,5763.0,003_12
0200313,4528.0,195.0,1538.0,6261.0,003_13
0200314,4646.0,208.0,1579.0,6433.0,003_14
0200315,4588.0,191.0,1485.0,6264.0,003_15
0200316,4566.0,209.0,1449.0,6224.0,003_16
0200317,4072.0,205.0,1382.0,5659.0,003_17
0200318,4130.0,178.0,1516.0,5824.0,003_18
0200319,4564.0,254.0,1828.0,6646.0,003_19
0200320,4502.0,203.0,1711.0,6416.0,003_20
0200321,4227.0,193.0,1760.0,6180.0,003_21
0200322,3933.0,170.0,1419.0,5522.0,003_22
0200323,4550.0,188.0,1683.0,6421.0,003_23
0200324,3682.0,171.0,1395.0,5248.0,003_24
0200325,4559.0,224.0,1494.0,6277.0,003_25
0200326,4126.0,191.0,1540.0,5857.0,003_26
0200327,3636.0,203.0,1279.0,5118.0,003_27
0200401,4726.0,317.0,2282.0,7325.0,004_1
0200402,4075.0,239.0,2037.0,6351.0,004_2
0200403,5771.0,364.0,2862.0,8997.0,004_3
0200404,5157.0,247.0,2265.0,7669.0,004_4
0200405,5692.0,315.0,2381.0,8388.0,004_5
0200406,5237.0,197.0,1974.0,7408.0,004_6
0200407,5724.0,289.0,2483.0,8496.0,004_7
0200408,5593.0,343.0,2023.0,7959.0,004_8
0200409,2803.0,219.0,1337.0,4359.0,004_9
0200410,5720.0,431.0,2110.0,8261.0,004_10
0200411,3895.0,294.0,1812.0,6001.0,004_11
0200412,4576.0,232.0,1957.0,6765.0,004_12
0200413,4424.0,180.0,1743.0,6347.0,004_13
0200414,3946.0,196.0,1453.0,5595.0,004_14
0200415,4314.0,134.0,1891.0,6339.0,004_15
0200416,5322.0,239.0,1975.0,7536.0,004_16
0200417,3696.0,203.0,1944.0,5843.0,004_17
0200418,72.0,0.0,1.0,73.0,004_18
0200419,4972.0,329.0,2070.0,7371.0,004_19
0200420,5530.0,335.0,2501.0,8366.0,004_20
0200421,4905.0,320.0,1777.0,7002.0,004_21
0200422,5386.0,240.0,2236.0,7862.0,004_22
0200423,4780.0,267.0,1878.0,6925.0,004_23
