Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total,CO_FRACC
0200207,2994.0,833.0,251.0,18.0,482.0,128.0,246.0,4952.0,002_7
0200208,3608.0,967.0,267.0,18.0,145.0,136.0,268.0,5409.0,002_8
0200209,3999.0,1020.0,305.0,16.0,249.0,132.0,269.0,5990.0,002_9
0200210,3331.0,895.0,182.0,15.0,176.0,84.0,240.0,4923.0,002_10
0200211,2583.0,636.0,166.0,6.0,168.0,58.0,172.0,3789.0,002_11
0200212,2954.0,675.0,145.0,6.0,151.0,47.0,262.0,4240.0,002_12
0200213,3565.0,888.0,212.0,14.0,180.0,81.0,318.0,5258.0,002_13
0200214,3851.0,1016.0,224.0,10.0,284.0,104.0,223.0,5712.0,002_14
0200215,2820.0,663.0,222.0,13.0,199.0,78.0,212.0,4207.0,002_15
0200216,2392.0,614.0,220.0,29.0,300.0,167.0,274.0,3996.0,002_16
0200217,3599.0,1052.0,294.0,19.0,611.0,167.0,350.0,6092.0,002_17
0200218,2804.0,682.0,180.0,8.0,479.0,64.0,239.0,4456.0,002_18
0200219,2927.0,697.0,175.0,8.0,127.0,58.0,152.0,4144.0,002_19
0200220,2718.0,569.0,124.0,8.0,63.0,34.0,279.0,3795.0,002_20
0200221,2662.0,570.0,195.0,12.0,151.0,27.0,209.0,3826.0,002_21
0200222,2399.0,643.0,160.0,5.0,180.0,62.0,145.0,3594.0,002_22
0200223,3094.0,636.0,236.0,8.0,271.0,108.0,335.0,4688.0,002_23
0200224,2550.0,440.0,117.0,4.0,136.0,47.0,287.0,3581.0,002_24
0200225,4067.0,993.0,314.0,12.0,187.0,67.0,293.0,5933.0,002_25
0200301,3290.0,556.0,210.0,20.0,91.0,27.0,220.0,4414.0,003_1
0200302,3661.0,544.0,217.0,23.0,242.0,33.0,377.0,5097.0,003_2
0200303,3077.0,552.0,103.0,19.0,155.0,17.0,305.0,4228.0,003_3
0200304,2134.0,379.0,105.0,5.0,289.0,16.0,233.0,3161.0,003_4
0200305,2226.0,696.0,141.0,12.0,237.0,60.0,183.0,3555.0,003_5
0200306,1939.0,404.0,191.0,6.0,263.0,76.0,237.0,3116.0,003_6
0200307,2865.0,739.0,203.0,5.0,446.0,33.0,274.0,4565.0,003_7
0200308,2324.0,366.0,103.0,0.0,353.0,37.0,169.0,3352.0,003_8
0200309,2752.0,482.0,90.0,18.0,41.0,15.0,197.0,3595.0,003_9
0200310,2374.0,296.0,161.0,3.0,166.0,16.0,218.0,3234.0,003_10
0200311,2876.0,403.0,156.0,28.0,319.0,47.0,213.0,4042.0,003_11
0200312,2978.0,571.0,161.0,1.0,142.0,36.0,227.0,4116.0,003_12
0200313,3087.0,504.0,136.0,4.0,83.0,41.0,220.0,4075.0,003_13
0200314,3207.0,387.0,178.0,33.0,54.0,26.0,235.0,4120.0,003_14
0200315,3234.0,634.0,163.0,1.0,109.0,57.0,223.0,4421.0,003_15
0200316,2981.0,373.0,97.0,10.0,53.0,19.0,200.0,3733.0,003_16
0200317,2612.0,347.0,100.0,8.0,23.0,2.0,106.0,3198.0,003_17
0200318,2821.0,432.0,181.0,10.0,52.0,14.0,119.0,3629.0,003_18
0200319,3099.0,430.0,177.0,15.0,39.0,11.0,208.0,3979.0,003_19
0200320,3250.0,429.0,127.0,4.0,67.0,29.0,217.0,4123.0,003_20
0200321,3045.0,378.0,127.0,11.0,54.0,12.0,192.0,3819.0,003_21
0200322,2575.0,415.0,112.0,11.0,50.0,19.0,117.0,3299.0,003_22
0200323,2927.0,318.0,80.0,9.0,56.0,9.0,147.0,3546.0,003_23
0200324,2507.0,295.0,125.0,24.0,30.0,12.0,166.0,3159.0,003_24
0200325,2948.0,430.0,111.0,5.0,38.0,6.0,76.0,3614.0,003_25
0200326,2660.0,351.0,110.0,12.0,34.0,8.0,148.0,3323.0,003_26
0200327,2156.0,283.0,59.0,8.0,36.0,5.0,101.0,2648.0,003_27
0200401,2358.0,211.0,43.0,16.0,43.0,2.0,118.0,2791.0,004_1
0200402,2543.0,257.0,72.0,10.0,53.0,6.0,111.0,3052.0,004_2
0200403,3387.0,243.0,62.0,16.0,44.0,7.0,151.0,3910.0,004_3
0200404,3153.0,372.0,114.0,20.0,33.0,5.0,166.0,3863.0,004_4
0200405,3432.0,289.0,109.0,17.0,67.0,12.0,136.0,4062.0,004_5
0200406,3182.0,290.0,114.0,21.0,50.0,6.0,132.0,3795.0,004_6
0200407,3643.0,467.0,131.0,16.0,40.0,6.0,157.0,4460.0,004_7
0200408,3234.0,411.0,151.0,27.0,56.0,6.0,182.0,4067.0,004_8
0200409,1503.0,150.0,26.0,5.0,23.0,2.0,72.0,1781.0,004_9
0200410,3003.0,65.0,6.0,7.0,1.0,1.0,89.0,3172.0,004_10
0200411,2275.0,259.0,37.0,7.0,82.0,6.0,157.0,2823.0,004_11
0200412,2603.0,235.0,97.0,5.0,49.0,11.0,122.0,3122.0,004_12
0200413,2964.0,421.0,148.0,14.0,58.0,11.0,151.0,3767.0,004_13
0200414,2663.0,412.0,144.0,16.0,49.0,16.0,145.0,3445.0,004_14
0200415,3059.0,386.0,111.0,10.0,33.0,16.0,161.0,3776.0,004_15
0200416,3484.0,473.0,247.0,17.0,24.0,11.0,233.0,4489.0,004_16
0200417,2757.0,258.0,81.0,5.0,25.0,2.0,205.0,3333.0,004_17
0200418,42.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,004_18
0200419,2805.0,191.0,54.0,8.0,18.0,7.0,89.0,3172.0,004_19
0200420,3420.0,231.0,120.0,3.0,20.0,3.0,140.0,3937.0,004_20
0200421,2841.0,146.0,41.0,3.0,12.0,0.0,108.0,3151.0,004_21
0200422,3527.0,445.0,122.0,23.0,59.0,7.0,162.0,4345.0,004_22
0200423,2788.0,264.0,75.0,11.0,32.0,4.0,142.0,3316.0,004_23
0200424,2165.0,29.0,6.0,6.0,3.0,2.0,60.0,2271.0,004_24
0200425,2298.0,43.0,5.0,8.0,0.0,0.0,35.0,2389.0,004_25
0200426,551.0,28.0,0.0,6.0,0.0,0.0,8.0,593.0,004_26
0200501,3167.0,505.0,225.0,6.0,57.0,20.0,164.0,4144.0,005_1
0200502,3420.0,512.0,181.0,11.0,120.0,22.0,215.0,4481.0,005_2
0200503,3138.0,416.0,178.0,22.0,80.0,28.0,245.0,4107.0,005_3
0200504,3215.0,484.0,161.0,6.0,90.0,25.0,133.0,4114.0,005_4
0200505,2829.0,383.0,122.0,10.0,91.0,13.0,137.0,3585.0,005_5
0200506,3464.0,503.0,166.0,12.0,113.0,12.0,166.0,4436.0,005_6
0200507,3037.0,391.0,161.0,11.0,66.0,13.0,209.0,3888.0,005_7
0200508,3425.0,438.0,112.0,11.0,141.0,18.0,165.0,4310.0,005_8
0200509,3147.0,440.0,155.0,9.0,86.0,8.0,143.0,3988.0,005_9
0200510,3419.0,458.0,115.0,5.0,83.0,21.0,217.0,4318.0,005_10
0200511,3653.0,557.0,151.0,19.0,60.0,18.0,257.0,4715.0,005_11
0200512,3023.0,417.0,155.0,4.0,73.0,11.0,177.0,3860.0,005_12
0200513,3145.0,350.0,175.0,7.0,159.0,27.0,201.0,4064.0,005_13
0200514,3556.0,485.0,174.0,5.0,109.0,23.0,173.0,4525.0,005_14
0200515,3164.0,380.0,106.0,8.0,62.0,16.0,166.0,3902.0,005_15
0200516,3594.0,390.0,139.0,17.0,59.0,18.0,190.0,4407.0,005_16
0200517,3383.0,462.0,139.0,17.0,48.0,7.0,191.0,4247.0,005_17
0200518,3223.0,395.0,124.0,13.0,50.0,7.0,163.0,3975.0,005_18
0200519,3602.0,410.0,215.0,15.0,58.0,25.0,210.0,4535.0,005_19
0200520,3702.0,378.0,167.0,23.0,46.0,10.0,199.0,4525.0,005_20
0200521,3022.0,403.0,194.0,22.0,67.0,12.0,181.0,3901.0,005_21
0200522,3898.0,421.0,101.0,24.0,63.0,9.0,207.0,4723.0,005_22
0200601,3258.0,385.0,198.0,22.0,42.0,8.0,178.0,4091.0,006_1
0200602,3407.0,359.0,121.0,21.0,55.0,8.0,154.0,4125.0,006_2
0200603,3272.0,474.0,133.0,3.0,62.0,7.0,151.0,4102.0,006_3
0200604,3234.0,483.0,148.0,14.0,39.0,4.0,154.0,4076.0,006_4
0200605,3842.0,534.0,191.0,17.0,73.0,15.0,308.0,4980.0,006_5
0200606,3678.0,555.0,131.0,12.0,51.0,10.0,179.0,4616.0,006_6
0200607,3918.0,517.0,147.0,13.0,67.0,18.0,171.0,4851.0,006_7
0200608,3320.0,432.0,160.0,13.0,45.0,15.0,172.0,4157.0,006_8
0200609,2921.0,326.0,163.0,11.0,111.0,17.0,175.0,3724.0,006_9
0200610,3746.0,616.0,200.0,11.0,136.0,18.0,221.0,4948.0,006_10
0200611,3098.0,339.0,113.0,9.0,27.0,8.0,224.0,3818.0,006_11
0200612,3339.0,598.0,162.0,13.0,121.0,15.0,204.0,4452.0,006_12
0200613,3497.0,495.0,263.0,66.0,73.0,12.0,195.0,4601.0,006_13
0200614,3549.0,592.0,185.0,22.0,98.0,26.0,185.0,4657.0,006_14
0200615,3546.0,509.0,150.0,28.0,117.0,15.0,217.0,4582.0,006_15
0200616,4184.0,638.0,201.0,33.0,58.0,18.0,211.0,5343.0,006_16
0200617,3072.0,344.0,212.0,11.0,211.0,38.0,259.0,4147.0,006_17
0200618,3255.0,416.0,137.0,9.0,228.0,10.0,201.0,4256.0,006_18
0200619,3639.0,419.0,127.0,7.0,112.0,21.0,268.0,4593.0,006_19
0200620,3316.0,539.0,227.0,7.0,77.0,17.0,185.0,4368.0,006_20
0200621,3851.0,556.0,169.0,20.0,74.0,21.0,190.0,4881.0,006_21
0200701,2497.0,333.0,116.0,12.0,104.0,11.0,190.0,3263.0,007_1
0200702,3147.0,282.0,136.0,24.0,48.0,5.0,196.0,3838.0,007_2
0200703,3475.0,418.0,140.0,20.0,45.0,6.0,151.0,4255.0,007_3
0200704,3488.0,652.0,218.0,17.0,139.0,38.0,226.0,4778.0,007_4
0200705,3050.0,358.0,124.0,105.0,126.0,12.0,132.0,3907.0,007_5
0200706,2702.0,310.0,97.0,6.0,88.0,8.0,154.0,3365.0,007_6
0200707,3134.0,384.0,150.0,13.0,69.0,6.0,146.0,3902.0,007_7
0200708,2629.0,369.0,211.0,19.0,68.0,7.0,149.0,3452.0,007_8
0200709,3116.0,424.0,173.0,6.0,77.0,21.0,228.0,4045.0,007_9
0200710,2980.0,433.0,160.0,12.0,76.0,8.0,172.0,3841.0,007_10
0200711,3467.0,434.0,300.0,12.0,124.0,9.0,163.0,4509.0,007_11
0200712,2496.0,221.0,74.0,19.0,37.0,5.0,104.0,2956.0,007_12
0200713,3563.0,451.0,143.0,31.0,44.0,13.0,154.0,4399.0,007_13
0200714,3523.0,377.0,122.0,30.0,35.0,7.0,114.0,4208.0,007_14
0200715,2958.0,213.0,70.0,15.0,26.0,8.0,120.0,3410.0,007_15
0200716,2372.0,182.0,60.0,10.0,30.0,4.0,112.0,2770.0,007_16
0200717,2764.0,45.0,2.0,2.0,2.0,0.0,51.0,2866.0,007_17
0200718,2458.0,215.0,2.0,2.0,0.0,0.0,40.0,2717.0,007_18
0200719,1655.0,47.0,8.0,4.0,15.0,0.0,18.0,1747.0,007_19
0200720,3791.0,274.0,105.0,31.0,31.0,11.0,205.0,4448.0,007_20
0200721,3798.0,486.0,135.0,6.0,25.0,4.0,198.0,4652.0,007_21
0200722,3795.0,470.0,178.0,44.0,50.0,9.0,179.0,4725.0,007_22
0200723,2597.0,261.0,62.0,13.0,34.0,10.0,161.0,3138.0,007_23
0200724,3579.0,366.0,83.0,32.0,67.0,6.0,196.0,4329.0,007_24
0200801,4734.0,83.0,10.0,17.0,11.0,1.0,140.0,4996.0,008_1
0200802,2451.0,221.0,28.0,3.0,2.0,4.0,100.0,2809.0,008_2
0200803,2540.0,141.0,29.0,16.0,16.0,7.0,97.0,2846.0,008_3
0200804,2766.0,227.0,79.0,31.0,28.0,7.0,152.0,3290.0,008_4
0200805,2991.0,284.0,58.0,17.0,25.0,4.0,148.0,3527.0,008_5
0200806,2830.0,234.0,36.0,20.0,17.0,4.0,142.0,3283.0,008_6
0200807,4614.0,49.0,3.0,4.0,4.0,1.0,80.0,4755.0,008_7
0200808,2819.0,227.0,123.0,33.0,45.0,18.0,180.0,3445.0,008_8
0200809,2383.0,206.0,89.0,29.0,18.0,5.0,163.0,2893.0,008_9
0200810,3715.0,391.0,72.0,6.0,6.0,5.0,194.0,4389.0,008_10
0200811,3542.0,262.0,69.0,2.0,11.0,4.0,164.0,4054.0,008_11
0200812,1960.0,142.0,60.0,20.0,26.0,1.0,107.0,2316.0,008_12
0200813,1589.0,96.0,46.0,4.0,59.0,1.0,96.0,1891.0,008_13
0200814,2969.0,162.0,22.0,14.0,26.0,0.0,108.0,3301.0,008_14
0200815,3055.0,71.0,10.0,5.0,1.0,0.0,86.0,3228.0,008_15
0200816,2485.0,234.0,16.0,1.0,2.0,0.0,112.0,2850.0,008_16
0200817,1188.0,155.0,66.0,4.0,4.0,2.0,85.0,1504.0,008_17
0200901,2250.0,330.0,98.0,13.0,75.0,5.0,141.0,2912.0,009_1
0200902,3753.0,506.0,210.0,47.0,100.0,11.0,255.0,4882.0,009_2
0200903,3299.0,417.0,207.0,27.0,177.0,8.0,235.0,4370.0,009_3
0200904,3151.0,282.0,89.0,39.0,49.0,9.0,193.0,3812.0,009_4
0200905,3309.0,368.0,141.0,35.0,35.0,3.0,198.0,4089.0,009_5
0200906,3822.0,374.0,128.0,30.0,48.0,5.0,241.0,4648.0,009_6
0200907,3713.0,400.0,107.0,37.0,46.0,5.0,137.0,4445.0,009_7
0200908,3722.0,405.0,106.0,42.0,88.0,10.0,218.0,4591.0,009_8
0200909,3551.0,345.0,86.0,14.0,56.0,9.0,178.0,4239.0,009_9
0200910,3186.0,285.0,128.0,11.0,33.0,6.0,164.0,3813.0,009_10
0200911,3887.0,332.0,106.0,42.0,60.0,5.0,168.0,4600.0,009_11
0200912,3262.0,257.0,66.0,21.0,25.0,6.0,117.0,3754.0,009_12
0200913,2045.0,187.0,34.0,16.0,18.0,1.0,87.0,2388.0,009_13
0200914,3059.0,76.0,32.0,17.0,15.0,3.0,72.0,3274.0,009_14
0200915,2870.0,248.0,78.0,23.0,52.0,7.0,153.0,3431.0,009_15
0200916,3476.0,285.0,74.0,30.0,54.0,5.0,150.0,4074.0,009_16
0201001,2257.0,215.0,73.0,26.0,75.0,2.0,138.0,2786.0,010_1
0201002,2388.0,206.0,65.0,17.0,43.0,7.0,149.0,2875.0,010_2
0201003,2187.0,214.0,93.0,34.0,37.0,3.0,151.0,2719.0,010_3
0201004,2615.0,301.0,60.0,34.0,35.0,5.0,143.0,3193.0,010_4
0201005,3960.0,403.0,167.0,49.0,82.0,8.0,151.0,4820.0,010_5
0201006,4002.0,459.0,143.0,44.0,57.0,6.0,178.0,4889.0,010_6
0201007,3864.0,351.0,162.0,24.0,71.0,12.0,186.0,4670.0,010_7
0201008,3028.0,317.0,135.0,21.0,64.0,9.0,132.0,3706.0,010_8
0201009,2863.0,309.0,74.0,18.0,41.0,5.0,141.0,3451.0,010_9
0201010,3559.0,360.0,70.0,29.0,39.0,6.0,159.0,4222.0,010_10
0201011,3346.0,388.0,107.0,16.0,85.0,11.0,213.0,4166.0,010_11
0201012,2594.0,285.0,145.0,24.0,74.0,8.0,126.0,3256.0,010_12
0201013,3092.0,381.0,67.0,20.0,54.0,17.0,131.0,3762.0,010_13
0201014,3093.0,363.0,121.0,27.0,44.0,3.0,180.0,3831.0,010_14
0201015,2564.0,316.0,83.0,17.0,28.0,9.0,144.0,3161.0,010_15
0201016,2860.0,321.0,113.0,24.0,57.0,17.0,178.0,3570.0,010_16
0201017,2946.0,341.0,171.0,22.0,39.0,8.0,156.0,3683.0,010_17
0201018,3333.0,341.0,144.0,16.0,39.0,5.0,212.0,4090.0,010_18
0201019,3781.0,430.0,171.0,18.0,46.0,17.0,259.0,4722.0,010_19
0201101,3470.0,407.0,161.0,45.0,69.0,7.0,210.0,4369.0,011_1
0201102,3298.0,301.0,138.0,33.0,44.0,14.0,251.0,4079.0,011_2
0201103,3188.0,379.0,131.0,38.0,84.0,8.0,179.0,4007.0,011_3
0201104,3668.0,499.0,169.0,38.0,119.0,11.0,219.0,4723.0,011_4
0201105,2930.0,294.0,84.0,40.0,66.0,6.0,164.0,3584.0,011_5
0201106,3300.0,316.0,128.0,38.0,62.0,7.0,221.0,4072.0,011_6
0201107,3406.0,358.0,94.0,65.0,42.0,4.0,159.0,4128.0,011_7
0201108,2863.0,338.0,96.0,14.0,51.0,12.0,151.0,3525.0,011_8
0201109,3474.0,453.0,134.0,21.0,104.0,11.0,169.0,4366.0,011_9
0201110,3342.0,463.0,227.0,21.0,68.0,13.0,151.0,4285.0,011_10
0201111,2476.0,168.0,72.0,19.0,34.0,5.0,153.0,2927.0,011_11
0201112,2599.0,238.0,87.0,18.0,51.0,8.0,161.0,3162.0,011_12
0201113,3624.0,380.0,143.0,24.0,83.0,10.0,207.0,4471.0,011_13
0201114,2711.0,270.0,74.0,22.0,41.0,3.0,149.0,3270.0,011_14
0201115,3648.0,313.0,140.0,25.0,54.0,8.0,157.0,4345.0,011_15
0201116,2953.0,395.0,167.0,22.0,43.0,7.0,157.0,3744.0,011_16
0201117,2427.0,234.0,69.0,15.0,49.0,4.0,106.0,2904.0,011_17
0201118,2838.0,329.0,130.0,15.0,52.0,5.0,220.0,3589.0,011_18
0201119,2662.0,263.0,95.0,15.0,60.0,6.0,135.0,3236.0,011_19
0201120,3046.0,294.0,77.0,25.0,39.0,10.0,146.0,3637.0,011_20
0201121,3394.0,353.0,114.0,22.0,67.0,5.0,138.0,4093.0,011_21
0201122,3335.0,418.0,117.0,19.0,65.0,9.0,170.0,4133.0,011_22
0201201,2874.0,285.0,62.0,14.0,47.0,4.0,132.0,3418.0,012_1
0201202,2731.0,298.0,98.0,11.0,34.0,8.0,140.0,3320.0,012_2
0201203,2867.0,230.0,89.0,29.0,32.0,11.0,102.0,3360.0,012_3
0201204,2917.0,320.0,118.0,19.0,87.0,11.0,179.0,3651.0,012_4
0201205,3545.0,360.0,160.0,14.0,95.0,19.0,210.0,4403.0,012_5
0201206,3156.0,322.0,152.0,33.0,57.0,5.0,134.0,3859.0,012_6
0201207,3528.0,533.0,162.0,27.0,65.0,12.0,167.0,4494.0,012_7
0201208,3598.0,529.0,148.0,19.0,32.0,7.0,170.0,4503.0,012_8
0201209,2492.0,251.0,102.0,44.0,39.0,8.0,130.0,3066.0,012_9
0201210,3471.0,403.0,143.0,28.0,36.0,6.0,200.0,4287.0,012_10
0201211,3289.0,408.0,149.0,32.0,50.0,6.0,172.0,4106.0,012_11
0201212,2801.0,376.0,150.0,20.0,111.0,9.0,165.0,3632.0,012_12
0201213,3057.0,383.0,262.0,33.0,55.0,5.0,181.0,3976.0,012_13
0201214,3831.0,582.0,283.0,29.0,135.0,18.0,182.0,5060.0,012_14
0201215,4564.0,635.0,227.0,26.0,109.0,15.0,274.0,5850.0,012_15
0201216,5107.0,729.0,431.0,33.0,85.0,24.0,213.0,6622.0,012_16
0201217,3026.0,342.0,132.0,41.0,41.0,2.0,140.0,3724.0,012_17
0201218,3876.0,361.0,125.0,29.0,36.0,8.0,199.0,4634.0,012_18
0201219,4111.0,355.0,96.0,7.0,26.0,3.0,183.0,4781.0,012_19
0201220,3015.0,380.0,187.0,25.0,53.0,5.0,168.0,3833.0,012_20
0201221,3284.0,395.0,165.0,41.0,73.0,10.0,208.0,4176.0,012_21
0201222,3855.0,409.0,120.0,39.0,59.0,8.0,164.0,4654.0,012_22
0201301,3914.0,837.0,190.0,17.0,119.0,13.0,201.0,5291.0,013_1
0201302,3776.0,703.0,225.0,14.0,164.0,27.0,227.0,5136.0,013_2
0201303,3310.0,506.0,396.0,25.0,130.0,26.0,296.0,4689.0,013_3
0201304,4760.0,818.0,192.0,24.0,211.0,33.0,266.0,6304.0,013_4
0201305,3220.0,489.0,153.0,19.0,90.0,8.0,236.0,4215.0,013_5
0201306,2953.0,351.0,76.0,20.0,68.0,11.0,150.0,3629.0,013_6
0201307,3118.0,540.0,114.0,13.0,116.0,8.0,188.0,4097.0,013_7
0201308,3472.0,599.0,178.0,10.0,123.0,29.0,132.0,4543.0,013_8
0201309,3124.0,440.0,134.0,12.0,177.0,25.0,237.0,4149.0,013_9
0201310,3942.0,823.0,226.0,17.0,179.0,31.0,221.0,5439.0,013_10
0201311,1682.0,190.0,100.0,22.0,68.0,13.0,135.0,2210.0,013_11
0201312,2854.0,452.0,157.0,25.0,59.0,18.0,192.0,3757.0,013_12
0201313,4295.0,764.0,233.0,22.0,165.0,37.0,248.0,5764.0,013_13
0201314,2931.0,413.0,134.0,9.0,208.0,30.0,221.0,3946.0,013_14
0201315,4075.0,648.0,168.0,12.0,309.0,31.0,250.0,5493.0,013_15
0201316,4257.0,716.0,245.0,5.0,189.0,23.0,240.0,5675.0,013_16
0201317,3894.0,612.0,243.0,52.0,70.0,20.0,237.0,5128.0,013_17
0201318,3089.0,444.0,129.0,22.0,69.0,25.0,215.0,3993.0,013_18
0201319,3416.0,602.0,116.0,27.0,65.0,15.0,187.0,4428.0,013_19
0201320,3682.0,644.0,174.0,3.0,326.0,41.0,315.0,5185.0,013_20
0201321,2993.0,454.0,156.0,15.0,179.0,15.0,192.0,4004.0,013_21
0201322,2805.0,525.0,111.0,39.0,106.0,28.0,157.0,3771.0,013_22
0201323,3931.0,664.0,180.0,10.0,271.0,25.0,286.0,5367.0,013_23
0201324,2974.0,420.0,99.0,27.0,94.0,9.0,117.0,3740.0,013_24
0201325,2421.0,298.0,50.0,11.0,46.0,15.0,116.0,2957.0,013_25
0201326,3137.0,344.0,156.0,22.0,124.0,17.0,170.0,3970.0,013_26
0201327,3464.0,593.0,184.0,14.0,220.0,17.0,193.0,4685.0,013_27
0201328,2946.0,487.0,173.0,6.0,149.0,18.0,161.0,3940.0,013_28
0201329,3297.0,405.0,90.0,13.0,83.0,12.0,228.0,4128.0,013_29
0201401,3665.0,608.0,150.0,15.0,167.0,36.0,170.0,4811.0,014_1
0201402,3557.0,653.0,189.0,11.0,246.0,37.0,223.0,4916.0,014_2
0201403,4116.0,878.0,316.0,15.0,250.0,47.0,270.0,5892.0,014_3
0201404,3927.0,639.0,185.0,12.0,181.0,45.0,289.0,5278.0,014_4
0201405,3542.0,516.0,145.0,12.0,85.0,19.0,199.0,4518.0,014_5
0201406,3542.0,648.0,244.0,32.0,109.0,25.0,274.0,4874.0,014_6
0201407,2693.0,480.0,285.0,91.0,204.0,24.0,167.0,3944.0,014_7
0201408,2943.0,788.0,233.0,25.0,122.0,19.0,144.0,4274.0,014_8
0201409,4776.0,1212.0,421.0,35.0,237.0,47.0,379.0,7107.0,014_9
0201410,6.0,11.0,0.0,0.0,1.0,0.0,2.0,20.0,014_10
0201411,4624.0,1173.0,399.0,24.0,285.0,85.0,425.0,7015.0,014_11
0201412,3150.0,713.0,268.0,10.0,138.0,33.0,222.0,4534.0,014_12
0201413,3206.0,515.0,317.0,25.0,149.0,23.0,225.0,4460.0,014_13
0201414,3490.0,682.0,267.0,10.0,146.0,71.0,268.0,4934.0,014_14
0201415,3376.0,662.0,287.0,9.0,158.0,48.0,218.0,4758.0,014_15
0201416,2620.0,567.0,134.0,12.0,202.0,50.0,195.0,3780.0,014_16
0201417,2750.0,577.0,123.0,16.0,247.0,47.0,208.0,3968.0,014_17
0201418,3033.0,595.0,176.0,32.0,151.0,74.0,194.0,4255.0,014_18
0201419,2562.0,546.0,132.0,34.0,133.0,57.0,143.0,3607.0,014_19
0201420,2826.0,465.0,132.0,9.0,171.0,52.0,248.0,3903.0,014_20
0201421,2835.0,535.0,148.0,25.0,202.0,27.0,157.0,3929.0,014_21
0201422,3408.0,596.0,177.0,19.0,127.0,31.0,168.0,4526.0,014_22
0201423,3719.0,847.0,196.0,11.0,130.0,37.0,225.0,5165.0,014_23
0201424,2635.0,571.0,204.0,5.0,79.0,62.0,120.0,3676.0,014_24
0201425,2827.0,488.0,224.0,15.0,161.0,54.0,163.0,3932.0,014_25
0201426,3174.0,600.0,134.0,14.0,239.0,45.0,190.0,4396.0,014_26
0201427,2741.0,721.0,220.0,15.0,243.0,49.0,180.0,4169.0,014_27
0201428,3717.0,806.0,167.0,6.0,315.0,72.0,195.0,5278.0,014_28
0201429,3487.0,792.0,297.0,13.0,366.0,52.0,327.0,5334.0,014_29
