Código,Sí,No,Total,CO_FRAC_RA
020011207,301.0,46.0,347.0,1_12_7
020011208,108.0,21.0,129.0,1_12_8
020011209,295.0,47.0,342.0,1_12_9
020011210,84.0,17.0,101.0,1_12_10
020011211,120.0,16.0,136.0,1_12_11
020011212,81.0,9.0,90.0,1_12_12
020011301,162.0,1.0,163.0,1_13_1
020011302,60.0,0.0,60.0,1_13_2
020011303,20.0,0.0,20.0,1_13_3
020011304,134.0,2.0,136.0,1_13_4
020011305,153.0,1.0,154.0,1_13_5
020011306,99.0,1.0,100.0,1_13_6
020011307,237.0,4.0,241.0,1_13_7
020011308,154.0,2.0,156.0,1_13_8
020011309,153.0,4.0,157.0,1_13_9
020011310,231.0,4.0,235.0,1_13_10
020011311,136.0,6.0,142.0,1_13_11
020011312,135.0,3.0,138.0,1_13_12
020011313,104.0,0.0,104.0,1_13_13
020011314,581.0,78.0,659.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,210.0,37.0,247.0,1_14_1
020011402,197.0,29.0,226.0,1_14_2
020011403,174.0,22.0,196.0,1_14_3
020011404,27.0,12.0,39.0,1_14_4
020011405,204.0,22.0,226.0,1_14_5
020011406,246.0,47.0,293.0,1_14_6
020011407,189.0,26.0,215.0,1_14_7
020011408,170.0,26.0,196.0,1_14_8
020011409,207.0,39.0,246.0,1_14_9
020011410,196.0,24.0,220.0,1_14_10
020011411,216.0,37.0,253.0,1_14_11
020011412,187.0,30.0,217.0,1_14_12
020011501,154.0,16.0,170.0,1_15_1
020011502,230.0,19.0,249.0,1_15_2
020011503,173.0,27.0,200.0,1_15_3
020011504,302.0,33.0,335.0,1_15_4
020011505,164.0,23.0,187.0,1_15_5
020011506,257.0,48.0,305.0,1_15_6
020011507,242.0,28.0,270.0,1_15_7
020011508,267.0,43.0,310.0,1_15_8
020011509,303.0,49.0,352.0,1_15_9
020011510,241.0,50.0,291.0,1_15_10
020011511,252.0,29.0,281.0,1_15_11
020011601,164.0,25.0,189.0,1_16_1
020011602,147.0,17.0,164.0,1_16_2
020011603,364.0,49.0,413.0,1_16_3
020011604,313.0,35.0,348.0,1_16_4
020011605,192.0,16.0,208.0,1_16_5
020011606,196.0,32.0,228.0,1_16_6
020011607,401.0,74.0,475.0,1_16_7
020011608,195.0,25.0,220.0,1_16_8
020011609,142.0,18.0,160.0,1_16_9
020011610,242.0,49.0,291.0,1_16_10
020011611,181.0,36.0,217.0,1_16_11
020011612,119.0,20.0,139.0,1_16_12
020011701,344.0,45.0,389.0,1_17_1
020011702,264.0,39.0,303.0,1_17_2
020011703,286.0,38.0,324.0,1_17_3
020011704,237.0,50.0,287.0,1_17_4
020011705,212.0,44.0,256.0,1_17_5
020011706,306.0,61.0,367.0,1_17_6
020011707,286.0,37.0,323.0,1_17_7
020011708,225.0,42.0,267.0,1_17_8
020011709,210.0,29.0,239.0,1_17_9
020011710,241.0,38.0,279.0,1_17_10
020011711,179.0,39.0,218.0,1_17_11
020011801,380.0,62.0,442.0,1_18_1
020011802,297.0,60.0,357.0,1_18_2
020011803,268.0,24.0,292.0,1_18_3
020011804,290.0,51.0,341.0,1_18_4
020011805,244.0,30.0,274.0,1_18_5
020011806,452.0,55.0,507.0,1_18_6
020011807,277.0,40.0,317.0,1_18_7
020011808,263.0,38.0,301.0,1_18_8
020011809,271.0,32.0,303.0,1_18_9
020011901,367.0,57.0,424.0,1_19_1
020011902,430.0,68.0,498.0,1_19_2
020011903,122.0,23.0,145.0,1_19_3
020011904,259.0,44.0,303.0,1_19_4
020011905,229.0,42.0,271.0,1_19_5
020011906,193.0,23.0,216.0,1_19_6
020011907,290.0,35.0,325.0,1_19_7
020011908,140.0,20.0,160.0,1_19_8
020011909,191.0,32.0,223.0,1_19_9
020012001,225.0,34.0,259.0,1_20_1
020012002,249.0,49.0,298.0,1_20_2
020012003,205.0,33.0,238.0,1_20_3
020012004,280.0,63.0,343.0,1_20_4
020012005,291.0,61.0,352.0,1_20_5
020012006,281.0,55.0,336.0,1_20_6
020012007,181.0,26.0,207.0,1_20_7
020012008,200.0,18.0,218.0,1_20_8
020012009,213.0,34.0,247.0,1_20_9
020012010,266.0,50.0,316.0,1_20_10
020012101,216.0,50.0,266.0,1_21_1
020012102,235.0,31.0,266.0,1_21_2
020012103,146.0,24.0,170.0,1_21_3
020012104,442.0,58.0,500.0,1_21_4
020012105,237.0,38.0,275.0,1_21_5
020012106,232.0,32.0,264.0,1_21_6
020012107,290.0,42.0,332.0,1_21_7
020012108,208.0,32.0,240.0,1_21_8
020012109,263.0,65.0,328.0,1_21_9
