Código,Sí,No,Total,CO_FRACC
0200616,4022.0,311.0,4333.0,006_16
0200617,2901.0,226.0,3127.0,006_17
0200618,3266.0,152.0,3418.0,006_18
0200619,3515.0,186.0,3701.0,006_19
0200620,3147.0,231.0,3378.0,006_20
0200621,3447.0,467.0,3914.0,006_21
0200701,2154.0,601.0,2755.0,007_1
0200702,2729.0,582.0,3311.0,007_2
0200703,3197.0,457.0,3654.0,007_3
0200704,3779.0,388.0,4167.0,007_4
0200705,2770.0,404.0,3174.0,007_5
0200706,2460.0,420.0,2880.0,007_6
0200707,2788.0,503.0,3291.0,007_7
0200708,2332.0,407.0,2739.0,007_8
0200709,2935.0,388.0,3323.0,007_9
0200710,2792.0,242.0,3034.0,007_10
0200711,3246.0,277.0,3523.0,007_11
0200712,2379.0,176.0,2555.0,007_12
0200713,3413.0,257.0,3670.0,007_13
0200714,3349.0,458.0,3807.0,007_14
0200715,2764.0,605.0,3369.0,007_15
0200716,2244.0,395.0,2639.0,007_16
0200717,367.0,4550.0,4917.0,007_17
0200718,804.0,2760.0,3564.0,007_18
0200719,1037.0,1394.0,2431.0,007_19
0200720,3412.0,721.0,4133.0,007_20
0200721,3677.0,372.0,4049.0,007_21
0200722,3603.0,328.0,3931.0,007_22
0200723,2556.0,215.0,2771.0,007_23
0200724,3352.0,444.0,3796.0,007_24
0200801,1146.0,4896.0,6042.0,008_1
0200802,1860.0,698.0,2558.0,008_2
0200803,1653.0,1595.0,3248.0,008_3
0200804,2553.0,446.0,2999.0,008_4
0200805,2761.0,441.0,3202.0,008_5
0200806,2547.0,582.0,3129.0,008_6
0200807,1273.0,5429.0,6702.0,008_7
0200808,2649.0,410.0,3059.0,008_8
0200809,2270.0,349.0,2619.0,008_9
0200810,3291.0,607.0,3898.0,008_10
0200811,3291.0,486.0,3777.0,008_11
0200812,1880.0,283.0,2163.0,008_12
0200813,1415.0,453.0,1868.0,008_13
0200814,1909.0,2088.0,3997.0,008_14
0200815,1434.0,3606.0,5040.0,008_15
0200816,1671.0,998.0,2669.0,008_16
0200817,1070.0,164.0,1234.0,008_17
0200901,1990.0,394.0,2384.0,009_1
0200902,3435.0,414.0,3849.0,009_2
0200903,3069.0,454.0,3523.0,009_3
0200904,3082.0,309.0,3391.0,009_4
0200905,3096.0,371.0,3467.0,009_5
0200906,3396.0,624.0,4020.0,009_6
0200907,3520.0,355.0,3875.0,009_7
0200908,3261.0,683.0,3944.0,009_8
0200909,3293.0,555.0,3848.0,009_9
0200910,2935.0,402.0,3337.0,009_10
0200911,3558.0,672.0,4230.0,009_11
0200912,2919.0,564.0,3483.0,009_12
0200913,1854.0,478.0,2332.0,009_13
0200914,1824.0,2017.0,3841.0,009_14
0200915,2542.0,646.0,3188.0,009_15
0200916,3097.0,686.0,3783.0,009_16
0201001,2209.0,207.0,2416.0,010_1
0201002,2285.0,219.0,2504.0,010_2
0201003,2098.0,172.0,2270.0,010_3
0201004,2517.0,234.0,2751.0,010_4
0201005,3698.0,445.0,4143.0,010_5
0201006,3753.0,426.0,4179.0,010_6
0201007,3640.0,401.0,4041.0,010_7
0201008,2884.0,325.0,3209.0,010_8
0201009,2713.0,295.0,3008.0,010_9
0201010,3333.0,351.0,3684.0,010_10
0201011,2943.0,680.0,3623.0,010_11
0201012,2272.0,503.0,2775.0,010_12
0201013,2862.0,330.0,3192.0,010_13
0201014,2799.0,424.0,3223.0,010_14
0201015,2289.0,375.0,2664.0,010_15
0201016,2630.0,358.0,2988.0,010_16
0201017,2786.0,355.0,3141.0,010_17
0201018,3102.0,457.0,3559.0,010_18
0201019,3175.0,908.0,4083.0,010_19
0201101,3334.0,250.0,3584.0,011_1
0201102,3273.0,158.0,3431.0,011_2
0201103,3158.0,101.0,3259.0,011_3
0201104,3632.0,158.0,3790.0,011_4
0201105,2858.0,176.0,3034.0,011_5
0201106,3089.0,348.0,3437.0,011_6
0201107,3193.0,307.0,3500.0,011_7
0201108,2764.0,169.0,2933.0,011_8
0201109,3408.0,205.0,3613.0,011_9
0201110,3268.0,275.0,3543.0,011_10
0201111,2470.0,206.0,2676.0,011_11
0201112,2468.0,230.0,2698.0,011_12
0201113,3467.0,235.0,3702.0,011_13
0201114,2543.0,230.0,2773.0,011_14
0201115,3469.0,325.0,3794.0,011_15
0201116,2808.0,247.0,3055.0,011_16
0201117,2313.0,281.0,2594.0,011_17
0201118,2636.0,439.0,3075.0,011_18
0201119,2447.0,329.0,2776.0,011_19
0201120,2874.0,313.0,3187.0,011_20
0201121,3128.0,393.0,3521.0,011_21
0201122,3100.0,385.0,3485.0,011_22
0201201,2863.0,160.0,3023.0,012_1
0201202,2684.0,185.0,2869.0,012_2
0201203,2717.0,366.0,3083.0,012_3
0201204,2850.0,228.0,3078.0,012_4
0201205,3370.0,269.0,3639.0,012_5
0201206,3061.0,223.0,3284.0,012_6
0201207,3394.0,254.0,3648.0,012_7
0201208,3604.0,227.0,3831.0,012_8
0201209,2368.0,202.0,2570.0,012_9
0201210,3402.0,296.0,3698.0,012_10
0201211,3131.0,295.0,3426.0,012_11
0201212,2647.0,232.0,2879.0,012_12
0201213,2905.0,257.0,3162.0,012_13
0201214,3601.0,292.0,3893.0,012_14
0201215,4362.0,300.0,4662.0,012_15
0201216,4902.0,586.0,5488.0,012_16
0201217,2909.0,246.0,3155.0,012_17
0201218,3723.0,288.0,4011.0,012_18
0201219,4044.0,309.0,4353.0,012_19
0201220,2919.0,259.0,3178.0,012_20
0201221,3293.0,257.0,3550.0,012_21
0201222,3822.0,245.0,4067.0,012_22
0201301,3907.0,195.0,4102.0,013_1
0201302,3625.0,287.0,3912.0,013_2
0201303,3165.0,221.0,3386.0,013_3
0201304,4592.0,332.0,4924.0,013_4
0201305,3061.0,234.0,3295.0,013_5
0201306,2847.0,234.0,3081.0,013_6
0201307,3036.0,142.0,3178.0,013_7
0201308,3327.0,229.0,3556.0,013_8
0201309,3028.0,152.0,3180.0,013_9
0201310,3765.0,354.0,4119.0,013_10
0201311,1681.0,82.0,1763.0,013_11
0201312,2764.0,136.0,2900.0,013_12
0201313,4232.0,203.0,4435.0,013_13
0201314,2895.0,92.0,2987.0,013_14
0201315,3960.0,169.0,4129.0,013_15
0201316,4083.0,237.0,4320.0,013_16
0201317,3819.0,220.0,4039.0,013_17
0201318,2976.0,147.0,3123.0,013_18
0201319,3389.0,142.0,3531.0,013_19
0201320,3566.0,186.0,3752.0,013_20
0201321,2979.0,66.0,3045.0,013_21
0201322,2816.0,42.0,2858.0,013_22
0201323,3941.0,168.0,4109.0,013_23
0201324,2931.0,140.0,3071.0,013_24
0201325,2410.0,155.0,2565.0,013_25
0201326,2979.0,273.0,3252.0,013_26
0201327,3247.0,266.0,3513.0,013_27
0201328,2768.0,251.0,3019.0,013_28
0201329,3057.0,305.0,3362.0,013_29
0201401,3619.0,165.0,3784.0,014_1
0201402,3486.0,140.0,3626.0,014_2
0201403,4013.0,208.0,4221.0,014_3
0201404,3740.0,286.0,4026.0,014_4
0201405,3478.0,203.0,3681.0,014_5
0201406,3359.0,420.0,3779.0,014_6
0201407,2439.0,353.0,2792.0,014_7
0201408,2731.0,373.0,3104.0,014_8
0201409,4608.0,384.0,4992.0,014_9
0201410,5.0,1.0,6.0,014_10
0201411,4376.0,348.0,4724.0,014_11
0201412,2754.0,461.0,3215.0,014_12
0201413,2933.0,434.0,3367.0,014_13
0201414,3287.0,329.0,3616.0,014_14
0201415,3268.0,248.0,3516.0,014_15
0201416,2566.0,97.0,2663.0,014_16
0201417,2738.0,91.0,2829.0,014_17
0201418,3030.0,97.0,3127.0,014_18
0201419,2504.0,127.0,2631.0,014_19
0201420,2785.0,142.0,2927.0,014_20
0201421,2562.0,377.0,2939.0,014_21
0201422,3158.0,426.0,3584.0,014_22
0201423,3550.0,443.0,3993.0,014_23
0201424,2513.0,224.0,2737.0,014_24
0201425,2638.0,248.0,2886.0,014_25
0201426,3191.0,103.0,3294.0,014_26
0201427,2637.0,145.0,2782.0,014_27
0201428,3663.0,127.0,3790.0,014_28
