Código,0 - 14,15 - 64,65 y más,Total,CO_FRACC
0200101,48.0,277.0,11.0,336.0,001_1
0200102,3355.0,7714.0,174.0,11243.0,001_2
0200103,5108.0,10642.0,144.0,15894.0,001_3
0200104,1360.0,6745.0,2261.0,10366.0,001_4
0200105,674.0,3561.0,1179.0,5414.0,001_5
0200106,728.0,4637.0,1763.0,7128.0,001_6
0200107,432.0,5469.0,1110.0,7011.0,001_7
0200108,660.0,5667.0,1694.0,8021.0,001_8
0200109,761.0,5949.0,1036.0,7746.0,001_9
0200110,686.0,5076.0,1219.0,6981.0,001_10
0200111,825.0,5955.0,1214.0,7994.0,001_11
0200112,582.0,5114.0,856.0,6552.0,001_12
0200113,1208.0,5028.0,490.0,6726.0,001_13
0200114,887.0,4548.0,790.0,6225.0,001_14
0200115,943.0,5329.0,978.0,7250.0,001_15
0200116,812.0,4956.0,1071.0,6839.0,001_16
0200117,878.0,4965.0,1043.0,6886.0,001_17
0200118,928.0,4851.0,1106.0,6885.0,001_18
0200119,788.0,4161.0,880.0,5829.0,001_19
0200120,1021.0,4476.0,1165.0,6662.0,001_20
0200121,1125.0,4891.0,1000.0,7016.0,001_21
0200122,882.0,4813.0,1176.0,6871.0,001_22
0200123,693.0,4104.0,989.0,5786.0,001_23
0200124,428.0,2479.0,549.0,3456.0,001_24
0200125,934.0,4205.0,1114.0,6253.0,001_25
0200126,680.0,3340.0,938.0,4958.0,001_26
0200127,1328.0,5110.0,994.0,7432.0,001_27
0200128,1507.0,5852.0,1199.0,8558.0,001_28
0200129,1470.0,5117.0,981.0,7568.0,001_29
0200201,199.0,397.0,27.0,623.0,002_1
0200202,519.0,3015.0,1113.0,4647.0,002_2
0200203,539.0,3477.0,1142.0,5158.0,002_3
0200204,660.0,4141.0,1670.0,6471.0,002_4
0200205,778.0,4239.0,1517.0,6534.0,002_5
0200206,827.0,4163.0,1406.0,6396.0,002_6
0200207,841.0,4682.0,1575.0,7098.0,002_7
0200208,854.0,5439.0,1624.0,7917.0,002_8
0200209,979.0,6069.0,1688.0,8736.0,002_9
0200210,748.0,4755.0,1177.0,6680.0,002_10
0200211,621.0,4064.0,947.0,5632.0,002_11
0200212,664.0,4345.0,1197.0,6206.0,002_12
0200213,884.0,5582.0,1339.0,7805.0,002_13
0200214,921.0,5931.0,1560.0,8412.0,002_14
0200215,670.0,4144.0,1230.0,6044.0,002_15
0200216,587.0,3657.0,1199.0,5443.0,002_16
0200217,711.0,5420.0,1487.0,7618.0,002_17
0200218,731.0,4686.0,1434.0,6851.0,002_18
0200219,763.0,4442.0,1086.0,6291.0,002_19
0200220,647.0,4188.0,919.0,5754.0,002_20
0200221,547.0,4118.0,1083.0,5748.0,002_21
0200222,434.0,3377.0,929.0,4740.0,002_22
0200223,717.0,4663.0,1401.0,6781.0,002_23
0200224,525.0,3762.0,1247.0,5534.0,002_24
0200225,1036.0,6509.0,1268.0,8813.0,002_25
0200301,1240.0,5484.0,1047.0,7771.0,003_1
0200302,1727.0,6251.0,1284.0,9262.0,003_2
0200303,1429.0,5366.0,1330.0,8125.0,003_3
0200304,793.0,3892.0,739.0,5424.0,003_4
0200305,520.0,3571.0,690.0,4781.0,003_5
0200306,425.0,3148.0,792.0,4365.0,003_6
0200307,700.0,4627.0,1139.0,6466.0,003_7
0200308,865.0,4006.0,895.0,5766.0,003_8
0200309,1165.0,5067.0,1099.0,7331.0,003_9
0200310,920.0,4226.0,990.0,6136.0,003_10
0200311,846.0,4867.0,1188.0,6901.0,003_11
0200312,785.0,4619.0,1285.0,6689.0,003_12
0200313,1088.0,5153.0,1407.0,7648.0,003_13
0200314,1146.0,5633.0,1215.0,7994.0,003_14
0200315,986.0,5271.0,1153.0,7410.0,003_15
0200316,1221.0,5199.0,1056.0,7476.0,003_16
0200317,1294.0,4971.0,958.0,7223.0,003_17
0200318,1080.0,4811.0,1119.0,7010.0,003_18
0200319,1156.0,5344.0,1285.0,7785.0,003_19
0200320,955.0,4983.0,1425.0,7363.0,003_20
0200321,937.0,4841.0,1387.0,7165.0,003_21
0200322,990.0,4542.0,1002.0,6534.0,003_22
0200323,1280.0,5028.0,1333.0,7641.0,003_23
0200324,988.0,4214.0,1169.0,6371.0,003_24
0200325,1402.0,5355.0,1032.0,7789.0,003_25
0200326,1120.0,4768.0,1124.0,7012.0,003_26
0200327,1044.0,4170.0,885.0,6099.0,003_27
0200401,1978.0,5955.0,1237.0,9170.0,004_1
0200402,1499.0,5091.0,1346.0,7936.0,004_2
0200403,1933.0,7052.0,1850.0,10835.0,004_3
0200404,1655.0,6114.0,1528.0,9297.0,004_4
0200405,2062.0,7060.0,1661.0,10783.0,004_5
0200406,1566.0,6094.0,1362.0,9022.0,004_6
0200407,2107.0,7382.0,1861.0,11350.0,004_7
0200408,1916.0,6680.0,1234.0,9830.0,004_8
0200409,1190.0,3611.0,656.0,5457.0,004_9
0200410,3347.0,7760.0,275.0,11382.0,004_10
0200411,1506.0,4817.0,1090.0,7413.0,004_11
0200412,1297.0,5427.0,1242.0,7966.0,004_12
0200413,1257.0,4938.0,1330.0,7525.0,004_13
0200414,1033.0,4501.0,1023.0,6557.0,004_14
0200415,1112.0,4820.0,1436.0,7368.0,004_15
0200416,1480.0,6173.0,1241.0,8894.0,004_16
0200417,1270.0,4390.0,1373.0,7033.0,004_17
0200418,1.0,73.0,0.0,74.0,004_18
0200419,2431.0,6290.0,904.0,9625.0,004_19
0200420,2234.0,6865.0,1315.0,10414.0,004_20
0200421,2214.0,6031.0,828.0,9073.0,004_21
0200422,1578.0,6232.0,1550.0,9360.0,004_22
0200423,1769.0,5768.0,1180.0,8717.0,004_23
0200424,2819.0,6073.0,272.0,9164.0,004_24
0200425,3296.0,7057.0,192.0,10545.0,004_25
0200426,1197.0,2124.0,134.0,3455.0,004_26
0200501,968.0,5142.0,1112.0,7222.0,005_1
0200502,1187.0,5863.0,1275.0,8325.0,005_2
0200503,952.0,5135.0,1066.0,7153.0,005_3
0200504,868.0,5110.0,1355.0,7333.0,005_4
0200505,898.0,4478.0,1140.0,6516.0,005_5
0200506,1092.0,5370.0,1484.0,7946.0,005_6
0200507,963.0,5202.0,1308.0,7473.0,005_7
0200508,1012.0,5335.0,1450.0,7797.0,005_8
0200509,972.0,4871.0,1245.0,7088.0,005_9
0200510,1125.0,5333.0,1507.0,7965.0,005_10
0200511,1340.0,6066.0,1250.0,8656.0,005_11
0200512,869.0,4733.0,1416.0,7018.0,005_12
0200513,1001.0,4919.0,1482.0,7402.0,005_13
0200514,1130.0,5454.0,1663.0,8247.0,005_14
0200515,999.0,5166.0,1499.0,7664.0,005_15
0200516,1473.0,6260.0,1484.0,9217.0,005_16
0200517,1307.0,5907.0,1463.0,8677.0,005_17
0200518,1330.0,5635.0,1387.0,8352.0,005_18
0200519,1287.0,6007.0,1570.0,8864.0,005_19
0200520,1870.0,7207.0,1610.0,10687.0,005_20
0200521,1325.0,5355.0,1305.0,7985.0,005_21
0200522,1992.0,7697.0,1729.0,11418.0,005_22
0200601,1530.0,6292.0,1522.0,9344.0,006_1
0200602,1575.0,6475.0,1457.0,9507.0,006_2
0200603,1333.0,5859.0,1402.0,8594.0,006_3
0200604,1296.0,5804.0,1423.0,8523.0,006_4
0200605,1263.0,5969.0,1630.0,8862.0,006_5
0200606,1139.0,5733.0,1645.0,8517.0,006_6
0200607,1345.0,6799.0,1735.0,9879.0,006_7
0200608,1140.0,5573.0,1424.0,8137.0,006_8
0200609,799.0,4235.0,1645.0,6679.0,006_9
0200610,962.0,5251.0,1652.0,7865.0,006_10
0200611,1088.0,5059.0,1215.0,7362.0,006_11
0200612,1078.0,5011.0,1458.0,7547.0,006_12
0200613,1146.0,5626.0,1610.0,8382.0,006_13
0200614,1226.0,5745.0,1436.0,8407.0,006_14
0200615,1264.0,5793.0,1393.0,8450.0,006_15
0200616,1738.0,7223.0,1559.0,10520.0,006_16
0200617,806.0,4314.0,1455.0,6575.0,006_17
0200618,819.0,4858.0,1865.0,7542.0,006_18
0200619,1092.0,5581.0,1750.0,8423.0,006_19
0200620,1110.0,5109.0,1423.0,7642.0,006_20
0200621,1387.0,6363.0,1569.0,9319.0,006_21
0200701,1355.0,4701.0,1264.0,7320.0,007_1
0200702,1630.0,5847.0,1460.0,8937.0,007_2
0200703,1555.0,6207.0,1578.0,9340.0,007_3
0200704,1442.0,6651.0,1749.0,9842.0,007_4
0200705,1050.0,4788.0,1713.0,7551.0,007_5
0200706,1066.0,4424.0,1505.0,6995.0,007_6
0200707,1189.0,4921.0,1819.0,7929.0,007_7
0200708,945.0,4223.0,1229.0,6397.0,007_8
0200709,1119.0,5060.0,1548.0,7727.0,007_9
0200710,944.0,4626.0,1617.0,7187.0,007_10
0200711,1092.0,5609.0,1915.0,8616.0,007_11
0200712,1035.0,4353.0,1304.0,6692.0,007_12
0200713,1548.0,6494.0,1835.0,9877.0,007_13
0200714,1955.0,7516.0,1744.0,11215.0,007_14
0200715,1945.0,6518.0,1622.0,10085.0,007_15
0200716,1420.0,5348.0,1203.0,7971.0,007_16
0200717,5174.0,10531.0,142.0,15847.0,007_17
0200718,4133.0,8294.0,284.0,12711.0,007_18
0200719,2401.0,5917.0,445.0,8763.0,007_19
0200720,2228.0,7865.0,1970.0,12063.0,007_20
0200721,1456.0,6449.0,1993.0,9898.0,007_21
0200722,1570.0,6667.0,1631.0,9868.0,007_22
0200723,1088.0,4665.0,1279.0,7032.0,007_23
0200724,1861.0,7112.0,1755.0,10728.0,007_24
0200801,6676.0,13538.0,678.0,20892.0,008_1
0200802,1680.0,4966.0,1250.0,7896.0,008_2
0200803,2660.0,6983.0,963.0,10606.0,008_3
0200804,1700.0,5727.0,1555.0,8982.0,008_4
0200805,1707.0,6040.0,1599.0,9346.0,008_5
0200806,1915.0,6377.0,1330.0,9622.0,008_6
0200807,8102.0,15703.0,463.0,24268.0,008_7
0200808,1556.0,5825.0,1513.0,8894.0,008_8
0200809,1376.0,4923.0,1336.0,7635.0,008_9
0200810,2476.0,7356.0,1839.0,11671.0,008_10
0200811,2111.0,7309.0,1687.0,11107.0,008_11
0200812,1206.0,4249.0,994.0,6449.0,008_12
0200813,1114.0,3667.0,932.0,5713.0,008_13
0200814,3807.0,8780.0,1132.0,13719.0,008_14
0200815,6107.0,11529.0,489.0,18125.0,008_15
0200816,2463.0,5709.0,1050.0,9222.0,008_16
0200817,577.0,1902.0,611.0,3090.0,008_17
0200901,980.0,3894.0,1125.0,5999.0,009_1
0200902,1689.0,6534.0,1812.0,10035.0,009_2
0200903,1490.0,6028.0,1808.0,9326.0,009_3
0200904,1519.0,5848.0,1767.0,9134.0,009_4
0200905,1596.0,6310.0,1732.0,9638.0,009_5
0200906,1865.0,7089.0,1869.0,10823.0,009_6
0200907,1700.0,6785.0,2236.0,10721.0,009_7
0200908,2061.0,7398.0,1808.0,11267.0,009_8
0200909,2037.0,7142.0,1842.0,11021.0,009_9
0200910,1622.0,5991.0,1655.0,9268.0,009_10
0200911,2343.0,8135.0,2105.0,12583.0,009_11
0200912,1893.0,6736.0,1701.0,10330.0,009_12
0200913,1441.0,4681.0,1076.0,7198.0,009_13
