Código,Satisfactoria,Básica,Insuficiente,Total,CO_FRAC_RA
020120402,213.0,53.0,2.0,268.0,12_4_2
020120403,317.0,64.0,2.0,383.0,12_4_3
020120404,245.0,31.0,2.0,278.0,12_4_4
020120405,212.0,19.0,0.0,231.0,12_4_5
020120406,263.0,26.0,1.0,290.0,12_4_6
020120407,461.0,35.0,0.0,496.0,12_4_7
020120408,238.0,42.0,1.0,281.0,12_4_8
020120409,184.0,34.0,4.0,222.0,12_4_9
020120410,188.0,35.0,0.0,223.0,12_4_10
020120501,178.0,25.0,1.0,204.0,12_5_1
020120502,239.0,39.0,1.0,279.0,12_5_2
020120503,492.0,36.0,0.0,528.0,12_5_3
020120504,243.0,31.0,1.0,275.0,12_5_4
020120505,303.0,40.0,2.0,345.0,12_5_5
020120506,265.0,21.0,1.0,287.0,12_5_6
020120507,307.0,14.0,0.0,321.0,12_5_7
020120508,346.0,66.0,1.0,413.0,12_5_8
020120509,225.0,77.0,0.0,302.0,12_5_9
020120510,237.0,21.0,18.0,276.0,12_5_10
020120511,276.0,35.0,4.0,315.0,12_5_11
020120601,285.0,13.0,1.0,299.0,12_6_1
020120602,323.0,24.0,1.0,348.0,12_6_2
020120603,234.0,18.0,1.0,253.0,12_6_3
020120604,296.0,29.0,0.0,325.0,12_6_4
020120605,328.0,53.0,1.0,382.0,12_6_5
020120606,291.0,46.0,1.0,338.0,12_6_6
020120607,315.0,14.0,0.0,329.0,12_6_7
020120608,250.0,35.0,0.0,285.0,12_6_8
020120609,241.0,58.0,2.0,301.0,12_6_9
020120610,275.0,19.0,2.0,296.0,12_6_10
020120701,268.0,43.0,2.0,313.0,12_7_1
020120702,258.0,40.0,0.0,298.0,12_7_2
020120703,293.0,22.0,0.0,315.0,12_7_3
020120704,278.0,42.0,1.0,321.0,12_7_4
020120705,241.0,21.0,2.0,264.0,12_7_5
020120706,288.0,51.0,4.0,343.0,12_7_6
020120707,267.0,30.0,0.0,297.0,12_7_7
020120708,326.0,26.0,6.0,358.0,12_7_8
020120709,521.0,25.0,4.0,550.0,12_7_9
020120710,392.0,75.0,2.0,469.0,12_7_10
020120801,324.0,77.0,5.0,406.0,12_8_1
020120802,250.0,18.0,1.0,269.0,12_8_2
020120803,286.0,31.0,2.0,319.0,12_8_3
020120804,215.0,40.0,1.0,256.0,12_8_4
020120805,298.0,41.0,1.0,340.0,12_8_5
020120806,321.0,21.0,1.0,343.0,12_8_6
020120807,321.0,38.0,0.0,359.0,12_8_7
020120808,375.0,31.0,2.0,408.0,12_8_8
020120809,362.0,24.0,1.0,387.0,12_8_9
020120810,202.0,66.0,1.0,269.0,12_8_10
020120811,223.0,19.0,0.0,242.0,12_8_11
020120901,261.0,44.0,10.0,315.0,12_9_1
020120902,345.0,55.0,0.0,400.0,12_9_2
020120903,307.0,63.0,7.0,377.0,12_9_3
020120904,319.0,57.0,7.0,383.0,12_9_4
020120905,322.0,31.0,1.0,354.0,12_9_5
020120906,327.0,34.0,4.0,365.0,12_9_6
020120907,270.0,25.0,3.0,298.0,12_9_7
020121001,269.0,51.0,1.0,321.0,12_10_1
020121002,330.0,48.0,0.0,378.0,12_10_2
020121003,248.0,33.0,1.0,282.0,12_10_3
020121004,222.0,30.0,4.0,256.0,12_10_4
020121005,247.0,36.0,9.0,292.0,12_10_5
020121006,301.0,41.0,0.0,342.0,12_10_6
020121007,215.0,31.0,1.0,247.0,12_10_7
020121008,457.0,12.0,0.0,469.0,12_10_8
020121009,271.0,36.0,0.0,307.0,12_10_9
020121010,198.0,47.0,10.0,255.0,12_10_10
020121011,278.0,35.0,9.0,322.0,12_10_11
020121101,292.0,27.0,0.0,319.0,12_11_1
020121102,240.0,15.0,4.0,259.0,12_11_2
020121103,188.0,53.0,2.0,243.0,12_11_3
020121104,286.0,38.0,1.0,325.0,12_11_4
020121105,214.0,45.0,25.0,284.0,12_11_5
020121106,277.0,28.0,2.0,307.0,12_11_6
020121107,301.0,17.0,1.0,319.0,12_11_7
020121108,302.0,11.0,12.0,325.0,12_11_8
020121109,366.0,4.0,0.0,370.0,12_11_9
020121110,224.0,40.0,2.0,266.0,12_11_10
020121111,229.0,40.0,3.0,272.0,12_11_11
020121201,261.0,9.0,0.0,270.0,12_12_1
020121202,473.0,20.0,1.0,494.0,12_12_2
020121203,465.0,18.0,2.0,485.0,12_12_3
020121204,307.0,42.0,0.0,349.0,12_12_4
020121205,298.0,24.0,0.0,322.0,12_12_5
020121206,225.0,18.0,0.0,243.0,12_12_6
020121207,351.0,22.0,2.0,375.0,12_12_7
020121208,238.0,24.0,1.0,263.0,12_12_8
020121301,363.0,38.0,1.0,402.0,12_13_1
020121302,356.0,31.0,1.0,388.0,12_13_2
020121303,683.0,27.0,1.0,711.0,12_13_3
020121304,444.0,45.0,0.0,489.0,12_13_4
020121305,446.0,10.0,0.0,456.0,12_13_5
020121306,345.0,45.0,0.0,390.0,12_13_6
020121307,201.0,17.0,3.0,221.0,12_13_7
020121401,335.0,5.0,29.0,369.0,12_14_1
020121402,360.0,35.0,0.0,395.0,12_14_2
020121403,291.0,11.0,2.0,304.0,12_14_3
020121404,390.0,8.0,0.0,398.0,12_14_4
020121405,410.0,8.0,0.0,418.0,12_14_5
020121406,294.0,20.0,0.0,314.0,12_14_6
020121407,382.0,26.0,20.0,428.0,12_14_7
020121408,416.0,44.0,3.0,463.0,12_14_8
