Código,Satisfactoria,Básica,Insuficiente,Total,CO_FRAC_RA
020131304,348.0,17.0,5.0,370.0,13_13_4
020131305,388.0,18.0,0.0,406.0,13_13_5
020131306,115.0,15.0,1.0,131.0,13_13_6
020131307,264.0,34.0,1.0,299.0,13_13_7
020131308,234.0,13.0,1.0,248.0,13_13_8
020131309,271.0,2.0,0.0,273.0,13_13_9
020131310,342.0,4.0,0.0,346.0,13_13_10
020131311,199.0,13.0,0.0,212.0,13_13_11
020131312,317.0,6.0,1.0,324.0,13_13_12
020131313,505.0,20.0,1.0,526.0,13_13_13
020131314,328.0,14.0,0.0,342.0,13_13_14
020131401,304.0,22.0,1.0,327.0,13_14_1
020131402,156.0,6.0,0.0,162.0,13_14_2
020131403,334.0,21.0,5.0,360.0,13_14_3
020131404,279.0,9.0,0.0,288.0,13_14_4
020131405,209.0,18.0,1.0,228.0,13_14_5
020131406,337.0,18.0,0.0,355.0,13_14_6
020131407,157.0,6.0,0.0,163.0,13_14_7
020131408,218.0,30.0,1.0,249.0,13_14_8
020131409,223.0,11.0,0.0,234.0,13_14_9
020131410,285.0,12.0,0.0,297.0,13_14_10
020131411,249.0,18.0,1.0,268.0,13_14_11
020131501,310.0,38.0,2.0,350.0,13_15_1
020131502,351.0,6.0,0.0,357.0,13_15_2
020131503,316.0,31.0,0.0,347.0,13_15_3
020131504,176.0,20.0,0.0,196.0,13_15_4
020131505,356.0,27.0,1.0,384.0,13_15_5
020131506,272.0,7.0,0.0,279.0,13_15_6
020131507,376.0,0.0,0.0,376.0,13_15_7
020131508,348.0,14.0,1.0,363.0,13_15_8
020131509,351.0,51.0,1.0,403.0,13_15_9
020131510,297.0,32.0,1.0,330.0,13_15_10
020131511,304.0,53.0,10.0,367.0,13_15_11
020131512,310.0,13.0,0.0,323.0,13_15_12
020131601,381.0,7.0,0.0,388.0,13_16_1
020131602,412.0,11.0,1.0,424.0,13_16_2
020131603,241.0,7.0,1.0,249.0,13_16_3
020131604,353.0,14.0,0.0,367.0,13_16_4
020131605,249.0,2.0,0.0,251.0,13_16_5
020131606,168.0,1.0,0.0,169.0,13_16_6
020131607,340.0,25.0,0.0,365.0,13_16_7
020131608,335.0,12.0,0.0,347.0,13_16_8
020131609,351.0,22.0,0.0,373.0,13_16_9
020131610,363.0,22.0,0.0,385.0,13_16_10
020131611,342.0,37.0,0.0,379.0,13_16_11
020131612,313.0,17.0,9.0,339.0,13_16_12
020131613,218.0,2.0,1.0,221.0,13_16_13
020131701,385.0,84.0,2.0,471.0,13_17_1
020131702,413.0,50.0,1.0,464.0,13_17_2
020131703,307.0,51.0,0.0,358.0,13_17_3
020131704,229.0,14.0,0.0,243.0,13_17_4
020131705,270.0,11.0,0.0,281.0,13_17_5
020131706,333.0,11.0,0.0,344.0,13_17_6
020131707,333.0,48.0,1.0,382.0,13_17_7
020131708,297.0,17.0,0.0,314.0,13_17_8
020131709,365.0,33.0,1.0,399.0,13_17_9
020131710,340.0,52.0,1.0,393.0,13_17_10
020131711,235.0,10.0,0.0,245.0,13_17_11
020131801,299.0,32.0,1.0,332.0,13_18_1
020131802,367.0,33.0,2.0,402.0,13_18_2
020131803,381.0,7.0,2.0,390.0,13_18_3
020131804,266.0,23.0,4.0,293.0,13_18_4
020131805,265.0,15.0,0.0,280.0,13_18_5
020131806,268.0,33.0,0.0,301.0,13_18_6
020131807,359.0,21.0,0.0,380.0,13_18_7
020131808,264.0,9.0,2.0,275.0,13_18_8
020131809,153.0,13.0,0.0,166.0,13_18_9
020131810,237.0,32.0,1.0,270.0,13_18_10
020131901,320.0,11.0,4.0,335.0,13_19_1
020131902,382.0,11.0,0.0,393.0,13_19_2
020131903,274.0,8.0,3.0,285.0,13_19_3
020131904,214.0,12.0,0.0,226.0,13_19_4
020131905,314.0,35.0,10.0,359.0,13_19_5
020131906,194.0,17.0,0.0,211.0,13_19_6
020131907,216.0,3.0,2.0,221.0,13_19_7
020131908,317.0,5.0,0.0,322.0,13_19_8
020131909,287.0,40.0,0.0,327.0,13_19_9
020131910,291.0,18.0,2.0,311.0,13_19_10
020131911,158.0,2.0,0.0,160.0,13_19_11
020131912,261.0,4.0,1.0,266.0,13_19_12
020132001,285.0,16.0,0.0,301.0,13_20_1
020132002,371.0,10.0,0.0,381.0,13_20_2
020132003,169.0,2.0,0.0,171.0,13_20_3
020132004,303.0,9.0,0.0,312.0,13_20_4
020132005,294.0,5.0,1.0,300.0,13_20_5
020132006,399.0,24.0,1.0,424.0,13_20_6
020132007,348.0,18.0,0.0,366.0,13_20_7
020132008,354.0,28.0,1.0,383.0,13_20_8
020132009,239.0,16.0,0.0,255.0,13_20_9
020132010,264.0,4.0,0.0,268.0,13_20_10
020132011,220.0,31.0,0.0,251.0,13_20_11
020132012,259.0,10.0,1.0,270.0,13_20_12
020132101,227.0,5.0,0.0,232.0,13_21_1
020132102,141.0,7.0,0.0,148.0,13_21_2
020132103,221.0,5.0,0.0,226.0,13_21_3
020132104,309.0,10.0,0.0,319.0,13_21_4
020132105,279.0,7.0,0.0,286.0,13_21_5
020132106,288.0,19.0,1.0,308.0,13_21_6
020132107,411.0,31.0,1.0,443.0,13_21_7
020132108,334.0,4.0,0.0,338.0,13_21_8
020132109,338.0,19.0,1.0,358.0,13_21_9
020132110,316.0,19.0,0.0,335.0,13_21_10
020132201,231.0,17.0,1.0,249.0,13_22_1
020132202,212.0,6.0,0.0,218.0,13_22_2
020132203,210.0,7.0,0.0,217.0,13_22_3
020132204,297.0,25.0,0.0,322.0,13_22_4
020132205,386.0,4.0,0.0,390.0,13_22_5
020132206,383.0,2.0,0.0,385.0,13_22_6
020132207,448.0,4.0,1.0,453.0,13_22_7
020132208,325.0,32.0,4.0,361.0,13_22_8
020132209,192.0,18.0,0.0,210.0,13_22_9
020132301,487.0,46.0,2.0,535.0,13_23_1
020132302,232.0,11.0,0.0,243.0,13_23_2
020132303,479.0,54.0,1.0,534.0,13_23_3
020132304,253.0,35.0,1.0,289.0,13_23_4
020132305,201.0,10.0,1.0,212.0,13_23_5
020132306,311.0,41.0,1.0,353.0,13_23_6
020132307,245.0,7.0,0.0,252.0,13_23_7
020132308,437.0,63.0,2.0,502.0,13_23_8
020132309,326.0,36.0,1.0,363.0,13_23_9
020132310,205.0,33.0,1.0,239.0,13_23_10
020132311,373.0,36.0,0.0,409.0,13_23_11
020132401,193.0,3.0,0.0,196.0,13_24_1
020132402,223.0,22.0,0.0,245.0,13_24_2
020132403,246.0,8.0,2.0,256.0,13_24_3
020132404,321.0,43.0,0.0,364.0,13_24_4
020132405,269.0,11.0,2.0,282.0,13_24_5
020132406,239.0,66.0,0.0,305.0,13_24_6
020132407,326.0,16.0,2.0,344.0,13_24_7
020132408,313.0,11.0,4.0,328.0,13_24_8
020132409,285.0,55.0,36.0,376.0,13_24_9
020132410,234.0,42.0,2.0,278.0,13_24_10
020132501,234.0,8.0,0.0,242.0,13_25_1
020132502,250.0,20.0,0.0,270.0,13_25_2
020132503,320.0,63.0,0.0,383.0,13_25_3
020132504,217.0,47.0,0.0,264.0,13_25_4
020132505,174.0,18.0,1.0,193.0,13_25_5
020132506,229.0,26.0,0.0,255.0,13_25_6
020132507,424.0,30.0,2.0,456.0,13_25_7
020132508,336.0,22.0,0.0,358.0,13_25_8
020132601,243.0,45.0,25.0,313.0,13_26_1
020132602,275.0,27.0,18.0,320.0,13_26_2
020132603,237.0,32.0,11.0,280.0,13_26_3
020132604,309.0,55.0,21.0,385.0,13_26_4
020132605,268.0,22.0,11.0,301.0,13_26_5
020132606,224.0,9.0,1.0,234.0,13_26_6
020132607,177.0,6.0,0.0,183.0,13_26_7
020132608,160.0,53.0,0.0,213.0,13_26_8
020132609,179.0,19.0,2.0,200.0,13_26_9
020132610,368.0,59.0,1.0,428.0,13_26_10
020132611,255.0,20.0,5.0,280.0,13_26_11
020132701,164.0,8.0,2.0,174.0,13_27_1
020132702,390.0,6.0,0.0,396.0,13_27_2
020132703,417.0,17.0,0.0,434.0,13_27_3
020132704,350.0,34.0,0.0,384.0,13_27_4
020132705,288.0,16.0,0.0,304.0,13_27_5
020132706,480.0,26.0,15.0,521.0,13_27_6
020132707,448.0,30.0,16.0,494.0,13_27_7
020132708,331.0,26.0,2.0,359.0,13_27_8
020132709,392.0,6.0,0.0,398.0,13_27_9
020132801,205.0,14.0,43.0,262.0,13_28_1
020132802,194.0,14.0,1.0,209.0,13_28_2
020132803,260.0,29.0,3.0,292.0,13_28_3
020132804,176.0,10.0,13.0,199.0,13_28_4
020132805,203.0,12.0,0.0,215.0,13_28_5
020132806,326.0,20.0,0.0,346.0,13_28_6
020132807,283.0,43.0,0.0,326.0,13_28_7
020132808,417.0,30.0,1.0,448.0,13_28_8
020132809,344.0,36.0,1.0,381.0,13_28_9
020132810,246.0,21.0,1.0,268.0,13_28_10
020132901,213.0,32.0,26.0,271.0,13_29_1
020132902,257.0,21.0,2.0,280.0,13_29_2
020132903,221.0,21.0,3.0,245.0,13_29_3
020132904,352.0,22.0,0.0,374.0,13_29_4
020132905,220.0,50.0,4.0,274.0,13_29_5
020132906,305.0,20.0,2.0,327.0,13_29_6
020132907,322.0,22.0,7.0,351.0,13_29_7
020132908,351.0,58.0,0.0,409.0,13_29_8
020132909,203.0,5.0,0.0,208.0,13_29_9
020132910,239.0,13.0,0.0,252.0,13_29_10
020132911,235.0,70.0,1.0,306.0,13_29_11
020140101,202.0,6.0,0.0,208.0,14_1_1
020140102,220.0,9.0,16.0,245.0,14_1_2
020140103,359.0,27.0,2.0,388.0,14_1_3
020140104,328.0,27.0,0.0,355.0,14_1_4
020140105,508.0,65.0,1.0,574.0,14_1_5
020140106,406.0,37.0,0.0,443.0,14_1_6
020140107,279.0,60.0,0.0,339.0,14_1_7
020140108,278.0,13.0,0.0,291.0,14_1_8
020140109,375.0,3.0,0.0,378.0,14_1_9
020140110,430.0,11.0,3.0,444.0,14_1_10
020140201,443.0,48.0,1.0,492.0,14_2_1
020140202,235.0,34.0,1.0,270.0,14_2_2
020140203,330.0,7.0,2.0,339.0,14_2_3
020140204,299.0,20.0,0.0,319.0,14_2_4
020140205,300.0,24.0,0.0,324.0,14_2_5
020140206,252.0,12.0,1.0,265.0,14_2_6
020140207,299.0,9.0,0.0,308.0,14_2_7
020140208,378.0,20.0,1.0,399.0,14_2_8
020140209,352.0,19.0,0.0,371.0,14_2_9
020140210,460.0,9.0,1.0,470.0,14_2_10
020140301,671.0,55.0,1.0,727.0,14_3_1
020140302,213.0,8.0,1.0,222.0,14_3_2
020140303,195.0,28.0,2.0,225.0,14_3_3
020140304,282.0,15.0,0.0,297.0,14_3_4
020140305,367.0,11.0,23.0,401.0,14_3_5
020140306,158.0,4.0,0.0,162.0,14_3_6
020140307,287.0,2.0,0.0,289.0,14_3_7
020140308,381.0,18.0,1.0,400.0,14_3_8
020140309,412.0,29.0,0.0,441.0,14_3_9
020140310,297.0,10.0,0.0,307.0,14_3_10
020140311,313.0,33.0,0.0,346.0,14_3_11
020140312,274.0,25.0,0.0,299.0,14_3_12
020140401,389.0,15.0,1.0,405.0,14_4_1
020140402,218.0,2.0,0.0,220.0,14_4_2
020140403,182.0,32.0,0.0,214.0,14_4_3
020140404,269.0,23.0,0.0,292.0,14_4_4
020140405,357.0,10.0,1.0,368.0,14_4_5
020140406,432.0,17.0,2.0,451.0,14_4_6
020140407,409.0,19.0,2.0,430.0,14_4_7
020140408,434.0,41.0,0.0,475.0,14_4_8
020140409,375.0,26.0,0.0,401.0,14_4_9
020140410,608.0,61.0,2.0,671.0,14_4_10
020140501,285.0,62.0,4.0,351.0,14_5_1
020140502,342.0,14.0,0.0,356.0,14_5_2
020140503,360.0,41.0,6.0,407.0,14_5_3
020140504,253.0,10.0,1.0,264.0,14_5_4
020140505,452.0,30.0,0.0,482.0,14_5_5
020140506,254.0,21.0,0.0,275.0,14_5_6
020140507,198.0,16.0,1.0,215.0,14_5_7
020140508,147.0,30.0,3.0,180.0,14_5_8
020140509,478.0,17.0,0.0,495.0,14_5_9
020140510,491.0,26.0,0.0,517.0,14_5_10
020140601,440.0,40.0,2.0,482.0,14_6_1
020140602,297.0,35.0,13.0,345.0,14_6_2
020140603,305.0,32.0,2.0,339.0,14_6_3
020140604,325.0,22.0,2.0,349.0,14_6_4
020140605,327.0,30.0,11.0,368.0,14_6_5
020140606,397.0,44.0,29.0,470.0,14_6_6
020140607,292.0,61.0,2.0,355.0,14_6_7
020140608,213.0,23.0,1.0,237.0,14_6_8
020140609,350.0,21.0,14.0,385.0,14_6_9
020140610,198.0,13.0,1.0,212.0,14_6_10
020140701,267.0,72.0,13.0,352.0,14_7_1
020140702,309.0,96.0,2.0,407.0,14_7_2
020140703,255.0,27.0,1.0,283.0,14_7_3
020140704,354.0,42.0,3.0,399.0,14_7_4
020140705,219.0,26.0,10.0,255.0,14_7_5
020140706,275.0,12.0,2.0,289.0,14_7_6
020140707,201.0,23.0,2.0,226.0,14_7_7
020140708,200.0,24.0,4.0,228.0,14_7_8
020140709,224.0,25.0,5.0,254.0,14_7_9
020140801,234.0,62.0,1.0,297.0,14_8_1
020140802,225.0,55.0,2.0,282.0,14_8_2
020140803,158.0,11.0,0.0,169.0,14_8_3
020140804,223.0,18.0,0.0,241.0,14_8_4
020140805,437.0,21.0,1.0,459.0,14_8_5
020140806,404.0,46.0,1.0,451.0,14_8_6
020140807,252.0,36.0,1.0,289.0,14_8_7
020140808,262.0,33.0,1.0,296.0,14_8_8
020140809,417.0,35.0,7.0,459.0,14_8_9
020140901,461.0,20.0,0.0,481.0,14_9_1
020140902,265.0,36.0,0.0,301.0,14_9_2
020140903,437.0,62.0,3.0,502.0,14_9_3
020140904,474.0,59.0,0.0,533.0,14_9_4
020140905,162.0,30.0,1.0,193.0,14_9_5
020140906,264.0,30.0,1.0,295.0,14_9_6
020140907,240.0,17.0,0.0,257.0,14_9_7
020140908,330.0,47.0,0.0,377.0,14_9_8
020140909,349.0,13.0,0.0,362.0,14_9_9
020140910,382.0,19.0,0.0,401.0,14_9_10
020140911,379.0,10.0,0.0,389.0,14_9_11
020140912,314.0,31.0,0.0,345.0,14_9_12
020140913,280.0,58.0,2.0,340.0,14_9_13
020141001,5.0,1.0,0.0,6.0,14_10_1
020141101,272.0,9.0,0.0,281.0,14_11_1
020141102,447.0,14.0,3.0,464.0,14_11_2
020141103,181.0,45.0,4.0,230.0,14_11_3
020141104,246.0,23.0,2.0,271.0,14_11_4
020141105,368.0,6.0,1.0,375.0,14_11_5
020141106,336.0,13.0,1.0,350.0,14_11_6
020141107,234.0,26.0,5.0,265.0,14_11_7
020141108,482.0,39.0,1.0,522.0,14_11_8
020141109,374.0,21.0,0.0,395.0,14_11_9
020141110,176.0,27.0,1.0,204.0,14_11_10
020141111,250.0,55.0,1.0,306.0,14_11_11
020141112,330.0,25.0,2.0,357.0,14_11_12
020141113,375.0,9.0,9.0,393.0,14_11_13
020141114,206.0,5.0,0.0,211.0,14_11_14
020141201,198.0,7.0,13.0,218.0,14_12_1
020141202,304.0,30.0,40.0,374.0,14_12_2
020141203,287.0,34.0,0.0,321.0,14_12_3
020141204,281.0,36.0,26.0,343.0,14_12_4
020141205,329.0,26.0,11.0,366.0,14_12_5
020141206,214.0,42.0,4.0,260.0,14_12_6
020141207,116.0,27.0,1.0,144.0,14_12_7
020141208,150.0,36.0,0.0,186.0,14_12_8
020141209,276.0,18.0,24.0,318.0,14_12_9
020141210,325.0,26.0,0.0,351.0,14_12_10
020141211,254.0,7.0,8.0,269.0,14_12_11
020141301,188.0,54.0,7.0,249.0,14_13_1
020141302,234.0,25.0,50.0,309.0,14_13_2
020141303,332.0,41.0,13.0,386.0,14_13_3
020141304,195.0,41.0,3.0,239.0,14_13_4
020141305,256.0,43.0,0.0,299.0,14_13_5
020141306,245.0,28.0,0.0,273.0,14_13_6
020141307,128.0,8.0,2.0,138.0,14_13_7
020141308,215.0,30.0,19.0,264.0,14_13_8
020141309,248.0,53.0,3.0,304.0,14_13_9
020141310,222.0,47.0,2.0,271.0,14_13_10
020141311,183.0,41.0,12.0,236.0,14_13_11
020141312,220.0,18.0,0.0,238.0,14_13_12
020141401,395.0,58.0,1.0,454.0,14_14_1
020141402,277.0,10.0,0.0,287.0,14_14_2
020141403,348.0,7.0,0.0,355.0,14_14_3
020141404,164.0,29.0,1.0,194.0,14_14_4
020141405,149.0,10.0,0.0,159.0,14_14_5
020141406,197.0,3.0,0.0,200.0,14_14_6
020141407,144.0,25.0,0.0,169.0,14_14_7
020141408,427.0,27.0,0.0,454.0,14_14_8
020141409,452.0,22.0,2.0,476.0,14_14_9
020141410,328.0,12.0,0.0,340.0,14_14_10
020141411,362.0,40.0,0.0,402.0,14_14_11
020141501,264.0,20.0,0.0,284.0,14_15_1
020141502,326.0,12.0,5.0,343.0,14_15_2
020141503,329.0,13.0,1.0,343.0,14_15_3
020141504,347.0,17.0,9.0,373.0,14_15_4
020141505,420.0,21.0,0.0,441.0,14_15_5
020141506,330.0,45.0,35.0,410.0,14_15_6
020141507,330.0,14.0,0.0,344.0,14_15_7
020141508,748.0,87.0,3.0,838.0,14_15_8
020141601,561.0,14.0,0.0,575.0,14_16_1
020141602,317.0,12.0,0.0,329.0,14_16_2
020141603,461.0,55.0,1.0,517.0,14_16_3
020141604,333.0,64.0,0.0,397.0,14_16_4
020141605,339.0,13.0,7.0,359.0,14_16_5
020141606,116.0,5.0,1.0,122.0,14_16_6
020141607,256.0,64.0,1.0,321.0,14_16_7
020141701,324.0,14.0,0.0,338.0,14_17_1
020141702,344.0,25.0,0.0,369.0,14_17_2
020141703,322.0,6.0,1.0,329.0,14_17_3
020141704,191.0,6.0,0.0,197.0,14_17_4
020141705,307.0,14.0,3.0,324.0,14_17_5
020141706,251.0,17.0,3.0,271.0,14_17_6
020141707,298.0,13.0,0.0,311.0,14_17_7
020141708,596.0,15.0,0.0,611.0,14_17_8
020141801,348.0,6.0,0.0,354.0,14_18_1
020141802,282.0,16.0,2.0,300.0,14_18_2
020141803,417.0,37.0,0.0,454.0,14_18_3
020141804,341.0,29.0,0.0,370.0,14_18_4
020141805,438.0,23.0,2.0,463.0,14_18_5
020141806,328.0,12.0,1.0,341.0,14_18_6
020141807,257.0,15.0,6.0,278.0,14_18_7
020141808,425.0,47.0,1.0,473.0,14_18_8
020141901,221.0,47.0,4.0,272.0,14_19_1
020141902,496.0,19.0,1.0,516.0,14_19_2
020141903,477.0,50.0,1.0,528.0,14_19_3
020141904,533.0,81.0,1.0,615.0,14_19_4
020141905,596.0,35.0,0.0,631.0,14_19_5
020142001,517.0,47.0,2.0,566.0,14_20_1
020142002,612.0,39.0,2.0,653.0,14_20_2
020142003,430.0,22.0,1.0,453.0,14_20_3
020142004,332.0,12.0,1.0,345.0,14_20_4
020142005,335.0,32.0,5.0,372.0,14_20_5
020142006,258.0,16.0,0.0,274.0,14_20_6
020142007,151.0,10.0,2.0,163.0,14_20_7
020142101,354.0,29.0,8.0,391.0,14_21_1
020142102,212.0,52.0,1.0,265.0,14_21_2
020142103,126.0,16.0,0.0,142.0,14_21_3
020142104,228.0,22.0,1.0,251.0,14_21_4
020142105,119.0,31.0,7.0,157.0,14_21_5
020142106,217.0,20.0,1.0,238.0,14_21_6
020142107,281.0,14.0,7.0,302.0,14_21_7
020142108,298.0,23.0,0.0,321.0,14_21_8
020142109,244.0,10.0,7.0,261.0,14_21_9
020142110,161.0,53.0,31.0,245.0,14_21_10
020142111,230.0,32.0,0.0,262.0,14_21_11
020142201,328.0,34.0,3.0,365.0,14_22_1
020142202,341.0,26.0,26.0,393.0,14_22_2
020142203,218.0,15.0,0.0,233.0,14_22_3
020142204,222.0,14.0,0.0,236.0,14_22_4
020142205,291.0,56.0,55.0,402.0,14_22_5
020142206,317.0,31.0,1.0,349.0,14_22_6
020142207,276.0,18.0,4.0,298.0,14_22_7
020142208,294.0,28.0,3.0,325.0,14_22_8
020142209,446.0,49.0,0.0,495.0,14_22_9
020142210,248.0,56.0,8.0,312.0,14_22_10
020142301,235.0,31.0,0.0,266.0,14_23_1
020142302,205.0,11.0,0.0,216.0,14_23_2
020142303,204.0,30.0,0.0,234.0,14_23_3
020142304,309.0,28.0,0.0,337.0,14_23_4
020142305,439.0,49.0,16.0,504.0,14_23_5
020142306,167.0,20.0,1.0,188.0,14_23_6
020142307,261.0,28.0,3.0,292.0,14_23_7
020142308,384.0,24.0,28.0,436.0,14_23_8
020142309,389.0,33.0,1.0,423.0,14_23_9
020142310,320.0,49.0,3.0,372.0,14_23_10
020142311,429.0,19.0,3.0,451.0,14_23_11
020142401,221.0,72.0,0.0,293.0,14_24_1
020142402,200.0,10.0,4.0,214.0,14_24_2
020142403,224.0,28.0,4.0,256.0,14_24_3
020142404,194.0,4.0,1.0,199.0,14_24_4
020142405,385.0,35.0,2.0,422.0,14_24_5
020142406,304.0,15.0,0.0,319.0,14_24_6
020142407,307.0,15.0,0.0,322.0,14_24_7
020142408,244.0,20.0,0.0,264.0,14_24_8
020142409,310.0,36.0,0.0,346.0,14_24_9
020142501,368.0,2.0,0.0,370.0,14_25_1
020142502,211.0,4.0,0.0,215.0,14_25_2
020142503,295.0,53.0,1.0,349.0,14_25_3
020142504,263.0,19.0,0.0,282.0,14_25_4
020142505,229.0,6.0,0.0,235.0,14_25_5
020142506,255.0,11.0,0.0,266.0,14_25_6
020142507,348.0,6.0,17.0,371.0,14_25_7
020142508,340.0,9.0,0.0,349.0,14_25_8
020142509,355.0,34.0,1.0,390.0,14_25_9
020142601,472.0,46.0,0.0,518.0,14_26_1
020142602,325.0,25.0,1.0,351.0,14_26_2
020142603,166.0,17.0,0.0,183.0,14_26_3
020142604,708.0,74.0,2.0,784.0,14_26_4
020142605,405.0,28.0,1.0,434.0,14_26_5
020142606,364.0,15.0,0.0,379.0,14_26_6
020142607,491.0,33.0,1.0,525.0,14_26_7
020142701,524.0,74.0,4.0,602.0,14_27_1
020142702,499.0,33.0,26.0,558.0,14_27_2
020142703,266.0,16.0,1.0,283.0,14_27_3
020142704,362.0,32.0,0.0,394.0,14_27_4
020142705,375.0,99.0,1.0,475.0,14_27_5
020142706,207.0,5.0,0.0,212.0,14_27_6
020142707,213.0,3.0,1.0,217.0,14_27_7
020142801,252.0,27.0,1.0,280.0,14_28_1
020142802,257.0,6.0,0.0,263.0,14_28_2
020142803,277.0,6.0,1.0,284.0,14_28_3
020142804,292.0,14.0,0.0,306.0,14_28_4
020142805,221.0,7.0,0.0,228.0,14_28_5
020142806,386.0,19.0,0.0,405.0,14_28_6
020142807,354.0,6.0,2.0,362.0,14_28_7
020142808,270.0,28.0,0.0,298.0,14_28_8
020142809,246.0,12.0,0.0,258.0,14_28_9
020142810,359.0,18.0,0.0,377.0,14_28_10
020142811,349.0,40.0,0.0,389.0,14_28_11
020142812,197.0,69.0,1.0,267.0,14_28_12
020142901,249.0,20.0,0.0,269.0,14_29_1
020142902,257.0,16.0,7.0,280.0,14_29_2
020142903,233.0,29.0,0.0,262.0,14_29_3
020142904,302.0,49.0,1.0,352.0,14_29_4
020142905,248.0,24.0,4.0,276.0,14_29_5
020142906,409.0,31.0,1.0,441.0,14_29_6
020142907,288.0,78.0,1.0,367.0,14_29_7
020142908,242.0,24.0,0.0,266.0,14_29_8
020142909,283.0,48.0,4.0,335.0,14_29_9
020142910,342.0,17.0,0.0,359.0,14_29_10
020142911,241.0,28.0,11.0,280.0,14_29_11
020143001,298.0,22.0,1.0,321.0,14_30_1
020143002,372.0,41.0,0.0,413.0,14_30_2
020143003,374.0,8.0,1.0,383.0,14_30_3
020143004,281.0,18.0,1.0,300.0,14_30_4
020143005,337.0,33.0,5.0,375.0,14_30_5
020143006,222.0,7.0,0.0,229.0,14_30_6
020143007,186.0,17.0,0.0,203.0,14_30_7
020143008,636.0,27.0,4.0,667.0,14_30_8
020143009,537.0,34.0,0.0,571.0,14_30_9
020143101,192.0,24.0,1.0,217.0,14_31_1
020143102,264.0,49.0,4.0,317.0,14_31_2
020143103,273.0,4.0,2.0,279.0,14_31_3
020143104,234.0,15.0,0.0,249.0,14_31_4
020143105,217.0,22.0,0.0,239.0,14_31_5
020143106,361.0,12.0,3.0,376.0,14_31_6
020143107,289.0,21.0,4.0,314.0,14_31_7
020143108,245.0,21.0,1.0,267.0,14_31_8
020143109,216.0,6.0,2.0,224.0,14_31_9
020143110,162.0,26.0,1.0,189.0,14_31_10
020143111,203.0,11.0,0.0,214.0,14_31_11
020143112,226.0,28.0,4.0,258.0,14_31_12
020150101,353.0,54.0,2.0,409.0,15_1_1
020150102,321.0,19.0,1.0,341.0,15_1_2
020150103,254.0,11.0,1.0,266.0,15_1_3
020150104,213.0,13.0,1.0,227.0,15_1_4
020150105,240.0,17.0,2.0,259.0,15_1_5
020150106,232.0,20.0,3.0,255.0,15_1_6
020150107,281.0,8.0,0.0,289.0,15_1_7
020150108,243.0,21.0,1.0,265.0,15_1_8
020150109,298.0,34.0,0.0,332.0,15_1_9
020150110,276.0,28.0,28.0,332.0,15_1_10
020150111,193.0,21.0,0.0,214.0,15_1_11
020150112,237.0,44.0,2.0,283.0,15_1_12
020150201,251.0,20.0,0.0,271.0,15_2_1
020150202,273.0,17.0,0.0,290.0,15_2_2
020150203,256.0,23.0,0.0,279.0,15_2_3
020150204,189.0,13.0,0.0,202.0,15_2_4
020150205,196.0,2.0,0.0,198.0,15_2_5
020150206,247.0,17.0,3.0,267.0,15_2_6
020150207,235.0,23.0,2.0,260.0,15_2_7
020150208,206.0,20.0,1.0,227.0,15_2_8
020150209,180.0,25.0,1.0,206.0,15_2_9
020150210,199.0,30.0,0.0,229.0,15_2_10
020150301,243.0,43.0,0.0,286.0,15_3_1
020150302,356.0,28.0,3.0,387.0,15_3_2
020150303,345.0,23.0,1.0,369.0,15_3_3
020150304,228.0,25.0,4.0,257.0,15_3_4
020150305,198.0,24.0,8.0,230.0,15_3_5
020150306,239.0,21.0,4.0,264.0,15_3_6
020150307,239.0,5.0,0.0,244.0,15_3_7
020150308,293.0,22.0,0.0,315.0,15_3_8
020150309,312.0,35.0,0.0,347.0,15_3_9
020150310,316.0,20.0,0.0,336.0,15_3_10
020150311,306.0,26.0,3.0,335.0,15_3_11
020150312,305.0,64.0,27.0,396.0,15_3_12
020150313,215.0,40.0,4.0,259.0,15_3_13
020150401,289.0,36.0,4.0,329.0,15_4_1
020150402,202.0,36.0,2.0,240.0,15_4_2
020150403,348.0,39.0,2.0,389.0,15_4_3
020150404,177.0,19.0,8.0,204.0,15_4_4
020150405,185.0,22.0,3.0,210.0,15_4_5
020150406,221.0,42.0,3.0,266.0,15_4_6
020150407,261.0,28.0,3.0,292.0,15_4_7
020150408,238.0,30.0,4.0,272.0,15_4_8
020150409,213.0,25.0,2.0,240.0,15_4_9
020150410,176.0,40.0,10.0,226.0,15_4_10
020150411,247.0,32.0,0.0,279.0,15_4_11
020150412,242.0,34.0,12.0,288.0,15_4_12
020150413,211.0,98.0,3.0,312.0,15_4_13
020150414,211.0,36.0,14.0,261.0,15_4_14
020150501,283.0,12.0,2.0,297.0,15_5_1
020150502,293.0,32.0,0.0,325.0,15_5_2
020150503,252.0,19.0,0.0,271.0,15_5_3
020150504,172.0,46.0,7.0,225.0,15_5_4
020150505,276.0,16.0,2.0,294.0,15_5_5
020150506,238.0,37.0,1.0,276.0,15_5_6
020150507,211.0,60.0,1.0,272.0,15_5_7
020150508,278.0,36.0,1.0,315.0,15_5_8
020150509,212.0,27.0,0.0,239.0,15_5_9
020150510,178.0,25.0,1.0,204.0,15_5_10
020150511,206.0,36.0,5.0,247.0,15_5_11
020150512,202.0,38.0,2.0,242.0,15_5_12
020150513,258.0,18.0,0.0,276.0,15_5_13
020150514,223.0,24.0,0.0,247.0,15_5_14
