Código,0,1,Total,CO_FRAC_RA
020011207,215.0,128.0,343.0,1_12_7
020011208,73.0,56.0,129.0,1_12_8
020011209,206.0,143.0,349.0,1_12_9
020011210,57.0,45.0,102.0,1_12_10
020011211,80.0,57.0,137.0,1_12_11
020011212,46.0,44.0,90.0,1_12_12
020011301,63.0,99.0,162.0,1_13_1
020011302,10.0,50.0,60.0,1_13_2
020011303,9.0,11.0,20.0,1_13_3
020011304,48.0,88.0,136.0,1_13_4
020011305,45.0,108.0,153.0,1_13_5
020011306,26.0,74.0,100.0,1_13_6
020011307,66.0,174.0,240.0,1_13_7
020011308,56.0,98.0,154.0,1_13_8
020011309,49.0,108.0,157.0,1_13_9
020011310,73.0,162.0,235.0,1_13_10
020011311,50.0,91.0,141.0,1_13_11
020011312,33.0,105.0,138.0,1_13_12
020011313,33.0,71.0,104.0,1_13_13
020011314,602.0,42.0,644.0,1_13_14
020011315,0.0,0.0,0.0,1_13_15
020011401,152.0,94.0,246.0,1_14_1
020011402,189.0,37.0,226.0,1_14_2
020011403,117.0,79.0,196.0,1_14_3
020011404,24.0,15.0,39.0,1_14_4
020011405,167.0,60.0,227.0,1_14_5
020011406,185.0,106.0,291.0,1_14_6
020011407,123.0,93.0,216.0,1_14_7
020011408,146.0,51.0,197.0,1_14_8
020011409,172.0,74.0,246.0,1_14_9
020011410,104.0,115.0,219.0,1_14_10
020011411,142.0,110.0,252.0,1_14_11
020011412,132.0,85.0,217.0,1_14_12
020011501,102.0,68.0,170.0,1_15_1
020011502,147.0,101.0,248.0,1_15_2
020011503,92.0,107.0,199.0,1_15_3
020011504,155.0,179.0,334.0,1_15_4
020011505,133.0,57.0,190.0,1_15_5
020011506,201.0,100.0,301.0,1_15_6
020011507,173.0,97.0,270.0,1_15_7
020011508,225.0,79.0,304.0,1_15_8
020011509,242.0,111.0,353.0,1_15_9
020011510,195.0,95.0,290.0,1_15_10
020011511,202.0,79.0,281.0,1_15_11
020011601,130.0,59.0,189.0,1_16_1
020011602,108.0,55.0,163.0,1_16_2
020011603,228.0,180.0,408.0,1_16_3
020011604,175.0,171.0,346.0,1_16_4
020011605,145.0,61.0,206.0,1_16_5
020011606,149.0,78.0,227.0,1_16_6
020011607,280.0,193.0,473.0,1_16_7
020011608,136.0,84.0,220.0,1_16_8
020011609,83.0,77.0,160.0,1_16_9
020011610,155.0,134.0,289.0,1_16_10
020011611,130.0,86.0,216.0,1_16_11
020011612,80.0,57.0,137.0,1_16_12
020011701,250.0,134.0,384.0,1_17_1
020011702,188.0,115.0,303.0,1_17_2
020011703,221.0,103.0,324.0,1_17_3
020011704,190.0,98.0,288.0,1_17_4
020011705,149.0,105.0,254.0,1_17_5
020011706,238.0,120.0,358.0,1_17_6
020011707,212.0,108.0,320.0,1_17_7
020011708,180.0,88.0,268.0,1_17_8
020011709,163.0,72.0,235.0,1_17_9
020011710,175.0,101.0,276.0,1_17_10
020011711,148.0,70.0,218.0,1_17_11
020011801,296.0,145.0,441.0,1_18_1
020011802,202.0,152.0,354.0,1_18_2
020011803,210.0,82.0,292.0,1_18_3
020011804,218.0,121.0,339.0,1_18_4
020011805,179.0,94.0,273.0,1_18_5
020011806,361.0,143.0,504.0,1_18_6
020011807,211.0,106.0,317.0,1_18_7
020011808,197.0,103.0,300.0,1_18_8
020011809,174.0,126.0,300.0,1_18_9
020011901,285.0,133.0,418.0,1_19_1
020011902,325.0,171.0,496.0,1_19_2
020011903,83.0,62.0,145.0,1_19_3
020011904,200.0,100.0,300.0,1_19_4
020011905,173.0,94.0,267.0,1_19_5
020011906,166.0,45.0,211.0,1_19_6
020011907,236.0,88.0,324.0,1_19_7
020011908,130.0,30.0,160.0,1_19_8
020011909,150.0,72.0,222.0,1_19_9
020012001,194.0,63.0,257.0,1_20_1
020012002,216.0,81.0,297.0,1_20_2
020012003,167.0,66.0,233.0,1_20_3
020012004,245.0,97.0,342.0,1_20_4
020012005,251.0,99.0,350.0,1_20_5
020012006,225.0,108.0,333.0,1_20_6
020012007,153.0,53.0,206.0,1_20_7
020012008,166.0,52.0,218.0,1_20_8
020012009,177.0,70.0,247.0,1_20_9
020012010,242.0,73.0,315.0,1_20_10
020012101,192.0,69.0,261.0,1_21_1
020012102,180.0,84.0,264.0,1_21_2
020012103,129.0,37.0,166.0,1_21_3
020012104,370.0,122.0,492.0,1_21_4
020012105,198.0,77.0,275.0,1_21_5
020012106,193.0,68.0,261.0,1_21_6
020012107,246.0,85.0,331.0,1_21_7
020012108,173.0,65.0,238.0,1_21_8
020012109,232.0,94.0,326.0,1_21_9
020012110,231.0,144.0,375.0,1_21_10
020012201,149.0,115.0,264.0,1_22_1
020012202,270.0,151.0,421.0,1_22_2
020012203,241.0,125.0,366.0,1_22_3
020012204,133.0,71.0,204.0,1_22_4
020012205,98.0,89.0,187.0,1_22_5
020012206,156.0,101.0,257.0,1_22_6
020012207,179.0,87.0,266.0,1_22_7
020012208,184.0,91.0,275.0,1_22_8
020012209,259.0,117.0,376.0,1_22_9
020012210,391.0,189.0,580.0,1_22_10
020012301,157.0,113.0,270.0,1_23_1
020012302,123.0,94.0,217.0,1_23_2
020012303,231.0,144.0,375.0,1_23_3
020012304,87.0,44.0,131.0,1_23_4
020012305,150.0,76.0,226.0,1_23_5
020012306,134.0,79.0,213.0,1_23_6
020012307,165.0,97.0,262.0,1_23_7
020012308,186.0,126.0,312.0,1_23_8
020012309,256.0,146.0,402.0,1_23_9
020012310,107.0,43.0,150.0,1_23_10
020012401,68.0,45.0,113.0,1_24_1
020012402,80.0,66.0,146.0,1_24_2
020012403,129.0,74.0,203.0,1_24_3
020012404,100.0,67.0,167.0,1_24_4
020012405,94.0,73.0,167.0,1_24_5
020012406,212.0,155.0,367.0,1_24_6
020012407,161.0,99.0,260.0,1_24_7
020012408,126.0,57.0,183.0,1_24_8
020012501,91.0,81.0,172.0,1_25_1
020012502,93.0,86.0,179.0,1_25_2
020012503,124.0,96.0,220.0,1_25_3
020012504,273.0,156.0,429.0,1_25_4
020012505,143.0,83.0,226.0,1_25_5
020012506,239.0,109.0,348.0,1_25_6
020012507,123.0,68.0,191.0,1_25_7
020012508,207.0,114.0,321.0,1_25_8
020012509,150.0,57.0,207.0,1_25_9
020012510,155.0,71.0,226.0,1_25_10
020012511,132.0,121.0,253.0,1_25_11
020012601,188.0,59.0,247.0,1_26_1
020012602,200.0,118.0,318.0,1_26_2
020012603,121.0,94.0,215.0,1_26_3
020012604,148.0,94.0,242.0,1_26_4
020012605,212.0,96.0,308.0,1_26_5
020012606,138.0,76.0,214.0,1_26_6
020012607,100.0,42.0,142.0,1_26_7
020012608,145.0,66.0,211.0,1_26_8
020012609,195.0,120.0,315.0,1_26_9
020012701,170.0,58.0,228.0,1_27_1
020012702,225.0,44.0,269.0,1_27_2
020012703,253.0,36.0,289.0,1_27_3
020012704,287.0,36.0,323.0,1_27_4
020012705,225.0,61.0,286.0,1_27_5
020012706,323.0,30.0,353.0,1_27_6
020012707,226.0,37.0,263.0,1_27_7
020012708,206.0,52.0,258.0,1_27_8
020012709,242.0,74.0,316.0,1_27_9
020012710,145.0,100.0,245.0,1_27_10
020012801,179.0,39.0,218.0,1_28_1
020012802,286.0,56.0,342.0,1_28_2
020012803,192.0,46.0,238.0,1_28_3
020012804,196.0,80.0,276.0,1_28_4
020012805,282.0,69.0,351.0,1_28_5
020012806,234.0,39.0,273.0,1_28_6
020012807,234.0,78.0,312.0,1_28_7
