Código,0,1,Total,CO_FRAC_RA
020031205,268.0,222.0,490.0,3_12_5
020031206,54.0,13.0,67.0,3_12_6
020031207,291.0,171.0,462.0,3_12_7
020031208,188.0,101.0,289.0,3_12_8
020031209,143.0,71.0,214.0,3_12_9
020031210,275.0,89.0,364.0,3_12_10
020031301,205.0,99.0,304.0,3_13_1
020031302,265.0,88.0,353.0,3_13_2
020031303,226.0,166.0,392.0,3_13_3
020031304,146.0,62.0,208.0,3_13_4
020031305,208.0,119.0,327.0,3_13_5
020031306,212.0,107.0,319.0,3_13_6
020031307,150.0,96.0,246.0,3_13_7
020031308,166.0,73.0,239.0,3_13_8
020031309,232.0,133.0,365.0,3_13_9
020031310,230.0,82.0,312.0,3_13_10
020031311,179.0,87.0,266.0,3_13_11
020031401,267.0,69.0,336.0,3_14_1
020031402,309.0,104.0,413.0,3_14_2
020031403,318.0,133.0,451.0,3_14_3
020031404,211.0,86.0,297.0,3_14_4
020031405,270.0,91.0,361.0,3_14_5
020031406,315.0,195.0,510.0,3_14_6
020031407,175.0,80.0,255.0,3_14_7
020031408,237.0,79.0,316.0,3_14_8
020031409,37.0,6.0,43.0,3_14_9
020031410,215.0,97.0,312.0,3_14_10
020031501,185.0,97.0,282.0,3_15_1
020031502,283.0,114.0,397.0,3_15_2
020031503,183.0,87.0,270.0,3_15_3
020031504,194.0,139.0,333.0,3_15_4
020031505,245.0,135.0,380.0,3_15_5
020031506,245.0,116.0,361.0,3_15_6
020031507,381.0,212.0,593.0,3_15_7
020031508,404.0,211.0,615.0,3_15_8
020031509,87.0,29.0,116.0,3_15_9
020031601,249.0,125.0,374.0,3_16_1
020031602,327.0,174.0,501.0,3_16_2
020031603,272.0,114.0,386.0,3_16_3
020031604,109.0,69.0,178.0,3_16_4
020031605,208.0,55.0,263.0,3_16_5
020031606,219.0,64.0,283.0,3_16_6
020031607,213.0,94.0,307.0,3_16_7
020031608,255.0,83.0,338.0,3_16_8
020031609,270.0,230.0,500.0,3_16_9
020031701,200.0,66.0,266.0,3_17_1
020031702,240.0,82.0,322.0,3_17_2
020031703,154.0,53.0,207.0,3_17_3
020031704,272.0,59.0,331.0,3_17_4
020031705,260.0,54.0,314.0,3_17_5
020031706,255.0,72.0,327.0,3_17_6
020031707,235.0,108.0,343.0,3_17_7
020031708,298.0,81.0,379.0,3_17_8
020031709,205.0,76.0,281.0,3_17_9
020031801,196.0,60.0,256.0,3_18_1
020031802,232.0,65.0,297.0,3_18_2
020031803,133.0,56.0,189.0,3_18_3
020031804,232.0,144.0,376.0,3_18_4
020031805,118.0,51.0,169.0,3_18_5
020031806,201.0,47.0,248.0,3_18_6
020031807,201.0,72.0,273.0,3_18_7
020031808,182.0,72.0,254.0,3_18_8
020031809,292.0,103.0,395.0,3_18_9
020031810,145.0,61.0,206.0,3_18_10
020031811,160.0,86.0,246.0,3_18_11
020031901,343.0,172.0,515.0,3_19_1
020031902,97.0,55.0,152.0,3_19_2
020031903,222.0,88.0,310.0,3_19_3
020031904,201.0,89.0,290.0,3_19_4
020031905,250.0,90.0,340.0,3_19_5
020031906,233.0,100.0,333.0,3_19_6
020031907,291.0,122.0,413.0,3_19_7
020031908,357.0,140.0,497.0,3_19_8
020031909,192.0,108.0,300.0,3_19_9
020031910,166.0,69.0,235.0,3_19_10
020032001,241.0,73.0,314.0,3_20_1
020032002,288.0,157.0,445.0,3_20_2
020032003,204.0,110.0,314.0,3_20_3
020032004,179.0,109.0,288.0,3_20_4
020032005,157.0,73.0,230.0,3_20_5
020032006,143.0,46.0,189.0,3_20_6
020032007,241.0,107.0,348.0,3_20_7
020032008,280.0,97.0,377.0,3_20_8
020032009,316.0,138.0,454.0,3_20_9
020032010,209.0,76.0,285.0,3_20_10
020032011,157.0,82.0,239.0,3_20_11
020032101,250.0,123.0,373.0,3_21_1
020032102,274.0,120.0,394.0,3_21_2
020032103,200.0,105.0,305.0,3_21_3
020032104,233.0,111.0,344.0,3_21_4
020032105,166.0,51.0,217.0,3_21_5
020032106,314.0,71.0,385.0,3_21_6
020032107,138.0,60.0,198.0,3_21_7
020032108,214.0,97.0,311.0,3_21_8
020032109,124.0,63.0,187.0,3_21_9
020032110,297.0,116.0,413.0,3_21_10
020032201,240.0,94.0,334.0,3_22_1
020032202,187.0,103.0,290.0,3_22_2
020032203,136.0,44.0,180.0,3_22_3
020032204,166.0,80.0,246.0,3_22_4
020032205,265.0,93.0,358.0,3_22_5
020032206,210.0,89.0,299.0,3_22_6
020032207,267.0,63.0,330.0,3_22_7
020032208,279.0,94.0,373.0,3_22_8
020032209,267.0,104.0,371.0,3_22_9
020032301,231.0,98.0,329.0,3_23_1
020032302,230.0,117.0,347.0,3_23_2
020032303,237.0,127.0,364.0,3_23_3
020032304,149.0,42.0,191.0,3_23_4
020032305,220.0,71.0,291.0,3_23_5
020032306,177.0,63.0,240.0,3_23_6
020032307,198.0,75.0,273.0,3_23_7
020032308,258.0,76.0,334.0,3_23_8
020032309,289.0,45.0,334.0,3_23_9
020032310,304.0,90.0,394.0,3_23_10
020032401,220.0,83.0,303.0,3_24_1
020032402,259.0,73.0,332.0,3_24_2
020032403,199.0,73.0,272.0,3_24_3
020032404,227.0,79.0,306.0,3_24_4
020032405,175.0,44.0,219.0,3_24_5
020032406,270.0,105.0,375.0,3_24_6
020032407,161.0,133.0,294.0,3_24_7
020032408,248.0,70.0,318.0,3_24_8
020032409,124.0,58.0,182.0,3_24_9
020032501,307.0,201.0,508.0,3_25_1
020032502,208.0,82.0,290.0,3_25_2
020032503,159.0,45.0,204.0,3_25_3
020032504,194.0,76.0,270.0,3_25_4
020032505,200.0,96.0,296.0,3_25_5
020032506,268.0,63.0,331.0,3_25_6
020032507,161.0,64.0,225.0,3_25_7
020032508,508.0,206.0,714.0,3_25_8
020032509,246.0,68.0,314.0,3_25_9
020032601,273.0,120.0,393.0,3_26_1
020032602,302.0,134.0,436.0,3_26_2
020032603,251.0,82.0,333.0,3_26_3
020032604,158.0,68.0,226.0,3_26_4
020032605,233.0,108.0,341.0,3_26_5
020032606,179.0,68.0,247.0,3_26_6
020032607,229.0,82.0,311.0,3_26_7
020032608,171.0,73.0,244.0,3_26_8
020032609,225.0,64.0,289.0,3_26_9
020032701,269.0,128.0,397.0,3_27_1
020032702,224.0,105.0,329.0,3_27_2
020032703,256.0,96.0,352.0,3_27_3
020032704,248.0,64.0,312.0,3_27_4
020032705,257.0,61.0,318.0,3_27_5
020032706,225.0,80.0,305.0,3_27_6
020032707,267.0,96.0,363.0,3_27_7
020040101,225.0,19.0,244.0,4_1_1
020040102,236.0,22.0,258.0,4_1_2
020040103,191.0,19.0,210.0,4_1_3
020040104,214.0,15.0,229.0,4_1_4
020040105,207.0,17.0,224.0,4_1_5
020040106,190.0,10.0,200.0,4_1_6
020040107,150.0,16.0,166.0,4_1_7
020040108,208.0,16.0,224.0,4_1_8
020040109,189.0,34.0,223.0,4_1_9
020040110,146.0,11.0,157.0,4_1_10
020040111,183.0,17.0,200.0,4_1_11
020040112,165.0,18.0,183.0,4_1_12
020040113,118.0,17.0,135.0,4_1_13
020040114,211.0,22.0,233.0,4_1_14
020040201,235.0,33.0,268.0,4_2_1
020040202,245.0,34.0,279.0,4_2_2
020040203,314.0,65.0,379.0,4_2_3
020040204,230.0,40.0,270.0,4_2_4
020040205,204.0,27.0,231.0,4_2_5
020040206,216.0,37.0,253.0,4_2_6
020040207,264.0,48.0,312.0,4_2_7
020040208,165.0,23.0,188.0,4_2_8
020040209,189.0,19.0,208.0,4_2_9
020040210,288.0,24.0,312.0,4_2_10
020040301,274.0,63.0,337.0,4_3_1
020040302,253.0,39.0,292.0,4_3_2
020040303,185.0,30.0,215.0,4_3_3
020040304,256.0,38.0,294.0,4_3_4
020040305,290.0,68.0,358.0,4_3_5
020040306,246.0,50.0,296.0,4_3_6
020040307,188.0,41.0,229.0,4_3_7
020040308,229.0,44.0,273.0,4_3_8
020040309,148.0,33.0,181.0,4_3_9
020040310,238.0,50.0,288.0,4_3_10
020040311,271.0,33.0,304.0,4_3_11
020040312,300.0,36.0,336.0,4_3_12
020040313,181.0,14.0,195.0,4_3_13
020040401,194.0,42.0,236.0,4_4_1
020040402,225.0,70.0,295.0,4_4_2
020040403,251.0,67.0,318.0,4_4_3
020040404,266.0,60.0,326.0,4_4_4
020040405,284.0,80.0,364.0,4_4_5
020040406,236.0,47.0,283.0,4_4_6
020040407,265.0,62.0,327.0,4_4_7
020040408,237.0,50.0,287.0,4_4_8
020040409,244.0,39.0,283.0,4_4_9
020040410,234.0,38.0,272.0,4_4_10
020040411,298.0,45.0,343.0,4_4_11
020040501,251.0,116.0,367.0,4_5_1
020040502,196.0,63.0,259.0,4_5_2
020040503,254.0,77.0,331.0,4_5_3
020040504,221.0,52.0,273.0,4_5_4
020040505,154.0,49.0,203.0,4_5_5
020040506,272.0,77.0,349.0,4_5_6
020040507,215.0,44.0,259.0,4_5_7
020040508,199.0,44.0,243.0,4_5_8
020040509,541.0,83.0,624.0,4_5_9
020040510,345.0,49.0,394.0,4_5_10
020040511,291.0,43.0,334.0,4_5_11
020040601,291.0,138.0,429.0,4_6_1
020040602,242.0,78.0,320.0,4_6_2
020040603,218.0,65.0,283.0,4_6_3
020040604,228.0,91.0,319.0,4_6_4
020040605,209.0,65.0,274.0,4_6_5
020040606,270.0,103.0,373.0,4_6_6
020040607,233.0,72.0,305.0,4_6_7
020040608,222.0,89.0,311.0,4_6_8
020040609,186.0,87.0,273.0,4_6_9
020040610,145.0,69.0,214.0,4_6_10
020040611,177.0,69.0,246.0,4_6_11
020040701,206.0,97.0,303.0,4_7_1
020040702,208.0,80.0,288.0,4_7_2
020040703,250.0,46.0,296.0,4_7_3
020040704,645.0,165.0,810.0,4_7_4
020040705,222.0,72.0,294.0,4_7_5
020040706,211.0,75.0,286.0,4_7_6
020040707,207.0,104.0,311.0,4_7_7
020040708,213.0,72.0,285.0,4_7_8
020040709,200.0,65.0,265.0,4_7_9
020040710,215.0,68.0,283.0,4_7_10
020040711,166.0,47.0,213.0,4_7_11
020040712,216.0,51.0,267.0,4_7_12
020040801,216.0,86.0,302.0,4_8_1
020040802,224.0,87.0,311.0,4_8_2
020040803,178.0,60.0,238.0,4_8_3
020040804,223.0,70.0,293.0,4_8_4
020040805,185.0,78.0,263.0,4_8_5
020040806,209.0,65.0,274.0,4_8_6
020040807,658.0,171.0,829.0,4_8_7
020040808,85.0,10.0,95.0,4_8_8
020040809,300.0,49.0,349.0,4_8_9
020040810,203.0,33.0,236.0,4_8_10
020040811,250.0,33.0,283.0,4_8_11
020040901,424.0,29.0,453.0,4_9_1
020040902,226.0,22.0,248.0,4_9_2
020040903,172.0,12.0,184.0,4_9_3
020040904,163.0,14.0,177.0,4_9_4
020040905,160.0,22.0,182.0,4_9_5
020040906,246.0,31.0,277.0,4_9_6
020040907,227.0,36.0,263.0,4_9_7
020041001,22.0,1.0,23.0,4_10_1
020041002,614.0,25.0,639.0,4_10_2
020041003,477.0,8.0,485.0,4_10_3
020041004,119.0,0.0,119.0,4_10_4
020041005,466.0,38.0,504.0,4_10_5
020041006,293.0,4.0,297.0,4_10_6
020041007,256.0,9.0,265.0,4_10_7
020041008,448.0,1.0,449.0,4_10_8
020041009,588.0,8.0,596.0,4_10_9
020041101,233.0,56.0,289.0,4_11_1
020041102,229.0,98.0,327.0,4_11_2
020041103,224.0,54.0,278.0,4_11_3
020041104,194.0,52.0,246.0,4_11_4
020041105,152.0,32.0,184.0,4_11_5
020041106,264.0,47.0,311.0,4_11_6
020041107,293.0,30.0,323.0,4_11_7
020041108,247.0,65.0,312.0,4_11_8
020041109,239.0,26.0,265.0,4_11_9
020041201,179.0,46.0,225.0,4_12_1
020041202,185.0,22.0,207.0,4_12_2
020041203,221.0,79.0,300.0,4_12_3
020041204,306.0,62.0,368.0,4_12_4
020041205,185.0,44.0,229.0,4_12_5
020041206,227.0,21.0,248.0,4_12_6
020041207,122.0,32.0,154.0,4_12_7
020041208,129.0,55.0,184.0,4_12_8
020041209,202.0,106.0,308.0,4_12_9
020041210,242.0,40.0,282.0,4_12_10
020041211,164.0,95.0,259.0,4_12_11
020041212,160.0,63.0,223.0,4_12_12
020041301,175.0,178.0,353.0,4_13_1
020041302,152.0,87.0,239.0,4_13_2
020041303,165.0,87.0,252.0,4_13_3
020041304,141.0,86.0,227.0,4_13_4
020041305,239.0,152.0,391.0,4_13_5
020041306,161.0,41.0,202.0,4_13_6
020041307,209.0,189.0,398.0,4_13_7
020041308,104.0,69.0,173.0,4_13_8
020041309,103.0,65.0,168.0,4_13_9
020041310,130.0,71.0,201.0,4_13_10
020041311,308.0,138.0,446.0,4_13_11
020041401,205.0,65.0,270.0,4_14_1
020041402,193.0,64.0,257.0,4_14_2
020041403,195.0,82.0,277.0,4_14_3
020041404,310.0,185.0,495.0,4_14_4
020041405,200.0,100.0,300.0,4_14_5
020041406,129.0,79.0,208.0,4_14_6
020041407,200.0,87.0,287.0,4_14_7
020041408,285.0,125.0,410.0,4_14_8
020041409,148.0,113.0,261.0,4_14_9
020041501,171.0,85.0,256.0,4_15_1
020041502,414.0,207.0,621.0,4_15_2
020041503,291.0,190.0,481.0,4_15_3
020041504,204.0,92.0,296.0,4_15_4
020041505,154.0,65.0,219.0,4_15_5
020041506,181.0,57.0,238.0,4_15_6
020041507,186.0,87.0,273.0,4_15_7
020041508,179.0,90.0,269.0,4_15_8
020041509,184.0,70.0,254.0,4_15_9
020041510,140.0,47.0,187.0,4_15_10
020041601,200.0,59.0,259.0,4_16_1
020041602,653.0,273.0,926.0,4_16_2
020041603,360.0,76.0,436.0,4_16_3
020041604,215.0,49.0,264.0,4_16_4
020041605,317.0,91.0,408.0,4_16_5
020041606,185.0,55.0,240.0,4_16_6
020041607,129.0,27.0,156.0,4_16_7
020041608,186.0,32.0,218.0,4_16_8
020041609,339.0,88.0,427.0,4_16_9
020041610,234.0,46.0,280.0,4_16_10
020041701,148.0,73.0,221.0,4_17_1
020041702,164.0,74.0,238.0,4_17_2
020041703,160.0,55.0,215.0,4_17_3
020041704,195.0,100.0,295.0,4_17_4
020041705,242.0,86.0,328.0,4_17_5
020041706,191.0,86.0,277.0,4_17_6
020041707,180.0,75.0,255.0,4_17_7
020041708,285.0,70.0,355.0,4_17_8
020041709,235.0,100.0,335.0,4_17_9
020041710,241.0,37.0,278.0,4_17_10
020041801,39.0,7.0,46.0,4_18_1
020041901,216.0,36.0,252.0,4_19_1
020041902,210.0,46.0,256.0,4_19_2
020041903,267.0,53.0,320.0,4_19_3
020041904,347.0,26.0,373.0,4_19_4
020041905,233.0,51.0,284.0,4_19_5
020041906,335.0,25.0,360.0,4_19_6
020041907,260.0,20.0,280.0,4_19_7
020041908,428.0,21.0,449.0,4_19_8
020041909,323.0,11.0,334.0,4_19_9
020041910,224.0,37.0,261.0,4_19_10
020042001,275.0,46.0,321.0,4_20_1
020042002,213.0,39.0,252.0,4_20_2
020042003,255.0,22.0,277.0,4_20_3
020042004,213.0,7.0,220.0,4_20_4
020042005,184.0,26.0,210.0,4_20_5
020042006,262.0,40.0,302.0,4_20_6
020042007,252.0,35.0,287.0,4_20_7
020042008,217.0,21.0,238.0,4_20_8
020042009,258.0,32.0,290.0,4_20_9
020042010,324.0,36.0,360.0,4_20_10
020042011,266.0,51.0,317.0,4_20_11
020042012,397.0,74.0,471.0,4_20_12
020042101,221.0,23.0,244.0,4_21_1
020042102,234.0,14.0,248.0,4_21_2
020042103,163.0,42.0,205.0,4_21_3
020042104,222.0,24.0,246.0,4_21_4
020042105,212.0,23.0,235.0,4_21_5
020042106,233.0,35.0,268.0,4_21_6
020042107,238.0,35.0,273.0,4_21_7
020042108,273.0,16.0,289.0,4_21_8
020042109,233.0,17.0,250.0,4_21_9
020042110,226.0,7.0,233.0,4_21_10
020042111,265.0,15.0,280.0,4_21_11
020042112,166.0,22.0,188.0,4_21_12
020042201,177.0,77.0,254.0,4_22_1
020042202,211.0,83.0,294.0,4_22_2
020042203,222.0,130.0,352.0,4_22_3
020042204,359.0,132.0,491.0,4_22_4
020042205,194.0,88.0,282.0,4_22_5
020042206,145.0,110.0,255.0,4_22_6
020042207,281.0,119.0,400.0,4_22_7
020042208,295.0,65.0,360.0,4_22_8
020042209,213.0,40.0,253.0,4_22_9
020042210,178.0,51.0,229.0,4_22_10
020042211,219.0,70.0,289.0,4_22_11
020042212,177.0,39.0,216.0,4_22_12
020042301,245.0,25.0,270.0,4_23_1
020042302,246.0,39.0,285.0,4_23_2
020042303,207.0,45.0,252.0,4_23_3
020042304,226.0,36.0,262.0,4_23_4
020042305,164.0,63.0,227.0,4_23_5
020042306,223.0,79.0,302.0,4_23_6
020042307,193.0,38.0,231.0,4_23_7
020042308,246.0,41.0,287.0,4_23_8
020042309,130.0,18.0,148.0,4_23_9
020042310,218.0,39.0,257.0,4_23_10
020042311,183.0,20.0,203.0,4_23_11
020042312,207.0,19.0,226.0,4_23_12
020042401,396.0,3.0,399.0,4_24_1
020042402,510.0,9.0,519.0,4_24_2
020042403,347.0,5.0,352.0,4_24_3
020042404,508.0,10.0,518.0,4_24_4
020042405,386.0,5.0,391.0,4_24_5
020042406,360.0,12.0,372.0,4_24_6
020042501,646.0,12.0,658.0,4_25_1
020042502,587.0,20.0,607.0,4_25_2
020042503,1.005,39.0,1.044,4_25_3
020042504,557.0,13.0,570.0,4_25_4
020042601,246.0,3.0,249.0,4_26_1
020042602,269.0,9.0,278.0,4_26_2
020042603,316.0,13.0,329.0,4_26_3
020050101,141.0,112.0,253.0,5_1_1
020050102,214.0,197.0,411.0,5_1_2
020050103,203.0,157.0,360.0,5_1_3
020050104,151.0,162.0,313.0,5_1_4
020050105,223.0,249.0,472.0,5_1_5
020050106,121.0,87.0,208.0,5_1_6
020050107,174.0,127.0,301.0,5_1_7
020050108,177.0,143.0,320.0,5_1_8
020050109,187.0,162.0,349.0,5_1_9
020050110,187.0,122.0,309.0,5_1_10
020050201,147.0,187.0,334.0,5_2_1
020050202,148.0,122.0,270.0,5_2_2
020050203,138.0,184.0,322.0,5_2_3
020050204,216.0,243.0,459.0,5_2_4
020050205,106.0,115.0,221.0,5_2_5
020050206,174.0,84.0,258.0,5_2_6
020050207,165.0,78.0,243.0,5_2_7
020050208,188.0,245.0,433.0,5_2_8
020050209,203.0,132.0,335.0,5_2_9
020050210,209.0,88.0,297.0,5_2_10
020050211,239.0,155.0,394.0,5_2_11
020050301,193.0,122.0,315.0,5_3_1
020050302,309.0,192.0,501.0,5_3_2
020050303,136.0,41.0,177.0,5_3_3
020050304,151.0,83.0,234.0,5_3_4
020050305,185.0,148.0,333.0,5_3_5
020050306,165.0,131.0,296.0,5_3_6
020050307,180.0,114.0,294.0,5_3_7
020050308,91.0,73.0,164.0,5_3_8
020050309,192.0,115.0,307.0,5_3_9
020050310,145.0,92.0,237.0,5_3_10
020050311,238.0,146.0,384.0,5_3_11
020050401,232.0,185.0,417.0,5_4_1
020050402,203.0,143.0,346.0,5_4_2
020050403,156.0,161.0,317.0,5_4_3
020050404,197.0,144.0,341.0,5_4_4
020050405,200.0,130.0,330.0,5_4_5
020050406,253.0,247.0,500.0,5_4_6
020050407,161.0,90.0,251.0,5_4_7
020050408,303.0,213.0,516.0,5_4_8
020050409,202.0,134.0,336.0,5_4_9
020050501,207.0,139.0,346.0,5_5_1
020050502,320.0,272.0,592.0,5_5_2
020050503,201.0,169.0,370.0,5_5_3
020050504,162.0,126.0,288.0,5_5_4
020050505,119.0,121.0,240.0,5_5_5
020050506,162.0,149.0,311.0,5_5_6
020050507,249.0,170.0,419.0,5_5_7
020050508,164.0,159.0,323.0,5_5_8
020050601,142.0,160.0,302.0,5_6_1
020050602,238.0,198.0,436.0,5_6_2
020050603,233.0,204.0,437.0,5_6_3
020050604,353.0,303.0,656.0,5_6_4
020050605,300.0,252.0,552.0,5_6_5
020050606,260.0,147.0,407.0,5_6_6
020050607,238.0,179.0,417.0,5_6_7
020050608,203.0,178.0,381.0,5_6_8
020050701,282.0,242.0,524.0,5_7_1
020050702,138.0,84.0,222.0,5_7_2
020050703,151.0,120.0,271.0,5_7_3
020050704,352.0,253.0,605.0,5_7_4
020050705,381.0,235.0,616.0,5_7_5
020050706,200.0,99.0,299.0,5_7_6
020050707,124.0,72.0,196.0,5_7_7
020050708,262.0,130.0,392.0,5_7_8
020050801,317.0,230.0,547.0,5_8_1
020050802,185.0,135.0,320.0,5_8_2
020050803,278.0,223.0,501.0,5_8_3
020050804,262.0,189.0,451.0,5_8_4
020050805,103.0,70.0,173.0,5_8_5
020050806,227.0,166.0,393.0,5_8_6
020050807,216.0,179.0,395.0,5_8_7
020050808,223.0,130.0,353.0,5_8_8
020050809,193.0,140.0,333.0,5_8_9
020050901,270.0,199.0,469.0,5_9_1
020050902,154.0,133.0,287.0,5_9_2
020050903,149.0,118.0,267.0,5_9_3
020050904,135.0,97.0,232.0,5_9_4
020050905,147.0,112.0,259.0,5_9_5
020050906,139.0,104.0,243.0,5_9_6
020050907,129.0,91.0,220.0,5_9_7
020050908,288.0,164.0,452.0,5_9_8
020050909,252.0,186.0,438.0,5_9_9
020050910,220.0,120.0,340.0,5_9_10
020051001,307.0,229.0,536.0,5_10_1
020051002,306.0,238.0,544.0,5_10_2
020051003,112.0,52.0,164.0,5_10_3
020051004,164.0,90.0,254.0,5_10_4
020051005,174.0,95.0,269.0,5_10_5
020051006,199.0,115.0,314.0,5_10_6
020051007,338.0,209.0,547.0,5_10_7
020051008,183.0,121.0,304.0,5_10_8
020051009,206.0,136.0,342.0,5_10_9
020051010,132.0,123.0,255.0,5_10_10
020051101,293.0,237.0,530.0,5_11_1
020051102,216.0,171.0,387.0,5_11_2
020051103,140.0,138.0,278.0,5_11_3
020051104,190.0,134.0,324.0,5_11_4
020051105,172.0,149.0,321.0,5_11_5
020051106,172.0,142.0,314.0,5_11_6
020051107,274.0,193.0,467.0,5_11_7
020051108,192.0,125.0,317.0,5_11_8
020051109,290.0,168.0,458.0,5_11_9
020051110,212.0,141.0,353.0,5_11_10
020051201,189.0,101.0,290.0,5_12_1
020051202,468.0,372.0,840.0,5_12_2
020051203,213.0,210.0,423.0,5_12_3
020051204,215.0,112.0,327.0,5_12_4
020051205,118.0,78.0,196.0,5_12_5
020051206,411.0,354.0,765.0,5_12_6
020051207,200.0,134.0,334.0,5_12_7
020051301,222.0,178.0,400.0,5_13_1
020051302,189.0,131.0,320.0,5_13_2
020051303,209.0,156.0,365.0,5_13_3
020051304,214.0,115.0,329.0,5_13_4
020051305,205.0,127.0,332.0,5_13_5
020051306,180.0,190.0,370.0,5_13_6
020051307,176.0,147.0,323.0,5_13_7
020051308,216.0,205.0,421.0,5_13_8
020051309,214.0,207.0,421.0,5_13_9
020051401,148.0,126.0,274.0,5_14_1
020051402,208.0,137.0,345.0,5_14_2
020051403,350.0,190.0,540.0,5_14_3
020051404,241.0,179.0,420.0,5_14_4
020051405,450.0,334.0,784.0,5_14_5
020051406,287.0,250.0,537.0,5_14_6
020051407,107.0,60.0,167.0,5_14_7
020051408,151.0,121.0,272.0,5_14_8
020051409,278.0,144.0,422.0,5_14_9
020051501,327.0,192.0,519.0,5_15_1
020051502,318.0,203.0,521.0,5_15_2
020051503,180.0,83.0,263.0,5_15_3
020051504,343.0,222.0,565.0,5_15_4
020051505,273.0,180.0,453.0,5_15_5
020051506,189.0,141.0,330.0,5_15_6
020051507,182.0,127.0,309.0,5_15_7
020051508,236.0,91.0,327.0,5_15_8
020051509,125.0,40.0,165.0,5_15_9
020051601,229.0,172.0,401.0,5_16_1
020051602,203.0,83.0,286.0,5_16_2
020051603,156.0,58.0,214.0,5_16_3
020051604,284.0,99.0,383.0,5_16_4
020051605,246.0,129.0,375.0,5_16_5
020051606,218.0,89.0,307.0,5_16_6
020051607,173.0,75.0,248.0,5_16_7
020051608,257.0,119.0,376.0,5_16_8
020051609,268.0,122.0,390.0,5_16_9
020051610,285.0,99.0,384.0,5_16_10
020051611,277.0,146.0,423.0,5_16_11
020051701,195.0,95.0,290.0,5_17_1
020051702,235.0,113.0,348.0,5_17_2
020051703,176.0,139.0,315.0,5_17_3
020051704,193.0,104.0,297.0,5_17_4
020051705,160.0,149.0,309.0,5_17_5
020051706,206.0,134.0,340.0,5_17_6
020051707,178.0,150.0,328.0,5_17_7
020051708,238.0,146.0,384.0,5_17_8
020051709,167.0,83.0,250.0,5_17_9
020051710,182.0,97.0,279.0,5_17_10
020051711,242.0,181.0,423.0,5_17_11
020051801,253.0,169.0,422.0,5_18_1
020051802,239.0,136.0,375.0,5_18_2
020051803,227.0,115.0,342.0,5_18_3
020051804,180.0,96.0,276.0,5_18_4
020051805,239.0,95.0,334.0,5_18_5
020051806,157.0,85.0,242.0,5_18_6
020051807,183.0,126.0,309.0,5_18_7
020051808,111.0,37.0,148.0,5_18_8
020051809,179.0,87.0,266.0,5_18_9
020051810,228.0,116.0,344.0,5_18_10
020051811,194.0,120.0,314.0,5_18_11
020051901,240.0,103.0,343.0,5_19_1
020051902,206.0,73.0,279.0,5_19_2
020051903,283.0,120.0,403.0,5_19_3
020051904,283.0,114.0,397.0,5_19_4
020051905,253.0,76.0,329.0,5_19_5
020051906,230.0,98.0,328.0,5_19_6
020051907,138.0,61.0,199.0,5_19_7
020051908,283.0,144.0,427.0,5_19_8
020051909,181.0,110.0,291.0,5_19_9
020051910,251.0,111.0,362.0,5_19_10
020051911,286.0,150.0,436.0,5_19_11
020052001,239.0,75.0,314.0,5_20_1
020052002,306.0,101.0,407.0,5_20_2
020052003,299.0,78.0,377.0,5_20_3
020052004,233.0,77.0,310.0,5_20_4
020052005,264.0,66.0,330.0,5_20_5
020052006,225.0,62.0,287.0,5_20_6
020052007,231.0,81.0,312.0,5_20_7
020052008,244.0,71.0,315.0,5_20_8
020052009,260.0,65.0,325.0,5_20_9
020052010,290.0,87.0,377.0,5_20_10
020052011,226.0,74.0,300.0,5_20_11
020052012,251.0,45.0,296.0,5_20_12
020052101,241.0,134.0,375.0,5_21_1
020052102,256.0,92.0,348.0,5_21_2
020052103,142.0,64.0,206.0,5_21_3
020052104,258.0,110.0,368.0,5_21_4
020052105,171.0,93.0,264.0,5_21_5
020052106,238.0,98.0,336.0,5_21_6
020052107,177.0,73.0,250.0,5_21_7
020052108,197.0,49.0,246.0,5_21_8
020052109,168.0,63.0,231.0,5_21_9
020052110,178.0,72.0,250.0,5_21_10
020052111,176.0,66.0,242.0,5_21_11
020052201,187.0,72.0,259.0,5_22_1
020052202,217.0,72.0,289.0,5_22_2
020052203,189.0,69.0,258.0,5_22_3
020052204,257.0,104.0,361.0,5_22_4
020052205,193.0,77.0,270.0,5_22_5
020052206,220.0,103.0,323.0,5_22_6
020052207,546.0,172.0,718.0,5_22_7
020052208,190.0,55.0,245.0,5_22_8
020052209,217.0,59.0,276.0,5_22_9
020052210,230.0,64.0,294.0,5_22_10
020052211,237.0,76.0,313.0,5_22_11
020052212,252.0,70.0,322.0,5_22_12
020052213,172.0,42.0,214.0,5_22_13
020060101,168.0,69.0,237.0,6_1_1
020060102,254.0,88.0,342.0,6_1_2
020060103,246.0,99.0,345.0,6_1_3
020060104,193.0,76.0,269.0,6_1_4
020060105,264.0,165.0,429.0,6_1_5
020060106,231.0,116.0,347.0,6_1_6
020060107,177.0,81.0,258.0,6_1_7
020060108,217.0,93.0,310.0,6_1_8
020060109,157.0,68.0,225.0,6_1_9
020060110,97.0,48.0,145.0,6_1_10
020060111,160.0,90.0,250.0,6_1_11
020060112,186.0,106.0,292.0,6_1_12
020060201,205.0,182.0,387.0,6_2_1
020060202,194.0,140.0,334.0,6_2_2
020060203,146.0,97.0,243.0,6_2_3
020060204,154.0,92.0,246.0,6_2_4
