Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRAC_RA
020010914,147.0,1.0,0.0,0.0,148.0,1_9_14
020010915,105.0,0.0,0.0,0.0,105.0,1_9_15
020010916,333.0,4.0,0.0,0.0,337.0,1_9_16
020010917,207.0,0.0,0.0,0.0,207.0,1_9_17
020010918,169.0,0.0,0.0,0.0,169.0,1_9_18
020010919,61.0,0.0,0.0,0.0,61.0,1_9_19
020011001,120.0,0.0,0.0,0.0,120.0,1_10_1
020011002,278.0,0.0,0.0,0.0,278.0,1_10_2
020011003,507.0,1.0,0.0,0.0,508.0,1_10_3
020011004,222.0,0.0,0.0,0.0,222.0,1_10_4
020011005,230.0,0.0,0.0,0.0,230.0,1_10_5
020011006,255.0,0.0,0.0,0.0,255.0,1_10_6
020011007,158.0,0.0,0.0,0.0,158.0,1_10_7
020011008,152.0,1.0,0.0,0.0,153.0,1_10_8
020011009,157.0,0.0,1.0,0.0,158.0,1_10_9
020011010,296.0,0.0,0.0,0.0,296.0,1_10_10
020011011,351.0,0.0,0.0,0.0,351.0,1_10_11
020011012,291.0,0.0,0.0,0.0,291.0,1_10_12
020011013,328.0,0.0,0.0,0.0,328.0,1_10_13
020011014,111.0,0.0,0.0,0.0,111.0,1_10_14
020011101,211.0,0.0,0.0,0.0,211.0,1_11_1
020011102,284.0,0.0,0.0,0.0,284.0,1_11_2
020011103,198.0,0.0,0.0,0.0,198.0,1_11_3
020011104,325.0,0.0,0.0,0.0,325.0,1_11_4
020011105,248.0,2.0,0.0,0.0,250.0,1_11_5
020011106,208.0,1.0,0.0,0.0,209.0,1_11_6
020011107,295.0,1.0,0.0,0.0,296.0,1_11_7
020011108,352.0,1.0,0.0,0.0,353.0,1_11_8
020011109,219.0,0.0,0.0,0.0,219.0,1_11_9
020011110,272.0,0.0,0.0,0.0,272.0,1_11_10
020011111,126.0,0.0,0.0,0.0,126.0,1_11_11
020011112,406.0,0.0,0.0,1.0,407.0,1_11_12
020011113,291.0,0.0,0.0,0.0,291.0,1_11_13
020011114,288.0,0.0,1.0,0.0,289.0,1_11_14
020011201,112.0,0.0,0.0,0.0,112.0,1_12_1
020011202,129.0,0.0,0.0,0.0,129.0,1_12_2
020011203,292.0,1.0,0.0,0.0,293.0,1_12_3
020011204,193.0,2.0,0.0,0.0,195.0,1_12_4
020011205,275.0,0.0,0.0,0.0,275.0,1_12_5
020011206,197.0,1.0,0.0,0.0,198.0,1_12_6
020011207,322.0,0.0,0.0,0.0,322.0,1_12_7
020011208,126.0,0.0,0.0,0.0,126.0,1_12_8
020011209,336.0,0.0,0.0,0.0,336.0,1_12_9
020011210,101.0,0.0,0.0,0.0,101.0,1_12_10
