Código,Sí,No,Total,CO_FRACC
0200616,3885.0,448.0,4333.0,006_16
0200617,2675.0,452.0,3127.0,006_17
0200618,2961.0,457.0,3418.0,006_18
0200619,3241.0,460.0,3701.0,006_19
0200620,2953.0,425.0,3378.0,006_20
0200621,3472.0,442.0,3914.0,006_21
0200701,2354.0,401.0,2755.0,007_1
0200702,2817.0,494.0,3311.0,007_2
0200703,3200.0,454.0,3654.0,007_3
0200704,3722.0,445.0,4167.0,007_4
0200705,2722.0,452.0,3174.0,007_5
0200706,2448.0,432.0,2880.0,007_6
0200707,2772.0,519.0,3291.0,007_7
0200708,2357.0,382.0,2739.0,007_8
0200709,2846.0,477.0,3323.0,007_9
0200710,2606.0,428.0,3034.0,007_10
0200711,3053.0,470.0,3523.0,007_11
0200712,2159.0,396.0,2555.0,007_12
0200713,3246.0,424.0,3670.0,007_13
0200714,3347.0,460.0,3807.0,007_14
0200715,2810.0,559.0,3369.0,007_15
0200716,2234.0,405.0,2639.0,007_16
0200717,4163.0,754.0,4917.0,007_17
0200718,2915.0,649.0,3564.0,007_18
0200719,2059.0,372.0,2431.0,007_19
0200720,3500.0,633.0,4133.0,007_20
0200721,3559.0,490.0,4049.0,007_21
0200722,3453.0,478.0,3931.0,007_22
0200723,2428.0,343.0,2771.0,007_23
0200724,3223.0,573.0,3796.0,007_24
0200801,5304.0,738.0,6042.0,008_1
0200802,2162.0,396.0,2558.0,008_2
0200803,2799.0,449.0,3248.0,008_3
0200804,2469.0,530.0,2999.0,008_4
0200805,2651.0,551.0,3202.0,008_5
0200806,2646.0,483.0,3129.0,008_6
0200807,5797.0,905.0,6702.0,008_7
0200808,2592.0,467.0,3059.0,008_8
0200809,2113.0,506.0,2619.0,008_9
0200810,3248.0,650.0,3898.0,008_10
0200811,3121.0,656.0,3777.0,008_11
0200812,1806.0,357.0,2163.0,008_12
0200813,1506.0,362.0,1868.0,008_13
0200814,3243.0,754.0,3997.0,008_14
0200815,4309.0,731.0,5040.0,008_15
0200816,2297.0,372.0,2669.0,008_16
0200817,1039.0,195.0,1234.0,008_17
0200901,2009.0,375.0,2384.0,009_1
0200902,3333.0,516.0,3849.0,009_2
0200903,2982.0,541.0,3523.0,009_3
0200904,2849.0,542.0,3391.0,009_4
0200905,2962.0,505.0,3467.0,009_5
0200906,3430.0,590.0,4020.0,009_6
0200907,3236.0,639.0,3875.0,009_7
0200908,3324.0,620.0,3944.0,009_8
0200909,3240.0,608.0,3848.0,009_9
0200910,2833.0,504.0,3337.0,009_10
0200911,3682.0,548.0,4230.0,009_11
0200912,2929.0,554.0,3483.0,009_12
0200913,1969.0,363.0,2332.0,009_13
0200914,3258.0,583.0,3841.0,009_14
0200915,2650.0,538.0,3188.0,009_15
0200916,3100.0,683.0,3783.0,009_16
0201001,2027.0,389.0,2416.0,010_1
0201002,2153.0,351.0,2504.0,010_2
0201003,1941.0,329.0,2270.0,010_3
0201004,2388.0,363.0,2751.0,010_4
0201005,3474.0,669.0,4143.0,010_5
0201006,3595.0,584.0,4179.0,010_6
0201007,3477.0,564.0,4041.0,010_7
0201008,2789.0,420.0,3209.0,010_8
0201009,2613.0,395.0,3008.0,010_9
0201010,3175.0,509.0,3684.0,010_10
0201011,3115.0,508.0,3623.0,010_11
0201012,2367.0,408.0,2775.0,010_12
0201013,2696.0,496.0,3192.0,010_13
0201014,2759.0,464.0,3223.0,010_14
0201015,2306.0,358.0,2664.0,010_15
0201016,2568.0,420.0,2988.0,010_16
0201017,2734.0,407.0,3141.0,010_17
0201018,3061.0,498.0,3559.0,010_18
0201019,3506.0,577.0,4083.0,010_19
0201101,3084.0,500.0,3584.0,011_1
0201102,3049.0,382.0,3431.0,011_2
0201103,2898.0,361.0,3259.0,011_3
0201104,3325.0,465.0,3790.0,011_4
0201105,2608.0,426.0,3034.0,011_5
0201106,2966.0,471.0,3437.0,011_6
0201107,3055.0,445.0,3500.0,011_7
0201108,2547.0,386.0,2933.0,011_8
0201109,3167.0,446.0,3613.0,011_9
0201110,3139.0,404.0,3543.0,011_10
0201111,2302.0,374.0,2676.0,011_11
0201112,2348.0,350.0,2698.0,011_12
0201113,3090.0,612.0,3702.0,011_13
0201114,2384.0,389.0,2773.0,011_14
0201115,3261.0,533.0,3794.0,011_15
0201116,2644.0,411.0,3055.0,011_16
0201117,2244.0,350.0,2594.0,011_17
0201118,2737.0,338.0,3075.0,011_18
0201119,2409.0,367.0,2776.0,011_19
0201120,2753.0,434.0,3187.0,011_20
0201121,3059.0,462.0,3521.0,011_21
0201122,3044.0,441.0,3485.0,011_22
0201201,2646.0,377.0,3023.0,012_1
0201202,2453.0,416.0,2869.0,012_2
0201203,2666.0,417.0,3083.0,012_3
0201204,2664.0,414.0,3078.0,012_4
0201205,3279.0,360.0,3639.0,012_5
0201206,2903.0,381.0,3284.0,012_6
0201207,3248.0,400.0,3648.0,012_7
0201208,3449.0,382.0,3831.0,012_8
0201209,2243.0,327.0,2570.0,012_9
0201210,3240.0,458.0,3698.0,012_10
0201211,2999.0,427.0,3426.0,012_11
0201212,2586.0,293.0,2879.0,012_12
0201213,2817.0,345.0,3162.0,012_13
0201214,3479.0,414.0,3893.0,012_14
0201215,4178.0,484.0,4662.0,012_15
0201216,4932.0,556.0,5488.0,012_16
0201217,2796.0,359.0,3155.0,012_17
0201218,3470.0,541.0,4011.0,012_18
0201219,3749.0,604.0,4353.0,012_19
0201220,2759.0,419.0,3178.0,012_20
0201221,3067.0,483.0,3550.0,012_21
0201222,3484.0,583.0,4067.0,012_22
0201301,3656.0,446.0,4102.0,013_1
0201302,3573.0,339.0,3912.0,013_2
0201303,3130.0,256.0,3386.0,013_3
0201304,4387.0,537.0,4924.0,013_4
0201305,2994.0,301.0,3295.0,013_5
0201306,2758.0,323.0,3081.0,013_6
0201307,2849.0,329.0,3178.0,013_7
0201308,3204.0,352.0,3556.0,013_8
0201309,2872.0,308.0,3180.0,013_9
0201310,3756.0,363.0,4119.0,013_10
0201311,1602.0,161.0,1763.0,013_11
0201312,2690.0,210.0,2900.0,013_12
0201313,4026.0,409.0,4435.0,013_13
0201314,2653.0,334.0,2987.0,013_14
0201315,3581.0,548.0,4129.0,013_15
0201316,3768.0,552.0,4320.0,013_16
0201317,3641.0,398.0,4039.0,013_17
0201318,2802.0,321.0,3123.0,013_18
0201319,3164.0,367.0,3531.0,013_19
0201320,3343.0,409.0,3752.0,013_20
0201321,2738.0,307.0,3045.0,013_21
0201322,2647.0,211.0,2858.0,013_22
0201323,3665.0,444.0,4109.0,013_23
0201324,2769.0,302.0,3071.0,013_24
0201325,2256.0,309.0,2565.0,013_25
0201326,2809.0,443.0,3252.0,013_26
0201327,3130.0,383.0,3513.0,013_27
0201328,2707.0,312.0,3019.0,013_28
0201329,3024.0,338.0,3362.0,013_29
0201401,3418.0,366.0,3784.0,014_1
0201402,3346.0,280.0,3626.0,014_2
0201403,3870.0,351.0,4221.0,014_3
0201404,3698.0,328.0,4026.0,014_4
0201405,3346.0,335.0,3681.0,014_5
0201406,3414.0,365.0,3779.0,014_6
0201407,2499.0,293.0,2792.0,014_7
0201408,2791.0,313.0,3104.0,014_8
0201409,4661.0,331.0,4992.0,014_9
0201410,5.0,1.0,6.0,014_10
0201411,4406.0,318.0,4724.0,014_11
0201412,2828.0,387.0,3215.0,014_12
0201413,2960.0,407.0,3367.0,014_13
0201414,3195.0,421.0,3616.0,014_14
0201415,3110.0,406.0,3516.0,014_15
0201416,2449.0,214.0,2663.0,014_16
0201417,2611.0,218.0,2829.0,014_17
0201418,2758.0,369.0,3127.0,014_18
0201419,2333.0,298.0,2631.0,014_19
0201420,2596.0,331.0,2927.0,014_20
0201421,2612.0,327.0,2939.0,014_21
0201422,3151.0,433.0,3584.0,014_22
0201423,3606.0,387.0,3993.0,014_23
0201424,2431.0,306.0,2737.0,014_24
0201425,2586.0,300.0,2886.0,014_25
0201426,2930.0,364.0,3294.0,014_26
0201427,2491.0,291.0,2782.0,014_27
0201428,3358.0,432.0,3790.0,014_28
0201429,3219.0,323.0,3542.0,014_29
0201430,3257.0,280.0,3537.0,014_30
0201431,2985.0,223.0,3208.0,014_31
0201501,3056.0,486.0,3542.0,015_1
0201502,2164.0,352.0,2516.0,015_2
0201503,3681.0,483.0,4164.0,015_3
0201504,3626.0,495.0,4121.0,015_4
0201505,3383.0,567.0,3950.0,015_5
0201506,1521.0,221.0,1742.0,015_6
0201507,3105.0,517.0,3622.0,015_7
0201508,2913.0,403.0,3316.0,015_8
0201509,2051.0,328.0,2379.0,015_9
0201510,3660.0,503.0,4163.0,015_10
0201511,3773.0,472.0,4245.0,015_11
0201512,2357.0,330.0,2687.0,015_12
0201513,2472.0,344.0,2816.0,015_13
0201514,3326.0,454.0,3780.0,015_14
0201515,2965.0,388.0,3353.0,015_15
0201516,3147.0,420.0,3567.0,015_16
0201517,3444.0,453.0,3897.0,015_17
0201518,2757.0,445.0,3202.0,015_18
0201519,3214.0,474.0,3688.0,015_19
0201520,3265.0,454.0,3719.0,015_20
0201521,3557.0,439.0,3996.0,015_21
