Código,Sí,No,Total
020040809,206.0,140.0,346.0
020040810,146.0,88.0,234.0
020040811,173.0,106.0,279.0
020040901,183.0,273.0,456.0
020040902,119.0,132.0,251.0
020040903,94.0,90.0,184.0
020040904,73.0,101.0,174.0
020040905,112.0,77.0,189.0
020040906,175.0,104.0,279.0
020040907,158.0,105.0,263.0
020041001,8.0,15.0,23.0
020041002,149.0,483.0,632.0
020041003,105.0,394.0,499.0
020041004,26.0,98.0,124.0
020041005,140.0,369.0,509.0
020041006,72.0,229.0,301.0
020041007,57.0,210.0,267.0
020041008,38.0,435.0,473.0
020041009,74.0,533.0,607.0
020041101,176.0,116.0,292.0
020041102,214.0,113.0,327.0
020041103,184.0,97.0,281.0
020041104,165.0,85.0,250.0
020041105,99.0,86.0,185.0
020041106,179.0,139.0,318.0
020041107,133.0,191.0,324.0
020041108,209.0,101.0,310.0
020041109,124.0,142.0,266.0
020041201,104.0,121.0,225.0
020041202,96.0,110.0,206.0
020041203,180.0,117.0,297.0
020041204,228.0,143.0,371.0
020041205,142.0,86.0,228.0
020041206,130.0,118.0,248.0
020041207,92.0,65.0,157.0
020041208,112.0,71.0,183.0
020041209,214.0,98.0,312.0
020041210,164.0,119.0,283.0
020041211,195.0,65.0,260.0
020041212,163.0,59.0,222.0
020041301,313.0,44.0,357.0
020041302,170.0,66.0,236.0
020041303,169.0,82.0,251.0
020041304,163.0,63.0,226.0
020041305,325.0,66.0,391.0
020041306,135.0,60.0,195.0
020041307,300.0,99.0,399.0
020041308,100.0,74.0,174.0
020041309,118.0,51.0,169.0
020041310,143.0,58.0,201.0
020041311,314.0,134.0,448.0
020041401,127.0,140.0,267.0
020041402,151.0,105.0,256.0
020041403,175.0,95.0,270.0
020041404,367.0,128.0,495.0
020041405,208.0,94.0,302.0
020041406,144.0,64.0,208.0
020041407,173.0,114.0,287.0
020041408,265.0,139.0,404.0
020041409,205.0,52.0,257.0
020041501,173.0,86.0,259.0
020041502,414.0,210.0,624.0
020041503,345.0,138.0,483.0
020041504,211.0,86.0,297.0
020041505,153.0,65.0,218.0
020041506,151.0,89.0,240.0
020041507,190.0,84.0,274.0
020041508,191.0,78.0,269.0
020041509,174.0,79.0,253.0
020041510,120.0,68.0,188.0
020041601,180.0,78.0,258.0
020041602,629.0,299.0,928.0
020041603,319.0,118.0,437.0
020041604,163.0,103.0,266.0
020041605,263.0,149.0,412.0
020041606,135.0,111.0,246.0
020041607,109.0,47.0,156.0
020041608,111.0,103.0,214.0
020041609,266.0,165.0,431.0
020041610,178.0,101.0,279.0
020041701,182.0,39.0,221.0
020041702,160.0,80.0,240.0
020041703,139.0,76.0,215.0
020041704,201.0,95.0,296.0
020041705,229.0,99.0,328.0
020041706,173.0,107.0,280.0
020041707,173.0,80.0,253.0
020041708,234.0,123.0,357.0
020041709,233.0,104.0,337.0
020041710,157.0,119.0,276.0
020041801,12.0,33.0,45.0
020041901,128.0,124.0,252.0
020041902,162.0,97.0,259.0
020041903,193.0,128.0,321.0
020041904,157.0,215.0,372.0
020041905,163.0,120.0,283.0
020041906,187.0,172.0,359.0
020041907,108.0,174.0,282.0
020041908,172.0,272.0,444.0
020041909,125.0,209.0,334.0
020041910,138.0,123.0,261.0
020042001,174.0,147.0,321.0
020042002,151.0,106.0,257.0
020042003,123.0,155.0,278.0
020042004,96.0,123.0,219.0
020042005,124.0,85.0,209.0
020042006,178.0,127.0,305.0
020042007,174.0,116.0,290.0
020042008,143.0,98.0,241.0
020042009,146.0,144.0,290.0
020042010,181.0,183.0,364.0
020042011,168.0,154.0,322.0
020042012,287.0,184.0,471.0
020042101,111.0,132.0,243.0
020042102,107.0,150.0,257.0
020042103,112.0,93.0,205.0
020042104,112.0,132.0,244.0
020042105,138.0,100.0,238.0
020042106,139.0,131.0,270.0
020042107,169.0,106.0,275.0
020042108,116.0,176.0,292.0
020042109,127.0,124.0,251.0
020042110,77.0,154.0,231.0
020042111,141.0,139.0,280.0
020042112,112.0,74.0,186.0
020042201,165.0,85.0,250.0
020042202,202.0,95.0,297.0
020042203,256.0,96.0,352.0
020042204,353.0,142.0,495.0
020042205,189.0,95.0,284.0
020042206,198.0,57.0,255.0
020042207,277.0,124.0,401.0
020042208,227.0,136.0,363.0
020042209,151.0,108.0,259.0
020042210,149.0,80.0,229.0
020042211,196.0,93.0,289.0
020042212,127.0,91.0,218.0
020042301,164.0,107.0,271.0
020042302,156.0,132.0,288.0
020042303,144.0,111.0,255.0
020042304,170.0,93.0,263.0
020042305,158.0,68.0,226.0
020042306,199.0,105.0,304.0
020042307,122.0,111.0,233.0
020042308,181.0,107.0,288.0
020042309,91.0,59.0,150.0
020042310,140.0,118.0,258.0
020042311,90.0,115.0,205.0
020042312,111.0,119.0,230.0
020042401,92.0,310.0,402.0
020042402,125.0,397.0,522.0
020042403,83.0,283.0,366.0
020042404,156.0,360.0,516.0
020042405,70.0,321.0,391.0
020042406,108.0,260.0,368.0
020042501,64.0,588.0,652.0
020042502,154.0,457.0,611.0
020042503,284.0,781.0,1065.0
020042504,67.0,483.0,550.0
020042601,67.0,183.0,250.0
020042602,131.0,143.0,274.0
020042603,83.0,253.0,336.0
020050101,190.0,63.0,253.0
020050102,318.0,92.0,410.0
020050103,254.0,107.0,361.0
020050104,236.0,77.0,313.0
020050105,384.0,88.0,472.0
020050106,153.0,56.0,209.0
020050107,221.0,80.0,301.0
020050108,240.0,83.0,323.0
020050109,252.0,97.0,349.0
020050110,239.0,73.0,312.0
020050201,271.0,65.0,336.0
020050202,207.0,63.0,270.0
020050203,260.0,65.0,325.0
020050204,351.0,110.0,461.0
020050205,171.0,51.0,222.0
020050206,170.0,86.0,256.0
020050207,129.0,107.0,236.0
020050208,379.0,54.0,433.0
020050209,230.0,107.0,337.0
020050210,199.0,102.0,301.0
020050211,288.0,105.0,393.0
020050301,211.0,109.0,320.0
020050302,338.0,165.0,503.0
020050303,91.0,84.0,175.0
020050304,166.0,69.0,235.0
020050305,249.0,87.0,336.0
020050306,215.0,87.0,302.0
020050307,205.0,92.0,297.0
020050308,127.0,36.0,163.0
020050309,208.0,101.0,309.0
020050310,181.0,59.0,240.0
020050311,244.0,141.0,385.0
020050401,303.0,116.0,419.0
020050402,260.0,87.0,347.0
020050403,256.0,62.0,318.0
020050404,257.0,81.0,338.0
020050405,229.0,102.0,331.0
020050406,397.0,107.0,504.0
020050407,170.0,83.0,253.0
020050408,368.0,148.0,516.0
020050409,244.0,93.0,337.0
020050501,260.0,88.0,348.0
020050502,447.0,145.0,592.0
020050503,252.0,118.0,370.0
020050504,226.0,62.0,288.0
020050505,204.0,40.0,244.0
020050506,250.0,64.0,314.0
020050507,295.0,127.0,422.0
020050508,248.0,76.0,324.0
020050601,236.0,68.0,304.0
020050602,325.0,112.0,437.0
020050603,313.0,125.0,438.0
020050604,517.0,143.0,660.0
020050605,415.0,143.0,558.0
020050606,290.0,117.0,407.0
020050607,304.0,114.0,418.0
020050608,295.0,90.0,385.0
020050701,399.0,130.0,529.0
020050702,164.0,55.0,219.0
020050703,206.0,69.0,275.0
020050704,423.0,182.0,605.0
020050705,435.0,183.0,618.0
020050706,179.0,120.0,299.0
020050707,130.0,66.0,196.0
020050708,255.0,135.0,390.0
020050801,392.0,155.0,547.0
020050802,234.0,85.0,319.0
020050803,406.0,98.0,504.0
020050804,319.0,133.0,452.0
020050805,127.0,48.0,175.0
020050806,281.0,112.0,393.0
020050807,287.0,112.0,399.0
020050808,247.0,102.0,349.0
020050809,255.0,78.0,333.0
020050901,350.0,121.0,471.0
020050902,222.0,65.0,287.0
020050903,207.0,60.0,267.0
020050904,158.0,74.0,232.0
020050905,177.0,79.0,256.0
020050906,188.0,57.0,245.0
020050907,159.0,61.0,220.0
020050908,332.0,122.0,454.0
020050909,331.0,100.0,431.0
020050910,241.0,99.0,340.0
020051001,401.0,136.0,537.0
020051002,388.0,158.0,546.0
020051003,111.0,48.0,159.0
020051004,164.0,89.0,253.0
020051005,175.0,94.0,269.0
020051006,209.0,103.0,312.0
020051007,401.0,147.0,548.0
020051008,197.0,112.0,309.0
020051009,241.0,102.0,343.0
020051010,175.0,78.0,253.0
020051101,403.0,133.0,536.0
020051102,311.0,78.0,389.0
020051103,236.0,45.0,281.0
020051104,220.0,109.0,329.0
020051105,236.0,85.0,321.0
020051106,256.0,59.0,315.0
020051107,352.0,118.0,470.0
020051108,229.0,91.0,320.0
020051109,307.0,149.0,456.0
020051110,280.0,73.0,353.0
020051201,172.0,120.0,292.0
020051202,607.0,233.0,840.0
020051203,322.0,100.0,422.0
020051204,227.0,101.0,328.0
020051205,145.0,53.0,198.0
020051206,547.0,216.0,763.0
020051207,238.0,98.0,336.0
020051301,280.0,116.0,396.0
020051302,247.0,74.0,321.0
020051303,250.0,114.0,364.0
020051304,221.0,107.0,328.0
020051305,226.0,106.0,332.0
020051306,298.0,79.0,377.0
020051307,232.0,89.0,321.0
020051308,323.0,98.0,421.0
020051309,328.0,94.0,422.0
020051401,222.0,52.0,274.0
020051402,242.0,105.0,347.0
020051403,357.0,182.0,539.0
020051404,309.0,112.0,421.0
020051405,551.0,236.0,787.0
020051406,388.0,149.0,537.0
020051407,109.0,59.0,168.0
020051408,196.0,79.0,275.0
020051409,273.0,153.0,426.0
020051501,349.0,160.0,509.0
020051502,360.0,170.0,530.0
020051503,171.0,96.0,267.0
020051504,368.0,196.0,564.0
020051505,307.0,147.0,454.0
020051506,244.0,84.0,328.0
020051507,203.0,105.0,308.0
020051508,174.0,152.0,326.0
020051509,96.0,71.0,167.0
020051601,298.0,106.0,404.0
020051602,170.0,111.0,281.0
020051603,138.0,75.0,213.0
020051604,262.0,124.0,386.0
020051605,254.0,122.0,376.0
020051606,183.0,126.0,309.0
020051607,140.0,109.0,249.0
020051608,245.0,130.0,375.0
020051609,246.0,148.0,394.0
020051610,240.0,147.0,387.0
020051611,280.0,143.0,423.0
020051701,219.0,70.0,289.0
020051702,233.0,114.0,347.0
020051703,230.0,86.0,316.0
020051704,218.0,79.0,297.0
020051705,238.0,71.0,309.0
020051706,246.0,95.0,341.0
020051707,250.0,79.0,329.0
020051708,265.0,118.0,383.0
020051709,162.0,91.0,253.0
020051710,213.0,67.0,280.0
020051711,312.0,116.0,428.0
020051801,309.0,111.0,420.0
020051802,254.0,118.0,372.0
020051803,251.0,91.0,342.0
020051804,188.0,89.0,277.0
020051805,240.0,96.0,336.0
020051806,169.0,72.0,241.0
020051807,238.0,71.0,309.0
020051808,110.0,39.0,149.0
020051809,177.0,89.0,266.0
020051810,230.0,114.0,344.0
020051811,211.0,104.0,315.0
020051901,241.0,102.0,343.0
020051902,195.0,87.0,282.0
020051903,269.0,138.0,407.0
020051904,269.0,128.0,397.0
020051905,203.0,131.0,334.0
020051906,218.0,112.0,330.0
020051907,126.0,69.0,195.0
020051908,275.0,153.0,428.0
020051909,201.0,93.0,294.0
020051910,246.0,117.0,363.0
020051911,319.0,117.0,436.0
020052001,209.0,104.0,313.0
020052002,260.0,149.0,409.0
020052003,227.0,153.0,380.0
020052004,215.0,96.0,311.0
020052005,221.0,108.0,329.0
020052006,200.0,86.0,286.0
020052007,206.0,109.0,315.0
020052008,212.0,103.0,315.0
020052009,196.0,129.0,325.0
020052010,233.0,142.0,375.0
020052011,205.0,96.0,301.0
020052012,198.0,94.0,292.0
020052101,278.0,100.0,378.0
020052102,224.0,123.0,347.0
020052103,127.0,81.0,208.0
020052104,248.0,122.0,370.0
020052105,181.0,85.0,266.0
020052106,223.0,111.0,334.0
020052107,164.0,93.0,257.0
020052108,165.0,82.0,247.0
020052109,162.0,70.0,232.0
020052110,164.0,89.0,253.0
020052111,184.0,60.0,244.0
020052201,194.0,66.0,260.0
020052202,200.0,92.0,292.0
020052203,178.0,81.0,259.0
020052204,247.0,115.0,362.0
020052205,186.0,91.0,277.0
020052206,224.0,103.0,327.0
020052207,454.0,269.0,723.0
020052208,165.0,79.0,244.0
020052209,184.0,92.0,276.0
020052210,187.0,107.0,294.0
020052211,210.0,110.0,320.0
020052212,224.0,99.0,323.0
020052213,152.0,66.0,218.0
020060101,174.0,68.0,242.0
020060102,238.0,107.0,345.0
020060103,262.0,84.0,346.0
020060104,184.0,90.0,274.0
020060105,315.0,116.0,431.0
020060106,262.0,86.0,348.0
020060107,193.0,66.0,259.0
020060108,222.0,86.0,308.0
020060109,156.0,70.0,226.0
020060110,113.0,32.0,145.0
020060111,196.0,57.0,253.0
020060112,194.0,96.0,290.0
020060201,323.0,64.0,387.0
020060202,267.0,66.0,333.0
020060203,178.0,65.0,243.0
020060204,193.0,54.0,247.0
020060205,179.0,47.0,226.0
020060206,266.0,76.0,342.0
020060207,246.0,100.0,346.0
020060208,293.0,75.0,368.0
020060209,215.0,37.0,252.0
020060210,260.0,74.0,334.0
020060211,407.0,101.0,508.0
020060301,252.0,115.0,367.0
020060302,231.0,72.0,303.0
020060303,262.0,87.0,349.0
020060304,197.0,46.0,243.0
020060305,192.0,67.0,259.0
020060306,276.0,80.0,356.0
020060307,265.0,104.0,369.0
020060308,228.0,76.0,304.0
020060309,365.0,85.0,450.0
020060310,295.0,98.0,393.0
020060401,151.0,57.0,208.0
020060402,182.0,45.0,227.0
020060403,263.0,76.0,339.0
020060404,238.0,81.0,319.0
020060405,237.0,51.0,288.0
020060406,239.0,81.0,320.0
020060407,183.0,59.0,242.0
020060408,274.0,95.0,369.0
020060409,242.0,79.0,321.0
020060410,262.0,76.0,338.0
020060411,277.0,67.0,344.0
020060501,255.0,127.0,382.0
020060502,333.0,120.0,453.0
020060503,259.0,113.0,372.0
020060504,217.0,76.0,293.0
020060505,307.0,85.0,392.0
020060506,233.0,70.0,303.0
020060507,245.0,89.0,334.0
020060508,161.0,44.0,205.0
020060509,184.0,53.0,237.0
020060510,312.0,95.0,407.0
020060511,336.0,80.0,416.0
020060512,116.0,42.0,158.0
020060601,407.0,139.0,546.0
020060602,663.0,128.0,791.0
020060603,366.0,142.0,508.0
020060604,161.0,65.0,226.0
020060605,162.0,39.0,201.0
020060606,258.0,75.0,333.0
020060607,253.0,97.0,350.0
020060608,313.0,95.0,408.0
020060609,276.0,80.0,356.0
020060701,206.0,74.0,280.0
020060702,257.0,86.0,343.0
020060703,205.0,73.0,278.0
020060704,270.0,102.0,372.0
020060705,279.0,80.0,359.0
020060706,162.0,97.0,259.0
020060707,313.0,84.0,397.0
020060708,223.0,84.0,307.0
020060709,272.0,48.0,320.0
020060710,253.0,73.0,326.0
020060711,210.0,75.0,285.0
020060712,229.0,57.0,286.0
020060713,182.0,54.0,236.0
020060801,269.0,83.0,352.0
020060802,390.0,67.0,457.0
020060803,199.0,61.0,260.0
020060804,227.0,73.0,300.0
020060805,186.0,65.0,251.0
020060806,415.0,117.0,532.0
020060807,223.0,94.0,317.0
020060808,414.0,94.0,508.0
020060809,185.0,76.0,261.0
020060810,246.0,88.0,334.0
020060901,202.0,95.0,297.0
020060902,195.0,65.0,260.0
020060903,207.0,85.0,292.0
020060904,322.0,108.0,430.0
020060905,106.0,64.0,170.0
020060906,287.0,93.0,380.0
020060907,179.0,65.0,244.0
020060908,150.0,46.0,196.0
020060909,274.0,88.0,362.0
020060910,255.0,69.0,324.0
020061001,202.0,101.0,303.0
020061002,196.0,92.0,288.0
020061003,288.0,95.0,383.0
020061004,224.0,113.0,337.0
020061005,310.0,151.0,461.0
020061006,328.0,127.0,455.0
020061007,234.0,101.0,335.0
020061008,404.0,164.0,568.0
020061009,178.0,68.0,246.0
020061010,341.0,122.0,463.0
020061101,331.0,98.0,429.0
020061102,195.0,47.0,242.0
020061103,288.0,80.0,368.0
020061104,308.0,35.0,343.0
020061105,193.0,56.0,249.0
020061106,218.0,89.0,307.0
020061107,240.0,110.0,350.0
020061108,266.0,103.0,369.0
020061109,214.0,74.0,288.0
020061110,171.0,69.0,240.0
020061201,197.0,59.0,256.0
020061202,146.0,82.0,228.0
020061203,203.0,85.0,288.0
020061204,131.0,62.0,193.0
020061205,269.0,114.0,383.0
020061206,179.0,64.0,243.0
020061207,244.0,105.0,349.0
020061208,255.0,48.0,303.0
020061209,266.0,96.0,362.0
020061210,182.0,54.0,236.0
020061211,262.0,109.0,371.0
020061212,140.0,68.0,208.0
020061301,231.0,76.0,307.0
020061302,438.0,148.0,586.0
020061303,225.0,77.0,302.0
020061304,392.0,105.0,497.0
020061305,272.0,88.0,360.0
020061306,189.0,78.0,267.0
020061307,291.0,78.0,369.0
020061308,400.0,97.0,497.0
020061309,321.0,105.0,426.0
020061401,298.0,84.0,382.0
020061402,190.0,60.0,250.0
020061403,257.0,125.0,382.0
020061404,378.0,153.0,531.0
020061405,318.0,89.0,407.0
020061406,393.0,91.0,484.0
020061407,181.0,56.0,237.0
020061408,176.0,42.0,218.0
020061409,254.0,54.0,308.0
020061410,319.0,73.0,392.0
020061501,211.0,73.0,284.0
020061502,582.0,187.0,769.0
020061503,275.0,83.0,358.0
020061504,226.0,44.0,270.0
020061505,256.0,64.0,320.0
020061506,234.0,49.0,283.0
020061507,260.0,74.0,334.0
020061508,343.0,102.0,445.0
020061509,183.0,44.0,227.0
020061510,258.0,47.0,305.0
020061601,210.0,73.0,283.0
020061602,221.0,63.0,284.0
020061603,315.0,78.0,393.0
020061604,229.0,81.0,310.0
020061605,305.0,88.0,393.0
020061606,337.0,78.0,415.0
020061607,316.0,72.0,388.0
020061608,461.0,99.0,560.0
020061609,324.0,94.0,418.0
020061610,397.0,102.0,499.0
020061611,291.0,99.0,390.0
020061701,287.0,129.0,416.0
020061702,298.0,121.0,419.0
020061703,233.0,76.0,309.0
020061704,261.0,99.0,360.0
020061705,567.0,272.0,839.0
020061706,370.0,137.0,507.0
020061707,209.0,68.0,277.0
020061801,203.0,60.0,263.0
020061802,191.0,65.0,256.0
020061803,213.0,100.0,313.0
020061804,243.0,66.0,309.0
020061805,278.0,112.0,390.0
020061806,352.0,101.0,453.0
020061807,367.0,159.0,526.0
020061808,374.0,138.0,512.0
020061809,278.0,117.0,395.0
020061901,290.0,95.0,385.0
020061902,483.0,158.0,641.0
020061903,451.0,152.0,603.0
020061904,346.0,107.0,453.0
020061905,225.0,79.0,304.0
020061906,345.0,94.0,439.0
020061907,325.0,119.0,444.0
020061908,325.0,106.0,431.0
020062001,167.0,47.0,214.0
020062002,188.0,69.0,257.0
020062003,343.0,103.0,446.0
020062004,190.0,66.0,256.0
020062005,290.0,94.0,384.0
020062006,289.0,89.0,378.0
020062007,202.0,52.0,254.0
020062008,374.0,109.0,483.0
020062009,242.0,75.0,317.0
020062010,280.0,105.0,385.0
020062101,210.0,83.0,293.0
020062102,339.0,110.0,449.0
020062103,342.0,106.0,448.0
020062104,184.0,78.0,262.0
020062105,259.0,71.0,330.0
020062106,172.0,59.0,231.0
020062107,264.0,112.0,376.0
020062108,385.0,76.0,461.0
020062109,236.0,58.0,294.0
020062110,263.0,105.0,368.0
020062111,288.0,99.0,387.0
020070101,130.0,90.0,220.0
020070102,177.0,128.0,305.0
020070103,196.0,118.0,314.0
020070104,137.0,113.0,250.0
020070105,83.0,88.0,171.0
020070106,145.0,119.0,264.0
020070107,92.0,92.0,184.0
020070108,180.0,138.0,318.0
020070109,121.0,164.0,285.0
020070110,268.0,145.0,413.0
020070201,208.0,81.0,289.0
020070202,267.0,103.0,370.0
020070203,201.0,96.0,297.0
020070204,426.0,224.0,650.0
020070205,212.0,144.0,356.0
020070206,242.0,153.0,395.0
020070207,141.0,95.0,236.0
020070208,160.0,130.0,290.0
020070209,250.0,137.0,387.0
020070301,203.0,95.0,298.0
020070302,277.0,104.0,381.0
020070303,318.0,154.0,472.0
020070304,272.0,119.0,391.0
020070305,235.0,74.0,309.0
020070306,232.0,104.0,336.0
020070307,333.0,113.0,446.0
020070308,206.0,101.0,307.0
020070309,178.0,92.0,270.0
020070310,305.0,120.0,425.0
020070401,297.0,233.0,530.0
020070402,269.0,65.0,334.0
020070403,342.0,105.0,447.0
020070404,456.0,104.0,560.0
020070405,272.0,125.0,397.0
020070406,327.0,109.0,436.0
020070407,346.0,124.0,470.0
020070408,322.0,74.0,396.0
020070409,165.0,58.0,223.0
020070410,297.0,67.0,364.0
020070501,251.0,90.0,341.0
020070502,182.0,60.0,242.0
020070503,234.0,94.0,328.0
020070504,317.0,140.0,457.0
020070505,362.0,100.0,462.0
020070506,204.0,65.0,269.0
020070507,195.0,74.0,269.0
020070508,184.0,160.0,344.0
020070509,268.0,177.0,445.0
020070601,255.0,117.0,372.0
020070602,210.0,88.0,298.0
020070603,149.0,89.0,238.0
020070604,178.0,123.0,301.0
020070605,232.0,176.0,408.0
020070606,250.0,144.0,394.0
020070607,267.0,112.0,379.0
020070608,126.0,59.0,185.0
020070609,181.0,108.0,289.0
020070701,159.0,86.0,245.0
020070702,128.0,74.0,202.0
020070703,297.0,112.0,409.0
020070704,140.0,115.0,255.0
020070705,137.0,132.0,269.0
020070706,249.0,115.0,364.0
020070707,168.0,77.0,245.0
020070708,144.0,75.0,219.0
020070709,225.0,180.0,405.0
020070710,279.0,76.0,355.0
020070711,174.0,108.0,282.0
020070801,194.0,124.0,318.0
020070802,237.0,116.0,353.0
020070803,161.0,86.0,247.0
020070804,261.0,96.0,357.0
020070805,262.0,128.0,390.0
020070806,270.0,100.0,370.0
020070807,198.0,120.0,318.0
020070808,234.0,133.0,367.0
020070901,188.0,68.0,256.0
020070902,187.0,89.0,276.0
020070903,149.0,77.0,226.0
020070904,279.0,136.0,415.0
020070905,146.0,51.0,197.0
020070906,267.0,83.0,350.0
020070907,208.0,121.0,329.0
020070908,261.0,134.0,395.0
020070909,184.0,111.0,295.0
020070910,207.0,99.0,306.0
020070911,160.0,101.0,261.0
020071001,217.0,86.0,303.0
020071002,122.0,62.0,184.0
020071003,182.0,72.0,254.0
020071004,204.0,91.0,295.0
020071005,198.0,42.0,240.0
020071006,240.0,110.0,350.0
020071007,224.0,115.0,339.0
020071008,317.0,110.0,427.0
020071009,204.0,103.0,307.0
020071010,252.0,77.0,329.0
020071101,203.0,112.0,315.0
020071102,266.0,136.0,402.0
020071103,238.0,127.0,365.0
020071104,289.0,91.0,380.0
020071105,182.0,47.0,229.0
020071106,214.0,53.0,267.0
020071107,370.0,126.0,496.0
020071108,321.0,125.0,446.0
020071109,288.0,78.0,366.0
020071110,185.0,64.0,249.0
020071201,309.0,113.0,422.0
020071202,143.0,73.0,216.0
020071203,191.0,87.0,278.0
020071204,242.0,77.0,319.0
020071205,212.0,85.0,297.0
020071206,218.0,84.0,302.0
020071207,156.0,62.0,218.0
020071208,142.0,71.0,213.0
020071209,197.0,93.0,290.0
020071301,194.0,125.0,319.0
020071302,202.0,92.0,294.0
020071303,302.0,113.0,415.0
020071304,167.0,49.0,216.0
020071305,257.0,72.0,329.0
020071306,212.0,53.0,265.0
020071307,142.0,59.0,201.0
020071308,137.0,57.0,194.0
020071309,137.0,29.0,166.0
020071310,152.0,40.0,192.0
020071311,215.0,38.0,253.0
020071312,174.0,48.0,222.0
020071313,140.0,56.0,196.0
020071314,183.0,36.0,219.0
020071315,132.0,53.0,185.0
020071401,223.0,89.0,312.0
020071402,188.0,110.0,298.0
020071403,183.0,73.0,256.0
020071404,176.0,82.0,258.0
020071405,216.0,79.0,295.0
020071406,284.0,94.0,378.0
020071407,198.0,74.0,272.0
020071408,202.0,96.0,298.0
020071409,178.0,110.0,288.0
020071410,171.0,61.0,232.0
020071411,227.0,93.0,320.0
020071412,234.0,104.0,338.0
020071413,155.0,96.0,251.0
020071501,107.0,117.0,224.0
020071502,188.0,167.0,355.0
020071503,199.0,115.0,314.0
020071504,154.0,78.0,232.0
020071505,154.0,79.0,233.0
020071506,189.0,145.0,334.0
020071507,165.0,120.0,285.0
020071508,167.0,125.0,292.0
020071509,240.0,156.0,396.0
020071510,175.0,146.0,321.0
020071511,206.0,159.0,365.0
020071601,189.0,59.0,248.0
020071602,169.0,83.0,252.0
020071603,191.0,72.0,263.0
020071604,165.0,75.0,240.0
020071605,179.0,94.0,273.0
020071606,227.0,122.0,349.0
020071607,181.0,138.0,319.0
020071608,200.0,150.0,350.0
020071609,177.0,153.0,330.0
020071701,147.0,275.0,422.0
020071702,57.0,407.0,464.0
020071703,65.0,322.0,387.0
020071704,69.0,383.0,452.0
020071705,47.0,199.0,246.0
020071706,80.0,280.0,360.0
020071707,118.0,558.0,676.0
020071708,46.0,273.0,319.0
020071709,55.0,515.0,570.0
020071710,113.0,344.0,457.0
020071711,38.0,135.0,173.0
020071801,53.0,317.0,370.0
020071802,16.0,95.0,111.0
020071803,46.0,231.0,277.0
020071804,40.0,185.0,225.0
020071805,55.0,215.0,270.0
020071806,83.0,376.0,459.0
020071807,149.0,133.0,282.0
020071808,128.0,118.0,246.0
020071809,63.0,267.0,330.0
020071810,61.0,328.0,389.0
020071811,68.0,306.0,374.0
020071901,97.0,168.0,265.0
020071902,188.0,300.0,488.0
020071903,110.0,241.0,351.0
020071904,120.0,326.0,446.0
020071905,129.0,254.0,383.0
020071906,229.0,209.0,438.0
020072001,267.0,113.0,380.0
020072002,135.0,57.0,192.0
020072003,182.0,76.0,258.0
020072004,111.0,77.0,188.0
020072005,190.0,88.0,278.0
020072006,193.0,89.0,282.0
020072007,168.0,110.0,278.0
020072008,271.0,168.0,439.0
020072009,164.0,137.0,301.0
020072010,176.0,187.0,363.0
020072011,214.0,144.0,358.0
020072012,125.0,97.0,222.0
020072013,372.0,201.0,573.0
020072101,306.0,117.0,423.0
020072102,353.0,113.0,466.0
020072103,307.0,126.0,433.0
020072104,181.0,59.0,240.0
020072105,192.0,57.0,249.0
020072106,338.0,85.0,423.0
020072107,218.0,85.0,303.0
020072108,126.0,49.0,175.0
020072109,207.0,100.0,307.0
020072110,281.0,95.0,376.0
020072111,233.0,106.0,339.0
020072112,237.0,75.0,312.0
020072201,207.0,90.0,297.0
020072202,294.0,70.0,364.0
020072203,261.0,100.0,361.0
020072204,294.0,84.0,378.0
020072205,305.0,81.0,386.0
020072206,276.0,89.0,365.0
020072207,161.0,60.0,221.0
020072208,177.0,58.0,235.0
020072209,168.0,56.0,224.0
020072210,185.0,83.0,268.0
020072211,212.0,74.0,286.0
020072212,170.0,86.0,256.0
020072213,223.0,66.0,289.0
020072301,223.0,80.0,303.0
020072302,312.0,76.0,388.0
020072303,239.0,79.0,318.0
020072304,190.0,82.0,272.0
020072305,211.0,79.0,290.0
020072306,200.0,74.0,274.0
020072307,233.0,80.0,313.0
020072308,229.0,89.0,318.0
020072309,205.0,83.0,288.0
020072401,229.0,116.0,345.0
020072402,195.0,121.0,316.0
020072403,271.0,113.0,384.0
020072404,256.0,122.0,378.0
020072405,229.0,115.0,344.0
020072406,263.0,108.0,371.0
020072407,182.0,104.0,286.0
020072408,205.0,126.0,331.0
020072409,228.0,113.0,341.0
020072410,223.0,100.0,323.0
020072411,234.0,135.0,369.0
020080101,113.0,210.0,323.0
020080102,131.0,377.0,508.0
020080103,73.0,270.0,343.0
020080104,82.0,380.0,462.0
020080105,142.0,297.0,439.0
020080106,143.0,477.0,620.0
020080107,45.0,353.0,398.0
020080108,111.0,256.0,367.0
020080109,132.0,654.0,786.0
020080110,114.0,308.0,422.0
020080111,45.0,132.0,177.0
020080112,151.0,844.0,995.0
020080201,187.0,199.0,386.0
020080202,96.0,72.0,168.0
020080203,74.0,87.0,161.0
020080204,116.0,133.0,249.0
020080205,73.0,100.0,173.0
020080206,118.0,130.0,248.0
020080207,214.0,190.0,404.0
020080208,139.0,167.0,306.0
020080209,167.0,104.0,271.0
020080210,109.0,78.0,187.0
020080301,137.0,187.0,324.0
020080302,137.0,116.0,253.0
020080303,90.0,97.0,187.0
020080304,135.0,114.0,249.0
020080305,156.0,81.0,237.0
020080306,83.0,58.0,141.0
020080307,135.0,110.0,245.0
