Código,Argentina,Otro país,Total,CO_FRACC
0200517,7899.0,778.0,8677.0,005_17
0200518,7632.0,720.0,8352.0,005_18
0200519,7950.0,914.0,8864.0,005_19
0200520,9325.0,1362.0,10687.0,005_20
0200521,7202.0,783.0,7985.0,005_21
0200522,10065.0,1353.0,11418.0,005_22
0200601,8494.0,850.0,9344.0,006_1
0200602,8803.0,704.0,9507.0,006_2
0200603,7828.0,766.0,8594.0,006_3
0200604,7839.0,684.0,8523.0,006_4
0200605,8177.0,685.0,8862.0,006_5
0200606,7973.0,544.0,8517.0,006_6
0200607,9141.0,738.0,9879.0,006_7
0200608,7507.0,630.0,8137.0,006_8
0200609,6204.0,475.0,6679.0,006_9
0200610,7235.0,630.0,7865.0,006_10
0200611,6881.0,481.0,7362.0,006_11
0200612,6931.0,616.0,7547.0,006_12
0200613,7725.0,657.0,8382.0,006_13
0200614,7794.0,613.0,8407.0,006_14
0200615,7888.0,562.0,8450.0,006_15
0200616,9820.0,700.0,10520.0,006_16
0200617,6120.0,455.0,6575.0,006_17
0200618,7019.0,523.0,7542.0,006_18
0200619,7850.0,573.0,8423.0,006_19
0200620,7080.0,562.0,7642.0,006_20
0200621,8605.0,714.0,9319.0,006_21
0200701,5672.0,1648.0,7320.0,007_1
0200702,7552.0,1385.0,8937.0,007_2
0200703,8322.0,1018.0,9340.0,007_3
0200704,8844.0,998.0,9842.0,007_4
0200705,6918.0,633.0,7551.0,007_5
0200706,6233.0,762.0,6995.0,007_6
0200707,6870.0,1059.0,7929.0,007_7
0200708,5637.0,760.0,6397.0,007_8
0200709,7094.0,633.0,7727.0,007_9
0200710,6628.0,559.0,7187.0,007_10
0200711,7927.0,689.0,8616.0,007_11
0200712,5864.0,828.0,6692.0,007_12
0200713,9107.0,770.0,9877.0,007_13
0200714,9846.0,1369.0,11215.0,007_14
0200715,8396.0,1689.0,10085.0,007_15
0200716,6557.0,1414.0,7971.0,007_16
0200717,5724.0,10123.0,15847.0,007_17
0200718,6305.0,6406.0,12711.0,007_18
0200719,5833.0,2930.0,8763.0,007_19
0200720,9977.0,2086.0,12063.0,007_20
0200721,9068.0,830.0,9898.0,007_21
0200722,9178.0,690.0,9868.0,007_22
0200723,6521.0,511.0,7032.0,007_23
0200724,9551.0,1177.0,10728.0,007_24
0200801,12800.0,8092.0,20892.0,008_1
0200802,7481.0,415.0,7896.0,008_2
0200803,7320.0,3286.0,10606.0,008_3
0200804,7674.0,1308.0,8982.0,008_4
0200805,8297.0,1049.0,9346.0,008_5
0200806,8307.0,1315.0,9622.0,008_6
0200807,12568.0,11700.0,24268.0,008_7
0200808,7868.0,1026.0,8894.0,008_8
0200809,6902.0,733.0,7635.0,008_9
0200810,11048.0,623.0,11671.0,008_10
0200811,10578.0,529.0,11107.0,008_11
0200812,5823.0,626.0,6449.0,008_12
0200813,4829.0,884.0,5713.0,008_13
0200814,9987.0,3732.0,13719.0,008_14
0200815,10632.0,7493.0,18125.0,008_15
0200816,8476.0,746.0,9222.0,008_16
0200817,2905.0,185.0,3090.0,008_17
0200901,5350.0,649.0,5999.0,009_1
0200902,9332.0,703.0,10035.0,009_2
0200903,8054.0,1272.0,9326.0,009_3
0200904,8417.0,717.0,9134.0,009_4
0200905,8844.0,794.0,9638.0,009_5
0200906,9787.0,1036.0,10823.0,009_6
0200907,9906.0,815.0,10721.0,009_7
0200908,10101.0,1166.0,11267.0,009_8
0200909,9632.0,1389.0,11021.0,009_9
0200910,8274.0,994.0,9268.0,009_10
0200911,10460.0,2123.0,12583.0,009_11
0200912,8896.0,1434.0,10330.0,009_12
0200913,5708.0,1490.0,7198.0,009_13
0200914,9367.0,4483.0,13850.0,009_14
0200915,7833.0,1660.0,9493.0,009_15
0200916,9916.0,1195.0,11111.0,009_16
0201001,5996.0,528.0,6524.0,010_1
0201002,6479.0,416.0,6895.0,010_2
0201003,5817.0,461.0,6278.0,010_3
0201004,7140.0,404.0,7544.0,010_4
0201005,10438.0,863.0,11301.0,010_5
0201006,10402.0,916.0,11318.0,010_6
0201007,10179.0,825.0,11004.0,010_7
0201008,8242.0,677.0,8919.0,010_8
0201009,7762.0,747.0,8509.0,010_9
0201010,9452.0,914.0,10366.0,010_10
0201011,7505.0,2115.0,9620.0,010_11
0201012,5964.0,1320.0,7284.0,010_12
0201013,7674.0,823.0,8497.0,010_13
0201014,7714.0,939.0,8653.0,010_14
0201015,6444.0,595.0,7039.0,010_15
0201016,7280.0,764.0,8044.0,010_16
0201017,7714.0,786.0,8500.0,010_17
0201018,8254.0,1168.0,9422.0,010_18
0201019,8589.0,1716.0,10305.0,010_19
0201101,8920.0,569.0,9489.0,011_1
0201102,8885.0,513.0,9398.0,011_2
0201103,8157.0,530.0,8687.0,011_3
0201104,9642.0,636.0,10278.0,011_4
0201105,7699.0,472.0,8171.0,011_5
0201106,8472.0,673.0,9145.0,011_6
0201107,10333.0,1020.0,11353.0,011_7
0201108,7019.0,444.0,7463.0,011_8
0201109,8291.0,470.0,8761.0,011_9
0201110,8023.0,452.0,8475.0,011_10
0201111,6902.0,680.0,7582.0,011_11
0201112,6503.0,451.0,6954.0,011_12
0201113,8274.0,602.0,8876.0,011_13
0201114,6740.0,422.0,7162.0,011_14
0201115,9039.0,848.0,9887.0,011_15
0201116,7154.0,722.0,7876.0,011_16
0201117,6422.0,807.0,7229.0,011_17
0201118,7323.0,1010.0,8333.0,011_18
0201119,6673.0,852.0,7525.0,011_19
0201120,7901.0,896.0,8797.0,011_20
0201121,8051.0,882.0,8933.0,011_21
0201122,8352.0,1106.0,9458.0,011_22
0201201,7894.0,683.0,8577.0,012_1
0201202,7000.0,527.0,7527.0,012_2
0201203,8495.0,768.0,9263.0,012_3
0201204,7540.0,504.0,8044.0,012_4
0201205,7968.0,669.0,8637.0,012_5
0201206,7726.0,521.0,8247.0,012_6
0201207,8465.0,708.0,9173.0,012_7
0201208,8871.0,560.0,9431.0,012_8
0201209,6502.0,432.0,6934.0,012_9
0201210,8893.0,669.0,9562.0,012_10
0201211,8161.0,681.0,8842.0,012_11
0201212,6328.0,481.0,6809.0,012_12
0201213,6609.0,463.0,7072.0,012_13
0201214,8551.0,622.0,9173.0,012_14
0201215,10759.0,716.0,11475.0,012_15
0201216,11666.0,792.0,12458.0,012_16
0201217,7659.0,499.0,8158.0,012_17
0201218,10355.0,725.0,11080.0,012_18
0201219,11260.0,717.0,11977.0,012_19
0201220,7527.0,501.0,8028.0,012_20
0201221,8451.0,517.0,8968.0,012_21
0201222,10060.0,621.0,10681.0,012_22
0201301,8597.0,684.0,9281.0,013_1
0201302,8351.0,629.0,8980.0,013_2
0201303,7365.0,631.0,7996.0,013_3
0201304,10011.0,884.0,10895.0,013_4
0201305,7010.0,628.0,7638.0,013_5
0201306,6536.0,623.0,7159.0,013_6
0201307,6831.0,579.0,7410.0,013_7
0201308,7141.0,660.0,7801.0,013_8
0201309,6559.0,621.0,7180.0,013_9
0201310,8095.0,926.0,9021.0,013_10
0201311,4387.0,461.0,4848.0,013_11
0201312,6723.0,672.0,7395.0,013_12
0201313,9350.0,1132.0,10482.0,013_13
0201314,6287.0,696.0,6983.0,013_14
0201315,7773.0,787.0,8560.0,013_15
0201316,8162.0,819.0,8981.0,013_16
0201317,8413.0,678.0,9091.0,013_17
0201318,7231.0,733.0,7964.0,013_18
0201319,7679.0,673.0,8352.0,013_19
0201320,7396.0,602.0,7998.0,013_20
0201321,6739.0,796.0,7535.0,013_21
0201322,6477.0,753.0,7230.0,013_22
0201323,7896.0,748.0,8644.0,013_23
0201324,7034.0,520.0,7554.0,013_24
0201325,5632.0,466.0,6098.0,013_25
0201326,7295.0,699.0,7994.0,013_26
0201327,6986.0,663.0,7649.0,013_27
0201328,5889.0,529.0,6418.0,013_28
0201329,7653.0,541.0,8194.0,013_29
0201401,8279.0,897.0,9176.0,014_1
0201402,7532.0,777.0,8309.0,014_2
0201403,8145.0,837.0,8982.0,014_3
0201404,8320.0,907.0,9227.0,014_4
0201405,7807.0,629.0,8436.0,014_5
0201406,7040.0,855.0,7895.0,014_6
0201407,6047.0,921.0,6968.0,014_7
0201408,5799.0,866.0,6665.0,014_8
0201409,10139.0,966.0,11105.0,014_9
0201410,13.0,12.0,25.0,014_10
0201411,8893.0,1332.0,10225.0,014_11
0201412,5885.0,846.0,6731.0,014_12
0201413,6700.0,1055.0,7755.0,014_13
0201414,6587.0,877.0,7464.0,014_14
0201415,6512.0,833.0,7345.0,014_15
0201416,5434.0,657.0,6091.0,014_16
0201417,5846.0,604.0,6450.0,014_17
0201418,6243.0,562.0,6805.0,014_18
0201419,4709.0,512.0,5221.0,014_19
0201420,5440.0,480.0,5920.0,014_20
0201421,5743.0,918.0,6661.0,014_21
0201422,7547.0,813.0,8360.0,014_22
0201423,7351.0,838.0,8189.0,014_23
0201424,5048.0,453.0,5501.0,014_24
0201425,5217.0,417.0,5634.0,014_25
0201426,6387.0,583.0,6970.0,014_26
0201427,5061.0,447.0,5508.0,014_27
0201428,7569.0,783.0,8352.0,014_28
0201429,6841.0,793.0,7634.0,014_29
0201430,7065.0,859.0,7924.0,014_30
0201431,7372.0,1070.0,8442.0,014_31
0201501,8900.0,592.0,9492.0,015_1
0201502,6297.0,402.0,6699.0,015_2
0201503,10245.0,877.0,11122.0,015_3
0201504,9488.0,1126.0,10614.0,015_4
0201505,9960.0,830.0,10790.0,015_5
0201506,4166.0,254.0,4420.0,015_6
0201507,9315.0,1449.0,10764.0,015_7
0201508,7907.0,1046.0,8953.0,015_8
0201509,5013.0,1677.0,6690.0,015_9
0201510,9344.0,999.0,10343.0,015_10
0201511,9633.0,1095.0,10728.0,015_11
0201512,5577.0,825.0,6402.0,015_12
0201513,5973.0,691.0,6664.0,015_13
0201514,7924.0,1028.0,8952.0,015_14
0201515,7724.0,988.0,8712.0,015_15
0201516,8137.0,810.0,8947.0,015_16
0201517,8373.0,867.0,9240.0,015_17
0201518,6746.0,689.0,7435.0,015_18
0201519,7420.0,660.0,8080.0,015_19
0201520,7690.0,856.0,8546.0,015_20
0201521,8091.0,890.0,8981.0,015_21
