Unnamed: 0,inact,ocup_viv,0_14,15_64,mas_65,hab,con_satisf,con_basica,con_insuf,serv_satisf,serv_basica,serv_insuf,nbi,hac-149,hac+150,d_subte,d_metrobus,d_ffcc,escolaridad,educ_sup,compu,nse_mex,nse_mex_cat,reach_area,COMERCIAL,INDUSTRIAL,SERVICIOS,OTROS,educ_priv,educ_pub,hospitales,esp_verde,nse_alt,RESIDENCIAL,hab_km2,reach_prop,empleo,desocup,hombres,extranjeros,AREA,area_km2,CO_FRAC_RA,DECIL
020010101,0.118055555556,0.703703703704,0.142857142857,0.824404761905,0.0327380952381,336.0,0.447368421053,0.289473684211,0.263157894737,0.894736842105,0.0263157894737,0.0789473684211,0.292307692308,0.661538461538,0.338461538462,689.758292302,1586.98067976,528.629095338,0.843137254902,0.102362204724,0.5,3.68816303059,3.0,39.5312828438,0.024861291686,0.0,0.33347422896,0.484674871096,4,3,0,0.0848042158136,5,0.156989608258,186.757596867,0.194008343848,0.652777777778,0.0358974358974,0.630952380952,0.264880952381,1799123.59999,1.79912359999,1_1_1,7.0
020010201,0.300911854103,0.905405405405,0.311715481172,0.661087866109,0.0271966527197,478.0,0.0746268656716,0.492537313433,0.432835820896,0.776119402985,0.00746268656716,0.216417910448,0.267080745342,0.565217391304,0.434782608696,1833.15475927,1961.92034501,1128.56625794,0.867647058824,0.0569105691057,0.28,2.38433799374,2.0,20.301866483,,,,,0,0,0,0.117467000118,6,,17463.5122822,0.0996358127045,0.68085106383,0.0508474576271,0.485355648536,0.175732217573,27371.3553308,0.0273713553308,1_2_1,2.0
020010202,0.347169811321,0.95,0.339152119701,0.648379052369,0.0124688279302,401.0,0.0877192982456,0.482456140351,0.429824561404,0.842105263158,0.0789473684211,0.0789473684211,0.1953125,0.421875,0.578125,1819.10019484,1912.50637734,1097.31053597,0.862595419847,0.0222222222222,0.192,1.75584606063,1.0,11.8402681331,0.0,0.0,0.0,0.0,0,0,0,0.0,6,1.0,22697.8545776,0.058108683705,0.615094339623,0.0842696629213,0.468827930175,0.254364089776,17666.8679689,0.0176668679689,1_2_2,1.0
020010203,0.334763948498,0.942307692308,0.308605341246,0.673590504451,0.0178041543027,337.0,0.0816326530612,0.438775510204,0.479591836735,0.857142857143,0.0714285714286,0.0714285714286,0.240384615385,0.442307692308,0.557692307692,1615.80501249,1768.1450433,1307.39605972,0.843137254902,0.0394736842105,0.438775510204,3.03098117676,2.0,11.7519058589,,,,,0,0,0,0.0,6,,30540.2374533,0.0576750266809,0.639484978541,0.102409638554,0.504451038576,0.157270029674,11034.622783,0.011034622783,1_2_3,3.0
020010204,0.28,0.924369747899,0.335548172757,0.64950166113,0.014950166113,602.0,0.118181818182,0.6,0.281818181818,0.927272727273,0.0454545454545,0.0272727272727,0.141104294479,0.478527607362,0.521472392638,1474.74375189,1760.02982269,1286.93422404,0.903381642512,0.00892857142857,0.432258064516,2.87287096151,2.0,20.4472291798,0.0,0.0,1.0,0.0,0,1,0,0.0,6,0.0,4380.79066044,0.100349211664,0.7275,0.0582524271845,0.493355481728,0.119601328904,137418.116194,0.137418116194,1_2_4,3.0
020010205,0.348258706468,0.987804878049,0.345276872964,0.638436482085,0.0162866449511,307.0,0.172839506173,0.506172839506,0.320987654321,0.925925925926,0.0123456790123,0.0617283950617,0.168421052632,0.484210526316,0.515789473684,1488.85351486,1684.04573383,1320.47458504,0.905263157895,0.0263157894737,0.522222222222,3.4088201828,2.0,11.6686105462,,,,,0,0,0,0.0,6,,31321.3749685,0.0572662368692,0.63184079602,0.0863309352518,0.5667752443,0.104234527687,9801.61312551,0.00980161312551,1_2_5,4.0
020010206,0.299363057325,0.966666666667,0.356557377049,0.628415300546,0.0150273224044,732.0,0.0977011494253,0.488505747126,0.413793103448,0.936781609195,0.0114942528736,0.051724137931,0.26511627907,0.381395348837,0.618604651163,1346.11988848,1595.57346903,1171.83424493,0.865853658537,0.00632911392405,0.252475247525,1.95919365544,1.0,11.5740288752,,,,,0,0,0,0.0,6,,57338.2804723,0.0568020568065,0.660297239915,0.0852941176471,0.5,0.306010928962,12766.3402873,0.0127663402873,1_2_6,1.0
020010207,0.318791946309,0.87012987013,0.319634703196,0.657534246575,0.0228310502283,438.0,0.0746268656716,0.597014925373,0.328358208955,0.850746268657,0.0,0.149253731343,0.337748344371,0.430463576159,0.569536423841,1189.98945754,1525.41581202,1003.78065607,0.962406015038,0.0421052631579,0.331034482759,2.62268991554,2.0,0.282289364149,,,,,0,0,0,0.0,6,,43999.0920474,0.00138539627568,0.661073825503,0.0707547169811,0.495433789954,0.269406392694,9954.75087367,0.00995475087367,1_2_7,2.0
020010208,0.249230769231,0.977777777778,0.331275720165,0.666666666667,0.00205761316872,486.0,0.0227272727273,0.333333333333,0.643939393939,0.893939393939,0.0151515151515,0.0909090909091,0.379310344828,0.4,0.6,1116.76033992,1461.98860987,932.584410125,0.849315068493,0.030612244898,0.191176470588,1.78930725757,1.0,0.282289364149,,,,,0,0,0,0.0,6,,54912.8586325,0.00138539627568,0.763076923077,0.03125,0.547325102881,0.56378600823,8850.3860863,0.0088503860863,1_2_8,1.0
020010209,0.269121813031,0.979797979798,0.309197651663,0.681017612524,0.00978473581213,511.0,0.103092783505,0.412371134021,0.484536082474,0.896907216495,0.0309278350515,0.0721649484536,0.346153846154,0.371794871795,0.628205128205,969.414482212,1365.3807868,783.001219423,0.923611111111,0.031746031746,0.364238410596,2.69197570985,2.0,11.3547587597,,,,,0,1,0,0.0,6,,66806.3201837,0.0557259411608,0.671388101983,0.112359550562,0.506849315068,0.375733855186,7648.97690211,0.00764897690211,1_2_9,2.0
020010210,0.312775330396,0.949152542373,0.305810397554,0.672782874618,0.0214067278287,327.0,0.0892857142857,0.660714285714,0.25,0.892857142857,0.0,0.107142857143,0.181818181818,0.409090909091,0.590909090909,1009.90176032,1421.55247949,816.408021444,0.924528301887,0.0114942528736,0.390804597701,2.70460567273,2.0,0.282289364149,,,,,0,2,0,0.0,6,,71134.0148244,0.00138539627568,0.647577092511,0.109090909091,0.443425076453,0.293577981651,4596.95689618,0.00459695689618,1_2_10,3.0
020010211,0.282511210762,0.988304093567,0.270049099836,0.716857610475,0.013093289689,611.0,0.14201183432,0.544378698225,0.313609467456,0.94674556213,0.0118343195266,0.0414201183432,0.265,0.455,0.545,996.524009501,1447.10687103,794.389481472,0.94701986755,0.0287356321839,0.357512953368,2.66121065854,2.0,6.6626687129,,,,,0,0,0,0.0,6,,54554.4338469,0.0326984916656,0.677130044843,0.0848484848485,0.504091653028,0.446808510638,11199.8229459,0.0111998229459,1_2_11,3.0
020010212,0.239766081871,0.938416422287,0.302040816327,0.688979591837,0.00897959183673,1225.0,0.190625,0.55625,0.253125,0.896875,0.00625,0.096875,0.303278688525,0.404371584699,0.595628415301,1153.11576287,1663.16269584,931.658416203,0.869318181818,0.0129032258065,0.337950138504,2.41259125098,2.0,23.5283245353,0.0,0.0,0.0,0.0,0,0,0,0.0,6,1.0,11188.1489439,0.11547035533,0.677192982456,0.0492610837438,0.519183673469,0.366530612245,109490.85556,0.10949085556,1_2_12,2.0
020010213,0.261764705882,0.975409836066,0.285714285714,0.701680672269,0.0126050420168,476.0,0.126050420168,0.436974789916,0.436974789916,0.899159663866,0.0,0.100840336134,0.228395061728,0.537037037037,0.462962962963,957.428334479,1450.8606,747.576460197,0.923611111111,0.0444444444444,0.396226415094,2.91945331923,2.0,0.282289364149,,,,,0,0,0,0.0,6,,67798.9707363,0.00138539627568,0.717647058824,0.0615384615385,0.491596638655,0.348739495798,7020.75554881,0.00702075554881,1_2_13,4.0
020010214,0.264591439689,0.988023952096,0.252906976744,0.723837209302,0.0232558139535,688.0,0.139393939394,0.472727272727,0.387878787879,0.884848484848,0.0363636363636,0.0787878787879,0.367816091954,0.486590038314,0.513409961686,847.656684859,1418.01298932,626.647917816,0.949685534591,0.039603960396,0.303278688525,2.46393233304,2.0,0.282289364149,,,,,0,0,0,0.0,6,,94738.4614725,0.00138539627568,0.719844357977,0.0561224489796,0.481104651163,0.43023255814,7262.09808885,0.00726209808885,1_2_14,2.0
020010215,0.254972875226,0.935064935065,0.269484808454,0.702774108322,0.0277410832232,757.0,0.173611111111,0.423611111111,0.402777777778,0.923611111111,0.0416666666667,0.0347222222222,0.348920863309,0.474820143885,0.525179856115,834.88947932,1373.17787895,622.120718176,0.900497512438,0.0142857142857,0.227272727273,1.91136599737,1.0,0.282289364149,,,,,0,0,0,0.0,6,,131769.278489,0.00138539627568,0.708860759494,0.0883720930233,0.498018494055,0.429326287979,5744.88992184,0.00574488992184,1_2_15,2.0
020010216,0.199288256228,0.965425531915,0.252659574468,0.734042553191,0.0132978723404,1128.0,0.123966942149,0.35261707989,0.523415977961,0.853994490358,0.0192837465565,0.126721763085,0.387387387387,0.378378378378,0.621621621622,738.673263238,1320.38635848,522.051666703,0.87969924812,0.037037037037,0.27602905569,2.26071342101,1.0,0.282289364149,,,,,0,0,0,0.213024269826,6,,79534.9735882,0.00138539627568,0.781731909846,0.0476878612717,0.505319148936,0.598404255319,14182.4401155,0.0141824401155,1_2_16,2.0
