,desocup,inact,ocup_viv,0_14,15_64,mas_65,hab,con_satisf,con_basica,con_insuf,serv_satisf,serv_basica,serv_insuf,nbi,hac-149,hac+150,terr_14,CO_FRACC,hospitales,educ_priv,educ_pub,hab_km2,d_subte,d_metrobus,d_ffcc,escolaridad,educ_sup,compu,nse_mex,nse_mex_cat,reach_area,COMERCIAL,INDUSTRIAL,SERVICIOS,OTROS,esp_verde,nse_alt,RESIDENCIAL,reach_prop,empleo,DECIL,hombres,extranjeros,AREA,area_km2
0200101,0.0358974358974,0.118055555556,0.703703703704,0.142857142857,0.824404761905,0.0327380952381,336.0,0.447368421053,0.289473684211,0.263157894737,0.894736842105,0.0263157894737,0.0789473684211,0.292307692308,0.661538461538,0.338461538462,,001_1,0,4,3,186.789619003,689.758292302,1586.98067976,528.629095338,0.843137254902,0.102362204724,0.5,0.48839508746,3.0,39.5312828438,0.024861291686,0.0,0.33347422896,0.484674871096,0.0848042158136,5.0,0.156989608258,0.194008343848,0.652777777778,7.0,0.630952380952,0.264880952381,1798815.1686,1.7988151686
0200102,0.0721422523285,0.272439148073,0.953185498064,0.298407898248,0.68611580539,0.0154762963622,11243.0,0.118537666174,0.477843426883,0.403618906942,0.884416543575,0.0273264401773,0.0882570162482,0.290628385699,0.436078006501,0.563921993499,,001_2,0,0,4,26736.1210954,1099.90156262,1512.43524663,855.473379121,0.892086068837,0.0267883681193,0.315985972914,0.318453540812,1.6396869163,7.3980638487,0.0,0.0,0.326760116027,0.0,0.0148293271967,6.0,0.302362407845,0.0363076027823,0.694599391481,2.16223427911,0.501022858668,0.365649737615,420517.24556,0.42051724556
0200103,0.0667220705212,0.239013536065,0.9295404814,0.321379136781,0.669560840569,0.00906002265006,15894.0,0.066384180791,0.305084745763,0.628531073446,0.776836158192,0.0508474576271,0.172316384181,0.348618572525,0.346891788181,0.653108211819,,001_3,0,1,7,18067.731823,1235.87629457,1456.32241319,961.214823463,0.823933435265,0.0293434029316,0.140378895376,0.200761377261,1.0,6.62029267406,0.320414996895,0.0,0.320414996895,0.0,0.00261785783251,6.79765949415,0.0,0.0324905220648,0.728815130725,1.0501447087,0.509248773122,0.643890776394,879689.833551,0.879689833551
0200104,0.033734939759,0.293582056407,0.588288288288,0.131198147791,0.650684931507,0.218116920702,10366.0,0.935987748851,0.0548238897397,0.00918836140888,0.993874425727,0.00153139356815,0.00459418070444,0.0243960208432,0.903126480341,0.0968735196589,,001_4,0,0,1,51436.693672,818.861763932,652.142275686,846.713449595,0.96410510913,0.453642263081,0.757562045554,0.933523733626,5.0,21.9793582056,0.222156169348,0.00804951673531,0.229179156176,0.0834855250154,0.0373991720668,2.3313717924,0.457129632725,0.107868467137,0.667888074617,9.86561836774,0.434497395331,0.147501447038,201529.283085,0.201529283085
0200105,0.04,0.286497890295,0.592682270648,0.124492057628,0.65773919468,0.217768747691,5414.0,0.926009986382,0.0671811166591,0.00680889695869,0.998184294144,0.000453926463913,0.00136177939174,0.00617011899515,0.919788453063,0.080211546937,,001_5,0,3,2,27295.8219133,666.628767742,354.097028655,932.75551991,0.972312137392,0.542545505289,0.790161064717,1.02292833633,5.77835241965,42.9987361728,0.308245872029,0.00212109813555,0.180162953029,0.116815770842,0.0635892376335,1.44569634281,0.392654305964,0.211025623059,0.632911392405,10.0,0.427595123753,0.12984854082,198345.373779,0.198345373779
0200106,0.0274946669827,0.25171875,0.581595092025,0.102132435466,0.650533108866,0.247334455668,7128.0,0.936708860759,0.0534458509142,0.0098452883263,0.991561181435,0.0014064697609,0.0070323488045,0.00445969125214,0.946483704974,0.0535162950257,,001_6,0,3,3,28659.4255747,326.263996199,454.058733994,412.729578945,0.970358375968,0.585202503859,0.808735459558,1.06706766965,6.0,47.1071061594,0.196149765335,0.00281278660701,0.248074941003,0.048412992681,0.01470012837,1.0,0.504549514374,0.231188339766,0.64109375,10.0,0.454405162738,0.186868686869,248713.987007,0.248713987007
0200107,0.0352112676056,0.138926888585,0.364991896272,0.0616174582798,0.780059905862,0.158322635858,7011.0,0.871669626998,0.119893428064,0.00843694493783,0.995559502664,0.0,0.0044404973357,0.0104575163399,0.870588235294,0.129411764706,,001_7,0,2,0,13607.3107199,354.090289356,601.187087806,593.080375563,0.956911130278,0.612682415832,0.738906546711,1.04188174674,5.90700328056,40.8145779203,0.191456105114,0.00533697790872,0.326549719713,0.217629516471,0.0948425686989,2.84695478534,0.259027680792,0.200306392749,0.416476668187,10.0,0.525174725431,0.439594922265,515237.738325,0.515237738325
0200108,0.0450011084017,0.243716886293,0.53386268099,0.0822840044882,0.706520383992,0.21119561152,8021.0,0.902595508895,0.0866141732283,0.0107903178769,0.993584135316,0.00145815106445,0.00495771361913,0.0117917745183,0.892436008053,0.107563991947,,001_8,0,4,0,30388.6047191,450.637049802,246.737572271,1062.81070051,0.96978990234,0.513198102773,0.758301189752,0.979942448899,5.30395212567,48.6460174876,0.294059694987,0.00290559956523,0.270878663176,0.187375937711,0.0802916985709,2.2363795038,0.244780104561,0.238740880858,0.58524656976,10.0,0.438349333001,0.206582720359,263947.623596,0.263947623596
0200109,0.0385312783318,0.166929133858,0.300116550117,0.0982442550994,0.76800929512,0.133746449781,7746.0,0.839158576052,0.120388349515,0.0404530744337,0.974433656958,0.00194174757282,0.0236245954693,0.0860643185299,0.807963246554,0.192036753446,,001_9,0,14,6,9086.08831836,223.801115502,495.025173758,853.800173993,0.926261130985,0.419097442894,0.704338302641,0.869118516559,4.74386780274,43.3233360018,0.310526563565,0.00483378063143,0.273778357074,0.167771136978,0.0607403203681,3.42835011619,0.203753603431,0.212618667117,0.607301360057,9.19623031242,0.506971340046,0.303640588691,852512.074349,0.852512074349
0200110,0.0426700464723,0.222239872915,0.400705882353,0.098266723965,0.72711645896,0.174616817075,6981.0,0.856429829712,0.127715795655,0.015854374633,0.978860833823,0.000293599530241,0.0208455666471,0.0383076043453,0.84162378502,0.15837621498,3346.69338677,001_10,0,12,4,24311.2758261,232.732078084,773.68341042,1622.56697229,0.951920278766,0.416718568969,0.755626842659,0.902868519839,5.0085947572,55.897411626,0.2949958015,0.0096240890906,0.320555469009,0.0514125914952,0.00647303187465,2.86663801748,0.323412048905,0.274328670228,0.719936457506,9.76908752328,0.454949147687,0.143102707349,287150.705292,0.287150705292
