,Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total
115,0200509,3147.0,440.0,155.0,9.0,86.0,8.0,143.0,3988.0
116,0200510,3419.0,458.0,115.0,5.0,83.0,21.0,217.0,4318.0
117,0200511,3653.0,557.0,151.0,19.0,60.0,18.0,257.0,4715.0
118,0200512,3023.0,417.0,155.0,4.0,73.0,11.0,177.0,3860.0
119,0200513,3145.0,350.0,175.0,7.0,159.0,27.0,201.0,4064.0
120,0200514,3556.0,485.0,174.0,5.0,109.0,23.0,173.0,4525.0
121,0200515,3164.0,380.0,106.0,8.0,62.0,16.0,166.0,3902.0
122,0200516,3594.0,390.0,139.0,17.0,59.0,18.0,190.0,4407.0
123,0200517,3383.0,462.0,139.0,17.0,48.0,7.0,191.0,4247.0
124,0200518,3223.0,395.0,124.0,13.0,50.0,7.0,163.0,3975.0
125,0200519,3602.0,410.0,215.0,15.0,58.0,25.0,210.0,4535.0
126,0200520,3702.0,378.0,167.0,23.0,46.0,10.0,199.0,4525.0
127,0200521,3022.0,403.0,194.0,22.0,67.0,12.0,181.0,3901.0
128,0200522,3898.0,421.0,101.0,24.0,63.0,9.0,207.0,4723.0
129,0200601,3258.0,385.0,198.0,22.0,42.0,8.0,178.0,4091.0
130,0200602,3407.0,359.0,121.0,21.0,55.0,8.0,154.0,4125.0
131,0200603,3272.0,474.0,133.0,3.0,62.0,7.0,151.0,4102.0
132,0200604,3234.0,483.0,148.0,14.0,39.0,4.0,154.0,4076.0
133,0200605,3842.0,534.0,191.0,17.0,73.0,15.0,308.0,4980.0
134,0200606,3678.0,555.0,131.0,12.0,51.0,10.0,179.0,4616.0
135,0200607,3918.0,517.0,147.0,13.0,67.0,18.0,171.0,4851.0
136,0200608,3320.0,432.0,160.0,13.0,45.0,15.0,172.0,4157.0
137,0200609,2921.0,326.0,163.0,11.0,111.0,17.0,175.0,3724.0
138,0200610,3746.0,616.0,200.0,11.0,136.0,18.0,221.0,4948.0
139,0200611,3098.0,339.0,113.0,9.0,27.0,8.0,224.0,3818.0
140,0200612,3339.0,598.0,162.0,13.0,121.0,15.0,204.0,4452.0
141,0200613,3497.0,495.0,263.0,66.0,73.0,12.0,195.0,4601.0
142,0200614,3549.0,592.0,185.0,22.0,98.0,26.0,185.0,4657.0
143,0200615,3546.0,509.0,150.0,28.0,117.0,15.0,217.0,4582.0
144,0200616,4184.0,638.0,201.0,33.0,58.0,18.0,211.0,5343.0
145,0200617,3072.0,344.0,212.0,11.0,211.0,38.0,259.0,4147.0
146,0200618,3255.0,416.0,137.0,9.0,228.0,10.0,201.0,4256.0
147,0200619,3639.0,419.0,127.0,7.0,112.0,21.0,268.0,4593.0
148,0200620,3316.0,539.0,227.0,7.0,77.0,17.0,185.0,4368.0
149,0200621,3851.0,556.0,169.0,20.0,74.0,21.0,190.0,4881.0
150,0200701,2497.0,333.0,116.0,12.0,104.0,11.0,190.0,3263.0
151,0200702,3147.0,282.0,136.0,24.0,48.0,5.0,196.0,3838.0
152,0200703,3475.0,418.0,140.0,20.0,45.0,6.0,151.0,4255.0
153,0200704,3488.0,652.0,218.0,17.0,139.0,38.0,226.0,4778.0
154,0200705,3050.0,358.0,124.0,105.0,126.0,12.0,132.0,3907.0
155,0200706,2702.0,310.0,97.0,6.0,88.0,8.0,154.0,3365.0
156,0200707,3134.0,384.0,150.0,13.0,69.0,6.0,146.0,3902.0
157,0200708,2629.0,369.0,211.0,19.0,68.0,7.0,149.0,3452.0
158,0200709,3116.0,424.0,173.0,6.0,77.0,21.0,228.0,4045.0
159,0200710,2980.0,433.0,160.0,12.0,76.0,8.0,172.0,3841.0
160,0200711,3467.0,434.0,300.0,12.0,124.0,9.0,163.0,4509.0
161,0200712,2496.0,221.0,74.0,19.0,37.0,5.0,104.0,2956.0
162,0200713,3563.0,451.0,143.0,31.0,44.0,13.0,154.0,4399.0
163,0200714,3523.0,377.0,122.0,30.0,35.0,7.0,114.0,4208.0
164,0200715,2958.0,213.0,70.0,15.0,26.0,8.0,120.0,3410.0
165,0200716,2372.0,182.0,60.0,10.0,30.0,4.0,112.0,2770.0
166,0200717,2764.0,45.0,2.0,2.0,2.0,0.0,51.0,2866.0
167,0200718,2458.0,215.0,2.0,2.0,0.0,0.0,40.0,2717.0
168,0200719,1655.0,47.0,8.0,4.0,15.0,0.0,18.0,1747.0
169,0200720,3791.0,274.0,105.0,31.0,31.0,11.0,205.0,4448.0
170,0200721,3798.0,486.0,135.0,6.0,25.0,4.0,198.0,4652.0
171,0200722,3795.0,470.0,178.0,44.0,50.0,9.0,179.0,4725.0
172,0200723,2597.0,261.0,62.0,13.0,34.0,10.0,161.0,3138.0
173,0200724,3579.0,366.0,83.0,32.0,67.0,6.0,196.0,4329.0
174,0200801,4734.0,83.0,10.0,17.0,11.0,1.0,140.0,4996.0
175,0200802,2451.0,221.0,28.0,3.0,2.0,4.0,100.0,2809.0
176,0200803,2540.0,141.0,29.0,16.0,16.0,7.0,97.0,2846.0
177,0200804,2766.0,227.0,79.0,31.0,28.0,7.0,152.0,3290.0
178,0200805,2991.0,284.0,58.0,17.0,25.0,4.0,148.0,3527.0
179,0200806,2830.0,234.0,36.0,20.0,17.0,4.0,142.0,3283.0
180,0200807,4614.0,49.0,3.0,4.0,4.0,1.0,80.0,4755.0
181,0200808,2819.0,227.0,123.0,33.0,45.0,18.0,180.0,3445.0
182,0200809,2383.0,206.0,89.0,29.0,18.0,5.0,163.0,2893.0
183,0200810,3715.0,391.0,72.0,6.0,6.0,5.0,194.0,4389.0
184,0200811,3542.0,262.0,69.0,2.0,11.0,4.0,164.0,4054.0
185,0200812,1960.0,142.0,60.0,20.0,26.0,1.0,107.0,2316.0
186,0200813,1589.0,96.0,46.0,4.0,59.0,1.0,96.0,1891.0
187,0200814,2969.0,162.0,22.0,14.0,26.0,0.0,108.0,3301.0
188,0200815,3055.0,71.0,10.0,5.0,1.0,0.0,86.0,3228.0
189,0200816,2485.0,234.0,16.0,1.0,2.0,0.0,112.0,2850.0
190,0200817,1188.0,155.0,66.0,4.0,4.0,2.0,85.0,1504.0
191,0200901,2250.0,330.0,98.0,13.0,75.0,5.0,141.0,2912.0
192,0200902,3753.0,506.0,210.0,47.0,100.0,11.0,255.0,4882.0
193,0200903,3299.0,417.0,207.0,27.0,177.0,8.0,235.0,4370.0
194,0200904,3151.0,282.0,89.0,39.0,49.0,9.0,193.0,3812.0
195,0200905,3309.0,368.0,141.0,35.0,35.0,3.0,198.0,4089.0
196,0200906,3822.0,374.0,128.0,30.0,48.0,5.0,241.0,4648.0
197,0200907,3713.0,400.0,107.0,37.0,46.0,5.0,137.0,4445.0
198,0200908,3722.0,405.0,106.0,42.0,88.0,10.0,218.0,4591.0
199,0200909,3551.0,345.0,86.0,14.0,56.0,9.0,178.0,4239.0
200,0200910,3186.0,285.0,128.0,11.0,33.0,6.0,164.0,3813.0
201,0200911,3887.0,332.0,106.0,42.0,60.0,5.0,168.0,4600.0
202,0200912,3262.0,257.0,66.0,21.0,25.0,6.0,117.0,3754.0
203,0200913,2045.0,187.0,34.0,16.0,18.0,1.0,87.0,2388.0
204,0200914,3059.0,76.0,32.0,17.0,15.0,3.0,72.0,3274.0
205,0200915,2870.0,248.0,78.0,23.0,52.0,7.0,153.0,3431.0
206,0200916,3476.0,285.0,74.0,30.0,54.0,5.0,150.0,4074.0
207,0201001,2257.0,215.0,73.0,26.0,75.0,2.0,138.0,2786.0
208,0201002,2388.0,206.0,65.0,17.0,43.0,7.0,149.0,2875.0
209,0201003,2187.0,214.0,93.0,34.0,37.0,3.0,151.0,2719.0
210,0201004,2615.0,301.0,60.0,34.0,35.0,5.0,143.0,3193.0
211,0201005,3960.0,403.0,167.0,49.0,82.0,8.0,151.0,4820.0
212,0201006,4002.0,459.0,143.0,44.0,57.0,6.0,178.0,4889.0
213,0201007,3864.0,351.0,162.0,24.0,71.0,12.0,186.0,4670.0
214,0201008,3028.0,317.0,135.0,21.0,64.0,9.0,132.0,3706.0
215,0201009,2863.0,309.0,74.0,18.0,41.0,5.0,141.0,3451.0
216,0201010,3559.0,360.0,70.0,29.0,39.0,6.0,159.0,4222.0
217,0201011,3346.0,388.0,107.0,16.0,85.0,11.0,213.0,4166.0
218,0201012,2594.0,285.0,145.0,24.0,74.0,8.0,126.0,3256.0
219,0201013,3092.0,381.0,67.0,20.0,54.0,17.0,131.0,3762.0
220,0201014,3093.0,363.0,121.0,27.0,44.0,3.0,180.0,3831.0
221,0201015,2564.0,316.0,83.0,17.0,28.0,9.0,144.0,3161.0
222,0201016,2860.0,321.0,113.0,24.0,57.0,17.0,178.0,3570.0
223,0201017,2946.0,341.0,171.0,22.0,39.0,8.0,156.0,3683.0
224,0201018,3333.0,341.0,144.0,16.0,39.0,5.0,212.0,4090.0
225,0201019,3781.0,430.0,171.0,18.0,46.0,17.0,259.0,4722.0
226,0201101,3470.0,407.0,161.0,45.0,69.0,7.0,210.0,4369.0
227,0201102,3298.0,301.0,138.0,33.0,44.0,14.0,251.0,4079.0
228,0201103,3188.0,379.0,131.0,38.0,84.0,8.0,179.0,4007.0
229,0201104,3668.0,499.0,169.0,38.0,119.0,11.0,219.0,4723.0
230,0201105,2930.0,294.0,84.0,40.0,66.0,6.0,164.0,3584.0
231,0201106,3300.0,316.0,128.0,38.0,62.0,7.0,221.0,4072.0
232,0201107,3406.0,358.0,94.0,65.0,42.0,4.0,159.0,4128.0
233,0201108,2863.0,338.0,96.0,14.0,51.0,12.0,151.0,3525.0
234,0201109,3474.0,453.0,134.0,21.0,104.0,11.0,169.0,4366.0
235,0201110,3342.0,463.0,227.0,21.0,68.0,13.0,151.0,4285.0
236,0201111,2476.0,168.0,72.0,19.0,34.0,5.0,153.0,2927.0
237,0201112,2599.0,238.0,87.0,18.0,51.0,8.0,161.0,3162.0
238,0201113,3624.0,380.0,143.0,24.0,83.0,10.0,207.0,4471.0
239,0201114,2711.0,270.0,74.0,22.0,41.0,3.0,149.0,3270.0
240,0201115,3648.0,313.0,140.0,25.0,54.0,8.0,157.0,4345.0
241,0201116,2953.0,395.0,167.0,22.0,43.0,7.0,157.0,3744.0
242,0201117,2427.0,234.0,69.0,15.0,49.0,4.0,106.0,2904.0
243,0201118,2838.0,329.0,130.0,15.0,52.0,5.0,220.0,3589.0
244,0201119,2662.0,263.0,95.0,15.0,60.0,6.0,135.0,3236.0
245,0201120,3046.0,294.0,77.0,25.0,39.0,10.0,146.0,3637.0
246,0201121,3394.0,353.0,114.0,22.0,67.0,5.0,138.0,4093.0
247,0201122,3335.0,418.0,117.0,19.0,65.0,9.0,170.0,4133.0
248,0201201,2874.0,285.0,62.0,14.0,47.0,4.0,132.0,3418.0
249,0201202,2731.0,298.0,98.0,11.0,34.0,8.0,140.0,3320.0
250,0201203,2867.0,230.0,89.0,29.0,32.0,11.0,102.0,3360.0
251,0201204,2917.0,320.0,118.0,19.0,87.0,11.0,179.0,3651.0
252,0201205,3545.0,360.0,160.0,14.0,95.0,19.0,210.0,4403.0
253,0201206,3156.0,322.0,152.0,33.0,57.0,5.0,134.0,3859.0
254,0201207,3528.0,533.0,162.0,27.0,65.0,12.0,167.0,4494.0
255,0201208,3598.0,529.0,148.0,19.0,32.0,7.0,170.0,4503.0
256,0201209,2492.0,251.0,102.0,44.0,39.0,8.0,130.0,3066.0
257,0201210,3471.0,403.0,143.0,28.0,36.0,6.0,200.0,4287.0
258,0201211,3289.0,408.0,149.0,32.0,50.0,6.0,172.0,4106.0
259,0201212,2801.0,376.0,150.0,20.0,111.0,9.0,165.0,3632.0
260,0201213,3057.0,383.0,262.0,33.0,55.0,5.0,181.0,3976.0
261,0201214,3831.0,582.0,283.0,29.0,135.0,18.0,182.0,5060.0
262,0201215,4564.0,635.0,227.0,26.0,109.0,15.0,274.0,5850.0
263,0201216,5107.0,729.0,431.0,33.0,85.0,24.0,213.0,6622.0
264,0201217,3026.0,342.0,132.0,41.0,41.0,2.0,140.0,3724.0
265,0201218,3876.0,361.0,125.0,29.0,36.0,8.0,199.0,4634.0
266,0201219,4111.0,355.0,96.0,7.0,26.0,3.0,183.0,4781.0
267,0201220,3015.0,380.0,187.0,25.0,53.0,5.0,168.0,3833.0
268,0201221,3284.0,395.0,165.0,41.0,73.0,10.0,208.0,4176.0
269,0201222,3855.0,409.0,120.0,39.0,59.0,8.0,164.0,4654.0
270,0201301,3914.0,837.0,190.0,17.0,119.0,13.0,201.0,5291.0
271,0201302,3776.0,703.0,225.0,14.0,164.0,27.0,227.0,5136.0
272,0201303,3310.0,506.0,396.0,25.0,130.0,26.0,296.0,4689.0
273,0201304,4760.0,818.0,192.0,24.0,211.0,33.0,266.0,6304.0
274,0201305,3220.0,489.0,153.0,19.0,90.0,8.0,236.0,4215.0
275,0201306,2953.0,351.0,76.0,20.0,68.0,11.0,150.0,3629.0
276,0201307,3118.0,540.0,114.0,13.0,116.0,8.0,188.0,4097.0
277,0201308,3472.0,599.0,178.0,10.0,123.0,29.0,132.0,4543.0
278,0201309,3124.0,440.0,134.0,12.0,177.0,25.0,237.0,4149.0
279,0201310,3942.0,823.0,226.0,17.0,179.0,31.0,221.0,5439.0
280,0201311,1682.0,190.0,100.0,22.0,68.0,13.0,135.0,2210.0
281,0201312,2854.0,452.0,157.0,25.0,59.0,18.0,192.0,3757.0
282,0201313,4295.0,764.0,233.0,22.0,165.0,37.0,248.0,5764.0
283,0201314,2931.0,413.0,134.0,9.0,208.0,30.0,221.0,3946.0
284,0201315,4075.0,648.0,168.0,12.0,309.0,31.0,250.0,5493.0
285,0201316,4257.0,716.0,245.0,5.0,189.0,23.0,240.0,5675.0
286,0201317,3894.0,612.0,243.0,52.0,70.0,20.0,237.0,5128.0
287,0201318,3089.0,444.0,129.0,22.0,69.0,25.0,215.0,3993.0
288,0201319,3416.0,602.0,116.0,27.0,65.0,15.0,187.0,4428.0
289,0201320,3682.0,644.0,174.0,3.0,326.0,41.0,315.0,5185.0
290,0201321,2993.0,454.0,156.0,15.0,179.0,15.0,192.0,4004.0
291,0201322,2805.0,525.0,111.0,39.0,106.0,28.0,157.0,3771.0
292,0201323,3931.0,664.0,180.0,10.0,271.0,25.0,286.0,5367.0
293,0201324,2974.0,420.0,99.0,27.0,94.0,9.0,117.0,3740.0
294,0201325,2421.0,298.0,50.0,11.0,46.0,15.0,116.0,2957.0
295,0201326,3137.0,344.0,156.0,22.0,124.0,17.0,170.0,3970.0
296,0201327,3464.0,593.0,184.0,14.0,220.0,17.0,193.0,4685.0
297,0201328,2946.0,487.0,173.0,6.0,149.0,18.0,161.0,3940.0
298,0201329,3297.0,405.0,90.0,13.0,83.0,12.0,228.0,4128.0
299,0201401,3665.0,608.0,150.0,15.0,167.0,36.0,170.0,4811.0
300,0201402,3557.0,653.0,189.0,11.0,246.0,37.0,223.0,4916.0
301,0201403,4116.0,878.0,316.0,15.0,250.0,47.0,270.0,5892.0
302,0201404,3927.0,639.0,185.0,12.0,181.0,45.0,289.0,5278.0
303,0201405,3542.0,516.0,145.0,12.0,85.0,19.0,199.0,4518.0
304,0201406,3542.0,648.0,244.0,32.0,109.0,25.0,274.0,4874.0
305,0201407,2693.0,480.0,285.0,91.0,204.0,24.0,167.0,3944.0
306,0201408,2943.0,788.0,233.0,25.0,122.0,19.0,144.0,4274.0
307,0201409,4776.0,1212.0,421.0,35.0,237.0,47.0,379.0,7107.0
308,0201410,6.0,11.0,0.0,0.0,1.0,0.0,2.0,20.0
309,0201411,4624.0,1173.0,399.0,24.0,285.0,85.0,425.0,7015.0
310,0201412,3150.0,713.0,268.0,10.0,138.0,33.0,222.0,4534.0
311,0201413,3206.0,515.0,317.0,25.0,149.0,23.0,225.0,4460.0
312,0201414,3490.0,682.0,267.0,10.0,146.0,71.0,268.0,4934.0
313,0201415,3376.0,662.0,287.0,9.0,158.0,48.0,218.0,4758.0
314,0201416,2620.0,567.0,134.0,12.0,202.0,50.0,195.0,3780.0
315,0201417,2750.0,577.0,123.0,16.0,247.0,47.0,208.0,3968.0
316,0201418,3033.0,595.0,176.0,32.0,151.0,74.0,194.0,4255.0
317,0201419,2562.0,546.0,132.0,34.0,133.0,57.0,143.0,3607.0
318,0201420,2826.0,465.0,132.0,9.0,171.0,52.0,248.0,3903.0
319,0201421,2835.0,535.0,148.0,25.0,202.0,27.0,157.0,3929.0
320,0201422,3408.0,596.0,177.0,19.0,127.0,31.0,168.0,4526.0
321,0201423,3719.0,847.0,196.0,11.0,130.0,37.0,225.0,5165.0
322,0201424,2635.0,571.0,204.0,5.0,79.0,62.0,120.0,3676.0
323,0201425,2827.0,488.0,224.0,15.0,161.0,54.0,163.0,3932.0
324,0201426,3174.0,600.0,134.0,14.0,239.0,45.0,190.0,4396.0
325,0201427,2741.0,721.0,220.0,15.0,243.0,49.0,180.0,4169.0
326,0201428,3717.0,806.0,167.0,6.0,315.0,72.0,195.0,5278.0
327,0201429,3487.0,792.0,297.0,13.0,366.0,52.0,327.0,5334.0
328,0201430,3462.0,871.0,236.0,25.0,230.0,93.0,250.0,5167.0
329,0201431,3143.0,833.0,203.0,65.0,174.0,56.0,328.0,4802.0
330,0201501,3472.0,383.0,108.0,23.0,52.0,4.0,148.0,4190.0
331,0201502,2429.0,216.0,75.0,15.0,32.0,0.0,150.0,2917.0
332,0201503,4025.0,418.0,138.0,33.0,74.0,19.0,191.0,4898.0
333,0201504,3808.0,556.0,156.0,26.0,102.0,6.0,192.0,4846.0
334,0201505,3730.0,447.0,127.0,29.0,67.0,9.0,197.0,4606.0
335,0201506,1663.0,220.0,54.0,4.0,34.0,0.0,87.0,2062.0
336,0201507,3365.0,258.0,94.0,22.0,53.0,10.0,148.0,3950.0
337,0201508,3078.0,305.0,103.0,25.0,113.0,9.0,170.0,3803.0
338,0201509,2145.0,257.0,70.0,12.0,60.0,7.0,85.0,2636.0
339,0201510,3949.0,580.0,142.0,20.0,135.0,18.0,204.0,5048.0
