,Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total
2767,020130503,199.0,103.0,169.0,22.0,34.0,3.0,530.0
2768,020130504,163.0,86.0,168.0,18.0,42.0,1.0,478.0
2769,020130505,113.0,108.0,109.0,11.0,16.0,2.0,359.0
2770,020130506,167.0,81.0,140.0,28.0,18.0,3.0,437.0
2771,020130507,114.0,73.0,98.0,21.0,19.0,2.0,327.0
2772,020130508,148.0,77.0,164.0,13.0,15.0,0.0,417.0
2773,020130601,101.0,86.0,83.0,9.0,4.0,0.0,283.0
2774,020130602,134.0,113.0,143.0,18.0,16.0,1.0,425.0
2775,020130603,131.0,88.0,111.0,12.0,22.0,4.0,368.0
2776,020130604,140.0,80.0,145.0,18.0,29.0,7.0,419.0
2777,020130605,145.0,74.0,176.0,26.0,32.0,1.0,454.0
2778,020130606,171.0,66.0,103.0,18.0,10.0,0.0,368.0
2779,020130607,146.0,80.0,137.0,7.0,42.0,13.0,425.0
2780,020130608,109.0,88.0,95.0,10.0,32.0,5.0,339.0
2781,020130701,79.0,73.0,86.0,17.0,15.0,1.0,271.0
2782,020130702,82.0,50.0,68.0,12.0,9.0,0.0,221.0
2783,020130703,159.0,98.0,162.0,21.0,15.0,2.0,457.0
2784,020130704,139.0,73.0,104.0,14.0,13.0,1.0,344.0
2785,020130705,175.0,99.0,156.0,26.0,19.0,1.0,476.0
2786,020130706,151.0,93.0,107.0,12.0,17.0,1.0,381.0
2787,020130707,117.0,85.0,119.0,12.0,13.0,0.0,346.0
2788,020130708,127.0,67.0,88.0,13.0,13.0,1.0,309.0
2789,020130709,132.0,80.0,125.0,21.0,14.0,1.0,373.0
2790,020130801,122.0,61.0,105.0,10.0,13.0,3.0,314.0
2791,020130802,84.0,38.0,119.0,6.0,27.0,1.0,275.0
2792,020130803,157.0,91.0,119.0,20.0,23.0,1.0,411.0
2793,020130804,131.0,71.0,134.0,28.0,21.0,3.0,388.0
2794,020130805,171.0,77.0,162.0,14.0,27.0,1.0,452.0
2795,020130806,114.0,77.0,79.0,15.0,9.0,1.0,295.0
2796,020130807,146.0,84.0,100.0,16.0,16.0,2.0,364.0
2797,020130808,138.0,105.0,147.0,20.0,23.0,6.0,439.0
2798,020130809,127.0,72.0,96.0,13.0,17.0,1.0,326.0
2799,020130810,102.0,74.0,94.0,9.0,12.0,1.0,292.0
2800,020130901,98.0,61.0,99.0,8.0,19.0,2.0,287.0
2801,020130902,115.0,53.0,102.0,14.0,18.0,1.0,303.0
2802,020130903,95.0,65.0,73.0,6.0,8.0,0.0,247.0
2803,020130904,134.0,45.0,90.0,12.0,12.0,0.0,293.0
2804,020130905,195.0,126.0,137.0,16.0,14.0,0.0,488.0
2805,020130906,126.0,66.0,104.0,9.0,14.0,1.0,320.0
2806,020130907,127.0,75.0,69.0,14.0,10.0,1.0,296.0
2807,020130908,138.0,83.0,100.0,9.0,13.0,1.0,344.0
2808,020130909,175.0,96.0,76.0,10.0,6.0,0.0,363.0
2809,020130910,86.0,60.0,71.0,11.0,10.0,1.0,239.0
2810,020131001,121.0,74.0,179.0,10.0,30.0,1.0,415.0
2811,020131002,139.0,87.0,142.0,20.0,15.0,1.0,404.0
2812,020131003,133.0,76.0,166.0,27.0,23.0,2.0,427.0
2813,020131004,146.0,104.0,141.0,16.0,10.0,0.0,417.0
2814,020131005,75.0,53.0,87.0,9.0,26.0,2.0,252.0
2815,020131006,135.0,86.0,133.0,15.0,19.0,0.0,388.0
2816,020131007,130.0,69.0,89.0,13.0,18.0,2.0,321.0
2817,020131008,238.0,79.0,91.0,13.0,9.0,2.0,432.0
2818,020131009,131.0,59.0,111.0,7.0,16.0,1.0,325.0
2819,020131010,156.0,61.0,133.0,22.0,45.0,7.0,424.0
2820,020131011,101.0,32.0,130.0,6.0,40.0,5.0,314.0
2821,020131101,72.0,62.0,31.0,5.0,2.0,0.0,172.0
2822,020131102,94.0,101.0,41.0,4.0,1.0,0.0,241.0
2823,020131103,81.0,74.0,42.0,9.0,1.0,0.0,207.0
2824,020131104,86.0,57.0,70.0,9.0,7.0,0.0,229.0
2825,020131105,91.0,68.0,52.0,6.0,5.0,0.0,222.0
2826,020131106,169.0,112.0,99.0,15.0,12.0,1.0,408.0
2827,020131107,89.0,82.0,77.0,5.0,29.0,2.0,284.0
2828,020131201,113.0,73.0,73.0,9.0,9.0,0.0,277.0
2829,020131202,123.0,89.0,94.0,2.0,11.0,1.0,320.0
2830,020131203,70.0,49.0,96.0,8.0,13.0,1.0,237.0
2831,020131204,160.0,98.0,86.0,5.0,3.0,0.0,352.0
2832,020131205,84.0,76.0,55.0,2.0,1.0,0.0,218.0
2833,020131206,87.0,48.0,87.0,6.0,10.0,2.0,240.0
2834,020131207,118.0,66.0,122.0,18.0,15.0,2.0,341.0
2835,020131208,125.0,68.0,77.0,7.0,5.0,0.0,282.0
2836,020131209,147.0,79.0,129.0,15.0,13.0,1.0,384.0
2837,020131210,85.0,86.0,69.0,5.0,4.0,0.0,249.0
2838,020131301,198.0,108.0,52.0,6.0,11.0,1.0,376.0
2839,020131302,65.0,19.0,51.0,11.0,8.0,1.0,155.0
2840,020131303,108.0,57.0,113.0,18.0,24.0,2.0,322.0
2841,020131304,163.0,82.0,118.0,16.0,15.0,0.0,394.0
2842,020131305,172.0,75.0,131.0,22.0,11.0,0.0,411.0
2843,020131306,52.0,34.0,39.0,2.0,4.0,1.0,132.0
2844,020131307,138.0,51.0,91.0,17.0,7.0,1.0,305.0
