,Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total
2845,020131308,119.0,75.0,44.0,6.0,5.0,0.0,249.0
2846,020131309,167.0,76.0,35.0,4.0,4.0,1.0,287.0
2847,020131310,188.0,88.0,66.0,10.0,6.0,0.0,358.0
2848,020131311,88.0,84.0,34.0,4.0,5.0,0.0,215.0
2849,020131312,168.0,90.0,61.0,5.0,3.0,0.0,327.0
2850,020131313,252.0,129.0,149.0,17.0,7.0,2.0,556.0
2851,020131314,155.0,61.0,99.0,12.0,19.0,2.0,348.0
2852,020131401,157.0,90.0,76.0,6.0,10.0,2.0,341.0
2853,020131402,82.0,41.0,31.0,5.0,3.0,0.0,162.0
2854,020131403,186.0,69.0,88.0,11.0,12.0,1.0,367.0
2855,020131404,143.0,68.0,64.0,7.0,8.0,1.0,291.0
2856,020131405,103.0,57.0,49.0,9.0,10.0,0.0,228.0
2857,020131406,190.0,93.0,57.0,10.0,8.0,1.0,359.0
2858,020131407,78.0,43.0,36.0,2.0,5.0,1.0,165.0
2859,020131408,123.0,56.0,62.0,7.0,5.0,1.0,254.0
2860,020131409,119.0,69.0,42.0,3.0,4.0,1.0,238.0
2861,020131410,139.0,76.0,70.0,5.0,7.0,1.0,298.0
2862,020131411,121.0,90.0,59.0,6.0,4.0,4.0,284.0
2863,020131501,146.0,67.0,97.0,25.0,13.0,2.0,350.0
2864,020131502,177.0,81.0,88.0,6.0,8.0,0.0,360.0
2865,020131503,153.0,78.0,98.0,11.0,7.0,2.0,349.0
2866,020131504,79.0,37.0,66.0,6.0,11.0,0.0,199.0
2867,020131505,160.0,66.0,118.0,18.0,27.0,2.0,391.0
2868,020131506,138.0,63.0,68.0,7.0,4.0,1.0,281.0
2869,020131507,160.0,91.0,112.0,11.0,9.0,0.0,383.0
2870,020131508,178.0,59.0,108.0,13.0,13.0,1.0,372.0
2871,020131509,165.0,90.0,126.0,13.0,20.0,2.0,416.0
2872,020131510,162.0,43.0,92.0,15.0,17.0,2.0,331.0
2873,020131511,128.0,54.0,132.0,12.0,36.0,7.0,369.0
2874,020131512,123.0,59.0,114.0,19.0,12.0,1.0,328.0
2875,020131601,137.0,91.0,127.0,13.0,22.0,2.0,392.0
2876,020131602,184.0,84.0,125.0,21.0,16.0,0.0,430.0
2877,020131603,91.0,32.0,93.0,10.0,23.0,3.0,252.0
2878,020131604,141.0,60.0,133.0,12.0,22.0,0.0,368.0
2879,020131605,96.0,35.0,85.0,15.0,18.0,3.0,252.0
2880,020131606,49.0,29.0,67.0,12.0,25.0,1.0,183.0
2881,020131607,144.0,90.0,112.0,6.0,17.0,0.0,369.0
2882,020131608,193.0,65.0,77.0,7.0,10.0,0.0,352.0
2883,020131609,154.0,65.0,128.0,17.0,15.0,1.0,380.0
2884,020131610,137.0,75.0,136.0,21.0,20.0,2.0,391.0
2885,020131611,168.0,64.0,115.0,20.0,12.0,2.0,381.0
2886,020131612,130.0,66.0,108.0,9.0,26.0,8.0,347.0
2887,020131613,90.0,58.0,63.0,8.0,4.0,0.0,223.0
2888,020131701,152.0,104.0,173.0,22.0,23.0,2.0,476.0
2889,020131702,152.0,111.0,174.0,9.0,22.0,4.0,472.0
2890,020131703,163.0,84.0,103.0,20.0,17.0,2.0,389.0
2891,020131704,93.0,52.0,78.0,12.0,10.0,2.0,247.0
2892,020131705,149.0,50.0,110.0,18.0,17.0,1.0,345.0
2893,020131706,177.0,78.0,87.0,9.0,9.0,0.0,360.0
2894,020131707,169.0,83.0,116.0,6.0,12.0,0.0,386.0
2895,020131708,125.0,83.0,79.0,15.0,12.0,2.0,316.0
2896,020131709,148.0,83.0,129.0,12.0,29.0,2.0,403.0
2897,020131710,144.0,127.0,106.0,11.0,10.0,0.0,398.0
2898,020131711,99.0,74.0,61.0,6.0,7.0,0.0,247.0
2899,020131801,108.0,78.0,108.0,21.0,19.0,0.0,334.0
2900,020131802,123.0,58.0,173.0,21.0,27.0,5.0,407.0
2901,020131803,140.0,90.0,138.0,14.0,14.0,1.0,397.0
2902,020131804,133.0,76.0,66.0,9.0,10.0,0.0,294.0
2903,020131805,130.0,85.0,62.0,2.0,3.0,0.0,282.0
2904,020131806,108.0,102.0,80.0,9.0,2.0,1.0,302.0
2905,020131807,157.0,119.0,92.0,10.0,4.0,1.0,383.0
2906,020131808,140.0,76.0,53.0,5.0,6.0,0.0,280.0
2907,020131809,90.0,43.0,29.0,6.0,2.0,0.0,170.0
2908,020131810,139.0,72.0,48.0,4.0,8.0,3.0,274.0
2909,020131901,162.0,74.0,81.0,10.0,8.0,5.0,340.0
2910,020131902,161.0,118.0,100.0,8.0,9.0,1.0,397.0
2911,020131903,119.0,70.0,88.0,5.0,12.0,1.0,295.0
2912,020131904,99.0,58.0,51.0,9.0,10.0,0.0,227.0
2913,020131905,170.0,95.0,84.0,9.0,8.0,0.0,366.0
2914,020131906,116.0,53.0,46.0,0.0,0.0,0.0,215.0
2915,020131907,83.0,66.0,82.0,5.0,18.0,3.0,257.0
2916,020131908,161.0,75.0,77.0,6.0,10.0,0.0,329.0
2917,020131909,151.0,61.0,103.0,9.0,8.0,0.0,332.0
2918,020131910,126.0,60.0,100.0,9.0,15.0,2.0,312.0
2919,020131911,84.0,35.0,61.0,7.0,6.0,0.0,193.0
2920,020131912,121.0,75.0,57.0,8.0,5.0,2.0,268.0
2921,020132001,147.0,65.0,81.0,6.0,2.0,0.0,301.0
2922,020132002,169.0,97.0,106.0,12.0,10.0,0.0,394.0
2923,020132003,71.0,46.0,48.0,4.0,6.0,0.0,175.0
2924,020132004,147.0,72.0,77.0,7.0,12.0,1.0,316.0
2925,020132005,140.0,46.0,99.0,12.0,14.0,1.0,312.0
2926,020132006,189.0,69.0,129.0,13.0,26.0,2.0,428.0
2927,020132007,178.0,72.0,98.0,10.0,13.0,1.0,372.0
2928,020132008,152.0,76.0,122.0,16.0,19.0,1.0,386.0
2929,020132009,97.0,48.0,93.0,8.0,10.0,2.0,258.0
2930,020132010,121.0,65.0,67.0,5.0,12.0,2.0,272.0
2931,020132011,105.0,65.0,75.0,7.0,5.0,4.0,261.0
2932,020132012,113.0,58.0,89.0,8.0,8.0,1.0,277.0
2933,020132101,109.0,62.0,57.0,7.0,7.0,2.0,244.0
2934,020132102,76.0,36.0,30.0,4.0,3.0,0.0,149.0
2935,020132103,132.0,50.0,43.0,4.0,4.0,0.0,233.0
2936,020132104,164.0,95.0,48.0,6.0,6.0,0.0,319.0
2937,020132105,128.0,80.0,67.0,5.0,9.0,2.0,291.0
2938,020132106,148.0,85.0,67.0,7.0,3.0,2.0,312.0
2939,020132107,207.0,124.0,101.0,8.0,10.0,0.0,450.0
2940,020132108,179.0,84.0,71.0,5.0,6.0,0.0,345.0
2941,020132109,165.0,78.0,84.0,13.0,19.0,1.0,360.0
2942,020132110,189.0,102.0,45.0,2.0,4.0,0.0,342.0
2943,020132201,120.0,64.0,58.0,5.0,3.0,1.0,251.0
2944,020132202,95.0,47.0,67.0,4.0,8.0,0.0,221.0
2945,020132203,109.0,53.0,47.0,4.0,9.0,0.0,222.0
2946,020132204,160.0,87.0,60.0,9.0,10.0,1.0,327.0
2947,020132205,194.0,136.0,50.0,5.0,9.0,0.0,394.0
2948,020132206,178.0,120.0,79.0,8.0,6.0,0.0,391.0
2949,020132207,229.0,110.0,87.0,12.0,16.0,1.0,455.0
2950,020132208,218.0,73.0,61.0,16.0,8.0,1.0,377.0
2951,020132209,91.0,57.0,57.0,5.0,8.0,2.0,220.0
2952,020132301,228.0,97.0,170.0,20.0,28.0,2.0,545.0
2953,020132302,121.0,48.0,81.0,6.0,12.0,2.0,270.0
2954,020132303,254.0,123.0,132.0,16.0,13.0,0.0,538.0
2955,020132304,138.0,64.0,75.0,9.0,8.0,0.0,294.0
2956,020132305,93.0,46.0,74.0,12.0,10.0,1.0,236.0
2957,020132306,179.0,91.0,73.0,13.0,10.0,2.0,368.0
2958,020132307,121.0,57.0,57.0,8.0,13.0,1.0,257.0
2959,020132308,223.0,82.0,164.0,23.0,13.0,0.0,505.0
2960,020132309,154.0,107.0,130.0,13.0,22.0,3.0,429.0
2961,020132310,93.0,55.0,72.0,5.0,17.0,1.0,243.0
2962,020132311,206.0,61.0,129.0,14.0,11.0,3.0,424.0
2963,020132401,76.0,65.0,48.0,6.0,3.0,0.0,198.0
2964,020132402,131.0,58.0,49.0,8.0,6.0,0.0,252.0
2965,020132403,108.0,73.0,70.0,9.0,18.0,5.0,283.0
2966,020132404,161.0,83.0,105.0,7.0,7.0,1.0,364.0
2967,020132405,110.0,79.0,83.0,9.0,5.0,0.0,286.0
2968,020132406,119.0,55.0,117.0,9.0,17.0,1.0,318.0
2969,020132407,139.0,88.0,114.0,11.0,12.0,3.0,367.0
2970,020132408,124.0,97.0,100.0,3.0,13.0,2.0,339.0
2971,020132409,118.0,111.0,123.0,11.0,18.0,0.0,381.0
2972,020132410,90.0,83.0,88.0,6.0,15.0,1.0,283.0
2973,020132501,118.0,61.0,69.0,4.0,10.0,0.0,262.0
2974,020132502,102.0,65.0,87.0,12.0,13.0,0.0,279.0
2975,020132503,155.0,79.0,113.0,19.0,26.0,0.0,392.0
2976,020132504,100.0,73.0,81.0,7.0,8.0,0.0,269.0
2977,020132505,84.0,64.0,61.0,6.0,6.0,0.0,221.0
2978,020132506,104.0,69.0,86.0,4.0,10.0,1.0,274.0
2979,020132507,163.0,139.0,175.0,17.0,9.0,1.0,504.0
2980,020132508,129.0,57.0,136.0,14.0,26.0,2.0,364.0
2981,020132601,100.0,67.0,107.0,12.0,27.0,3.0,316.0
2982,020132602,110.0,79.0,105.0,12.0,17.0,2.0,325.0
2983,020132603,119.0,52.0,92.0,9.0,14.0,2.0,288.0
2984,020132604,140.0,79.0,155.0,21.0,18.0,6.0,419.0
2985,020132605,114.0,80.0,96.0,9.0,16.0,2.0,317.0
2986,020132606,89.0,64.0,90.0,10.0,11.0,1.0,265.0
2987,020132607,63.0,51.0,65.0,6.0,3.0,1.0,189.0
2988,020132608,86.0,30.0,68.0,10.0,18.0,2.0,214.0
2989,020132609,68.0,43.0,72.0,7.0,11.0,1.0,202.0
2990,020132610,172.0,73.0,146.0,25.0,20.0,0.0,436.0
2991,020132611,97.0,48.0,98.0,20.0,17.0,1.0,281.0
2992,020132701,80.0,49.0,38.0,3.0,3.0,2.0,175.0
2993,020132702,171.0,91.0,110.0,12.0,14.0,1.0,399.0
2994,020132703,205.0,77.0,113.0,26.0,15.0,4.0,440.0
2995,020132704,149.0,70.0,127.0,15.0,22.0,4.0,387.0
2996,020132705,134.0,75.0,77.0,9.0,15.0,1.0,311.0
2997,020132706,208.0,109.0,162.0,9.0,38.0,3.0,529.0
2998,020132707,184.0,101.0,157.0,17.0,34.0,4.0,497.0
2999,020132708,161.0,78.0,99.0,9.0,20.0,1.0,368.0
3000,020132709,164.0,95.0,124.0,10.0,14.0,0.0,407.0
3001,020132801,82.0,27.0,101.0,9.0,42.0,7.0,268.0
3002,020132802,83.0,41.0,71.0,5.0,13.0,0.0,213.0
3003,020132803,125.0,66.0,92.0,10.0,22.0,3.0,318.0
3004,020132804,79.0,34.0,66.0,9.0,13.0,0.0,201.0
3005,020132805,80.0,60.0,47.0,12.0,16.0,2.0,217.0
3006,020132806,128.0,113.0,91.0,11.0,13.0,0.0,356.0
3007,020132807,135.0,83.0,94.0,5.0,11.0,1.0,329.0
3008,020132808,207.0,97.0,111.0,18.0,18.0,0.0,451.0
3009,020132809,154.0,73.0,130.0,14.0,21.0,1.0,393.0
3010,020132810,112.0,73.0,69.0,8.0,11.0,0.0,273.0
3011,020132901,88.0,63.0,81.0,10.0,27.0,5.0,274.0
3012,020132902,62.0,44.0,117.0,9.0,48.0,1.0,281.0
3013,020132903,83.0,40.0,92.0,15.0,17.0,0.0,247.0
3014,020132904,132.0,75.0,132.0,19.0,23.0,1.0,382.0
3015,020132905,111.0,50.0,96.0,8.0,15.0,0.0,280.0
3016,020132906,125.0,89.0,94.0,12.0,8.0,2.0,330.0
3017,020132907,105.0,77.0,126.0,13.0,32.0,2.0,355.0
3018,020132908,152.0,101.0,138.0,17.0,11.0,1.0,420.0
3019,020132909,57.0,51.0,75.0,13.0,11.0,1.0,208.0
3020,020132910,72.0,68.0,94.0,14.0,9.0,1.0,258.0
3021,020132911,108.0,50.0,122.0,19.0,27.0,1.0,327.0
3022,020140101,94.0,47.0,59.0,6.0,4.0,0.0,210.0
3023,020140102,99.0,59.0,57.0,8.0,24.0,8.0,255.0
3024,020140103,198.0,70.0,106.0,15.0,9.0,2.0,400.0
3025,020140104,163.0,99.0,82.0,12.0,6.0,0.0,362.0
3026,020140105,235.0,135.0,169.0,17.0,25.0,4.0,585.0
3027,020140106,216.0,109.0,89.0,19.0,13.0,0.0,446.0
3028,020140107,156.0,107.0,80.0,9.0,14.0,1.0,367.0
3029,020140108,144.0,80.0,56.0,8.0,11.0,0.0,299.0
3030,020140109,187.0,134.0,59.0,10.0,8.0,0.0,398.0
3031,020140110,209.0,143.0,83.0,6.0,19.0,2.0,462.0
3032,020140201,263.0,122.0,92.0,12.0,15.0,1.0,505.0
3033,020140202,110.0,48.0,83.0,11.0,19.0,0.0,271.0
3034,020140203,175.0,94.0,66.0,7.0,7.0,0.0,349.0
3035,020140204,140.0,73.0,83.0,10.0,12.0,2.0,320.0
3036,020140205,142.0,60.0,110.0,14.0,14.0,0.0,340.0
3037,020140206,101.0,70.0,74.0,8.0,13.0,2.0,268.0
3038,020140207,152.0,83.0,69.0,5.0,6.0,2.0,317.0
3039,020140208,199.0,94.0,82.0,9.0,17.0,1.0,402.0
3040,020140209,191.0,101.0,71.0,9.0,7.0,1.0,380.0
3041,020140210,196.0,107.0,143.0,9.0,17.0,2.0,474.0
3042,020140301,353.0,169.0,191.0,20.0,22.0,3.0,758.0
3043,020140302,89.0,50.0,66.0,8.0,13.0,0.0,226.0
3044,020140303,124.0,28.0,58.0,8.0,7.0,1.0,226.0
3045,020140304,117.0,80.0,74.0,9.0,16.0,1.0,297.0
3046,020140305,213.0,97.0,76.0,13.0,8.0,0.0,407.0
3047,020140306,68.0,50.0,37.0,2.0,7.0,0.0,164.0
3048,020140307,156.0,48.0,77.0,7.0,9.0,0.0,297.0
3049,020140308,196.0,84.0,110.0,17.0,23.0,0.0,430.0
3050,020140309,197.0,75.0,151.0,18.0,15.0,0.0,456.0
3051,020140310,135.0,66.0,85.0,6.0,14.0,2.0,308.0
3052,020140311,135.0,72.0,114.0,9.0,15.0,2.0,347.0
3053,020140312,120.0,60.0,92.0,7.0,25.0,1.0,305.0
3054,020140401,185.0,85.0,120.0,5.0,15.0,3.0,413.0
3055,020140402,97.0,69.0,38.0,7.0,8.0,1.0,220.0
3056,020140403,92.0,64.0,47.0,7.0,7.0,1.0,218.0
3057,020140404,134.0,79.0,64.0,8.0,7.0,1.0,293.0
3058,020140405,174.0,87.0,104.0,7.0,11.0,1.0,384.0
3059,020140406,192.0,80.0,150.0,15.0,17.0,0.0,454.0
3060,020140407,182.0,78.0,145.0,14.0,13.0,0.0,432.0
3061,020140408,216.0,94.0,148.0,12.0,9.0,3.0,482.0
3062,020140409,166.0,80.0,153.0,17.0,17.0,0.0,433.0
3063,020140410,316.0,116.0,215.0,17.0,30.0,3.0,697.0
3064,020140501,119.0,66.0,126.0,25.0,20.0,1.0,357.0
3065,020140502,73.0,121.0,153.0,16.0,7.0,0.0,370.0
3066,020140503,160.0,86.0,133.0,11.0,20.0,2.0,412.0
3067,020140504,119.0,51.0,80.0,10.0,21.0,3.0,284.0
3068,020140505,214.0,74.0,167.0,19.0,31.0,2.0,507.0
3069,020140506,93.0,47.0,104.0,17.0,15.0,1.0,277.0
3070,020140507,72.0,52.0,79.0,11.0,22.0,0.0,236.0
3071,020140508,71.0,44.0,55.0,7.0,13.0,0.0,190.0
3072,020140509,168.0,146.0,164.0,12.0,10.0,2.0,502.0
3073,020140510,213.0,119.0,175.0,21.0,16.0,2.0,546.0
3074,020140601,188.0,86.0,200.0,11.0,26.0,1.0,512.0
3075,020140602,128.0,75.0,161.0,8.0,26.0,3.0,401.0
3076,020140603,118.0,107.0,124.0,14.0,16.0,1.0,380.0
3077,020140604,124.0,51.0,142.0,13.0,26.0,5.0,361.0
3078,020140605,150.0,60.0,121.0,21.0,28.0,7.0,387.0
3079,020140606,160.0,86.0,190.0,10.0,55.0,10.0,511.0
3080,020140607,137.0,73.0,106.0,17.0,25.0,1.0,359.0
3081,020140608,74.0,45.0,101.0,7.0,26.0,0.0,253.0
3082,020140609,185.0,71.0,111.0,12.0,21.0,2.0,402.0
3083,020140610,93.0,32.0,63.0,14.0,9.0,2.0,213.0
3084,020140701,94.0,51.0,145.0,18.0,59.0,8.0,375.0
3085,020140702,140.0,76.0,127.0,24.0,39.0,5.0,411.0
3086,020140703,80.0,81.0,90.0,17.0,20.0,1.0,289.0
3087,020140704,121.0,93.0,159.0,19.0,9.0,1.0,402.0
3088,020140705,66.0,69.0,84.0,18.0,22.0,1.0,260.0
3089,020140706,97.0,84.0,92.0,14.0,13.0,1.0,301.0
3090,020140707,74.0,59.0,72.0,17.0,16.0,2.0,240.0
3091,020140708,77.0,43.0,92.0,14.0,11.0,2.0,239.0
3092,020140709,91.0,43.0,92.0,17.0,29.0,3.0,275.0
3093,020140801,145.0,95.0,106.0,10.0,10.0,0.0,366.0
3094,020140802,123.0,66.0,84.0,6.0,10.0,1.0,290.0
3095,020140803,59.0,34.0,53.0,7.0,13.0,3.0,169.0
3096,020140804,83.0,21.0,98.0,9.0,32.0,2.0,245.0
3097,020140805,179.0,75.0,174.0,24.0,27.0,3.0,482.0
3098,020140806,149.0,90.0,158.0,16.0,55.0,1.0,469.0
3099,020140807,104.0,43.0,110.0,16.0,25.0,3.0,301.0
3100,020140808,113.0,67.0,81.0,15.0,24.0,6.0,306.0
3101,020140809,161.0,91.0,162.0,17.0,39.0,6.0,476.0
3102,020140901,160.0,122.0,169.0,14.0,24.0,2.0,491.0
3103,020140902,74.0,89.0,110.0,18.0,10.0,2.0,303.0
3104,020140903,231.0,89.0,165.0,21.0,18.0,1.0,525.0
3105,020140904,169.0,101.0,207.0,17.0,40.0,3.0,537.0
3106,020140905,80.0,28.0,62.0,11.0,15.0,2.0,198.0
3107,020140906,123.0,75.0,73.0,7.0,17.0,1.0,296.0
3108,020140907,107.0,69.0,69.0,7.0,12.0,0.0,264.0
3109,020140908,149.0,69.0,124.0,9.0,38.0,2.0,391.0
3110,020140909,148.0,84.0,103.0,9.0,16.0,3.0,363.0
3111,020140910,191.0,76.0,158.0,17.0,18.0,2.0,462.0
3112,020140911,144.0,74.0,134.0,16.0,27.0,0.0,395.0
3113,020140912,165.0,94.0,125.0,17.0,17.0,0.0,418.0
3114,020140913,183.0,65.0,88.0,7.0,6.0,0.0,349.0
3115,020141001,0.0,0.0,1.0,1.0,4.0,0.0,6.0
3116,020141101,103.0,79.0,85.0,4.0,11.0,2.0,284.0
3117,020141102,200.0,82.0,145.0,14.0,25.0,2.0,468.0
3118,020141103,115.0,56.0,57.0,4.0,5.0,0.0,237.0
3119,020141104,137.0,77.0,50.0,5.0,10.0,0.0,279.0
3120,020141105,182.0,84.0,89.0,11.0,12.0,1.0,379.0
3121,020141106,154.0,104.0,75.0,2.0,16.0,2.0,353.0
3122,020141107,100.0,43.0,97.0,10.0,16.0,1.0,267.0
3123,020141108,209.0,120.0,159.0,15.0,26.0,0.0,529.0
3124,020141109,135.0,24.0,182.0,18.0,44.0,9.0,412.0
3125,020141110,79.0,18.0,84.0,7.0,20.0,0.0,208.0
3126,020141111,129.0,19.0,119.0,9.0,35.0,5.0,316.0
3127,020141112,121.0,56.0,139.0,9.0,37.0,0.0,362.0
3128,020141113,224.0,63.0,91.0,14.0,7.0,0.0,399.0
3129,020141114,120.0,47.0,44.0,7.0,11.0,2.0,231.0
3130,020141201,98.0,36.0,69.0,5.0,21.0,1.0,230.0
3131,020141202,109.0,40.0,144.0,19.0,61.0,9.0,382.0
3132,020141203,93.0,39.0,143.0,21.0,31.0,2.0,329.0
3133,020141204,107.0,53.0,129.0,15.0,32.0,8.0,344.0
3134,020141205,163.0,72.0,110.0,21.0,13.0,1.0,380.0
3135,020141206,97.0,50.0,83.0,10.0,19.0,5.0,264.0
3136,020141207,62.0,31.0,39.0,4.0,8.0,1.0,145.0
3137,020141208,101.0,28.0,43.0,8.0,8.0,0.0,188.0
3138,020141209,95.0,30.0,137.0,7.0,52.0,6.0,327.0
3139,020141210,128.0,88.0,96.0,13.0,26.0,1.0,352.0
3140,020141211,108.0,36.0,83.0,15.0,26.0,6.0,274.0
3141,020141301,92.0,31.0,91.0,17.0,30.0,6.0,267.0
3142,020141302,101.0,52.0,112.0,10.0,34.0,4.0,313.0
3143,020141303,156.0,40.0,156.0,22.0,29.0,3.0,406.0
3144,020141304,87.0,44.0,87.0,4.0,18.0,2.0,242.0
3145,020141305,111.0,57.0,105.0,16.0,11.0,1.0,301.0
3146,020141306,113.0,44.0,96.0,8.0,16.0,1.0,278.0
3147,020141307,52.0,22.0,45.0,6.0,21.0,1.0,147.0
3148,020141308,104.0,55.0,78.0,13.0,23.0,2.0,275.0
3149,020141309,130.0,53.0,100.0,15.0,37.0,2.0,337.0
3150,020141310,111.0,59.0,89.0,14.0,20.0,1.0,294.0
3151,020141311,102.0,41.0,78.0,11.0,28.0,0.0,260.0
3152,020141312,111.0,54.0,69.0,8.0,4.0,1.0,247.0
3153,020141401,174.0,60.0,171.0,17.0,37.0,1.0,460.0
3154,020141402,98.0,32.0,117.0,13.0,29.0,1.0,290.0
3155,020141403,135.0,79.0,119.0,10.0,11.0,4.0,358.0
3156,020141404,79.0,18.0,78.0,9.0,8.0,2.0,194.0
3157,020141405,64.0,41.0,68.0,4.0,19.0,1.0,197.0
3158,020141406,77.0,34.0,72.0,9.0,9.0,1.0,202.0
3159,020141407,91.0,54.0,49.0,8.0,8.0,0.0,210.0
3160,020141408,192.0,108.0,136.0,12.0,13.0,1.0,462.0
3161,020141409,177.0,89.0,159.0,20.0,36.0,2.0,483.0
3162,020141410,151.0,46.0,115.0,16.0,18.0,3.0,349.0
3163,020141411,168.0,76.0,140.0,9.0,16.0,2.0,411.0
3164,020141501,120.0,74.0,100.0,9.0,15.0,1.0,319.0
3165,020141502,146.0,62.0,103.0,11.0,28.0,1.0,351.0
3166,020141503,167.0,54.0,97.0,14.0,18.0,0.0,350.0
3167,020141504,198.0,70.0,88.0,11.0,11.0,1.0,379.0
3168,020141505,156.0,81.0,146.0,16.0,39.0,5.0,443.0
3169,020141506,127.0,77.0,183.0,11.0,42.0,0.0,440.0
3170,020141507,140.0,53.0,115.0,18.0,20.0,2.0,348.0
3171,020141508,398.0,198.0,232.0,28.0,28.0,2.0,886.0
3172,020141601,280.0,153.0,127.0,13.0,18.0,0.0,591.0
3173,020141602,126.0,66.0,116.0,9.0,10.0,4.0,331.0
3174,020141603,253.0,115.0,114.0,15.0,25.0,2.0,524.0
3175,020141604,179.0,95.0,92.0,12.0,19.0,0.0,397.0
3176,020141605,180.0,99.0,67.0,11.0,15.0,2.0,374.0
3177,020141606,65.0,38.0,14.0,2.0,3.0,0.0,122.0
3178,020141607,157.0,80.0,59.0,14.0,12.0,2.0,324.0
3179,020141701,181.0,92.0,65.0,6.0,7.0,1.0,352.0
3180,020141702,173.0,71.0,118.0,9.0,16.0,3.0,390.0
3181,020141703,178.0,100.0,51.0,7.0,2.0,0.0,338.0
3182,020141704,101.0,37.0,54.0,3.0,12.0,1.0,208.0
3183,020141705,151.0,82.0,71.0,11.0,9.0,4.0,328.0
3184,020141706,137.0,69.0,52.0,6.0,8.0,2.0,274.0
3185,020141707,130.0,75.0,84.0,6.0,19.0,2.0,316.0
3186,020141708,325.0,138.0,125.0,18.0,16.0,1.0,623.0
3187,020141801,163.0,72.0,92.0,15.0,12.0,1.0,355.0
3188,020141802,165.0,72.0,66.0,4.0,7.0,0.0,314.0
3189,020141803,242.0,114.0,92.0,10.0,14.0,4.0,476.0
3190,020141804,183.0,103.0,88.0,8.0,9.0,0.0,391.0
3191,020141805,227.0,95.0,113.0,10.0,18.0,3.0,466.0
3192,020141806,148.0,68.0,111.0,10.0,12.0,5.0,354.0
3193,020141807,127.0,80.0,60.0,7.0,8.0,0.0,282.0
3194,020141808,225.0,103.0,126.0,20.0,15.0,0.0,489.0
3195,020141901,136.0,40.0,74.0,10.0,15.0,1.0,276.0
3196,020141902,217.0,85.0,188.0,20.0,18.0,1.0,529.0
3197,020141903,258.0,80.0,163.0,23.0,21.0,1.0,546.0
3198,020141904,280.0,90.0,197.0,23.0,36.0,2.0,628.0
3199,020141905,315.0,159.0,141.0,15.0,20.0,2.0,652.0
3200,020142001,270.0,104.0,174.0,23.0,32.0,1.0,604.0
3201,020142002,305.0,106.0,205.0,25.0,20.0,0.0,661.0
3202,020142003,223.0,86.0,122.0,18.0,19.0,2.0,470.0
3203,020142004,148.0,85.0,108.0,14.0,17.0,2.0,374.0
3204,020142005,161.0,70.0,107.0,15.0,22.0,0.0,375.0
3205,020142006,104.0,37.0,113.0,8.0,12.0,1.0,275.0
3206,020142007,77.0,27.0,48.0,4.0,10.0,2.0,168.0
3207,020142101,147.0,81.0,131.0,15.0,23.0,2.0,399.0
3208,020142102,110.0,57.0,110.0,11.0,15.0,0.0,303.0
3209,020142103,54.0,28.0,43.0,6.0,13.0,1.0,145.0
3210,020142104,102.0,44.0,83.0,12.0,13.0,0.0,254.0
3211,020142105,56.0,42.0,45.0,8.0,6.0,1.0,158.0
3212,020142106,98.0,48.0,63.0,10.0,20.0,7.0,246.0
3213,020142107,114.0,45.0,92.0,14.0,34.0,10.0,309.0
3214,020142108,118.0,65.0,106.0,12.0,21.0,1.0,323.0
3215,020142109,82.0,46.0,100.0,11.0,24.0,3.0,266.0
3216,020142110,95.0,26.0,80.0,11.0,36.0,4.0,252.0
3217,020142111,90.0,55.0,103.0,14.0,21.0,1.0,284.0
3218,020142201,140.0,77.0,118.0,17.0,16.0,0.0,368.0
3219,020142202,144.0,72.0,148.0,11.0,31.0,1.0,407.0
3220,020142203,97.0,35.0,79.0,10.0,12.0,0.0,233.0
3221,020142204,95.0,44.0,81.0,13.0,7.0,0.0,240.0
3222,020142205,132.0,78.0,164.0,12.0,34.0,3.0,423.0
3223,020142206,163.0,108.0,107.0,22.0,13.0,2.0,415.0
3224,020142207,114.0,72.0,95.0,16.0,23.0,2.0,322.0
3225,020142208,129.0,68.0,109.0,15.0,19.0,0.0,340.0
3226,020142209,189.0,52.0,180.0,27.0,51.0,1.0,500.0
3227,020142210,144.0,70.0,94.0,15.0,12.0,1.0,336.0
3228,020142301,106.0,58.0,88.0,10.0,17.0,2.0,281.0
3229,020142302,84.0,46.0,73.0,3.0,9.0,3.0,218.0
3230,020142303,92.0,48.0,82.0,9.0,10.0,2.0,243.0
3231,020142304,149.0,65.0,124.0,12.0,17.0,1.0,368.0
3232,020142305,175.0,95.0,187.0,12.0,43.0,4.0,516.0
3233,020142306,71.0,51.0,73.0,4.0,12.0,1.0,212.0
3234,020142307,98.0,36.0,154.0,9.0,41.0,3.0,341.0
3235,020142308,141.0,64.0,190.0,24.0,59.0,4.0,482.0
3236,020142309,206.0,53.0,174.0,12.0,47.0,0.0,492.0
3237,020142310,141.0,63.0,127.0,19.0,27.0,1.0,378.0
3238,020142311,166.0,55.0,175.0,27.0,37.0,2.0,462.0
3239,020142401,113.0,43.0,116.0,7.0,21.0,1.0,301.0
3240,020142402,104.0,28.0,63.0,13.0,21.0,3.0,232.0
