longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4887;-34.5799;2009-12-17;ALTOLAGUIRRE;2200;290;520000;1793.1;3;R2a II;ZONAPROP_VILLA URQUIZA;3.82;1.9864e+006;6849.7;VILLA URQUIZA;12
-58.4186;-34.6158;;COLOMBRES;300;271;1.1049e+006;4077.1;0;R2a II;TOPINMOBILIARIO_ ABASTO;3.82;4.22072e+006;15574.6;ALMAGRO;5
-58.5;-34.5706;2009-12-18;LAVOISIER;3300;125;197000;1576;0;R2b I;TOP INMOBILIARIO;3.82;752540;6020.3;VILLA URQUIZA;12
-58.3973;-34.632;2009-12-21;CASTILLO, CATULO;2301;672;260000;386.9;0;R2b I;clasificados argentinos_PARQUE PATRICIO;3.82;993200;1478;PARQUE PATRICIOS;4
-58.3815;-34.6063;;PERON, JUAN DOMINGO, TTE GRAL;1100;322;1.45e+006;4503.1;0;C1;ARGENPROP_CENTRO;3.82;5.539e+006;17201.9;SAN NICOLAS;1
-58.4147;-34.6071;2009-12-17;SANCHEZ DE BUSTAMANTE;200;246.8;390000;1580.2;3;R2a II;INMUEBLES CLARIN;3.82;1.4898e+006;6036.5;ALMAGRO;5
-58.4081;-34.6174;2009-12-17;LA RIOJA;600;300;350000;1166.7;3;E3;INMUEBLES CLARIN;3.82;1.337e+006;4456.7;BALVANERA;3
-58.3723;-34.6282;2009-12-17;BOLIVAR;1700;1005;1.2e+006;1194;5;APH 1;INMUEBLES CLARIN;3.82;4.584e+006;4561.2;BARRACAS;4
-58.4399;-34.6205;2009-12-17;ROSARIO;800;445;1e+006;2247.2;4;C3 I;INMUEBLES CLARIN;3.82;3.82e+006;8584.3;CABALLITO;6
-58.4145;-34.604;2009-12-18;CORRIENTES;3500;722.7;1.35e+006;1868;4;C3 I;TOP INMOBILIARIO;3.82;5.157e+006;7135.7;ALMAGRO;5
-58.4185;-34.6158;2009-12-18;COLOMBRES;300;271;290000;1070.1;4;R2a II;TOP INMOBILIARIO;3.82;1.1078e+006;4087.8;ALMAGRO;5
-58.4212;-34.6049;2009-12-18;MEDRANO;500;882.3;2.3e+006;2606.8;5;R2a II;TOP INMOBILIARIO;3.82;8.786e+006;9958.1;ALMAGRO;5
-58.3779;-34.6071;2009-12-18;MITRE, BARTOLOME;800;330;410000;1242.4;3.46;C1;TOP INMOBILIARIO;3.82;1.5662e+006;4746.1;SAN NICOLAS;1
-58.399;-34.5983;2009-12-18;PARAGUAY;2200;280.9;780000;2776.8;3;E3;TOP INMOBILIARIO;3.82;2.9796e+006;10607.3;RECOLETA;2
