X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;BARRIOS;COMUNA
-58.390174667112412;-34.620000304529732;2015/02/18;"CALVO, CARLOS";1700;515.0;420000;;815.5;CONSTITUCION;1
-58.390174667112412;-34.620000304529732;;"CALVO, CARLOS";1700;485.0;450000;;927.8;CONSTITUCION;1
-58.395784886973829;-34.620491616091016;2015/02/20;"CALVO, CARLOS";2100;460.0;330000;;717.4;SAN CRISTOBAL;3
-58.399809355462466;-34.620770160678894;2015/02/19;"CALVO, CARLOS";2400;260.0;270000;;1038.5;SAN CRISTOBAL;3
-58.406156185718146;-34.621680707688121;2015/02/19;"CALVO, CARLOS";2900;203.0;600000;;2955.7;SAN CRISTOBAL;3
-58.441625461385222;-34.598899067186643;;CAMARGO;700;85.0;200000;;2352.9;VILLA CRESPO;15
-58.444503086057246;-34.596307729000507;;CAMARGO;1000;355.0;950000;;2676.1;VILLA CRESPO;15
-58.444503086057246;-34.596307729000507;;CAMARGO;1000;225.0;950000;;4222.2;VILLA CRESPO;15
-58.444503086057246;-34.596307729000507;2015/02/19;CAMARGO;1000;580.0;950000;;1637.9;VILLA CRESPO;15
-58.472106417778832;-34.607770879244228;;CAMARONES;2200;150.0;145000;;966.7;VILLA GRAL. MITRE;11
-58.481970339882054;-34.612966595213351;2015/02/20;CAMARONES;3000;178.0;298000;;1674.2;VILLA SANTA RITA;11
-58.496136332478116;-34.622963605139383;2015/02/18;CAMARONES;4400;398.0;390000;;979.9;FLORESTA;10
-58.501563810142528;-34.625422962991593;2015/02/18;CAMARONES;4900;200.0;160000;;800.0;VELEZ SARSFIELD;10
-58.507296916157216;-34.630570617179202;2015/02/20;CAMARONES;5400;169.0;180000;;1065.1;VILLA LURO;10
-58.477447923935891;-34.625483134067053;2015/02/18;CAMPANA;600;220.0;1200000;;5454.5;FLORESTA;10
-58.478357784616676;-34.623496489840178;2015/02/18;CAMPANA;800;180.0;780000;;4333.3;FLORESTA;10
-58.508094569789826;-34.588619292267879;;CAMPANA;4800;210.0;570000;;2714.3;VILLA PUEYRREDON;12
