longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4219;-34.5983;2002-11-27;LAVALLE;4000;3404;966197;283.84;3;E3;ARGENPROP;3.55;3.43e+006;1007.64;ALMAGRO;5
-58.4464;-34.6248;2002-11-27;ALBERDI;1300;854;345070;404.06;5;R2a II;ARGENPROP;3.55;1.225e+006;1434.43;CABALLITO;6
-58.4601;-34.5614;2002-11-27;OLAZABAL;2600;640;340141;531.47;4.1;R2a I;ARGENPROP;3.55;1.2075e+006;1886.72;BELGRANO;13
-58.4307;-34.6227;2002-11-27;ALBERDI;200;315;246479;782.47;5.2;R2a II;ARGENPROP;3.55;875000;2777.78;CABALLITO;6
-58.4644;-34.6322;2002-11-27;ALBERDI;2600;303;133099;439.27;5;R2a II;ARGENPROP;3.55;472500;1559.41;FLORES;7
-58.4324;-34.5956;2002-11-27;SCALABRINI ORTIZ;900;568;295775;520.73;2;E1;ARGENPROP;3.55;1.05e+006;1848.59;VILLA CRESPO;15
-58.3592;-34.6344;2002-11-27;BROWN;1100;1530;128169;83.77;4;C3 I 2;ARGENPROP;3.55;455000;297.39;BOCA;4
-58.4147;-34.6254;2002-11-26;SAN JUAN;3500;178;88732;498.5;5;C3 I;ARGENPROP;3.55;315000;1769.66;BOEDO;5
-58.4446;-34.6091;2002-11-26;PUEYRREDON HONORIO;1000;217;108451;500.93;4;R2a II;ARGENPROP;3.55;385000;1778.29;CABALLITO;6
-58.4675;-34.5854;2002-11-26;CALDAS;1600;367;87746;239.09;3;E2;ARGENPROP;3.55;311500;848.77;VILLA ORTUZAR;15
-58.4323;-34.5889;2002-11-26;GORRITI;5100;294;108451;368.33;1.6;R2b I;ARGENPROP;3.55;385000;1307.57;PALERMO;14
-58.4451;-34.619;2002-12-16;GARCIA LORCA;237;10447;3800000;363.7;4.4;R2a II;LA NACION;3.52;1.3376e+007;1280.37;CABALLITO;6
-58.4975;-34.5858;2002-11-27;BOLIVIA;4500;4000;571831;142.96;3.5;R2b II;ARGENPROP;3.55;2.03e+006;507.5;VILLA PUEYRREDON;12
-58.4395;-34.5663;2002-11-27;CAMPOS LUIS MARIA;1100;884;1577465;1784.46;10.2;R1a;ARGENPROP;3.55;5.6e+006;6334.84;PALERMO;14
-58.378;-34.6071;2002-11-27;ESMERALDA;100;1539;1971831;1281.24;4.9;C1;ARGENPROP;3.55;7e+006;4548.41;SAN NICOLAS;1
-58.4516;-34.5818;2002-11-27;LACROZE;3600;1798;374648;208.37;3.9;C3 II;ARGENPROP;3.55;1.33e+006;739.71;CHACARITA;15
-58.4982;-34.5851;2002-11-27;BOLIVIA;4600;1723;197183;114.44;0;R2a II;ARGENPROP;3.55;700000;406.27;VILLA PUEYRREDON;12
-58.4856;-34.5441;2002-11-26;VEDIA AGUSTIN;3400;2800;81690;29.18;0;R1b I;ARGENPROP;3.55;290000;103.57;SAAVEDRA;12
-58.3957;-34.6257;2002-11-27;CONSTITUCION;2200;1200;197183;164.32;4.4;R2a II;ARGENPROP;3.55;700000;583.33;SAN CRISTOBAL;3
-58.488;-34.6775;2002-11-27;PIEDRABUENA;3900;2526;140845;55.76;0;U22;ARGENPROP;3.55;500000;197.94;VILLA LUGANO;8
-58.4371;-34.6286;2002-11-27;DIRECTORIO;700;1000;492958;492.96;5;C3 II;ARGENPROP;3.55;1.75e+006;1750;PARQUE CHACABUCO;7
-58.4132;-34.6043;2002-11-27;CORRIENTES;3400;1145;1084507;947.07;4.3;C3 I;ARGENPROP;3.55;3.85e+006;3362.09;BALVANERA;3
-58.5061;-34.5888;2002-11-27;MOSCONI;3200;867;195211;225.16;5.2;R2a II;ARGENPROP;3.55;693000;799.31;VILLA PUEYRREDON;12
