longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4928;-34.5765;2010-12-17;ROOSEVELT FRANKLIN D. AV.;5600;14310;1.5e+006;104.8;3;E3;REVISTA EXPO CLASIFICADOS BARRIO VILLA URQUI;4.01;6.015e+006;420.3;VILLA URQUIZA;12
-58.4926;-34.5531;2010-12-13;CORREA;4600;457;90000;196.9;;U34;www.zonaprop.com.ar/mataderos;4.01;360900;789.7;SAAVEDRA;12
-58.389;-34.651;2010-12-17;IRIARTE, GRAL.;3000;7783;1.7e+006;218.4;;R2b III;Topinmobiliario_N Pompeya a Palermo;4.01;6.817e+006;875.9;BARRACAS;4
-58.3643;-34.641;2010-12-13;ROCHA;1000;384;85000;221.4;3;E3 2;www.argenprop.com/boca;4.01;340850;887.6;BOCA;4
-58.3648;-34.6401;2010-12-13;MAGALLANES;1000;387;90000;232.6;;E3 2;www.argenprop.com/barracas;4.01;360900;932.6;BOCA;4
-58.3646;-34.6387;2010-12-16;OLAVARRIA;899;1475;380000;257.6;;E3 2;Solodue¤os;4.01;1.5238e+006;1033.1;BOCA;4
-58.3649;-34.6403;2010-12-13;MELO, CARLOS F.;200;532;140000;263.2;3;E3 2;www.argenprop.com/boca;4.01;561400;1055.3;BOCA;4
-58.5078;-34.5869;2010-12-20;GRIVEO;3200;866;230000;265.6;3.46;R2a II;Topinmobiliario_V Luro a V Real;4.01;922300;1065;VILLA PUEYRREDON;12
-58.3566;-34.6332;2010-12-13;BRANDSEN;200;167;50000;299.4;;C3 II 2;Buscainmueble_Boca;4.01;200500;1200.6;BOCA;4
-58.3649;-34.6403;2010-12-13;MELO, CARLOS F.;200;188.1;59000;313.7;3;E3 2;www.argenprop.com/boca;4.01;236590;1257.8;BOCA;4
-58.4123;-34.6525;2010-12-15;EINSTEIN, ALBERTO;600;216.5;70000;323.3;;C3 II;Buscainmueble_Pompeya;4.01;280700;1296.5;NUEVA POMPEYA;4
-58.4071;-34.6436;2010-12-13;CORTEJARENA, JOSE A.;3200;2000;680000;340;;C3 II;www.zonaprop.com.ar/parque patricios;4.01;2.7268e+006;1363.4;PARQUE PATRICIOS;4
-58.3767;-34.6536;2010-12-13;SAN ANTONIO;1000;408;140000;343.1;2;I1;www.argenprop.com/barracas;4.01;561400;1376;BARRACAS;4
-58.3552;-34.6357;2010-12-13;ARAOZ DE LAMADRID, G., GRAL.;200;159;59000;371.1;1;C3 II 2;Buscainmueble_Boca;4.01;236590;1488;BOCA;4
-58.4438;-34.6382;2010-12-17;MIRO;1500;416;155000;372.6;1.2;R2b II;Topinmobiliario_P Chacabuco a P Patricios;4.01;621550;1494.1;PARQUE CHACABUCO;7
-58.3875;-34.6178;2010-12-10;INDEPENDENCIA;1500;3704;1.4e+006;378;;C3 I;www.zonaprop.com.ar/constitucion;4.01;5.614e+006;1515.7;MONTSERRAT;1
-58.3594;-34.6344;2010-12-10;BRANDSEN;400;527;205000;389;3.46;C3 II 2;www.zonaprop.com.ar/boca;4.01;822050;1559.9;BOCA;4
-58.4675;-34.6922;2010-12-16;BERON DE ASTRADA;6400;190;75000;394.7;;R2b II;Buscainmueble_V Lugano;4.01;300750;1582.9;VILLA RIACHUELO;8
-58.4704;-34.6363;2010-12-15;MARTI, JOSE;400;602;240000;398.7;1.2;C3 II;Buscainmueble_Flores;4.01;962400;1598.7;FLORES;7
-58.4071;-34.6436;2010-12-15;CORTEJARENA, JOSE A.;3200;1696;680000;400.9;1.2;C3 II;Buscainmueble_P Patricios;4.01;2.7268e+006;1607.8;PARQUE PATRICIOS;4
-58.3634;-34.643;2010-12-13;MELO, CARLOS F.;500;340;140000;411.8;;;Buscainmueble_Boca;4.01;561400;1651.2;BOCA;4
-58.4336;-34.6108;2010-12-10;OTAMENDI;500;1300;540000;415.4;;C3 I;www.zonaprop.com.ar/caballito;4.01;2.1654e+006;1665.7;CABALLITO;6
-58.4127;-34.6467;2010-12-15;CACHI;300;300;125000;416.7;;C3 II;Buscainmueble_Pompeya;4.01;501250;1670.8;NUEVA POMPEYA;4
-58.5001;-34.6263;2010-12-20;PAZ, MARCOS;1500;478;200000;418.4;1;R2b II;www.argenprop.com.ar/v. luro;4.01;802000;1677.8;VELEZ SARSFIELD;10
-58.4828;-34.612;2010-12-16;SAN BLAS;3000;928;400000;431;3.46;C3 II;Buscainmueble_V Parque;4.01;1.604e+006;1728.4;VILLA SANTA RITA;11
-58.4195;-34.6499;2010-12-15;LAS PALMAS;2900;150;65000;433.3;3;R2b III;Buscainmueble_Pompeya;4.01;260650;1737.7;NUEVA POMPEYA;4
-58.3762;-34.6114;2010-12-10;MORENO;700;2745;1.2e+006;437.2;5;R2a II;www.zonaprop.com.ar/san telmo;4.01;4.812e+006;1753;MONTSERRAT;1
-58.4394;-34.6386;2010-12-13;MARTINEZ, VICTOR;1600;1800;800000;444.4;;R2b II;www.zonaprop.com.ar/parque chacabuco;4.01;3.208e+006;1782.2;PARQUE CHACABUCO;7
-58.4762;-34.6444;2010-12-13;LACARRA;1100;260;120000;461.5;1.2;R2b II;www.zonaprop.com.ar/parque avellaneda;4.01;481200;1850.8;PARQUE AVELLANEDA;9
-58.3966;-34.6292;2010-12-15;INCLAN;2300;432.5;200000;462.4;1;C3 II;Buscainmueble_P Patricios;4.01;802000;1854.3;PARQUE PATRICIOS;4
-58.4089;-34.6262;2010-12-09;COCHABAMBA;3100;356;165000;463.5;;C3 I;www.zonaprop.com.ar/almagro;4.01;661650;1858.6;SAN CRISTOBAL;3
-58.4048;-34.6421;2010-12-15;MONTEAGUDO;400;373;175000;469.2;1.2;C3 II;Buscainmueble_P Patricios;4.01;701750;1881.4;PARQUE PATRICIOS;4
-58.3634;-34.64;2010-12-13;GARIBALDI;1500;258.8;125000;483;;E3 2;www.argenprop.com/boca;4.01;501250;1936.8;BOCA;4
-58.3973;-34.6318;2010-12-20;CASTILLO, CATULO;2300;675;330000;488.9;1;C3 II;www.argenprop.com.ar/p. patricios;4.01;1.3233e+006;1960.4;PARQUE PATRICIOS;4
-58.4118;-34.6536;2010-12-13;EINSTEIN, ALBERTO;700;304;149000;490.1;;C3 II;www.zonaprop.com.ar/pompeya;4.01;597490;1965.4;NUEVA POMPEYA;4
-58.4939;-34.5582;2010-12-17;GALVAN;4000;314;155000;493.6;1;C3 II;Topinmobiliario_Saavedra a S Telmo;4.01;621550;1979.5;SAAVEDRA;12
-58.4751;-34.6453;2010-12-15;LACARRA;1200;219;109000;497.7;1.2;R2b II;Buscainmueble_Floresta;4.01;437090;1995.8;PARQUE AVELLANEDA;9
-58.4913;-34.635;2010-12-15;YERBAL;4600;903;450000;498.3;1;R2b II;Buscainmueble_Floresta;4.01;1.8045e+006;1998.3;VELEZ SARSFIELD;10
-58.3898;-34.6405;2010-12-20;CORTEJARENA, JOSE A.;2900;260;130000;500;;R2b II;www.argenprop.com.ar/p. patricios;4.01;521300;2005;BARRACAS;4
-58.5038;-34.6435;2010-12-20;CORVALAN;500;375;190000;506.7;;R2b I;www.argenprop.com.ar/mataderos;4.01;761900;2031.7;VILLA LURO;10
-58.5228;-34.6001;2010-12-10;MISTRAL, GABRIELA;4600;200;105000;525;;R1b I;www.zonaprop.com.ar/villa devoto;4.01;421050;2105.3;VILLA DEVOTO;11
-58.4225;-34.6276;2010-12-09;COCHABAMBA;4100;265;140000;528.3;1.6;R2b III;www.zonaprop.com.ar/boedo;4.01;561400;2118.5;BOEDO;5
-58.4241;-34.6381;2010-12-13;ZANARTU;400;450;240000;533.3;3;R2b III;www.argenprop.com/caballito;4.01;962400;2138.7;PARQUE CHACABUCO;7
-58.4372;-34.6357;2010-12-15;CACHIMAYO;1400;295;160000;542.4;1;R2b II;Buscainmueble_P Chacabuco;4.01;641600;2174.9;PARQUE CHACABUCO;7
-58.5173;-34.656;2010-12-20;OLAVARRIETA, DIEGO de;1600;238;130000;546.2;1.6;R2b III;www.argenprop.com.ar/liniers;4.01;521300;2190.3;MATADEROS;9
-58.5259;-34.6475;2010-12-15;PERIBEBUY;7100;200;110000;550;1.6;R2b I;Buscainmueble_Liniers;4.01;441100;2205.5;LINIERS;9
-58.4933;-34.6598;2010-12-20;LARRAZABAL;2200;779;430000;552;;E3;www.argenprop.com.ar/mataderos;4.01;1.7243e+006;2213.5;MATADEROS;9
-58.4395;-34.5896;2010-12-20;CASTILLO;1200;173;100000;578;1;R2b I;www.argenprop.com.ar/palermo;4.01;401000;2317.9;VILLA CRESPO;15
-58.4888;-34.6456;2010-12-20;LARRAÑAGA, DAMASO;800;190;110000;578.9;1.2;C3 II;www.argenprop.com.ar/floresta;4.01;441100;2321.6;PARQUE AVELLANEDA;9
-58.4772;-34.6418;2010-12-13;LAGUNA;800;272;160000;588.2;;R2b II;www.zonaprop.com.ar/parque avellaneda;4.01;641600;2358.8;PARQUE AVELLANEDA;9
-58.4191;-34.6364;2010-12-17;METAN;3879;165;99000;600;;R2b III;REVISTA EXPO CLASIFICADOS BARRIO BOEDO;4.01;396990;2406;BOEDO;5
-58.4067;-34.6304;2010-12-20;CHICLANA AV.;3000;300;180000;600;2;C3 II;www.argenprop.com.ar/p. patricios;4.01;721800;2406;PARQUE PATRICIOS;4
-58.5046;-34.5703;2010-12-16;PIRAN;6200;324;195000;601.9;1.6;R2b I;Buscainmueble_V Urquiza;4.01;781950;2413.4;VILLA URQUIZA;12
-58.4977;-34.6026;2010-12-16;LOZANO, PEDRO;3400;690;420000;608.7;;R2b II;Buscainmueble_V Parque;4.01;1.6842e+006;2440.9;VILLA DEL PARQUE;11
-58.5238;-34.6536;2010-12-20;MOLINA;1300;238;145000;609.2;1.6;R2b I;www.argenprop.com.ar/liniers;4.01;581450;2443.1;LINIERS;9
-58.4528;-34.6076;2010-12-13;VIALE, LUIS;1000;360.6;220000;610.1;1.2;R2b I 10;www.argenprop.com/caballito;4.01;882200;2446.5;CABALLITO;6
-58.4207;-34.5926;2010-12-15;EL SALVADOR;4100;547;1.045e+006;1910.4;1.6;R2b I;Buscainmueble_Palermo;4.01;4.19045e+006;7660.8;PALERMO;14
-58.4598;-34.6403;2010-12-17;PRIMERA JUNTA;2900;192;120000;625;;R2b I;REVISTA EXPO CLASIFICADOS BARRIO FLORES;4.01;481200;2506.3;FLORES;7
-58.4705;-34.5648;2010-12-17;PEREZ, ROQUE;2500;1200;750000;625;3;R1b II 7;www.argenprop.com.ar/coghlan;4.01;3.0075e+006;2506.3;COGHLAN;12
-58.4837;-34.5482;2010-12-13;CORREA;3500;147;92000;625.9;;R2b I;www.zonaprop.com.ar/saavedra;4.01;368920;2509.7;SAAVEDRA;12
-58.4899;-34.5639;2010-12-21;GALVAN;3400;303;190000;627.1;16;R2b I;www.argenprop.com.ar/v. urquiza;4.01;761900;2514.5;VILLA URQUIZA;12
-58.4939;-34.6428;2010-12-14;CASTRO, EMILIO;4900;122;78000;639.3;;R2b I;www.zonaprop.com.ar/villa luro;4.01;312780;2563.8;VILLA LURO;10
-58.4952;-34.5544;2010-12-17;VALDENEGRO;4400;287;185000;644.6;1.6;U34;Topinmobiliario_Saavedra a S Telmo;4.01;741850;2584.8;SAAVEDRA;12
-58.4737;-34.5613;2010-12-16;PEREZ, ROQUE;2900;124;80000;645.2;1.6;R1b II 7;Topinmobiliario_Centro sur a Colegiales;4.01;320800;2587.1;COGHLAN;12
-58.5074;-34.666;2010-12-17;MONTIEL;2600;403;260000;645.2;3;R2b III;REVISTA EXPO CLASIFICADOS BARRIO MATADEROS;4.01;1.0426e+006;2587.1;MATADEROS;9
-58.4162;-34.636;2010-12-17;METAN;3700;224;145000;647.3;;C3 II;REVISTA EXPO CLASIFICADOS BARRIO BOEDO;4.01;581450;2595.8;BOEDO;5
-58.4067;-34.6304;2010-12-15;CHICLANA;3000;277;180000;649.8;2;C3 II;Buscainmueble_S Cristobal;4.01;721800;2605.8;PARQUE PATRICIOS;4
-58.3771;-34.6527;2010-12-10;SAN ANTONIO;900;3177;2.09e+006;657.9;;I1;Buscainmueble_Barracas;4.01;8.3809e+006;2638;BARRACAS;4
-58.485;-34.6226;2010-12-20;GONZALEZ, JOAQUIN V.;1100;831;550000;661.9;3;E3;www.argenprop.com.ar/floresta;4.01;2.2055e+006;2654;VILLA SANTA RITA;11
-58.528;-34.6488;2010-12-20;GRANADA, NICOLAS;900;234;155000;662.4;;R2b I;www.argenprop.com.ar/liniers;4.01;621550;2656.2;LINIERS;9
-58.4084;-34.6309;2010-12-15;URQUIZA, Gral.;1700;274.8;185000;673.3;1.6;R2b I;Buscainmueble_P Patricios;4.01;741850;2699.6;PARQUE PATRICIOS;4
-58.4102;-34.6114;2010-12-13;YRIGOYEN, HIPOLITO;3100;554.2;380000;685.6;3.6;R2a II;www.argenprop.com/balvanera;4.01;1.5238e+006;2749.5;BALVANERA;3
-58.4563;-34.6023;2010-12-10;CUCHA CUCHA;1900;364;250000;686.8;3;E3;www.zonaprop.com.ar/villa crespo;4.01;1.0025e+006;2754.1;VILLA CRESPO;15
-58.3721;-34.6464;2010-12-09;ISABEL LA CATOLICA;1600;390;270000;692.3;3;C3 I;www.zonaprop.com.ar/barracas;4.01;1.0827e+006;2776.2;BARRACAS;4
-58.508;-34.6299;2010-12-17;MOLIERE;1000;179;125000;698.3;1.2;C3 II;REVISTA EXPO CLASIFICADOS BARRIO VILLA LURO;4.01;501250;2800.3;VILLA LURO;10
-58.486;-34.6235;2010-12-20;BAHIA BLANCA;1100;329;230000;699.1;3;E3;www.argenprop.com.ar/floresta;4.01;922300;2803.3;FLORESTA;10
-58.4255;-34.6586;2010-12-16;CHARRUA;3500;100;70000;700;;E2;www.inmuebles.clarin.com/pompeya;4.01;280700;2807;NUEVA POMPEYA;4
-58.5081;-34.6247;2010-12-14;MIRANDA;5200;500;350000;700;3.46;R2a II;www.zonaprop.com.ar/villa luro;4.01;1.4035e+006;2807;MONTE CASTRO;10
-58.3771;-34.6234;2010-12-15;COCHABAMBA;800;478;340000;711.3;3;R2a II;Buscainmueble_S Telmo;4.01;1.3634e+006;2852.3;CONSTITUCION;1
-58.4064;-34.6318;2010-12-17;LA RIOJA;1800;600;430000;716.7;2;C3 II;Topinmobiliario_P Chacabuco a P Patricios;4.01;1.7243e+006;2873.8;PARQUE PATRICIOS;4
-58.5049;-34.6251;2010-12-20;GARCIA, JUAN AGUSTIN;5100;472;340000;720.3;3;E3;www.argenprop.com.ar/floresta;4.01;1.3634e+006;2888.6;MONTE CASTRO;10
-58.4262;-34.6405;2010-12-17;COBO;700;304;220000;723.7;;R2b III;Topinmobiliario_P Chacabuco a P Patricios;4.01;882200;2902;PARQUE CHACABUCO;7
-58.4603;-34.6;2010-12-15;MATURIN;2400;441.7;320000;724.5;;E2;Buscainmueble_Paternal;4.01;1.2832e+006;2905.1;PATERNAL;15
-58.3768;-34.6268;2010-12-16;BRASIL;867;784;570000;727;2.5;R2a II;Topinmobiliario_Congreso a Floresta;4.01;2.2857e+006;2915.4;CONSTITUCION;1
-58.4387;-34.6406;2010-12-20;MARTINEZ, VICTOR;1800;144;105000;729.2;1.2;R2b II;www.argenprop.com.ar/p. chacabuco;4.01;421050;2924;PARQUE CHACABUCO;7
-58.4818;-34.6241;2010-12-17;GAONA;4100;258;190000;736.4;2;C3 II;REVISTA EXPO CLASIFICADOS BARRIO FLORESTA;4.01;761900;2953.1;VILLA SANTA RITA;11
-58.47;-34.5738;2010-12-16;LA PAMPA;4000;375;278000;741.3;1;U28;Topinmobiliario_Barracas a Belgrano R;4.01;1.11478e+006;2972.7;VILLA URQUIZA;12
-58.399;-34.6197;2010-12-17;PICHINCHA;900;337;250000;741.8;3.46;R2a II;Topinmobiliario_Saavedra a S Telmo;4.01;1.0025e+006;2974.8;SAN CRISTOBAL;3
-58.4605;-34.6012;2010-12-20;OROÑO, NICASIO;2200;242;180000;743.8;;C2;www.argenprop.com.ar/paternal;4.01;721800;2982.6;PATERNAL;15
-58.4791;-34.6166;2010-12-17;EL TROVADOR;3000;208;155000;745.2;;C3 II;REVISTA EXPO CLASIFICADOS BARRIO VILLA DEL P;4.01;621550;2988.2;VILLA SANTA RITA;11
-58.4254;-34.6121;2010-12-16;RAWSON;100;560;420000;750;3.46;R2a II;Topinmobiliario_Abasto a Balvanera;4.01;1.6842e+006;3007.5;ALMAGRO;5
-58.5053;-34.6352;2010-12-10;CORTINA;300;4000;3e+006;750;;R2a II;www.zonaprop.com.ar/liniers;4.01;1.203e+007;3007.5;VILLA LURO;10
-58.5019;-34.622;2010-12-20;PAZ, MARCOS;1900;407;307000;754.3;3;E3;www.argenprop.com.ar/floresta;4.01;1.23107e+006;3024.7;MONTE CASTRO;10
-58.4828;-34.612;2010-12-16;SAN BLAS;3000;464;350000;754.3;3.46;C3 II;Buscainmueble_V Parque;4.01;1.4035e+006;3024.8;VILLA SANTA RITA;11
-58.5043;-34.6458;2010-12-20;MIRALLA;700;159;120000;754.7;1.6;R2b I;www.argenprop.com.ar/liniers;4.01;481200;3026.4;LINIERS;9
-58.4868;-34.5869;2010-12-10;MORAN, PEDRO;2100;990.1;750000;757.5;1.2;R2b II;Buscainmueble_Agronomia;4.01;3.0075e+006;3037.6;PARQUE CHAS;15
-58.5095;-34.6105;2010-12-20;GONZALEZ CATAN;4500;147;112000;761.9;1.2;R2b II;Topinmobiliario_V del Parque a V Lugano;4.01;449120;3055.2;VILLA DEVOTO;11
-58.4192;-34.6304;2010-12-17;PAVON;3900;632;485000;767.4;;R2a II;REVISTA EXPO CLASIFICADOS BARRIO BOEDO;4.01;1.94485e+006;3077.3;BOEDO;5
-58.5168;-34.5888;2010-12-17;OBISPO SAN ALBERTO;3700;182;140000;769.2;1;R2a II;REVISTA EXPO CLASIFICADOS BARRIO VILLA DEVOT;4.01;561400;3084.6;VILLA DEVOTO;11
-58.4035;-34.6288;2010-12-20;GARAY, JUAN DE AV.;2800;324;250000;771.6;;R2b I;www.argenprop.com.ar/p. patricios;4.01;1.0025e+006;3094.1;SAN CRISTOBAL;3
-58.524;-34.6182;2010-12-10;MOLIERE;2600;233;180000;772.5;;R2b II;www.zonaprop.com.ar/villa real;4.01;721800;3097.9;VILLA REAL;10
-58.4025;-34.6135;2010-12-16;MORENO;2563;580;450000;775.9;2.77;R2a II;Topinmobiliario_Abasto a Balvanera;4.01;1.8045e+006;3111.2;BALVANERA;3
-58.4798;-34.6067;2010-12-16;BIARRITZ;2600;152;118000;776.3;1.2;R2b II;Buscainmueble_V Parque;4.01;473180;3113;VILLA DEL PARQUE;11
-58.4184;-34.6305;2010-12-13;PEREYRA;1500;304;238000;782.9;3;R2a II;Buscainmueble_Boedo;4.01;954380;3139.4;BOEDO;5
