longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4394;-34.6232;2001-12-10;ALBERDI, J.B. AV.;800;577;300000;519.9;0;R2a II;argenprop;1;300000;519.9;CABALLITO;6
-58.4409;-34.623;2001-12-10;ALBERDI, J.B. AV.;900;2408;2700000;1121.3;0;R2a II;argenprop;1;2.7e+006;1121.3;CABALLITO;6
-58.4419;-34.623;2001-12-10;ALBERDI, J.B. AV.;1000;333;450000;1351.4;0;R2a II;argenprop;1;450000;1351.4;CABALLITO;6
-58.4435;-34.6231;2001-12-10;ALBERDI, J.B. AV.;1100;347;350000;1008.6;0;R2a II;argenprop;1;350000;1008.6;CABALLITO;6
-58.4449;-34.6239;2001-12-10;ALBERDI, J.B. AV.;1200;184;280000;1521.7;0;R2a II;argenprop;1;280000;1521.7;CABALLITO;6
-58.4449;-34.6239;2001-12-10;ALBERDI, J.B. AV.;1200;420;350000;833.3;0;R2a II;clarin;1;350000;833.3;CABALLITO;6
-58.4463;-34.6248;2001-12-10;ALBERDI, J.B. AV.;1294;424;370000;872.6;0;R2a II;clarin;1;370000;872.6;CABALLITO;6
-58.4478;-34.6255;2001-12-10;ALBERDI, J.B. AV.;1400;441;379000;859.4;0;R2a II;clarin;1;379000;859.4;CABALLITO;6
-58.4482;-34.6257;2001-12-10;ALBERDI, J.B. AV.;1436;442;379000;857.5;0;R2a II;clarin;1;379000;857.5;CABALLITO;6
-58.449;-34.6261;2001-12-10;ALBERDI, J.B. AV.;1500;436;700000;1605.5;0;R2a II;argenprop;1;700000;1605.5;CABALLITO;6
-58.4509;-34.6271;2001-12-10;ALBERDI, J.B. AV.;1600;317;320000;1009.5;0;R2a II;argenprop;1;320000;1009.5;CABALLITO;6
-58.4509;-34.6271;2001-12-10;ALBERDI, J.B. AV.;1600;460;395000;858.7;0;R2a II;argenprop;1;395000;858.7;CABALLITO;6
-58.4528;-34.628;2001-12-10;ALBERDI, J.B. AV.;1700;260;235000;903.8;0;R2a II;argenprop;1;235000;903.8;FLORES;6
-58.4539;-34.6287;2001-12-10;ALBERDI, J.B. AV.;1800;346;170000;491.3;0;R2a II;argenprop;1;170000;491.3;FLORES;7
-58.457;-34.6296;2001-12-10;ALBERDI, J.B. AV.;2037;437;295000;675.1;0;R2a II;clarin;1;295000;675.1;FLORES;7
-58.4576;-34.6301;2001-12-10;ALBERDI, J.B. AV.;2100;335;230000;686.6;0;R2a II;argenprop;1;230000;686.6;FLORES;7
-58.46;-34.6309;2001-12-10;ALBERDI, J.B. AV.;2300;258;127000;492.2;0;R2a II;argenprop;1;127000;492.2;FLORES;7
-58.4617;-34.6314;2001-12-10;ALBERDI, J.B. AV.;2400;530;330000;622.6;0;R2a II;argenprop;1;330000;622.6;FLORES;7
-58.4631;-34.6318;2001-12-10;ALBERDI, J.B. AV.;2500;616;470000;763;0;R2a II;argenprop;1;470000;763;FLORES;7
-58.4644;-34.6322;2001-12-10;ALBERDI, J.B. AV.;2600;303;205000;676.6;0;R2a II;argenprop;1;205000;676.6;FLORES;7
-58.4644;-34.6322;2001-12-10;ALBERDI, J.B. AV.;2600;303;205000;676.6;0;R2a II;clarin;1;205000;676.6;FLORES;7
-58.4657;-34.6326;2001-12-10;ALBERDI, J.B. AV.;2700;1229;576000;468.7;0;R2a II;argenprop;1;576000;468.7;FLORES;7
-58.4666;-34.6326;2001-12-10;ALBERDI, J.B. AV.;2751;959;495000;516.2;0;C2;clarin;1;495000;516.2;FLORES;7
-58.4671;-34.633;2001-12-10;ALBERDI, J.B. AV.;2802;228;125000;548.2;0;R2a II;argenprop;1;125000;548.2;FLORES;7
-58.4674;-34.6331;2001-12-10;ALBERDI, J.B. AV.;2822;320;110000;343.8;0;R2a II;argenprop;1;110000;343.8;FLORES;7
-58.4677;-34.6332;2001-12-10;ALBERDI, J.B. AV.;2844;228;110000;482.5;0;R2a II;argenprop;1;110000;482.5;FLORES;7
-58.4711;-34.6342;2001-12-10;ALBERDI, J.B. AV.;3100;1568;740000;471.9;0;C3 II;argenprop;1;740000;471.9;FLORES;7
-58.4743;-34.6354;2001-12-10;ALBERDI, J.B. AV.;3400;428;185000;432.2;0;C3 II;argenprop;1;185000;432.2;FLORESTA;10
-58.4974;-34.6471;2001-12-10;ALBERDI, J.B. AV.;5200;338;150000;443.8;0;C3 II;argenprop;1;150000;443.8;MATADEROS;9
