longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.3963;-34.5973;2007-12-11;AYACUCHO;1000;217.6;1.1e+006;5056.3;0;E3;TOPINMOBILIARIO_001;3.15;3.465e+006;15927.4;RECOLETA;2
-58.3881;-34.5995;2007-12-11;CORDOBA;1500;405;1.1e+006;2716;0;C2;TOPINMOBILIARIO_001;3.15;3.465e+006;8555.6;SAN NICOLAS;1
-58.5082;-34.5978;2007-12-11;NUEVA YORK;3800;735;660000;898;0;R1b I;TOPINMOBILIARIO_001;3.15;2.079e+006;2828.6;VILLA DEVOTO;11
-58.52;-34.601;2007-12-11;CUBAS, JOSE;4500;993.5;570000;573.7;0;R1b I;TOPINMOBILIARIO_001;3.15;1.7955e+006;1807.2;VILLA DEVOTO;11
-58.4143;-34.5966;2007-12-11;CABRERA, JOSE A.;3500;467;750000;1606;0;R2a I;TOPINMOBILIARIO_001;3.15;2.3625e+006;5058.9;RECOLETA;2
-58.4688;-34.5611;2007-12-11;BALBIN, RICARDO, DR.;2800;820;550000;670.7;0;R2b I;TOPINMOBILIARIO_001;3.15;1.7325e+006;2112.8;COGHLAN;12
-58.4835;-34.6329;2007-12-11;SEGUROLA;200;417;390000;935.3;0;C3 II;TOPINMOBILIARIO_001;3.15;1.2285e+006;2946;FLORESTA;10
-58.4003;-34.6273;2007-12-11;ALBERTI;1600;204;120000;588.2;0;E1;TOPINMOBILIARIO_001;3.15;378000;1852.9;SAN CRISTOBAL;3
-58.4453;-34.6158;2007-12-11;REPETTO, NICOLAS, DR.;514;147;142000;966;0;R2a II;TOPINMOBILIARIO_001;3.15;447300;3042.9;CABALLITO;6
-58.4634;-34.5414;2007-12-11;BESARES;1600;269;2.3e+006;8549.2;0;R2a I;TOPINMOBILIARIO_001;3.15;7.245e+006;26930.1;NUÑEZ;12
-58.4572;-34.5787;2007-12-11;ALVAREZ, THOMAS;1100;938;1.18e+006;1258;0;C3 II;TOPINMOBILIARIO_001;3.15;3.717e+006;3962.7;CHACARITA;15
-58.3983;-34.6369;2007-12-11;COLONIA;100;1486;1.1e+006;740.2;0;C3 II;TOPINMOBILIARIO_001;3.15;3.465e+006;2331.8;PARQUE PATRICIOS;4
-58.3767;-34.6013;2007-12-11;TUCUMAN;700;402.8;880000;2184.5;0;C1;TOPINMOBILIARIO_002;3.15;2.772e+006;6881.3;SAN NICOLAS;1
-58.4588;-34.5578;2007-12-11;MONROE;2300;335;700000;2089.6;0;R2a II;TOPINMOBILIARIO_002;3.15;2.205e+006;6582.1;BELGRANO;13
-58.4078;-34.6041;2007-12-11;CORRIENTES;3100;260;630000;2423.1;0;C3 I;TOPINMOBILIARIO_002;3.15;1.9845e+006;7632.7;BALVANERA;3
-58.4059;-34.6111;2007-12-11;YRIGOYEN, HIPOLITO;2900;784.6;600000;764.7;0;C3 I;TOPINMOBILIARIO_002;3.15;1.89e+006;2408.7;BALVANERA;3
-58.4446;-34.5832;2007-12-11;DORREGO;1600;1000;600000;600;0;U20;TOPINMOBILIARIO_002;3.15;1.89e+006;1890;CHACARITA;15
-58.3844;-34.6165;2007-12-11;CHILE;1400;394.5;530000;1343.3;0;R2a I;TOPINMOBILIARIO_002;3.15;1.6695e+006;4231.5;MONTSERRAT;1
-58.4186;-34.5953;2007-12-11;GORRITI;3900;216;420000;1944.4;0;R2b I;TOPINMOBILIARIO_002;3.15;1.323e+006;6125;PALERMO;14
-58.4681;-34.5879;2007-12-11;ESTOMBA;400;430;385000;895.3;0;E2;TOPINMOBILIARIO_002;3.15;1.21275e+006;2820.3;VILLA ORTUZAR;15
-58.4115;-34.6384;2007-12-11;ALMAFUERTE;100;477.6;290000;607.2;0;C3 II;TOPINMOBILIARIO_002;3.15;913500;1912.8;NUEVA POMPEYA;4
-58.4215;-34.5963;2007-12-11;CABRERA, JOSE A.;4000;136;250000;1837.8;0;E3;TOPINMOBILIARIO_002;3.15;787500;5789.2;PALERMO;14
-58.4839;-34.5721;2007-12-11;ROOSEVELT FRANKLIN D.;4800;345.5;230000;665.7;0;R2a II;TOPINMOBILIARIO_002;3.15;724500;2096.9;VILLA URQUIZA;12
-58.4427;-34.6152;2007-12-11;VIDELA CASTILLO;800;227;180000;793;0;R2a II;TOPINMOBILIARIO_003;3.15;567000;2497.8;CABALLITO;6
-58.4664;-34.5839;2007-12-11;TRONADOR;800;189.3;180000;951.1;0;C3 II;TOPINMOBILIARIO_003;3.15;567000;2996;VILLA ORTUZAR;15
-58.5057;-34.6243;2007-12-11;CERVANTES;1700;150;145000;966.7;0;E3;TOPINMOBILIARIO_003;3.15;456750;3045;MONTE CASTRO;10
-58.3691;-34.6019;2007-12-11;LAVALLE;100;406;1.5e+006;3695;0;C1;TOPINMOBILIARIO_003;3.15;4.725e+006;11639.4;SAN NICOLAS;1
-58.4191;-34.5895;2007-12-11;GUATEMALA;4200;554.2;1.4e+006;2526;0;R2a I;TOPINMOBILIARIO_003;3.15;4.41e+006;7956.8;PALERMO;14
-58.3942;-34.5887;2007-12-11;LOPEZ, VICENTE;2100;305;1.25e+006;4098.4;0;U29;TOPINMOBILIARIO_003;3.15;3.9375e+006;12909.8;RECOLETA;2
-58.4084;-34.5881;2007-12-11;BILLINGHURST;2000;426.7;1.1e+006;2578.2;0;R2a I;TOPINMOBILIARIO_003;3.15;3.465e+006;8121.4;RECOLETA;2
-58.4139;-34.5955;2007-12-11;GORRITI;3600;455.9;790000;1733;0;R2a I;TOPINMOBILIARIO_003;3.15;2.4885e+006;5459;RECOLETA;2
-58.4603;-34.5614;2007-12-11;AMENABAR;2300;265.1;700000;2640.5;0;R2a I;TOPINMOBILIARIO_003;3.15;2.205e+006;8317.6;BELGRANO;13
-58.388;-34.63;2007-12-11;ECHAGUE, PEDRO;1700;1388;660000;475.5;0;E3;TOPINMOBILIARIO_003;3.15;2.079e+006;1497.8;CONSTITUCION;1
-58.3621;-34.6386;2007-12-11;VALLE IBERLUCEA del, Dr.;1200;451.7;600000;1328.3;0;R2bIII 2;TOPINMOBILIARIO_003;3.15;1.89e+006;4184;BOCA;4
-58.4003;-34.5901;2007-12-11;FRENCH;2600;170.8;590000;3454.3;0;C3 I;TOPINMOBILIARIO_003;3.15;1.8585e+006;10881.1;RECOLETA;2
-58.4178;-34.5888;2007-12-11;ALVAREZ, JULIAN;2300;248;580000;2338.7;0;R2a I;TOPINMOBILIARIO_003;3.15;1.827e+006;7366.9;PALERMO;14
-58.4191;-34.5909;2007-12-11;SOLER;4100;233.8;560000;2395;0;R2b I;TOPINMOBILIARIO_004;3.15;1.764e+006;7544.3;PALERMO;14
-58.3989;-34.6174;2007-12-11;PICHINCHA;700;634.8;550000;866.4;0;R2a II;TOPINMOBILIARIO_004;3.15;1.7325e+006;2729.2;BALVANERA;3
-58.4828;-34.5799;2007-12-11;BAUNESS;2000;407.3;500000;1227.6;0;R2b II;TOPINMOBILIARIO_004;3.15;1.575e+006;3866.9;VILLA URQUIZA;12
-58.4398;-34.5786;2007-12-11;DORREGO;2200;273.2;480000;1757;0;U20;TOPINMOBILIARIO_004;3.15;1.512e+006;5534.4;PALERMO;14
-58.4417;-34.5648;2007-12-11;GARCIA, TEODORO;1923;164;460000;2804.9;0;R1a;TOPINMOBILIARIO_004;3.15;1.449e+006;8835.4;PALERMO;14
-58.4116;-34.6383;2007-12-11;CASEROS;3300;354.1;400000;1129.5;0;C3 II;TOPINMOBILIARIO_004;3.15;1.26e+006;3557.9;NUEVA POMPEYA;4
-58.4825;-34.5662;2007-12-11;LE BRETON, TOMAS A.;4500;750.8;380000;506.1;0;R2b I;TOPINMOBILIARIO_004;3.15;1.197e+006;1594.3;VILLA URQUIZA;12
-58.4229;-34.6263;2007-12-11;SAN JUAN;4200;277;350000;1263.5;0;C3 I;TOPINMOBILIARIO_004;3.15;1.1025e+006;3980.1;BOEDO;5
-58.4188;-34.6143;2007-12-11;COLOMBRES;200;345;330000;956.5;0;R2a II;TOPINMOBILIARIO_004;3.15;1.0395e+006;3013;ALMAGRO;5
-58.4324;-34.5661;2007-12-11;MATIENZO, BENJAMIN,TTE.;1600;99;320000;3232.3;0;R2a I;TOPINMOBILIARIO_004;3.15;1.008e+006;10181.8;PALERMO;14
-58.4182;-34.5943;2007-12-11;HONDURAS;3900;193.7;300000;1549.2;0;R2b I;TOPINMOBILIARIO_004;3.15;945000;4879.9;PALERMO;14
-58.507;-34.6189;2007-12-11;LASCANO;4900;780;220000;282.1;0;R1b I;TOPINMOBILIARIO_004;3.15;693000;888.5;MONTE CASTRO;10
-58.4694;-34.5512;2007-12-11;AMENABAR;3500;140;210000;1500;0;R2a II;TOPINMOBILIARIO_004;3.15;661500;4725;NUÑEZ;12
-58.3828;-34.6318;2007-12-11;SALTA;2200;211;200000;947.7;0;C3 II;TOPINMOBILIARIO_005;3.15;630000;2985.2;CONSTITUCION;1
-58.3946;-34.6158;2007-12-11;MEXICO;2100;225;145000;644.5;0;R2a II;TOPINMOBILIARIO_005;3.15;456750;2030.2;BALVANERA;3
-58.4934;-34.5701;2007-12-11;BUCARELLI;3100;225.2;140000;621.8;0;R2b I;TOPINMOBILIARIO_005;3.15;441000;1958.6;VILLA URQUIZA;12
-58.4778;-34.542;2007-12-11;PICO;2800;171.5;95000;553.9;0;R1a;TOPINMOBILIARIO_005;3.15;299250;1744.9;SAAVEDRA;13
-58.4652;-34.6195;2007-12-11;PAEZ;2300;182;92000;505.5;0;R2b II;TOPINMOBILIARIO_005;3.15;289800;1592.3;FLORES;7
-58.4459;-34.5587;2007-12-11;SUCRE, ANTONIO JOSE de, Mcal.;1500;2340;9.9e+006;4230.8;0;U23;TOPINMOBILIARIO_005;3.15;3.1185e+007;13326.9;BELGRANO;13
-58.3978;-34.6346;2007-12-11;RONDEAU;2500;5500;680000;123.6;0;C3 II;TOPINMOBILIARIO_005;3.15;2.142e+006;389.5;PARQUE PATRICIOS;4
-58.4261;-34.5886;2007-12-11;COSTA RICA;4700;259;450000;1737.5;0;R2b I;TOPINMOBILIARIO_005;3.15;1.4175e+006;5473;PALERMO;14
-58.4206;-34.6019;2007-12-11;MEDRANO;800;235;260000;1106.4;0;R2a II;TOPINMOBILIARIO_006;3.15;819000;3485.1;ALMAGRO;5
-58.4422;-34.6379;2007-12-11;PUAN;1500;441;165000;374.1;0;R2b II;TOPINMOBILIARIO_006;3.15;519750;1178.6;PARQUE CHACABUCO;7
-58.474;-34.6134;2007-12-11;ESCALADA DE SAN MARTIN, R.;2576;390;140000;359;0;R2b II;TOPINMOBILIARIO_006;3.15;441000;1130.8;VILLA GRAL. MITRE;11
