,BARRIO,CALLE,COMUNA,DOLARES,YEAR,FECHA,LAT,LON,M2,NUMERO,U_S_M2,CO_FRACC,CO_FRAC_RA
15424,BARRACAS,"CARRILLO, RAMON, DR.",4.0,320000.0,2014,2015/02/13,-34.6344063072,-58.382694031,228.0,300,1403.5,004_12,4_12_2
15817,VILLA URQUIZA,GALVAN,12.0,640000.0,2014,,-34.5668776325,-58.4872699716,336.0,3100,1904.8,012_17,12_17_5
15805,VILLA CRESPO,"FRIAS,  EUSTAQUIO, TTE. GRAL.",15.0,550000.0,2014,,-34.6017584522,-58.4333819493,345.0,400,1594.2,015_19,15_19_5
15806,CABALLITO,"GAINZA, MARTIN DE, GRAL.",6.0,340000.0,2014,2015/02/19,-34.6175634004,-58.4467545021,120.0,400,2833.3,006_11,6_11_4
15807,CABALLITO,"GAINZA, MARTIN DE, GRAL.",6.0,280000.0,2014,2015/02/13,-34.6135338348,-58.4462955374,377.0,700,742.7,006_4,6_4_7
15808,CABALLITO,"GAINZA, MARTIN DE, GRAL.",6.0,280000.0,2014,2015/02/18,-34.6126722655,-58.4464107648,377.0,7700,742.7,006_4,6_4_2
15809,VILLA GRAL. MITRE,GALICIA,11.0,400000.0,2014,2015/02/20,-34.6169665799,-58.4733169174,319.0,2700,1253.9,011_18,11_18_6
15810,VILLA SANTA RITA,GALICIA,11.0,380000.0,2014,2015/02/18,-34.6212416554,-58.480822925,300.0,3400,1266.7,011_17,11_17_7
15811,BALVANERA,GALLO,3.0,515000.0,2014,,-34.603282727,-58.4128174152,800.0,500,643.8,005_3,5_3_2
15812,BALVANERA,GALLO,3.0,515000.0,2014,2015/02/13,-34.603282727,-58.4128174152,210.0,500,2452.4,005_3,5_3_2
15813,BALVANERA,GALLO,3.0,430000.0,2014,,-34.6002676154,-58.4121179883,824.0,800,521.8,005_2,5_2_6
15814,BALVANERA,GALLO,3.0,430000.0,2014,2015/02/13,-34.6002676154,-58.4121179883,103.0,800,4174.8,005_2,5_2_6
15815,VILLA URQUIZA,GALVAN,12.0,179000.0,2014,,-34.5703261121,-58.484427952,69.0,2700,2594.2,012_10,12_10_8
15816,VILLA URQUIZA,GALVAN,12.0,235000.0,2014,,-34.5668776325,-58.4872699716,231.0,3100,1017.3,012_17,12_17_5
15818,VILLA URQUIZA,GALVAN,12.0,260000.0,2014,,-34.5639502473,-58.4898936212,280.0,3400,928.6,012_9,12_9_5
15659,PARQUE AVELLANEDA,DIRECTORIO,9.0,450000.0,2014,2015/02/19,-34.6396264181,-58.4774729009,200.0,3800,2250.0,009_11,9_11_2
15819,VILLA URQUIZA,GALVAN,12.0,260000.0,2014,,-34.5639502473,-58.4898936212,300.0,3400,866.7,012_9,12_9_5
15820,PARQUE CHAS,GAMARRA,15.0,335000.0,2014,,-34.5845868511,-58.4751381555,203.0,1300,1650.2,015_5,15_5_6
15821,PARQUE CHAS,GAMARRA,15.0,335000.0,2014,,-34.5845868511,-58.4751381555,184.0,1300,1820.7,015_5,15_5_6
15822,PARQUE CHAS,GAMARRA,15.0,250000.0,2014,,-34.5839754929,-58.4756538486,191.0,1400,1308.9,015_5,15_5_6
15823,PARQUE CHAS,GAMARRA,15.0,250000.0,2014,,-34.5839754929,-58.4756538486,176.0,1400,1420.5,015_5,15_5_6
15824,CABALLITO,GAONA,6.0,690000.0,2014,2015/02/13,-34.610558516,-58.4523512112,496.0,1700,1391.1,006_3,6_3_3
15825,CABALLITO,GAONA,6.0,730000.0,2014,2015/02/13,-34.6118373142,-58.4548143163,235.0,1900,3106.4,006_1,6_1_11
15826,VILLA GRAL. MITRE,GAONA,11.0,900000.0,2014,2015/02/18,-34.6171369577,-58.4680067156,345.0,3000,2608.7,011_22,11_22_6
15827,VILLA GRAL. MITRE,GAONA,11.0,900000.0,2014,2015/02/19,-34.6171369577,-58.4680067156,351.0,3000,2564.1,011_22,11_22_6
15828,VILLA GRAL. MITRE,GAONA,11.0,690000.0,2014,,-34.61836336,-58.4704501649,502.0,3200,1374.5,011_19,11_19_9
15829,VILLA GRAL. MITRE,GAONA,11.0,700000.0,2014,2015/02/18,-34.619038449,-58.4717038106,400.0,3300,1750.0,011_18,11_18_7
15830,VILLA SANTA RITA,GAONA,11.0,943000.0,2014,2015/02/19,-34.6197316726,-58.4730173115,372.0,3400,2534.9,011_18,11_18_7
15804,VILLA CRESPO,"FRIAS,  EUSTAQUIO, TTE. GRAL.",15.0,299000.0,2014,,-34.6040030891,-58.4368938656,202.0,100,1480.2,015_18,15_18_11
15803,VILLA CRESPO,"FRIAS,  EUSTAQUIO, TTE. GRAL.",15.0,400000.0,2014,,-34.6040030891,-58.4368938656,148.0,100,2702.7,015_18,15_18_11
15802,SAAVEDRA,"FREIRE, RAMON, CAP. GRAL.",12.0,250000.0,2014,2015/02/19,-34.5445409021,-58.4825004584,222.0,4700,1126.1,012_3,12_3_3
15801,SAAVEDRA,"FREIRE, RAMON, CAP. GRAL.",12.0,250000.0,2014,2015/02/19,-34.5460678473,-58.4813403529,268.0,4500,932.8,012_3,12_3_4
15776,PARQUE PATRICIOS,FINOCHIETTO ENRIQUE DR.,4.0,220000.0,2014,2015/02/19,-34.6355523317,-58.3915583809,203.0,2100,1083.7,004_8,4_8_6
15777,PALERMO,FITZ ROY,14.0,950000.0,2014,2015/02/19,-34.5817995127,-58.4333919837,207.0,2000,4589.4,014_8,14_8_1
15778,LINIERS,FONROUGE,9.0,232558.0,2014,2015/02/19,-34.6419786669,-58.5130141684,215.0,300,1081.7,009_2,9_2_9
15779,LINIERS,FONROUGE,9.0,495000.0,2014,2015/02/19,-34.6453516473,-58.5080892761,834.0,700,593.5,009_5,9_5_8
15780,LINIERS,FONROUGE,9.0,185000.0,2014,2015/02/19,-34.6462635757,-58.5069102602,186.0,800,994.6,009_5,9_5_8
15781,MATADEROS,FONROUGE,9.0,420000.0,2014,,-34.6496679198,-58.502620149,258.0,1200,1627.9,009_6,9_6_5
15782,MATADEROS,FONROUGE,9.0,400000.0,2014,2015/02/20,-34.6496679198,-58.502620149,300.0,1200,1333.3,009_6,9_6_5
15783,VILLA URQUIZA,"FOULLIER, FELIX O.",12.0,450000.0,2014,,-34.5806353024,-58.4911047629,320.0,5800,1406.3,012_15,12_15_9
15784,VILLA URQUIZA,"FOULLIER, FELIX O.",12.0,370000.0,2014,,-34.5806353024,-58.4911047629,239.0,5800,1548.1,012_15,12_15_9
15785,CHACARITA,FRAGA,15.0,210000.0,2014,2015/02/20,-34.58281654,-58.460484175,150.0,1200,1400.0,015_4,15_4_8
15786,CABALLITO,FRAGATA Pres. SARMIENTO,6.0,440000.0,2014,2015/02/20,-34.6051746042,-58.4593480007,320.0,1800,1375.0,011_21,11_21_5
15787,FLORES,FRANKLIN,7.0,265000.0,2014,,-34.6147450046,-58.4590646701,180.0,1700,1472.2,007_4,7_4_3
15788,FLORES,FRANKLIN,7.0,265000.0,2014,2015/02/19,-34.6147450046,-58.4590646701,156.0,1700,1698.7,007_4,7_4_3
15789,FLORES,FRANKLIN,7.0,275000.0,2014,2015/02/18,-34.6154247537,-58.4615390789,151.0,1900,1821.2,007_4,7_4_2
15790,FLORES,FRAY CAYETANO RODRIGUEZ,7.0,900000.0,2014,2015/02/18,-34.6264508281,-58.4638609571,685.0,400,1313.9,007_6,7_6_4
15791,PALERMO,FRAY JUSTO SANTAMARIA DE ORO,14.0,350000.0,2014,,-34.5867268303,-58.4310538636,866.0,1700,404.2,014_13,14_13_5
15792,PALERMO,FRAY JUSTO SANTAMARIA DE ORO,14.0,350000.0,2014,2015/02/19,-34.5867268303,-58.4310538636,175.0,1700,2000.0,014_13,14_13_5
15793,PALERMO,FRAY JUSTO SANTAMARIA DE ORO,14.0,3400000.0,2014,,-34.5835242025,-58.4279736579,562.0,2100,6049.8,014_13,14_13_2
15794,PALERMO,FRAY JUSTO SANTAMARIA DE ORO,14.0,1400000.0,2014,2015/02/19,-34.5835242025,-58.4279736579,254.0,2100,5511.8,014_13,14_13_2
15795,COLEGIALES,"FREIRE, RAMON, CAP. GRAL.",13.0,850000.0,2014,2015/02/18,-34.5772945966,-58.4478837695,234.0,600,3632.5,013_29,13_29_3
15796,COLEGIALES,"FREIRE, RAMON, CAP. GRAL.",13.0,2000000.0,2014,2015/02/19,-34.5769053903,-58.4487962229,1197.0,700,1670.8,013_26,13_26_9
15797,BELGRANO,"FREIRE, RAMON, CAP. GRAL.",13.0,1500000.0,2014,2015/02/13,-34.5665338929,-58.4642507419,382.0,2100,3926.7,013_17,13_17_7
15798,COGHLAN,"FREIRE, RAMON, CAP. GRAL.",12.0,930000.0,2014,2015/02/13,-34.562002305,-58.4681756728,317.0,2600,2933.8,012_7,12_7_9
15799,SAAVEDRA,"FREIRE, RAMON, CAP. GRAL.",12.0,490000.0,2014,,-34.5489475695,-58.4792190452,158.0,4100,3101.3,012_3,12_3_9
15800,SAAVEDRA,"FREIRE, RAMON, CAP. GRAL.",12.0,490000.0,2014,2015/02/19,-34.5489475695,-58.4792190452,200.0,4100,2450.0,012_3,12_3_9
15831,VELEZ SARSFIELD,GAONA,10.0,190000.0,2014,2015/02/18,-34.6281495586,-58.4916427102,189.0,4900,1005.3,010_13,10_13_3
15832,SAN CRISTOBAL,"GARAY, JUAN DE",3.0,345000.0,2014,2015/02/20,-34.6275053857,-58.3943000695,145.0,2100,2379.3,003_22,3_22_9
15833,SAN CRISTOBAL,"GARAY, JUAN DE",3.0,450000.0,2014,,-34.6279483649,-58.3968046122,272.0,2300,1654.4,003_23,3_23_9
15862,BOEDO,GIBSON,5.0,240000.0,2014,2015/02/13,-34.6383468841,-58.4199308983,330.0,4000,727.3,005_22,5_22_11
15864,PALERMO,GODOY CRUZ,14.0,800000.0,2014,2015/02/19,-34.5887780602,-58.4362607175,200.0,1600,4000.0,014_13,14_13_1
15865,PALERMO,GODOY CRUZ,14.0,930000.0,2014,2015/02/19,-34.5830079182,-58.4292665561,235.0,2300,3957.4,014_13,14_13_2
