LONGITUD;LATITUD;FECHA;CALLE;NUMERO;M2;DOLARES;Z;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.477820158339661;-34.618244284718394;2014/01/08;TRES ARROYOS;3000;320.0;395000;2618850;1234.4;8183.9;VILLA SANTA RITA;11
-58.460536583767706;-34.584949561360332;2013/12/18;TRIUNVIRATO;2700;223.0;600000;3978000;2690.6;17838.6;VILLA ORTUZAR;15
-58.462025060594065;-34.585272768016587;2014/01/08;TRIUNVIRATO;2800;387.0;900000;5967000;2325.6;15418.6;VILLA ORTUZAR;15
-58.463387447035593;-34.585233768263961;2013/12/26;TRIUNVIRATO;2900;262.0;710000;4707300;2709.9;17966.8;VILLA ORTUZAR;15
-58.46741926723238;-34.583768455661392;2014/01/08;TRIUNVIRATO;3200;118.0;410000;2718300;3474.6;23036.4;VILLA ORTUZAR;15
-58.475547956571233;-34.580050694287358;2014/01/08;TRIUNVIRATO;3900;261.0;580000;3845400;2222.2;14733.3;PARQUE CHAS;15
-58.478987914423989;-34.579268161846912;2013/12/26;TRIUNVIRATO;4100;1800.0;1350000;8950500;750.0;4972.5;PARQUE CHAS;15
-58.491128283883967;-34.570807730092163;2014/01/06;TRIUNVIRATO;5300;283.0;550000;3646500;1943.5;12885.2;VILLA URQUIZA;12
-58.418220856719948;-34.645248235422621;2014/01/07;TROLE;500;225.0;152000;1007760;675.6;4478.9;NUEVA POMPEYA;4
-58.471573862636404;-34.572265285493991;2013/12/27;TRONADOR;2000;187.0;220000;1458600;1176.5;7800.0;VILLA URQUIZA;12
-58.388017756111317;-34.601850372750192;2014/01/09;TUCUMAN;1500;764.9;2400000;15912000;3137.5;0.0;SAN NICOLAS;1
-58.4122858353306;-34.600384065201631;2014/01/09;TUCUMAN;3300;132.1;380000;2519400;2877.4;19077.0;BALVANERA;3
-58.513826408951189;-34.640452076803115;2014/01/08;TUYU;100;243.0;310000;2055300;1275.7;8458.0;LINIERS;9
-58.453430136467553;-34.552099883494854;2014/01/06;"UGARTE, MANUEL";1600;270.0;700000;4641000;2592.6;17188.9;BELGRANO;13
-58.437065770254186;-34.590654201535919;2013/12/26;URIARTE;1100;480.0;450000;2983500;937.5;6215.6;VILLA CRESPO;15
-58.432216820827975;-34.587379660727734;2013/12/18;URIARTE;1600;267.0;680000;4508400;2546.8;16885.4;PALERMO;14
-58.430193704489291;-34.58603692669152;2014/01/07;URIARTE;1800;164.0;360000;2386800;2195.1;14553.7;PALERMO;14
-58.423897809365172;-34.581423270252337;2014/01/09;URIARTE;2400;173.2;700000;4641000;4041.6;0.0;PALERMO;14
-58.396928137549331;-34.591135021085734;2013/12/20;URIBURU;1500;406.0;1850000;12265500;4556.7;30210.6;RECOLETA;2
-58.410073813843056;-34.611532015465308;2013/12/18;"URQUIZA, Gral.";100;870.0;700000;4641000;804.6;5334.5;BALVANERA;3
-58.408834326090442;-34.623473038630699;2014/01/09;"URQUIZA, Gral.";1100;364.0;530000;3513900;1456.0;9653.6;SAN CRISTOBAL;3
-58.413828479274557;-34.641299115196617;2013/01/02;USPALLATA;3500;1335.0;1750000;11602500;1310.9;8691.0;NUEVA POMPEYA;4
-58.484440632172443;-34.568957838972999;2014/01/08;VALDENEGRO;2800;315.0;298000;1975740;946.0;6272.2;VILLA URQUIZA;12
-58.485782273798357;-34.567449108895921;2014/01/06;VALDENEGRO;3000;260.0;550000;3646500;2115.4;14025.0;VILLA URQUIZA;12
-58.436171679947783;-34.624695026890784;2013/12/18;VALLE;600;337.0;790000;5237700;2344.2;15542.1;CABALLITO;6
-58.364540048441114;-34.634554427153752;2013/12/18;"VALLE IBERLUCEA del, Dr.";700;5319.0;5500000;36465000;1034.0;6855.6;BOCA;4
-58.496137268602723;-34.585112223882383;2014/01/08;VALLEJOS;2500;820.0;780000;5171400;951.2;6306.6;VILLA PUEYRREDON;12
-58.498401936264472;-34.586512494582188;2013/12/23;VALLEJOS;2700;711.0;570000;3779100;801.7;5315.2;VILLA PUEYRREDON;12
-58.504642584396535;-34.590371367009382;2013/12/23;VALLEJOS;3200;1134.0;330000;2187900;291.0;1929.4;VILLA PUEYRREDON;12
-58.505955765671388;-34.591181610566196;2013/12/26;VALLEJOS;3300;110.0;195000;1292850;1772.7;11753.2;VILLA PUEYRREDON;12
-58.516855265586692;-34.59790830550444;2013/12/26;VALLEJOS;4200;370.0;450000;2983500;1216.2;8063.5;VILLA DEVOTO;11
-58.519394280416563;-34.599475850577448;2014/01/08;VALLEJOS;4400;372.0;490000;3248700;1317.2;8733.1;VILLA DEVOTO;11
-58.442126850539061;-34.612010093178462;2014/01/02;"VALLESE, FELIPE";600;266.0;395000;2618850;1485.0;9845.3;CABALLITO;6
-58.458849526137307;-34.61814907490006;2014/01/02;"VALLESE, FELIPE";1800;408.0;680000;4508400;1666.7;11050.0;FLORES;7
-58.460123111171882;-34.618732621944424;2014/01/02;"VALLESE, FELIPE";1900;225.0;399000;2645370;1773.3;11757.2;FLORES;7
-58.462671584138626;-34.619981443610634;2014/01/02;"VALLESE, FELIPE";2100;204.0;250000;1657500;1225.5;8125.0;FLORES;7
-58.468834414944091;-34.622031488635486;2014/01/02;"VALLESE, FELIPE";2600;150.0;350000;2320500;2333.3;15470.0;FLORES;7
-58.482288933269018;-34.625760735489159;2013/12/19;"VALLESE, FELIPE";3700;114.0;150000;994500;1315.8;8723.7;FLORESTA;10
-58.483721363332755;-34.626110444431241;2013/12/19;"VALLESE, FELIPE";3800;244.0;360000;2386800;1475.4;9782.0;FLORESTA;10
-58.461704790248504;-34.636423340743839;2014/01/02;VARELA;600;244.0;350000;2320500;1434.4;9510.2;FLORES;7
-58.420009237072698;-34.657485893851309;2013/12/26;"VEDIA, AGUSTIN DE";3800;4000.0;2000000;13260000;500.0;3315.0;NUEVA POMPEYA;4
-58.482756302371207;-34.542731248487094;2013/12/19;"VEDIA, ENRIQUE de";3100;200.0;350000;2320500;1750.0;11602.5;SAAVEDRA;12
-58.440456322869863;-34.586119739540777;2014/01/07;"VEGA, NICETO, Cnel.";5700;260.0;950000;6298500;3653.8;24225.0;PALERMO;14
-58.44152862913559;-34.585371941037359;2014/01/07;"VEGA, NICETO, Cnel.";5800;362.0;1100000;7293000;3038.7;20146.4;PALERMO;14
-58.4118736988368;-34.653016394407828;2014/01/07;"VEGA, VENTURA de la";3700;165.0;89800;595374;544.2;3608.3;NUEVA POMPEYA;4
-58.440456322869863;-34.586119739540777;2013/12/20;"VEGA, VENTURA de la";5700;216.0;730000;4839900;3379.6;22406.9;PALERMO;14
-58.44152862913559;-34.585371941037359;2013/12/20;"VEGA, VENTURA de la";5800;362.0;1100000;7293000;3038.7;20146.4;PALERMO;14
-58.442600956128224;-34.584624077596693;2013/12/20;"VEGA, VENTURA de la";5900;399.0;1050000;6961500;2631.6;17447.4;PALERMO;14
-58.443685565126358;-34.5838676831222;2013/12/20;"VEGA, VENTURA de la";6000;170.0;850000;5635500;5000.0;33150.0;PALERMO;14
-58.389806204192858;-34.639064124409003;2013/12/18;VELEZ SARSFIELD;400;270.0;400000;2652000;1481.5;9822.2;BARRACAS;4
-58.388633685587742;-34.653819907224516;2013/12/18;VELEZ SARSFIELD;1600;3500.0;4500000;29835000;1285.7;8524.3;BARRACAS;4
-58.378962457777924;-34.614237764872456;2013/12/19;VENEZUELA;900;737.0;470000;3116100;637.7;4228.1;MONTSERRAT;1
-58.384548320925603;-34.614617519359577;2013/12/19;VENEZUELA;1300;188.0;450000;2983500;2393.6;15869.7;MONTSERRAT;1
-58.388952858396287;-34.614833393949972;2013/12/19;VENEZUELA;1600;300.0;450000;2983500;1500.0;9945.0;MONTSERRAT;1
-58.394604263645327;-34.615281531963518;2013/12/19;VENEZUELA;2000;380.0;380000;2519400;1000.0;6630.0;BALVANERA;3
-58.396067765780614;-34.615390766044925;2013/12/18;VENEZUELA;2100;380.0;380000;2519400;1000.0;6630.0;BALVANERA;3
-58.401179321213824;-34.615637426264293;2013/12/27;VENEZUELA;2400;270.0;310000;2055300;1148.1;7612.2;BALVANERA;3
-58.404507726615719;-34.615957877249727;2014/01/06;VENEZUELA;2700;251.1;400000;2652000;1592.7;10559.8;BALVANERA;3
-58.439461090269241;-34.597364574529145;2014/01/08;VERA;700;219.0;590000;3911700;2694.1;17861.6;VILLA CRESPO;15
-58.441155695818587;-34.595556485456626;2013/12/26;VERA;900;201.0;460000;3049800;2288.6;15173.1;VILLA CRESPO;15
-58.44282847706107;-34.593775391785151;2014/01/08;VERA;1100;183.0;408000;2705040;2229.5;14781.6;VILLA CRESPO;15
-58.444351534525538;-34.59215857782462;2014/01/08;VERA;1300;153.0;435000;2884050;2843.1;18850.0;VILLA CRESPO;15
-58.511053736978795;-34.623709695472641;2013/12/26;"VERDI, JOSE";1700;301.0;265000;1756950;880.4;5837.0;MONTE CASTRO;10
-58.443865425568639;-34.602375653891791;2013/12/26;"VIALE, LUIS";100;144.0;320000;2121600;2222.2;14733.3;VILLA CRESPO;15
-58.476213216994644;-34.620261159602947;2013/12/19;"VIALE, LUIS";3000;197.0;340000;2254200;1725.9;11442.6;VILLA SANTA RITA;11
-58.477469705229169;-34.620922080509565;2014/01/02;"VIALE, LUIS";3100;73.0;145000;961350;1986.3;13169.2;VILLA SANTA RITA;11
-58.389548299076694;-34.600849626410948;2014/01/06;VIAMONTE;1600;360.0;1000000;6630000;2777.8;18416.7;SAN NICOLAS;1
-58.391415060413138;-34.600894647321233;2014/01/06;VIAMONTE;1700;450.0;1450000;9613500;3222.2;21363.3;SAN NICOLAS;1
-58.480354475500889;-34.588310135481841;2013/12/23;"VICTORICA, B., GRAL.";3100;173.0;280000;1856400;1618.5;10730.6;PARQUE CHAS;15
-58.476642920420993;-34.542458464510403;2014/01/07;VIDAL;4600;750.0;950000;6298500;1266.7;8398.0;SAAVEDRA;12
-58.431634606798923;-34.624115399472458;2013/12/27;VIEL;600;195.0;470000;3116100;2410.3;15980.0;CABALLITO;6
-58.429271136545651;-34.632978041861861;2013/12/20;VIEL;1400;258.0;200000;1326000;775.2;5139.5;PARQUE CHACABUCO;7
-58.474012777673558;-34.547448114100234;2014/01/07;VILELA;2800;253.0;480000;3182400;1897.2;12578.7;SAAVEDRA;12
-58.356771732940494;-34.630499908779186;2013/12/27;"VILLAFAÑE, WENCESLAO";100;181.0;210000;1392300;1160.2;7692.3;BOCA;4
-58.370269500900022;-34.651900221254536;2013/12/27;VILLARINO;1700;268.0;145000;961350;541.0;3587.1;BARRACAS;4
-58.445155478963223;-34.59282926767721;2013/12/26;VILLARROEL;1300;481.0;930000;6165900;1933.5;12818.9;VILLA CRESPO;15
-58.420537518004707;-34.583831349975668;2014/01/08;VIRASORO;1400;211.0;330000;2187900;1564.0;10369.2;PALERMO;14
-58.448757302438601;-34.602394093876299;2014/01/09;VIRASORO;1600;224.0;160000;1060800;714.3;0.0;VILLA CRESPO;15
-58.448757302438601;-34.602394093876299;2014/01/09;VIRASORO;1700;159.0;270000;1790100;1698.1;0.0;VILLA CRESPO;15
-58.446414299567451;-34.604926074223066;2013/12/26;"VIRASORO, VALENTIN";1400;211.0;330000;2187900;1564.0;10369.2;VILLA CRESPO;15
-58.447766531716788;-34.603457338556041;2013/12/26;"VIRASORO, VALENTIN";1600;224.0;160000;1060800;714.3;4735.7;VILLA CRESPO;15
-58.448757302438601;-34.602394093876299;2014/01/08;"VIRASORO, VALENTIN";1700;164.0;270000;1790100;1646.3;10915.2;VILLA CRESPO;15
-58.436169370245949;-34.580594181490561;2014/01/07;VOLTAIRE;5800;140.0;420000;2784600;3000.0;19890.0;PALERMO;14
-58.456629840745414;-34.560587178640873;2014/01/06;VUELTA DE OBLIGADO;2200;260.0;2000000;13260000;7692.3;51000.0;BELGRANO;13
-58.457418046931679;-34.559672903815958;2013/12/27;VUELTA DE OBLIGADO;2300;394.0;1250000;8287500;3172.6;21034.3;BELGRANO;13
-58.466027091482033;-34.550054182353968;2014/01/07;VUELTA DE OBLIGADO;3400;381.0;850000;5635500;2231.0;14791.3;NUÑEZ;13
-58.438900613685831;-34.603890374103621;2013/12/26;WARNES;100;1446.0;1300000;8619000;899.0;5960.6;VILLA CRESPO;15
-58.474270396602321;-34.56424602462608;2013/12/18;WASHINGTON;2700;425.0;700000;4641000;1647.1;10920.0;COGHLAN;12
-58.477977433020449;-34.559563165873314;2014/01/02;WASHINGTON;3200;385.0;380000;2519400;987.0;6543.9;COGHLAN;12
-58.478804241277096;-34.558435918930805;2014/01/02;WASHINGTON;3300;375.0;385000;2552550;1026.7;6806.8;COGHLAN;12
-58.479836018871403;-34.557075634484015;2013/12/20;WASHINGTON;3500;139.0;300000;1989000;2158.3;14309.4;COGHLAN;12
-58.487028296451747;-34.647425136098718;2014/01/02;WHITE;1100;156.0;120000;795600;769.2;5100.0;PARQUE AVELLANEDA;9
-58.428407282484073;-34.613351461435258;2013/12/18;YATAY;100;363.0;550000;3646500;1515.2;10045.5;ALMAGRO;5
-58.428370470043909;-34.599944902597954;2013/12/27;YATAY;1000;143.0;360000;2386800;2517.5;16690.9;ALMAGRO;5
-58.467374523412062;-34.62886125226381;2014/01/02;YERBAL;2700;562.0;1200000;7956000;2135.2;14156.6;FLORES;7
-58.47012799392504;-34.62955829584061;2013/12/19;YERBAL;2900;1000.0;1200000;7956000;1200.0;7956.0;FLORES;7
-58.491268091436588;-34.635225522230051;2014/01/02;YERBAL;4600;903.0;450000;2983500;498.3;3304.0;VELEZ SARSFIELD;10
-58.411195903606242;-34.611772781937091;2013/12/27;"YRIGOYEN, HIPOLITO";3200;320.0;650000;4309500;2031.3;13467.2;BALVANERA;3
-58.488611515658562;-34.591515887457938;2013/12/26;ZAMUDIO;3500;270.0;192000;1272960;711.1;4714.7;AGRONOMIA;15
-58.438467397023068;-34.575480242410251;2013/12/27;ZAPATA;100;139.0;529000;3507270;3805.8;25232.2;PALERMO;14
-58.440762689794518;-34.573878156017457;2014/01/02;ZAPATA;300;150.0;420000;2784600;2800.0;18564.0;PALERMO;14
-58.462663010758227;-34.567022772374941;2013/12/18;ZAPIOLA;2000;300.0;1300000;8619000;4333.3;28730.0;BELGRANO;13
-58.464315710886417;-34.565110503734097;2013/12/18;ZAPIOLA;2200;3900.0;4700000;31161000;1205.1;7990.0;BELGRANO;13
-58.475323030200478;-34.551513403330205;2013/12/19;ZAPIOLA;3700;473.0;380000;2519400;803.4;5326.4;SAAVEDRA;12
-58.479245493097451;-34.544284661931862;2014/01/07;ZAPIOLA;4600;150.0;285000;1889550;1900.0;12597.0;SAAVEDRA;12
-58.479654216393577;-34.543448447863128;2013/01/02;ZAPIOLA;4700;277.0;470000;3116100;1696.8;11249.5;SAAVEDRA;12
-58.495540846257825;-34.642103657556717;2014/01/08;ZELADA;4900;563.0;300000;1989000;532.9;3532.9;VILLA LURO;10
-58.496964727566649;-34.642299126305836;2013/12/27;ZELADA;5000;144.0;165000;1093950;1145.8;7596.9;VILLA LURO;10
-58.474755481821717;-34.649410766538288;2014/01/07;ZINNY;1400;95.0;80000;530400;842.1;5583.2;PARQUE AVELLANEDA;9
-58.42925938712289;-34.628864268536844;2013/12/20;ZUVIRIA;200;227.0;495000;3281850;2180.6;14457.5;PARQUE CHACABUCO;7
-58.43681304023648;-34.629966577410833;2014/01/06;ZUVIRIA;800;120.0;249000;1650870;2075.0;13757.3;PARQUE CHACABUCO;7
